1 00:00:16,265 --> 00:00:17,166 演讲者 SPEAKER_01：大家好。
63 00:07:09,529 --> 00:07:15,644 尤其是这种研究的主要资助机构 NSERC。
64 00:07:15,625 --> 00:07:34,449 使用资金进行基础好奇心驱动的研究，所有这些神经网络的发展都源于基础好奇心驱动的研究，而不是将资金投入到应用问题中，而是让科学家们跟随他们的好奇心去尝试理解事物。
65 00:07:36,112 --> 00:07:37,413 说话人 SPEAKER_02：加拿大在这方面做得相当不错。
66 00:07:40,583 --> 00:07:41,004 说话人 SPEAKER_00：谢谢。
67 00:07:41,064 --> 00:07:46,031 说话人 SPEAKER_00：下一个问题来自法新社的伊萨姆·阿赫迈德。
68 00:07:46,692 --> 00:07:48,194 说话人 SPEAKER_00：他们说，恭喜。
69 00:07:48,535 --> 00:07:57,649 讲者 讲者_00：你们和霍普菲尔德博士都警告了未经检查的 AI 和对其工作原理了解不足的危险。
70 00:07:57,668 --> 00:08:00,172 讲者 讲者_00：我们如何避免灾难性场景？
71 00:08:02,074 --> 00:08:04,177 讲者 讲者_02：目前我们还不知道如何避免所有这些。
72 00:08:04,197 --> 00:08:06,641 讲者 讲者_02：这就是我们为什么迫切需要更多研究的原因。
73 00:08:07,499 --> 00:08:24,208 讲者 SPEAKER_02：所以我主张我们最优秀的年轻研究人员，或者其中许多人，应该从事人工智能安全研究，政府应该迫使大型公司提供他们所需的计算设施。
74 00:08:26,922 --> 00:08:32,769 讲者 SPEAKER_00：下一个问题来自加拿大通讯社的塔拉·德尚普斯，同样是为希顿教授提问。
75 00:08:33,450 --> 00:08:40,378 讲者 SPEAKER_00：长期以来，人工智能并没有像今天这样被视为一种性感或流行的技术。
76 00:08:40,398 --> 00:08:47,866 讲者 SPEAKER_00：我想知道，在技术普及之前，您是如何从事这项技术基础研究的？
77 00:08:49,349 --> 00:09:01,020 讲者 SPEAKER_02：嗯，做研究很有趣，但有点烦人的是，很多人说，事实上，大多数人工智能领域的人都说神经网络永远不会起作用。
78 00:09:01,501 --> 00:09:12,813 讲者 SPEAKER_02：他们对此非常自信，认为这些事情只是浪费时间，我们永远无法用神经网络学习复杂的事情，比如理解自然语言。
79 00:09:13,573 --> 00:09:14,174 讲者 SPEAKER_02：他们错了。
80 00:09:17,075 --> 00:09:21,144 讲者 SPEAKER_00：下一个问题是来自 CTV 新闻的 Adrian Gobriel。
81 00:09:21,163 --> 00:09:22,287 说话人 说话人_00：这是他的第二个问题。
82 00:09:22,969 --> 00:09:28,160 说话人 说话人_00：您能否详细阐述您对人工智能的担忧？
83 00:09:28,201 --> 00:09:31,649 说话人 说话人_00：您认为它可能会比人类更聪明吗？
84 00:09:32,330 --> 00:09:35,758 说话人 说话人_00：您认为这会发生在什么时候，以及会多快？
85 00:09:36,667 --> 00:09:45,418 说话人 SPEAKER_02：好的，我所知道的顶尖研究人员中，大多数人认为人工智能将比人类更聪明。
86 00:09:46,240 --> 00:09:49,191 说话人 SPEAKER_02：他们对时间尺度有不同的看法。
87 00:09:50,081 --> 00:09:53,187 说话人 SPEAKER_02：其中很多人认为这将在未来 20 年内发生。
88 00:09:53,626 --> 00:09:55,370 说话人 SPEAKER_02：有些人认为这会更快发生。
89 00:09:55,971 --> 00:09:57,653 讲者 SPEAKER_02：有些人认为这需要更长的时间。
90 00:09:58,173 --> 00:10:04,322 讲者 SPEAKER_02：但相当多的优秀研究人员认为，在未来的 20 年内，人工智能可能会比我们更聪明。
91 00:10:05,323 --> 00:10:07,888 讲者 SPEAKER_02：那时我们需要深思熟虑会发生什么。
92 00:10:13,251 --> 00:10:18,740 讲者 SPEAKER_00：我们不知道下一位提问者的名字，但他们有一个有趣的问题。
93 00:10:19,201 --> 00:10:23,105 讲者 讲者_00: 当你发现获得诺贝尔奖时，你首先联系的是谁？
94 00:10:24,808 --> 00:10:26,110 讲者 讲者_02: 我在澳大利亚的妹妹。
95 00:10:30,677 --> 00:10:32,620 讲者 讲者_00: 关于那个问题的补充，反应如何？
96 00:10:32,639 --> 00:10:37,807 讲者 讲者_02: 我想她说了类似“哦，我的天”这样的话。
97 00:10:41,720 --> 00:10:44,886 讲者 讲者_00：我们的下一个问题是来自 Tara Deschamps 的后续提问。
98 00:10:44,907 --> 00:10:53,648 讲者 讲者_00：再次，她来自加拿大通讯社，她问您，您最初提到在早上得知诺贝尔奖的消息时感到非常惊讶。
99 00:10:54,149 --> 00:10:57,096 讲者 讲者_00：您能告诉我们自那以后您的一天过得怎么样吗？
100 00:10:58,173 --> 00:11:02,059 讲者 讲者_02：嗯，是的，我几乎没有睡觉。
101 00:11:02,159 --> 00:11:07,089 说话人 SPEAKER_02：凌晨一点了，电话响起的时候我可能已经睡了大约一个小时。
102 00:11:08,009 --> 00:11:08,751 说话人 SPEAKER_02：我在加利福尼亚。
103 00:11:09,312 --> 00:11:13,298 说话人 SPEAKER_02：嗯，从那时起，我可能又多睡了一个小时。
104 00:11:14,041 --> 00:11:16,485 说话人 SPEAKER_02：嗯，所以我现在相当困。
105 00:11:16,465 --> 00:11:29,412 主持人 SPEAKER_02：很多人试图联系我，还有许多多年未见的老朋友的消息，这真是太好了。
106 00:11:33,138 --> 00:11:39,110 主持人 SPEAKER_00：下一个问题来自 BetaKit 的 Isabel Kirkwood，再次向 Hinton 教授提问。
107 00:11:39,731 --> 00:11:52,378 主持人 SPEAKER_00：她问，Hinton 教授，您如何调和接受这种认可与您对减缓 AI 发展及其技术风险的直言不讳？
108 00:11:53,354 --> 00:11:58,061 主持人 SPEAKER_02：我从未建议减缓 AI 的发展，因为我认为这是不可行的。
109 00:11:58,863 --> 00:12:10,500 讲者 SPEAKER_02：人工智能有如此多的积极影响，比如在医疗保健领域，但在几乎所有行业中，我认为我们根本无法减缓其发展速度。
110 00:12:15,609 --> 00:12:17,471 讲者 SPEAKER_02：你能再说一遍问题的后半部分吗？
111 00:12:17,687 --> 00:12:18,590 讲者 SPEAKER_00：当然可以。
112 00:12:18,610 --> 00:12:29,773 讲者 SPEAKER_00：她问，如何协调接受这种认可与您公开呼吁减缓人工智能进步和技术带来的风险之间的矛盾？
113 00:12:30,799 --> 00:12:38,572 讲者 SPEAKER_02：实际上，诺贝尔委员会认识到我在谈论安全方面的工作与此相关。
114 00:12:39,274 --> 00:12:42,159 讲者 SPEAKER_02：我记不清他们具体说了什么，但他们提到了这一点。
115 00:12:43,000 --> 00:12:49,972 讲者 SPEAKER_02：我认为我们需要做出严肃的努力来确保它是安全的，因为如果我们能保持它的安全，那将是非常美好的。
116 00:12:52,754 --> 00:13:12,163 讲者 SPEAKER_00：我们再次收到 Hinton 教授和来自法新社的 Ahmed 教授的跟进提问，他们认为学生甚至专业人士过度依赖LLMs是否会产生降低智力的效果，或者我们会进行更高层次的思考？
117 00:13:13,240 --> 00:13:16,004 讲者 SPEAKER_02：我认为它不会产生显著的简化效果。
118 00:13:16,304 --> 00:13:22,614 讲者 SPEAKER_02：我想这就像他们第一次有袖珍计算器时的情况，人们说，哦，孩子们不会再学数学了。
119 00:13:22,653 --> 00:13:24,356 讲者 SPEAKER_02：他们不会做乘法。
120 00:13:24,998 --> 00:13:28,523 讲者 SPEAKER_02：如果你有袖珍计算器，你不需要会做乘法。
121 00:13:29,345 --> 00:13:31,528 说话人 SPEAKER_02：我认为它将与LLMs一样。
122 00:13:31,908 --> 00:13:37,738 说话人 SPEAKER_02：人们可能不会记得那么多你可以直接询问LLM就会知道的事实。
123 00:13:37,778 --> 00:13:40,682 说话人 SPEAKER_02：但我认为这会使人们变得更聪明，而不是更笨。
124 00:13:42,703 --> 00:13:43,264 说话人 SPEAKER_00：谢谢。
125 00:13:43,284 --> 00:13:47,635 说话人 SPEAKER_00：来自 CTV 新闻的 Adrian Gobriel 的后续提问。
126 00:13:48,297 --> 00:13:51,183 说话人 SPEAKER_00：他问，如果我还能问一个问题。
127 00:13:51,224 --> 00:13:56,155 说话人 SPEAKER_00：他说，你提到你得知奖项时用了“目瞪口呆”这个词。
128 00:13:56,616 --> 00:13:58,400 说话人 SPEAKER_00：为什么你这么惊讶？
129 00:13:59,578 --> 00:14:02,565 讲者 SPEAKER_02：我绝对不知道自己被提名了。
130 00:14:02,605 --> 00:14:05,289 讲者 SPEAKER_02：我不是物理学家。
131 00:14:05,711 --> 00:14:07,413 讲者 SPEAKER_02：我对物理学非常尊敬。
132 00:14:07,894 --> 00:14:14,989 讲者 SPEAKER_02：我在大学的第一年就退出了物理学，因为我无法处理复杂的数学。
133 00:14:14,969 --> 00:14:19,197 讲者 SPEAKER_02：获得物理学奖对我来说非常意外。
134 00:14:19,538 --> 00:14:28,014 讲者 SPEAKER_02：我很高兴诺贝尔委员会认识到在人工神经网络领域取得了巨大进步。
135 00:14:28,755 --> 00:14:31,662 讲者 SPEAKER_02：还有霍普菲尔德的工作
136 00:14:31,642 --> 00:14:33,264 讲者 SPEAKER_02：与物理学密切相关。
137 00:14:33,344 --> 00:14:39,033 讲者 SPEAKER_02：我和 Terry Sanofsky 早期在玻尔兹曼机方面的工作受到了统计物理学的启发。
138 00:14:39,592 --> 00:14:43,619 讲者 SPEAKER_02：但最近，这项工作与物理学的关联越来越少。
139 00:14:43,899 --> 00:14:46,823 讲者 SPEAKER_02：所以我非常惊讶自己获得了物理学奖项。
140 00:14:49,206 --> 00:15:01,024 讲者 SPEAKER_00：下一个问题来自美联社的 Matt O'Brien，他问 Hinton 教授，您能否详细说明在电话会议中关于 Sam Altman 的评论？
141 00:15:02,354 --> 00:15:07,190 说话人 SPEAKER_02：所以 OpenAI 的建立非常重视安全性。
142 00:15:08,715 --> 00:15:13,831 说话人 SPEAKER_02：它的主要目标是开发通用人工智能，并确保其安全性。
143 00:15:15,178 --> 00:15:20,307 说话人 SPEAKER_02：我的一个前学生是首席科学家。
144 00:15:22,751 --> 00:15:31,086 说话人 SPEAKER_02：随着时间的推移，发现山姆·奥特曼对安全性的关注远不如对利润的关注。
145 00:15:31,106 --> 00:15:33,812 说话人 SPEAKER_02：我觉得这很遗憾。
146 00:15:37,352 --> 00:15:37,813 说话人 SPEAKER_00：谢谢。
147 00:15:37,854 --> 00:15:41,499 说话人 SPEAKER_00：下一个问题来自 PA Media 的 Jessica Coates。
148 00:15:41,519 --> 00:15:44,583 说话人 SPEAKER_00：这同样是一个针对 Hinton 教授的问题。
149 00:15:45,184 --> 00:15:53,677 讲者 讲者_00：她问，你提到了围绕人工智能的不确定未来以及对其潜在机遇和风险的更深入了解的需求。
150 00:15:54,337 --> 00:15:58,764 讲者 讲者_00：您认为政府是否会介入对人工智能进行更严格的监管吗？
151 00:15:58,784 --> 00:16:02,230 讲者 讲者_00：政府如何更好地支持人工智能研究？
152 00:16:03,491 --> 00:16:10,340 讲者 讲者_02：我认为政府可以鼓励大型公司更多地投入资源进行安全研究。
153 00:16:10,681 --> 00:16:15,385 讲者 SPEAKER_02：目前，几乎所有资源都投入到使模型变得更好。
154 00:16:16,267 --> 00:16:22,214 讲者 SPEAKER_02：这样他们就可以拥有闪亮的新模型，现在竞争激烈，模型也在变得越来越好，这是好事。
155 00:16:22,754 --> 00:16:27,120 讲者 SPEAKER_02：但我们还需要在 AI 安全方面付出相当的努力。
156 00:16:27,480 --> 00:16:29,482 讲者 SPEAKER_02：这种努力需要超过 1%。
157 00:16:29,462 --> 00:16:36,433 讲者 SPEAKER_02：可能需要将三分之一的努力投入到空中安全，因为如果这些东西变得不安全，那就非常糟糕。
158 00:16:36,494 --> 00:16:44,125 讲者 SPEAKER_00：我们的下一个问题是来自 Tara Deschamps，来自 CP。
159 00:16:45,467 --> 00:16:51,116 讲者 SPEAKER_00：她问 Hinton 教授，对于诺贝尔奖带来的资金有什么计划吗？
160 00:16:52,057 --> 00:16:53,801 讲者 SPEAKER_02：没有具体的计划。
161 00:16:53,921 --> 00:17:05,421 说话人 SPEAKER_02：我将把它捐给慈善机构，但我知道有一个慈善机构会给神经多样性年轻人提供工作。
162 00:17:06,303 --> 00:17:09,949 说话人 SPEAKER_02：我会捐给其他一些慈善机构，但我还不知道是哪些。
163 00:17:12,712 --> 00:17:26,299 说话人 SPEAKER_00：接下来我们要问 Hinton 教授的问题，又是来自路透社的 Wa Lone，他问，您对未来如何防止严重后果有什么建议吗？
164 00:17:27,182 --> 00:17:31,210 说话人 SPEAKER_00：他们指的是人们应该如何小心对待 AI 及其使用。
165 00:17:32,050 --> 00:17:33,894 说话人 说话人_00：正如你警告的那样，这可能会很危险。
166 00:17:35,005 --> 00:17:40,913 说话人 说话人_02：嗯，我认为个人在使用时小心并不能解决问题。
167 00:17:41,575 --> 00:17:45,961 说话人 说话人_02：我认为开发 AI 的人需要小心地开发它。
168 00:17:46,863 --> 00:17:50,628 说话人 说话人_02：我认为大公司需要进行研究，这些公司拥有资源。
169 00:17:51,510 --> 00:17:55,696 讲者 SPEAKER_02：嗯，我不认为个人使用它的方式会产生太大影响。
170 00:18:00,232 --> 00:18:04,140 讲者 SPEAKER_00：下一个问题是伊萨姆·艾哈迈德的另一个后续问题。
171 00:18:04,661 --> 00:18:07,526 讲者 SPEAKER_00：这是来自 AFP 的，再次针对 Hinton 教授。
172 00:18:07,967 --> 00:18:18,866 讲者 SPEAKER_00：他们问，我知道你说很难预测变坏可能意味着什么，但如果你必须冒险猜测一些关注的粗略领域，那会是什么？
173 00:18:20,534 --> 00:18:24,201 说话人 SPEAKER_02：所以人工智能有很多不同的风险，它们都有不同的解决方案。
174 00:18:24,882 --> 00:18:28,489 说话人 SPEAKER_02：立即的风险包括像伪造视频破坏选举这样的东西。
175 00:18:29,529 --> 00:18:38,626 说话人 SPEAKER_02：我们已经看到政治家们要么指责他人使用伪造视频，要么自己使用伪造视频和伪造图像。
176 00:18:38,606 --> 00:18:40,088 说话人 SPEAKER_02：这就是一个立即的危险。
177 00:18:40,148 --> 00:18:44,855 说话人 SPEAKER_02：来自网络攻击等事物的危险也非常直接。
178 00:18:44,875 --> 00:18:50,981 说话人 SPEAKER_02：例如，去年网络钓鱼攻击的数量增加了 1200%。
179 00:18:51,462 --> 00:18:56,669 说话人 SPEAKER_02：这是因为大型语言模型使得进行网络钓鱼攻击变得非常容易。
180 00:18:57,108 --> 00:19:01,294 说话人 SPEAKER_02：而且你不能再通过拼写错误和语法略有不同来识别它们了。
181 00:19:02,276 --> 00:19:03,416 说话人 SPEAKER_02：他们的英语非常流利。
182 00:19:06,333 --> 00:19:09,199 说话人 SPEAKER_00：下一个问题是来自维多利亚·吉布森的。
183 00:19:09,298 --> 00:19:10,781 说话人 SPEAKER_00：再次，她在多伦多星报工作。
184 00:19:11,384 --> 00:19:18,598 说话人 SPEAKER_00：她问霍 inton 教授，您今天已经几次提到了省政府和安大略科学中心。
185 00:19:19,119 --> 00:19:22,366 讲者 讲者_00：为什么在获得这个荣誉时，这件事会首先出现在你的脑海中？
186 00:19:23,748 --> 00:19:30,846 讲者 讲者_02：因此，安大略科学中心在激发年轻人好奇心和对科学的兴趣方面起着非常重要的作用。
187 00:19:32,250 --> 00:19:34,778 讲者 讲者_02：它有一些屋顶问题，需要进行翻修。
188 00:19:35,239 --> 00:19:39,309 讲者 讲者_02：翻修的预估费用为2亿美元。
189 00:19:39,526 --> 00:19:50,928 讲者 SPEAKER_02：但是政府后来告诉估算成本的人，将这个数字乘以 1.85，以得到一个更大的数字，这样他们就可以为拆除它找到理由。
190 00:19:50,968 --> 00:19:56,458 讲者 SPEAKER_02：在我看来，拆除它的原因并不是政府给出的原因。
191 00:19:56,919 --> 00:20:00,605 讲者 SPEAKER_02：它本可以修复，修复它会更便宜。
192 00:20:03,251 --> 00:20:10,265 讲者 SPEAKER_00：接下来是加拿大通讯社的 Tara Deschamps 提出的问题。
193 00:20:10,746 --> 00:20:19,942 讲者 讲者_00：她说，当人们谈论加拿大的人工智能和技术格局时，您的名字总是作为加拿大能够取得的成就的例证出现。
194 00:20:20,604 --> 00:20:26,694 讲者 讲者_00：但人们也说，这个国家必须小心不要浪费您所创造的机会。
195 00:20:26,792 --> 00:20:33,343 讲者 讲者_00：您认为加拿大能做些什么来保持其在人工智能领域的领先地位？
196 00:20:34,758 --> 00:20:38,863 讲者 讲者_02：它可以继续资助好奇心驱动的硏究。
197 00:20:38,962 --> 00:20:41,786 讲者 SPEAKER_02：这对留住最优秀的研究人员非常重要。
198 00:20:42,426 --> 00:20:51,057 讲者 SPEAKER_02：但在人工神经网络的时代，我们还需要大量的计算资源来留住大学的研究人员。
199 00:20:51,798 --> 00:20:53,700 讲者 SPEAKER_02：政府正在努力解决这个问题。
200 00:20:53,740 --> 00:20:58,925 讲者 SPEAKER_02：他们为人工智能研究划拨了 20 亿美元用于计算资源。
201 00:20:58,905 --> 00:21:01,114 说话人 SPEAKER_02：所以，我认为他们已经尽力了。
202 00:21:01,154 --> 00:21:09,928 说话人 SPEAKER_02：显然，我们国家的规模比中国或美国小得多，但考虑到他们拥有的资源，我认为加拿大做得相当不错。
203 00:21:13,772 --> 00:21:34,098 说话人 SPEAKER_00：下一个问题来自多伦多大学新闻的拉胡尔·卡尔瓦帕利，他问希顿教授，您在人工神经网络研究领域坚持不懈，即使在科学界对该主题兴趣减弱的时期也是如此。
204 00:21:34,700 --> 00:21:42,210 说话人 SPEAKER_00：您对那些可能被认为不受欢迎或徒劳的奋斗的教授和学生有什么信息？
205 00:21:43,472 --> 00:21:52,587 讲者 SPEAKER_02：我认为我的信息是这样的，如果你相信某件事，不要在你明白为什么这个信念是错误之前放弃它。
206 00:21:53,008 --> 00:21:57,935 讲者 SPEAKER_02：通常你会相信某些事情，最终你会弄清楚为什么相信它是错误的。
207 00:21:58,576 --> 00:22:08,333 讲者 SPEAKER_02：但是只要你还相信某件事，你无法看到为什么它是错误的，就像大脑需要某种方式工作一样，所以我们必须弄清楚它是如何学习连接强度以使其工作的。
208 00:22:08,313 --> 00:22:14,821 讲者 SPEAKER_02：只要你还相信这件事，就继续努力，不要让别人告诉你，如果你看不到它是胡说八道，它就是胡说八道。
209 00:22:18,207 --> 00:22:18,688 演讲者 演讲者_00: 谢谢。
210 00:22:18,728 --> 00:22:28,521 演讲者 演讲者_00: 下一个问题来自小林康博，他来自《读卖新闻》。
211 00:22:28,561 --> 00:22:33,368 演讲者 演讲者_00: 他们问，AI 何时会超越人类的能力？
212 00:22:33,828 --> 00:22:35,771 演讲者 演讲者_00: 结果会怎样？
213 00:22:36,832 --> 00:22:41,659 无人知晓何时，但我知道的大部分优秀研究人员都认为这将会发生。
214 00:22:42,820 --> 00:22:46,906 我的猜测是，它可能在未来5到20年之间发生。
215 00:22:47,287 --> 00:22:48,048 也可能需要更长的时间。
216 00:22:48,729 --> 00:22:50,392 有极小的可能性会更快发生。
217 00:22:50,412 --> 00:22:54,438 说话人 SPEAKER_02：然后我们会不知道会发生什么。
218 00:22:55,117 --> 00:23:06,535 说话人 SPEAKER_02：所以如果你环顾四周，很少看到更智能的东西被不那么智能的东西控制，这让你不禁想，当 AI 比我们更智能时，它是否会接管控制权。
219 00:23:09,990 --> 00:23:11,813 说话人 SPEAKER_00：谢谢，Hinton 教授。
220 00:23:12,453 --> 00:23:19,161 说话人 SPEAKER_00：我们现在没有看到其他问题，但我们愿意再稍作等待。
221 00:23:19,300 --> 00:23:32,915 演讲者 演讲者_00：如果大家有任何临时问题，请使用您屏幕底部的问答工具箱，并告诉我们您的姓名和媒体归属。
222 00:23:33,656 --> 00:23:36,640 演讲者 演讲者_00：如果还有，我们还有时间回答几个问题。
223 00:23:47,690 --> 00:23:50,336 演讲者 演讲者_00：这是来自多伦多大学新闻的 Rahul 提出的问题。
224 00:23:51,057 --> 00:24:07,352 演讲者 演讲者_00：他向 Gertler 校长提问，询问他预期 Hinton 教授的诺贝尔奖将如何影响大学，并激发人工智能和其他领域的学术研究。
