1 00:00:02,072 --> 00:00:09,981 主持人 SPEAKER_07：大家好。
19 00:01:30,082 --> 00:01:31,063 说话人 SPEAKER_07: 我想这应该是几天忙碌的日子。
20 00:01:32,165 --> 00:01:38,352 说话人 SPEAKER_05: 嗯，过去的 10 分钟很糟糕，因为我的电脑崩溃了，我不得不找另一台电脑并连接它。
21 00:01:38,373 --> 00:01:39,194 说话人 SPEAKER_07：很高兴您回来。
22 00:01:39,513 --> 00:01:41,996 说话人 SPEAKER_07：这种技术细节我们不应该与观众分享。
23 00:01:43,118 --> 00:01:44,801 说话人 SPEAKER_07：很高兴您能来。
24 00:01:45,281 --> 00:01:46,582 说话人 SPEAKER_07：非常高兴您能加入我们。
25 00:01:46,968 --> 00:01:51,813 说话人 SPEAKER_07：现在，你本周从谷歌辞职的消息已经遍布各大新闻。
26 00:01:52,393 --> 00:01:55,075 说话人 SPEAKER_07：你能先告诉我们你为什么做出这个决定吗？
27 00:01:56,637 --> 00:01:58,198 说话人 SPEAKER_05：嗯，有几个原因。
28 00:01:58,218 --> 00:02:00,240 说话人 SPEAKER_05：做出这样的决定总是有各种原因。
29 00:02:00,840 --> 00:02:06,206 说话人 SPEAKER_05：一个是我已经 75 岁了，我不再像以前那样擅长做技术工作了。
30 00:02:07,427 --> 00:02:11,010 说话人 SPEAKER_05：我的记忆力不如以前好了，当我编程时，我会忘记做一些事情。
31 00:02:11,531 --> 00:02:12,551 说话人 SPEAKER_05：所以是时候退休了。
32 00:02:13,873 --> 00:02:15,354 说话人 SPEAKER_05：第二个原因是，
33 00:02:15,772 --> 00:02:23,723 说话人 SPEAKER_05：最近，我对大脑和我们所开发的数字智能之间的关系有了很多改变。
34 00:02:25,044 --> 00:02:37,221 说话人 SPEAKER_05：以前，我认为我们开发的计算机模型不如大脑，目标是看看通过改进计算机模型能否更好地理解大脑。
35 00:02:39,364 --> 00:02:41,747 说话人 SPEAKER_05：在过去的几个月里，我的想法完全改变了。
36 00:02:42,384 --> 00:02:46,876 说话人 SPEAKER_05：我认为计算机模型可能以与大脑截然不同的方式工作。
37 00:02:47,236 --> 00:02:50,324 讲者 SPEAKER_05：他们使用反向传播，我认为大脑可能不是。
38 00:02:51,347 --> 00:02:55,736 讲者 SPEAKER_05：有几件事情让我得出这个结论，其中之一是 GPT-4 的表现。
39 00:02:56,526 --> 00:03:05,644 讲者 SPEAKER_07：所以，我想在下一分钟深入探讨 GPT-4 的要点，但让我们先回顾一下，以便我们都理解你提出的论点。
40 00:03:05,683 --> 00:03:09,310 讲者 SPEAKER_07：请给我们简单介绍一下什么是反向传播。
41 00:03:09,350 --> 00:03:13,217 说话人 SPEAKER_07：这是我们与几位同事在 20 世纪 80 年代开发的一个算法。
42 00:03:15,962 --> 00:03:19,429 说话人 SPEAKER_05：许多不同的团队发现了反向传播。
43 00:03:19,645 --> 00:03:25,853 说话人 SPEAKER_05：我们特别之处在于使用了它，并展示了它能够开发出良好的内部表示。
44 00:03:26,433 --> 00:03:33,763 说话人 SPEAKER_05：有趣的是，我们通过实现一个小型语言模型做到了这一点。
45 00:03:35,444 --> 00:03:39,210 说话人 SPEAKER_05：它只有六个组件的嵌入向量。
46 00:03:39,931 --> 00:03:42,454 说话人 SPEAKER_05：训练集有 112 个案例。
47 00:03:43,975 --> 00:03:45,097 说话人 SPEAKER_05：但它是一个语言模型。
48 00:03:45,116 --> 00:03:49,062 说话人 SPEAKER_05：它试图预测符号串中的下一个术语。
49 00:03:50,171 --> 00:03:59,663 大约 10 年后，Yoshua Bengio 基本上使用了相同的网络，并将其应用于自然语言，并展示了如果将其做得更大，它实际上对自然语言是有效的。
50 00:04:01,887 --> 00:04:07,513 但反向传播是如何工作的，我可以给你一个粗略的解释。
51 00:04:09,316 --> 00:04:15,582 了解其工作原理的人可以坐下来，感到自鸣得意，并嘲笑我如何介绍它。
52 00:04:15,883 --> 00:04:16,184 好的。
53 00:04:16,805 --> 00:04:19,267 说话人 SPEAKER_05：因为我有点担心他们。
54 00:04:20,192 --> 00:04:24,177 说话人 SPEAKER_05：所以想象一下，你想要在图像中检测鸟类。
55 00:04:25,559 --> 00:04:29,764 说话人 SPEAKER_05：所以一个图像，假设它是一个 100 像素乘以 100 像素的图像。
56 00:04:30,324 --> 00:04:34,048 说话人 SPEAKER_05：这是 10,000 个像素，每个像素是三个通道，RGB。
57 00:04:34,709 --> 00:04:40,755 说话人 SPEAKER_05：这就是 30000 个数字，代表图像的每个像素中每个通道的强度。
58 00:04:41,677 --> 00:04:48,225 说话人 SPEAKER_05：关于计算机视觉问题可以这样思考，如何将这 30000 个数字转换成判断它是鸟还是不是的决策？
59 00:04:49,336 --> 00:04:51,860 说话人 SPEAKER_05：人们尝试了很长时间去做这件事，但并不擅长。
60 00:04:53,281 --> 00:04:55,264 说话人 SPEAKER_05：但是这里有一个建议，你可能怎么做。
61 00:04:56,187 --> 00:05:02,776 说话人 SPEAKER_05：您可能有一层特征检测器，它可以检测非常简单的特征和图像，例如，例如，边缘。
62 00:05:03,519 --> 00:05:13,233 说话人 SPEAKER_05：因此，特征检测器可能对像素列具有很大的正权重，然后对相邻的像素列具有很大的负权重。
63 00:05:13,923 --> 00:05:16,365 说话人 SPEAKER_05：所以如果两列都明亮，它就不会激活。
64 00:05:16,766 --> 00:05:18,288 说话人 SPEAKER_05：如果两列都暗淡，它也不会激活。
65 00:05:18,870 --> 00:05:24,357 说话人 SPEAKER_05：但如果一边的列很亮，另一边的列很暗，它会非常兴奋。
66 00:05:24,817 --> 00:05:25,939 说话人 SPEAKER_05：这就是边缘检测器。
67 00:05:26,821 --> 00:05:33,009 说话人 SPEAKER_05：所以我刚刚告诉你们如何手动连接边缘检测器，通过一个列有大的正权重，旁边再有一个列有大的负权重。
68 00:05:33,889 --> 00:05:38,976 说话人 SPEAKER_05：我们可以想象一层很大的层，这些层可以在整个图像中检测不同方向和不同尺度的边缘。
69 00:05:39,798 --> 00:05:41,600 说话人 SPEAKER_05：我们需要相当大的数量。
70 00:05:41,800 --> 00:05:45,983 说话人 SPEAKER_07：图像中的边缘，你是说线条，形状的边缘？
71 00:05:46,105 --> 00:05:48,646 说话人 SPEAKER_05：亮度从亮到暗变化的地方。
72 00:05:50,709 --> 00:05:51,410 说话人 SPEAKER_05：是的，就是这样。
73 00:05:52,190 --> 00:05:56,475 说话者 SPEAKER_05：那么我们可能有一层特征检测器在上面，它可以检测边缘的组合。
74 00:05:57,336 --> 00:06:04,843 说话者 SPEAKER_05：例如，我们可能有一种可以检测两个以细小角度相连的边缘的东西。
75 00:06:07,247 --> 00:06:10,389 说话者 SPEAKER_05：所以它会给这两个边缘中的每一个赋予很大的正权重。
76 00:06:10,740 --> 00:06:13,983 说话者 SPEAKER_05：如果这两个边缘同时存在，它就会变得兴奋。
77 00:06:15,064 --> 00:06:18,129 说话者 SPEAKER_05：这可能会检测到可能是鸟嘴的东西。
78 00:06:18,528 --> 00:06:20,511 说话者 SPEAKER_05：可能不会，但也可能是鸟嘴。
79 00:06:20,531 --> 00:06:26,997 说话者 SPEAKER_05：在那个层中，你可能还有一个特征检测器，可以检测到一圈排列的很多边缘。
80 00:06:28,579 --> 00:06:30,420 说话者 SPEAKER_05：那可能是一只鸟的眼睛。
81 00:06:30,461 --> 00:06:31,742 说话人 SPEAKER_05：可能是一切 sorts of other things.
82 00:06:31,762 --> 00:06:34,925 说话人 SPEAKER_05：可能是一个冰箱上的旋钮或类似的东西。
83 00:06:36,593 --> 00:06:48,908 说话人 SPEAKER_05：然后在第三层，你可能有一个特征检测器，它可以检测到潜在的喙，并检测到潜在的瞳孔，并且它们被连接起来，就像一个喙和一个眼睛，彼此之间在正确的空间关系中。
84 00:06:49,490 --> 00:06:52,113 说话人 SPEAKER_05：如果它看到了这个，它就会说，啊，这可能是一只鸟的头。
85 00:06:53,295 --> 00:06:59,242 说话者 SPEAKER_05：你可以想象，如果你继续这样连接，最终可能会得到一个能检测到鸟的东西。
86 00:06:59,576 --> 00:07:06,324 说话者 SPEAKER_05：但是用手一个接一个地连接这些，会非常非常困难，需要决定什么应该连接到什么，以及权重应该是多少。
87 00:07:07,045 --> 00:07:14,211 说话者 SPEAKER_05：而且这会特别困难，因为你希望这些中间层不仅能够检测到鸟，还能检测到各种其他事物。
88 00:07:16,053 --> 00:07:19,497 说话者 SPEAKER_05：所以用手一个接一个地连接几乎是不可行的。
89 00:07:20,899 --> 00:07:22,940 说话人 SPEAKER_05：那么，背包传播的工作方式是这样的。
90 00:07:23,081 --> 00:07:24,423 说话人 SPEAKER_05：你从随机权重开始。
91 00:07:25,024 --> 00:07:27,305 说话人 SPEAKER_05：所以这些特征检测器完全是垃圾。
92 00:07:28,483 --> 00:07:33,952 说话人 SPEAKER_05：然后你放一张鸟的图片进去，输出结果说，比如，0.5 是鸟。
93 00:07:34,834 --> 00:07:36,197 说话人 SPEAKER_05：假设你只有鸟类或非鸟类。
94 00:07:37,418 --> 00:07:53,665 说话人 SPEAKER_05：然后你问自己以下问题，我应该如何改变网络中的每个权重，每个连接上的权重，使得它不再说 0.5，而是说 0.501 表示是鸟类，0.499 表示不是。
95 00:07:54,843 --> 00:08:03,555 说话人 SPEAKER_05：然后你改变权重，使其更有可能将鸟类识别为鸟类，而不是将非鸟类识别为鸟类。
96 00:08:05,297 --> 00:08:06,358 说话人 SPEAKER_05：然后你持续这样做。
97 00:08:07,019 --> 00:08:07,980 讲者 SPEAKER_05: 这就是反向传播。
98 00:08:08,021 --> 00:08:23,060 讲者 SPEAKER_05: 反向传播实际上是如何处理你想要的（概率为 1，认为它是鸟）和目前得到的（概率为 0.5，认为它是鸟）之间的差异，并将这个差异通过网络反向传递。
99 00:08:23,512 --> 00:08:31,062 讲者 SPEAKER_05: 这样就可以计算网络中每个特征检测器是否需要更加活跃或稍微不那么活跃。
100 00:08:31,663 --> 00:08:48,205 讲者 SPEAKER_05: 一旦计算出这些，如果你知道你想要一个特征检测器更加活跃，你可以增加来自下一层活跃的特征检测器的权重，并可能对下一层关闭的特征检测器设置一些负权重，这样你将得到一个更好的检测器。
101 00:08:48,488 --> 00:08:54,582 讲者 SPEAKER_05：所以反向传播就是通过网络反向传播，以确定每个特征检测器是否需要稍微更活跃或稍微不那么活跃。
102 00:08:55,504 --> 00:08:55,885 讲者 SPEAKER_07：谢谢。
103 00:08:56,005 --> 00:09:01,840 讲者 SPEAKER_07：我可以证明在观众中没有人在微笑，认为这是一个愚蠢的解释。
104 00:09:02,207 --> 00:09:11,183 讲者 SPEAKER_07：所以让我们快速前进很多，你知道，那种技术在 ImageNet 上表现非常好。
105 00:09:11,264 --> 00:09:16,653 说话人 SPEAKER_07：昨天我们邀请了 Meta 的 Joel Pino 来展示图像检测技术已经发展到何种程度。
106 00:09:17,073 --> 00:09:20,460 说话人 SPEAKER_07：而且这也是支撑大型语言模型的技术。
107 00:09:21,341 --> 00:09:22,984 说话人 SPEAKER_07：所以现在我想谈谈
108 00:09:22,964 --> 00:09:42,711 说话人 SPEAKER_07：这项技术，你们最初认为它几乎像是生物大脑可能做到的糟糕近似，但它最终做到了一些我认为你们会感到震惊的事情，尤其是在大型语言模型方面。
109 00:09:42,691 --> 00:09:56,109 讲者 SPEAKER_07：和我们谈谈为什么你对今天的大型语言模型所持有的那种惊奇感几乎完全颠覆了你对于反向传播或机器学习的一般看法。
110 00:09:57,530 --> 00:10:02,076 讲者 SPEAKER_05：所以如果你看看这些大型语言模型，它们大约有万亿个连接。
111 00:10:03,399 --> 00:10:06,803 讲者 SPEAKER_05：像 GPT-4 这样的模型知道的比我们多得多。
112 00:10:07,725 --> 00:10:10,048 讲者 SPEAKER_05：它们对几乎所有事物都有常识性的知识。
113 00:10:11,664 --> 00:10:14,687 说话人 SPEAKER_05：所以他们可能比一个人知道得多一千倍。
114 00:10:16,570 --> 00:10:19,452 说话人 SPEAKER_05：但他们有万亿个连接，而我们有一百万亿个连接。
115 00:10:20,594 --> 00:10:25,778 说话人 SPEAKER_05：所以他们比我们更好地将大量知识压缩到只有万亿个连接中。
116 00:10:27,801 --> 00:10:32,446 说话人 SPEAKER_05：我认为这是因为反向传播可能是一个比我们目前所拥有的学习算法要好得多的算法。
117 00:10:33,246 --> 00:10:34,447 说话人 SPEAKER_05：这很可怕。
118 00:10:35,168 --> 00:10:36,971 说话人 SPEAKER_07：是的，我确实想谈谈可怕的事情。
119 00:10:36,990 --> 00:10:38,432 说话人 SPEAKER_07：但您说的“更好”是什么意思？
120 00:10:39,457 --> 00:10:43,183 说话人 SPEAKER_05：它可以在只有几个连接中打包更多的信息。
121 00:10:43,784 --> 00:10:43,965 说话人 SPEAKER_07: 对。
122 00:10:44,546 --> 00:10:46,408 说话人 SPEAKER_05: 我们把万亿定义为很少。
123 00:10:47,370 --> 00:10:48,371 说话人 SPEAKER_07: 好的。
124 00:10:48,392 --> 00:10:57,004 说话人 SPEAKER_07: 所以这些数字计算机在学习和人类相比更优秀，这本身就是一个巨大的声明。
125 00:10:57,846 --> 00:11:03,173 说话者 SPEAKER_07：但是你同时也认为这是我们应该害怕的事情。
126 00:11:03,234 --> 00:11:05,618 说话者 SPEAKER_07：那么你能带我们通过这个论点的步骤吗？
127 00:11:05,969 --> 00:11:24,312 说话者 SPEAKER_05：是的，让我给你一个独立的论点，那就是如果一台计算机是数字的，这涉及到非常高的能源成本和非常精细的制造，你可以在不同的硬件上运行许多相同的模型，它们会做完全相同的事情。
128 00:11:25,014 --> 00:11:27,336 说话者 SPEAKER_05：它们可以查看不同的数据，但模型是完全相同的。
129 00:11:28,057 --> 00:11:30,981 说话人 SPEAKER_05：这意味着，假设你有 10,000 份副本。
130 00:11:31,822 --> 00:11:35,368 说话人 SPEAKER_05：它们可以查看 10,000 个不同的数据子集。
131 00:11:35,787 --> 00:11:38,873 说话人 SPEAKER_05：每当其中一个学到任何东西时，其他的都知道了。
132 00:11:39,914 --> 00:11:43,682 说话人 SPEAKER_05：其中一个找到了如何改变权重以便处理其数据的方法。
133 00:11:44,604 --> 00:11:49,614 说话人 SPEAKER_05：他们都互相沟通，并一致同意通过平均所有想要的方式改变权重。
134 00:11:50,916 --> 00:11:58,149 说话人 SPEAKER_05：现在，这 10,000 个东西正在非常有效地互相沟通。
135 00:11:58,349 --> 00:12:02,552 说话人 SPEAKER_05：这样他们就能看到比一个代理多 10,000 倍的数据。
136 00:12:03,153 --> 00:12:04,214 说话人 SPEAKER_05：人们做不到这一点。
137 00:12:05,034 --> 00:12:13,461 说话人 SPEAKER_05：如果我学习了大量的量子力学知识，并且我想让你了解这些量子力学知识，那是一个漫长而痛苦的过程，让你理解它。
138 00:12:14,182 --> 00:12:20,048 说话人 SPEAKER_05：我不能直接将我的权重复制到你的大脑中，因为你的大脑并不完全像我的一样。
139 00:12:20,067 --> 00:12:20,509 说话人 SPEAKER_07：不，不是的。
140 00:12:24,552 --> 00:12:27,715 说话人 SPEAKER_05：它更年轻。
141 00:12:28,859 --> 00:12:39,812 说话人 SPEAKER_07：所以我们有能够更快学习更多事物的数字计算机，并且它们可以立即相互教授。
142 00:12:39,832 --> 00:12:45,299 说话人 SPEAKER_07：就像，你知道，房间里的人可以立即将他们头脑中的东西传输到我的头脑中。
143 00:12:46,160 --> 00:12:48,203 说话人 SPEAKER_07：但为什么这会让人害怕？
144 00:12:49,885 --> 00:12:55,692 说话人 SPEAKER_05：因为它们可以学习到更多，比如以医生为例。
145 00:12:56,399 --> 00:13:03,967 说话者 SPEAKER_05：想象一下，你有一个医生看过 1,000 名病人，另一个医生看过 1 亿名病人。
146 00:13:05,610 --> 00:13:15,283 说话者 SPEAKER_05：你会期望那个看过 1 亿名病人的医生，如果他不是太健忘的话，会注意到数据中的一些趋势，而这些趋势如果你只看过 1,000 名病人是看不到的。
147 00:13:16,364 --> 00:13:19,587 说话者 SPEAKER_05：你可能只见过一名患有罕见疾病的病人。
148 00:13:19,687 --> 00:13:24,232 说话者 SPEAKER_05：那些看过 1 亿名病人的其他医生，他们见过的病人数量，你可以想象，但很多。
149 00:13:25,936 --> 00:13:29,620 说话人 SPEAKER_05：我们将看到许多在少量数据中并不明显的规律。
150 00:13:31,884 --> 00:13:39,095 说话人 SPEAKER_05：这就是为什么能够处理大量数据的东西可能在我们永远看不到的数据中看到结构。
151 00:13:42,580 --> 00:13:47,787 说话人 SPEAKER_07：但是，请告诉我我应该害怕的地方。
152 00:13:48,931 --> 00:13:53,138 说话人 SPEAKER_05：嗯，如果你看 GPT-4，它已经可以进行简单的推理了。
153 00:13:53,759 --> 00:13:55,942 说话人 SPEAKER_05：我的意思是，推理是我们仍然做得更好的领域。
154 00:13:57,244 --> 00:14:03,695 说话人 SPEAKER_05：但前几天我印象深刻，GPT-4 做了一件我认为它做不到的常识推理。
155 00:14:04,515 --> 00:14:10,245 说话人 SPEAKER_05：所以我问它，我想我家的所有房间都是白色的。
156 00:14:10,985 --> 00:14:15,293 说话人 SPEAKER_05：目前，有一些白色的房间，一些蓝色的房间，还有一些黄色的房间。
157 00:14:16,251 --> 00:14:18,655 说话人 SPEAKER_05：黄色油漆一年后变成白色。
158 00:14:19,817 --> 00:14:23,003 说话人 SPEAKER_05：如果我想要它们两年后都变成白色，我应该怎么做？
159 00:14:25,287 --> 00:14:28,211 说话人 SPEAKER_05：它说你应该把蓝色房间刷成黄色。
160 00:14:29,193 --> 00:14:31,256 说话人 SPEAKER_05：这不是自然的方法，但它是有效的，对吧？
161 00:14:31,798 --> 00:14:31,898 未知说话者：嗯。
162 00:14:32,586 --> 00:14:41,037 说话者 SPEAKER_05：这非常令人印象深刻，这是一种非常难以用符号 AI 实现的常识推理。
163 00:14:41,697 --> 00:14:44,541 说话者 SPEAKER_05：因为它必须理解“褪色”的含义。
164 00:14:44,620 --> 00:14:47,624 说话者 SPEAKER_05：它必须理解时间上的东西。
165 00:14:48,905 --> 00:15:01,480 说话人 SPEAKER_05：所以他们可以进行类似于 80 或 90 智商的合理推理。
166 00:15:02,152 --> 00:15:09,489 说话人 SPEAKER_05：就像我的一位朋友说的，就好像一些基因工程师说，我们要改进灰熊。
167 00:15:09,929 --> 00:15:13,979 说话人 SPEAKER_05：我们已经将它们的智商提高到 65，现在它们可以讲英语了。
168 00:15:14,220 --> 00:15:15,884 说话人 SPEAKER_05：它们对各种事情都非常有用。
169 00:15:16,365 --> 00:15:19,130 说话人 SPEAKER_05：但我们认为可以将智商提高到 210。
170 00:15:23,498 --> 00:15:33,830 说话人 SPEAKER_07：我的意思是，我确实有这种感觉，我相信很多人在与这些最新的聊天机器人互动时都有过这种感觉，你知道的，有点毛骨悚然，有点不寒而栗。
171 00:15:34,291 --> 00:15:38,034 说话人 SPEAKER_07：但是，你知道的，当我感到不舒服时，我就关掉我的笔记本电脑。
172 00:15:39,056 --> 00:15:40,418 说话人 SPEAKER_07：所以。
173 00:15:40,437 --> 00:15:52,392 说话人 SPEAKER_05：是的，但我们会从阅读所有小说以及马基雅维利所写的所有东西中学到这些
174 00:15:53,366 --> 00:15:54,990 说话人 SPEAKER_05：如何操纵人们，对吧？
175 00:15:55,571 --> 00:15:58,956 说话人 SPEAKER_05：如果它们比我们聪明得多，它们在操纵我们方面会非常出色。
176 00:15:58,975 --> 00:16:00,217 说话人 SPEAKER_05：你不会意识到正在发生什么。
177 00:16:00,519 --> 00:16:07,068 说话者 SPEAKER_05：你会像一个两岁的孩子，被问及你想吃豌豆还是花椰菜，却不知道你不必两者都要。
178 00:16:07,870 --> 00:16:10,414 说话者 SPEAKER_05：你将如此容易被操纵。
179 00:16:12,518 --> 00:16:17,907 说话者 SPEAKER_05：即使他们不能直接拉动杠杆，他们当然可以让我们去拉动杠杆。
180 00:16:18,510 --> 00:16:24,398 说话者 SPEAKER_05：结果证明，如果你能操纵人们，你可以在从未去过华盛顿的情况下入侵一栋建筑。
181 00:16:28,724 --> 00:16:29,144 演讲者 SPEAKER_07：非常好。
182 00:16:30,044 --> 00:16:30,605 演讲者 SPEAKER_07：是的。
183 00:16:30,625 --> 00:16:43,201 演讲者 SPEAKER_07：那么，如果，我是说，在一个非常假设的世界里，如果没有坏人，你知道，那些有不良意图的人，我们会安全吗？
184 00:16:45,697 --> 00:16:46,399 演讲者 SPEAKER_05：我不知道。
185 00:16:46,438 --> 00:16:56,965 说话人 SPEAKER_05：在一个人们心怀恶意、政治体系如此破裂以至于我们甚至无法决定不把突击步枪发给青少年男孩的世界里，我们会更安全。
186 00:16:59,049 --> 00:17:01,917 说话人 SPEAKER_05：如果你不能解决这个问题，你将如何解决这个问题？
187 00:17:02,908 --> 00:17:03,789 说话人 SPEAKER_07：嗯，我的意思是，我不知道。
188 00:17:03,809 --> 00:17:05,991 说话人 SPEAKER_07：我本来希望你能有一些想法。
189 00:17:08,354 --> 00:17:16,481 说话人 SPEAKER_07：所以，我的意思是，除非我们在一开始就讲清楚，我的意思是，你想要对此发表意见。
190 00:17:16,903 --> 00:17:23,648 说话人 SPEAKER_07：而且你感觉在没有对谷歌产生任何负面影响的情况下这样做更自在。
191 00:17:24,650 --> 00:17:25,832 说话人 SPEAKER_07：但你确实在发表意见。
192 00:17:26,011 --> 00:17:31,396 说话人 SPEAKER_07：但如果我们没有实际行动，
193 00:17:31,376 --> 00:17:32,439 说话者 SPEAKER_07：动作？
194 00:17:32,459 --> 00:17:33,140 说话者 SPEAKER_07：我们该怎么办？
195 00:17:33,160 --> 00:17:37,167 说话者 SPEAKER_07：我的意思是，当很多人这周都在听你说话时，我们该怎么办？
196 00:17:38,250 --> 00:17:44,603 说话者 SPEAKER_05：我希望它像气候变化一样，如果你有点头脑，你就会停止燃烧碳。
197 00:17:46,326 --> 00:17:47,969 说话者 SPEAKER_05：关于这件事，你应该怎么做很清楚。
198 00:17:48,029 --> 00:17:50,314 说话者 SPEAKER_05：很清楚，这会痛苦，但必须这么做。
199 00:17:50,715 --> 00:17:55,423 说话者 SPEAKER_05：我不知道有哪种解决方案能阻止这些事物取代我们。
200 00:17:55,702 --> 00:17:59,429 说话者 SPEAKER_05：我们真正想要的，我认为我们不会停止开发它们，因为它们非常有用。
201 00:17:59,869 --> 00:18:02,574 说话人 SPEAKER_05：它们在医学和其他所有方面都将非常有用。
202 00:18:04,195 --> 00:18:06,579 说话人 SPEAKER_05：所以我认为停止发展的可能性不大。
203 00:18:07,000 --> 00:18:12,268 说话人 SPEAKER_05：我们想要的是确保即使它们比我们聪明，
204 00:18:12,248 --> 00:18:14,611 说话人 SPEAKER_05：它们也会为我们做有益的事情。
205 00:18:15,011 --> 00:18:16,354 说话人 SPEAKER_05：这就是所谓的对齐问题。
206 00:18:16,874 --> 00:18:24,003 说话人 SPEAKER_05：但是我们需要在一个有坏人想要制造杀人机器人的世界里尝试这样做。
207 00:18:25,066 --> 00:18:26,347 说话人 SPEAKER_05：这对我来说似乎非常困难。
208 00:18:27,048 --> 00:18:30,733 说话人 SPEAKER_05：所以我很抱歉，我在拉响警报，说我们必须担心这个问题。
209 00:18:31,535 --> 00:18:34,199 说话者 SPEAKER_05：我希望有一个简单的解决方案可以推广，但我没有。
210 00:18:34,558 --> 00:18:38,825 说话者 SPEAKER_05：但我认为人们聚在一起认真思考并看看是否有解决方案是非常重要的。
211 00:18:39,065 --> 00:18:40,887 说话者 SPEAKER_05：目前还不清楚是否有解决方案。
212 00:18:41,087 --> 00:18:43,351 说话者 SPEAKER_07：那么，请您谈谈这个问题。
213 00:18:43,371 --> 00:18:49,176 说话者 SPEAKER_07：我的意思是，你把你的职业生涯都花在这项技术的技术细节上了。
214 00:18:49,637 --> 00:18:51,359 说话者 SPEAKER_07：难道没有技术解决方案吗？
215 00:18:51,400 --> 00:19:03,513 说话者 SPEAKER_07：为什么我们不能建立护栏或者让它们学习得更差，或者限制它们沟通的方式，如果这是你论点的两个要点的话？
216 00:19:03,795 --> 00:19:06,758 说话者 SPEAKER_05：我的意思是，我们正在尝试做各种各样的护栏。
217 00:19:07,665 --> 00:19:09,587 说话者 SPEAKER_05：但是假设它们真的变得非常聪明。
218 00:19:10,229 --> 00:19:11,451 说话者 SPEAKER_05：这些事物可以编程，对吧？
219 00:19:11,471 --> 00:19:12,392 说话者 SPEAKER_05：它们可以编写程序。
220 00:19:13,011 --> 00:19:17,258 说话者 SPEAKER_05：假设你赋予它们执行这些程序的能力，我们肯定会这么做。
221 00:19:20,000 --> 00:19:22,103 说话人 SPEAKER_05: 智能事物可以比我们更聪明。
222 00:19:23,925 --> 00:19:33,717 说话人 SPEAKER_05: 想象一下你的两岁孩子说，我爸爸做我不喜欢的事情，所以我打算制定一些规则来限制他可以做什么。
223 00:19:34,657 --> 00:19:37,622 说话人 SPEAKER_05: 你可能能想出一种方法来接受这些规则，同时还能得到你想要的东西。
224 00:19:39,137 --> 00:19:39,357 说话人 SPEAKER_07: 是的。
225 00:19:41,082 --> 00:19:50,558 说话人 SPEAKER_07：但似乎还有一步，这些智能机器似乎有自己的动机。
226 00:19:51,500 --> 00:19:52,682 说话人 SPEAKER_05：是的，这是一个非常好的观点。
227 00:19:52,823 --> 00:19:55,627 说话人 SPEAKER_05：所以我们进化了
228 00:19:55,759 --> 00:20:00,946 说话人 SPEAKER_05：因为我们进化了，所以我们有某些内置的目标，我们觉得很难关闭。
229 00:20:01,827 --> 00:20:05,192 说话者 SPEAKER_05：我们尽量不伤害自己的身体，这就是疼痛的意义所在。
230 00:20:05,231 --> 00:20:09,698 说话者 SPEAKER_05：我们尽量吃得饱饱的，这样我们才能滋养身体。
231 00:20:12,642 --> 00:20:15,826 说话者 SPEAKER_05：我们尽量多复制自己。
