1 00:00:04,232 --> 00:00:05,354 主持人 SPEAKER_12：感谢介绍。
205 00:18:03,711 --> 00:18:10,037 说话人 SPEAKER_12：你正在尝试弄清楚如何改变你大脑中的数万亿个权重，这样才是一句合理的话。
206 00:18:10,076 --> 00:18:12,839 说话人 SPEAKER_02：也就是说，如果你相信我。
207 00:18:16,983 --> 00:18:17,684 说话人 SPEAKER_02：所以。
208 00:18:18,576 --> 00:18:20,298 说话人 SPEAKER_02：这是一种困难的分享知识的方式。
209 00:18:21,138 --> 00:18:23,721 说话人 SPEAKER_02：数字计算机有更好的知识共享方式。
210 00:18:27,164 --> 00:18:29,007 所以它们可以进行权重或梯度共享。
211 00:18:29,047 --> 00:18:33,671 假设我有一个拥有万亿连接的大人工神经网络。
212 00:18:35,593 --> 00:18:41,759 如果我在数字计算机上运行它，我可以在许多不同的数字计算机上制作它的精确副本。
213 00:18:42,880 --> 00:18:46,743 说话人 SPEAKER_12：每个副本都可以去查看互联网上的不同部分。
214 00:18:47,028 --> 00:18:50,432 说话人 SPEAKER_12：然后它可以找出如何改变其权重，以便它可以说出那样的话。
215 00:18:52,536 --> 00:19:01,229 说话人 SPEAKER_12：然后它可以采取它想要做出的权重变化，并且它可以与其他所有计算机交谈，它们可以都同意平均它们的权重变化。
216 00:19:01,950 --> 00:19:07,237 说话人 SPEAKER_12：这是一个简化，但如果你知道，是的，这是一个简化，但基本上就是这样。
他们平均了所有的重量变化，然后每个人都知道每个人、每个数字计算机学到了什么。
基本上，这就是教育工作者所期望的，我可以把大脑里的东西直接塞进你的大脑。
219 00:19:24,683 --> 00:19:26,806 发言人 SPEAKER_12：他妈的，你竟然试图预测我会说什么。
220 00:19:26,826 --> 00:19:29,388 发言人 SPEAKER_12：我只是想把我脑子里的东西放进你的脑子里。
221 00:19:30,089 --> 00:19:32,172 说话人 SPEAKER_12：这些数字智能可以做到这一点。
222 00:19:32,913 --> 00:19:36,436 说话人 SPEAKER_12：它们通过仅仅，它们都同意权重变化。
223 00:19:36,696 --> 00:19:38,378 说话人 SPEAKER_12：现在它们都知道它们都学到了什么。
224 00:19:39,480 --> 00:19:41,942 说话人 SPEAKER_12：所以想象一下，如果我们有 10,000 人。
225 00:19:43,163 --> 00:19:45,807 说话人 SPEAKER_12：每当其中一个人学到什么，我们所有人就都知道了。
226 00:19:46,714 --> 00:19:49,798 说话人 SPEAKER_12：这将给您带来巨大的优势。
227 00:19:49,817 --> 00:19:52,020 说话人 SPEAKER_12：这正是数字计算的优势所在。
228 00:19:52,820 --> 00:20:04,354 说话人 SPEAKER_12：此外，它还有优势，即可以使用反向传播，这可能是更好的学习算法，因为它可以穿过许多层神经元并计算出精确的梯度。
229 00:20:04,854 --> 00:20:09,519 说话人 SPEAKER_12: 这些都不是猜测方向，看看效果如何，然后希望你能平均掉这些差异。
230 00:20:10,240 --> 00:20:12,182 说话人 SPEAKER_12: 这是一个更好的学习算法。
231 00:20:13,984 --> 00:20:22,836 说话人 SPEAKER_12: 这对我来说是个巨大的安慰，因为我过去几年一直在尝试提出与反向传播一样有效的、具有生物学依据的学习算法。
232 00:20:23,517 --> 00:20:25,819 说话人 SPEAKER_12: 我最终决定，可能根本不存在这样的算法。
233 00:20:25,839 --> 00:20:27,382 说话人 SPEAKER_12：也许反向传播实际上更好。
234 00:20:28,282 --> 00:20:30,065 说话人 SPEAKER_12：这就是我现在相信的。
235 00:20:34,289 --> 00:20:38,174 说话人 SPEAKER_12：所以我想提醒你们，你们为此付出了巨大的代价。
236 00:20:38,434 --> 00:20:41,558 说话人 SPEAKER_12：你们付出的代价是他们必须是数字计算机。
237 00:20:41,578 --> 00:20:43,721 说话人 SPEAKER_12：它们必须精确制造，以便它们
