1 00:00:00,318 --> 00:00:05,626 早上好，下午好，晚上好，取决于你在世界的哪个地方。
25 00:03:15,189 --> 00:03:24,503 讲者 SPEAKER_01：如果你观察人类，毕竟这是我们试图竞争的对象，我们大约有 10 的 14 次方个突触，而我们只活大约 10 的 9 次方秒。
26 00:03:27,268 --> 00:03:32,876 讲者 SPEAKER_01：这意味着显式的标签或回报不可能提供足够的信息来训练所有这些突触。
27 00:03:33,477 --> 00:03:35,780 讲者 SPEAKER_01：我们每秒大约有 10 的五次方个突触。
28 00:03:38,123 --> 00:03:41,568 讲者 SPEAKER_01：现在有一些反对我们学习所有这些突触的观点。
29 00:03:42,324 --> 00:03:45,008 讲者 SPEAKER_01: 一个论点是，它们是先天的而不是后天习得的？
30 00:03:46,229 --> 00:03:48,973 Speaker SPEAKER_01: 很难想象它们可能是先天的。
31 00:03:50,056 --> 00:03:56,625 Speaker SPEAKER_01: 这让人联想到进化，而进化是一个比反向传播效率低得多的算法。
32 00:03:56,645 --> 00:03:57,825 Speaker SPEAKER_01: 如果它们高度冗余会怎样？
33 00:03:59,168 --> 00:04:01,972 讲者 SPEAKER_01: 好吧，我们为了拥有一个大脑付出了巨大的代价。
34 00:04:02,432 --> 00:04:05,157 讲者 SPEAKER_01: 尤其是女性，为了我们的大脑，她们付出了巨大的代价。
35 00:04:05,858 --> 00:04:09,042 讲者 SPEAKER_01: 因此，我们不太可能是在浪费能力。
36 00:04:11,991 --> 00:04:15,657 讲者 SPEAKER_01: 我们在训练数据不多的情况下，操作着大型模型。
37 00:04:16,098 --> 00:04:18,081 讲者 SPEAKER_01：这与传统统计学非常不同。
38 00:04:19,644 --> 00:04:22,809 讲者 SPEAKER_01：对我们来说，经验是昂贵的，而突触是廉价的。
39 00:04:22,829 --> 00:04:29,500 讲者 SPEAKER_01：因此，我们需要研究那些可以使用很少的经验和很多参数的学习算法。
40 00:04:32,824 --> 00:04:38,774 讲者 SPEAKER_01：如果你看看人们用于无监督学习的目标函数，有最大似然，这是显而易见的。
41 00:04:39,463 --> 00:04:47,252 演讲者 SPEAKER_01：这意味着调整生成模型的参数，以最大化模型生成观察到的数据的概率。
42 00:04:48,994 --> 00:05:07,091 一个简单的例子是将高斯混合模型拟合到数据分布中，你试图找到高斯分布的均值、方差和混合比例，这样如果你根据混合比例选择一个高斯分布，然后从这个高斯分布中生成一个点，你生成类似数据的可能性就最大。
43 00:05:08,776 --> 00:05:12,060 然后是自编码器，它们并不完全是最大似然估计。
44 00:05:12,742 --> 00:05:18,769 它们试图找到一个经济的表示，使得数据可以被重建。
45 00:05:22,055 --> 00:05:28,002 讲者 SPEAKER_01：然后我要在演讲的后半部分重点讨论一个话题，那就是空间或时间上的连贯性。
46 00:05:29,524 --> 00:05:33,670 想法是提取在空间或时间上连贯的属性。
47 00:05:35,033 --> 00:05:37,415 这与最大似然学习肯定不同。
48 00:05:40,112 --> 00:05:41,475 那么，让我们从自编码器开始吧。
49 00:05:42,576 --> 00:05:48,682 讲者 SPEAKER_01：自编码器是一种使用监督学习算法实现无监督学习的方法。
50 00:05:50,185 --> 00:05:55,610 所以我们有一个网络，数据从底部进入，网络的输出是对数据的重建。
51 00:05:56,211 --> 00:05:59,076 学习的目的是使重建的数据与原始数据相同。
52 00:06:00,898 --> 00:06:07,925 网络有一个编码器，它将数据转换成一个代码向量。
53 00:06:08,884 --> 00:06:14,870 讲者 SPEAKER_01：通常你希望这个代码向量很小，或者有时你希望它是一个在某些先验分布下可能存在的向量。
54 00:06:16,531 --> 00:06:21,297 讲者 SPEAKER_01：然后我们有一个解码器，它接收代码向量并尝试重建数据。
55 00:06:22,057 --> 00:06:24,420 讲者 SPEAKER_01：所以解码是一个条件生成模型。
56 00:06:24,939 --> 00:06:28,783 讲者 SPEAKER_01：它给定代码向量，然后尝试生成看起来像真实数据的数据。
57 00:06:32,887 --> 00:06:37,812 讲者 SPEAKER_01：大约 20 年来，人们认为训练深度自编码器非常困难。
58 00:06:38,973 --> 00:06:46,903 所以这个想法从20世纪80年代中期反向传播开始流行以来就存在了，但没有人能在深度网络中让它工作。
59 00:06:47,545 --> 00:06:48,447 讲者 SPEAKER_01：问题是为什么？
60 00:06:48,487 --> 00:06:51,891 嗯，我们使用了错误的神经元类型。
61 00:06:52,471 --> 00:06:59,141 讲者 SPEAKER_01：我们之前使用的是 sigmoid 单元或 tanh 单元，而不是 ReLU 单元，ReLU 单元在深度网络中更容易训练。
62 00:07:01,281 --> 00:07:03,064 讲者 SPEAKER_01：我们还糟糕地初始化了权重。
63 00:07:03,644 --> 00:07:11,355 讲者 SPEAKER_01：如果你想要训练深度网络，初始化权重时对权重进行缩放非常重要，这样反向传播的梯度就不会爆炸或消失。
64 00:07:13,137 --> 00:07:14,399 讲者 SPEAKER_01：但当时计算机也慢。
65 00:07:15,439 --> 00:07:20,485 讲者 SPEAKER_01：它们并不慢到可以解释我们无法让它们工作的事实，但它们确实很慢。
66 00:07:20,526 --> 00:07:31,120 2006年，鲁斯兰·萨拉克图诺夫和我提出了一种训练深度自编码器的方法。
67 00:07:32,567 --> 00:07:34,490 这是一种非常简单的方式来训练它们。
68 00:07:34,951 --> 00:07:37,774 这涉及到堆叠一堆浅层自编码器。
69 00:07:39,757 --> 00:07:46,387 讲者 SPEAKER_01：您首先训练一个浅层自动编码器来处理数据输入。
70 00:07:47,848 --> 00:07:52,074 它有一个特征检测器的隐藏层，您可以将其视为初始的编码层。
71 00:07:53,055 --> 00:07:56,040 它试图学习能够使其重建数据的特征检测器。
72 00:07:57,401 --> 00:07:58,744 一旦完成这个步骤，
73 00:07:59,180 --> 00:08:03,608 Speaker SPEAKER_01: you take the activities of the feature detectors, and you treat them as data, and you do it again.  
74 00:08:03,629 --> 00:08:06,675 Speaker SPEAKER_01: And once it's done that, you do it again.  
75 00:08:06,714 --> 00:08:08,439 Speaker SPEAKER_01: And you can do it for as many times as you like.  
76 00:08:09,560 --> 00:08:14,310 Speaker SPEAKER_01: And so without using any labels, this will pre-train lots of layers of feature detectors.  
77 00:08:14,932 --> 00:08:16,716 讲者 SPEAKER_01：这就是所谓的无监督预训练。
78 00:08:21,151 --> 00:08:29,420 讲者 SPEAKER_01：所以每个新的自编码器都将你已学习的特征检测器的活动作为其数据，并学习进一步对其进行编码。
79 00:08:31,564 --> 00:08:38,831 讲者 SPEAKER_01：我们提出的算法有趣之处在于，首先，它在 2006 年使深度学习复兴。
80 00:08:39,033 --> 00:08:40,934 讲者 SPEAKER_01：那时人们开始训练深度网络。
81 00:08:43,577 --> 00:08:44,700 讲者 SPEAKER_01: 这里有有趣的数学。
82 00:08:45,039 --> 00:08:48,423 讲者 SPEAKER_01: 如果浅层自编码器被称为受限玻尔兹曼机，
83 00:08:49,450 --> 00:09:01,043 讲者 SPEAKER_01: 那么有一些数学表明，每次你向堆栈中添加一个新的浅层自编码器，你都会得到一个新的关于模型生成数据的对数概率的变分界限。
84 00:09:01,643 --> 00:09:05,027 讲者 SPEAKER_01: 而这个变分界限比之前的变分界限更好。
85 00:09:07,769 --> 00:09:13,416 讲者：与许多花哨的数学一样，它在实践中完全无关紧要，但非常适合推销这个想法。
86 00:09:17,783 --> 00:09:22,150 讲者：从那时起，人们已经开发了更复杂的深度自编码器。
87 00:09:25,417 --> 00:09:40,264 讲者：在贪婪学习的一堆浅层自编码器中，提取的早期特征检测器没有压力，它们是你真正需要的特征检测器，用于提取后续表示。
88 00:09:43,129 --> 00:09:46,873 讲者：为了克服这个问题，我们可以学习一个端到端的深度自编码器。
89 00:09:47,553 --> 00:09:53,119 讲者 SPEAKER_01：这就是人们过去一直尝试的事情，但从未成功，因为我们使用了错误的单位，并且没有正确初始化。
90 00:09:54,279 --> 00:09:57,743 讲者 SPEAKER_01：但随着计算速度的加快和更好的单位，现在这做得非常好。
91 00:09:58,464 --> 00:10:02,467 讲者 SPEAKER_01：这对生物学来说可能是个问题，但对计算机来说不是问题。
92 00:10:04,789 --> 00:10:07,952 讲者 SPEAKER_01：最近在深度自编码器的学习方面取得了重大进展。
93 00:10:10,774 --> 00:10:12,596 讲者 SPEAKER_01: 所以在 2013 年，
94 00:10:13,167 --> 00:10:16,711 讲者 SPEAKER_01: Welling 和 Kingma 引入了变分自编码器。
95 00:10:18,231 --> 00:10:29,482 讲者 SPEAKER_01: 这些编码器的想法是，你将有一个编码器显示在左边，它将数据转换为实值代码向量。
96 00:10:33,267 --> 00:10:39,072 讲者 SPEAKER_01: 然后你有一个解码器，它将实值代码向量重新构建为数据。
97 00:10:40,437 --> 00:10:43,181 讲者 SPEAKER_01：编码器的目标是双重的。
98 00:10:44,022 --> 00:10:51,311 讲者 SPEAKER_01：它想要找到一个代码，这个代码在先验分布下概率最大化。
99 00:10:52,152 --> 00:10:58,721 讲者 SPEAKER_01：所以想法是在那个实值代码空间中，你有一个先验分布，这通常是一个高斯分布。
100 00:10:59,881 --> 00:11:06,090 讲者 SPEAKER_01：编码器试图找到接近高斯均值的位置的代码，这些代码在高斯分布下是可能的。
101 00:11:06,626 --> 00:11:10,451 说话人 SPEAKER_01：但它也在尝试找到能够使其重建数据的代码。
102 00:11:12,554 --> 00:11:18,621 说话人 SPEAKER_01：解码器接收代码并尝试准确重建数据。
103 00:11:19,744 --> 00:11:23,828 说话人 SPEAKER_01：它是通过一个我不打算深入讲解的变分近似来做到这一点的。
104 00:11:24,710 --> 00:11:35,283 说话人 SPEAKER_01：但通过一个巧妙的数学技巧，Willing 和 King 能够得到训练变分自动编码器所需的所有导数。
105 00:11:35,634 --> 00:11:43,486 讲者 SPEAKER_01：既要使数据从代码中重建的概率很高，也要使代码本身在先验概率下具有很高的概率。
106 00:11:45,028 --> 00:11:50,677 讲者 SPEAKER_01：我不会再过多谈论变分自编码器，但它们是目前进行无监督学习最好的方法之一。
107 00:11:53,061 --> 00:11:55,245 讲者 SPEAKER_01：我将更多地介绍一种称为 BERT 的方法。
108 00:11:56,886 --> 00:12:03,297 讲者 SPEAKER_01：所以 BERT 是一种深度自动编码器，经过训练以填充句子中的缺失单词。
109 00:12:04,356 --> 00:12:13,767 讲者 SPEAKER_01：这与信息检索非常相关，因为 BERT 提取的词表示非常出色，它们应该非常适合理解文档。
110 00:12:14,668 --> 00:12:18,552 讲者 SPEAKER_01：正如我们将看到的，它们在构建文档内容模型方面肯定非常出色。
111 00:12:22,976 --> 00:12:29,884 讲者 SPEAKER_01：因此，在 BERT 中，您有很多层，在每一层中，您都有每个输入词的嵌入。
112 00:12:30,764 --> 00:12:33,908 讲者 SPEAKER_01：所以当一个词进来时，它会被转换成一个向量，
113 00:12:34,342 --> 00:12:37,886 讲者 SPEAKER_01: 你将在第一隐藏层中得到该单词的向量表示。
114 00:12:37,907 --> 00:12:41,370 讲者 SPEAKER_01: 在第二隐藏层中，你将得到该单词更好的向量表示。
115 00:12:42,071 --> 00:12:46,495 讲者 SPEAKER_01: 随着你通过网络，给定单词的表示将变得更好。
116 00:12:49,177 --> 00:13:00,789 讲者 SPEAKER_01: 事实上，层 L+1 中的表示是通过比较层 L 中该单词的嵌入来学习的。
117 00:13:01,309 --> 00:13:11,644 讲者 SPEAKER_01：与其他层 L 中句子中单词的嵌入进行比较。这些比较是通过一种复杂的注意力形式——变换器来完成的，我现在将尝试解释。
118 00:13:12,504 --> 00:13:13,466 讲者 SPEAKER_01：这是一个非常巧妙的想法。
119 00:13:14,748 --> 00:13:22,879 讲者 SPEAKER_01：在网络尝试输出单词之前，你得到的单词嵌入，
120 00:13:23,111 --> 00:13:36,813 讲者 SPEAKER_01：这包括当然，填补缺失的单词，最终的嵌入结果成为用于诸如建模句子内容以及许多不同的自然语言任务中单词的非常好的表示。
121 00:13:36,833 --> 00:13:40,438 讲者 SPEAKER_01：我将向您展示它被用于一个地方，那里它表现得非常好。
122 00:13:44,144 --> 00:13:50,335 讲者 SPEAKER_01：所以如果您有一个标准的一维卷积神经网络来表示单词序列，
123 00:13:51,192 --> 00:14:05,270 讲者 SPEAKER_01：在某种程度上，您将会有这些向量来表示句子中的单词，然后您将通过从下一级的单词中通过权重矩阵结合信息，在更高一级得到表示这些单词的向量。
124 00:14:07,594 --> 00:14:14,482 讲者 SPEAKER_01：所以您只需查看下一级中靠近您的所有单词，
125 00:14:15,172 --> 00:14:21,437 讲者 SPEAKER_01：然后您将这些表示组合成更高一级的单词的更好表示。
126 00:14:23,679 --> 00:14:26,182 讲者 SPEAKER_01：BERT 也是这样做，但使用的是注意力机制。
127 00:14:28,105 --> 00:14:29,285 讲者 SPEAKER_01：所以 BERT 看起来是这样的。
128 00:14:30,687 --> 00:14:40,437 讲者 SPEAKER_01：为了将底层单词的表示组合起来，以在更高一级的特定列中创建单词的新表示，
129 00:14:42,003 --> 00:14:46,509 讲者 SPEAKER_01：我们将使用一种看起来有点像信息检索的东西。
130 00:14:47,990 --> 00:14:57,522 讲者 SPEAKER_01：每个单词通过某个学习到的权重矩阵将产生一个查询向量、一个键向量和一个值向量。
131 00:15:00,206 --> 00:15:09,376 讲者 SPEAKER_01：然后对于每个位于 L 层的单词，你将使用它的查询向量，并将其与其他单词的键向量进行比较。
132 00:15:11,077 --> 00:15:32,115 讲者 SPEAKER_01：当你找到一个好的查询向量和键向量匹配时，当这个查询向量和键向量的点积的指数很大时，你将允许那个附近位置的值向量影响你在下一层的表示。
133 00:15:32,136 --> 00:15:35,162 演讲者 SPEAKER_01：例如，如果我是单词六月，
134 00:15:36,711 --> 00:15:52,357 演讲者 SPEAKER_01：然后我会生成一个查询向量，这个查询向量擅长匹配月份的名字，而且也擅长匹配女性名字，至少在英语中是这样。
135 00:15:53,552 --> 00:16:03,028 因此它将选择句子中其他相关的单词，并使用这些相关单词来修改六月的表现。
136 00:16:03,849 --> 00:16:10,399 如果句子中还有其他女性名字，那么表现将更接近女性名字的表现。
137 00:16:10,458 --> 00:16:17,168 讲者 SPEAKER_01：如果句子中有好几个月份，它就会更像月份的表示。
138 00:16:17,188 --> 00:16:18,851 讲者 SPEAKER_01：所以它将通过上下文进行细化。
139 00:16:21,633 --> 00:16:33,567 讲者 SPEAKER_01：这就像信息检索，只不过查询、值和键都是通过反向传播学习到的，它们都是通过反向传播学习到的，它们在填充缺失单词时产生的错误。
140 00:16:38,712 --> 00:16:42,477 讲者 SPEAKER_01：所以你可以用这种神经网络进行语言建模。
141 00:16:42,498 --> 00:16:48,585 讲者 SPEAKER_01：你所做的是首先使用 Transformer 预训练词片段嵌入。
142 00:16:48,970 --> 00:17:06,888 那就是，你取句子，或者实际上是比句子长得多的文本片段，数千个片段长，然后通过这个自动编码器的多层进行处理，这个自动编码器正在学习所有这些键、值和查询，以便使词表示得到细化。
143 00:17:07,750 --> 00:17:13,635 在输出之前，你得到经过大量上下文精心优化的表示。
144 00:17:14,135 --> 00:17:17,880 因此，它们是那些输入词片段非常好的表示。
145 00:17:22,602 --> 00:17:29,009 演讲者 SPEAKER_01：然后你将使用这些词片段的表示在另一个神经网络中。
146 00:17:29,630 --> 00:17:36,217 演讲者 SPEAKER_01：而这个其他神经网络被训练去预测许多先前词片段中的下一个词片段。
147 00:17:37,898 --> 00:17:42,684 演讲者 SPEAKER_01：所以它是一个自回归模型，它查看先前的词片段并试图预测下一个词片段。
148 00:17:43,826 --> 00:17:45,627 演讲者 SPEAKER_01：但它并不查看原始的词片段。
149 00:17:45,708 --> 00:17:50,212 演讲者 SPEAKER_01：它查看 Bert 生成的这些词片段的表示。
150 00:17:50,377 --> 00:17:53,241 演讲者 SPEAKER_01：它们将比原始词片段工作得更好。
151 00:17:57,829 --> 00:18:11,069 演讲者 SPEAKER_01：在训练这个语言模型之后，你可以看到它相信什么，或者通过给它一个初始的词序列，然后让它预测下一个片段的概率分布，你可以看到它理解了多少。
152 00:18:15,116 --> 00:18:27,315 演讲者 SPEAKER_01：所以你这样做就是给它一个上下文，它预测下一个词片段的概率分布，然后如果你想从模型中生成内容，你只需从那个分布中选择即可。
153 00:18:28,415 --> 00:18:38,391 讲者 SPEAKER_01：所以如果显示下一个词的概率是 0.5，那么下一个词是“the”的概率是 0.5，然后以 0.5 的概率选择“the”这个词。
154 00:18:39,619 --> 00:18:45,465 讲者 SPEAKER_01：然后你告诉网络，实际上正确的词是“the”，你认为接下来会是什么？
155 00:18:46,646 --> 00:18:50,270 讲者 SPEAKER_01：然后它会给你下一个词的新概率分布。
156 00:18:51,071 --> 00:18:54,515 讲者 SPEAKER_01：例如，它可能会说，下一个词是“猫”的概率是 0.1。
157 00:18:55,496 --> 00:19:01,001 演讲者 SPEAKER_01：然后你从这个新的分布中挑选，以 0.1 的概率挑选了单词“猫”。
158 00:19:01,542 --> 00:19:04,965 演讲者 SPEAKER_01：所以如果你挑选了单词“猫”，你就对它说，好的，下一个词是“猫”。
159 00:19:05,366 --> 00:19:06,807 演讲者 SPEAKER_01：你认为接下来会是什么？
160 00:19:07,480 --> 00:19:17,294 演讲者 SPEAKER_01：所以你可以玩一个游戏，让它猜测接下来出现的分布，你从那个分布中挑选，告诉它猜对了，然后你说，好的，接下来会是什么？
161 00:19:18,434 --> 00:19:20,759 说话人 SPEAKER_01：这样你就可以让它产生一长串的单词。
162 00:19:22,160 --> 00:19:23,541 说话人 SPEAKER_01：它产生的结果令人惊叹。
163 00:19:24,784 --> 00:19:33,596 说话人 SPEAKER_01：你可以一直继续，直到例如，你得到一个句号，或者你甚至可以在句号之后继续。
164 00:19:33,615 --> 00:19:35,479 说话人 SPEAKER_01：你可以随心所欲地继续下去。
165 00:19:38,429 --> 00:20:06,781 讲者 SPEAKER_01：现在我向大家展示的是，如果你用 BERT 在数十亿个单词的文本上训练，然后你用一个非常大的 BERT 版本产生的嵌入，在这个非常大的文本集上训练一个拥有 1750 亿参数的语言模型，
166 00:20:08,382 --> 00:20:12,188 讲者 SPEAKER_01：这次训练超过了 1000 个 Petaflop 天。
167 00:20:13,590 --> 00:20:14,692 讲者 SPEAKER_01：这需要很长时间。
168 00:20:14,712 --> 00:20:19,760 讲者 SPEAKER_01：1000 个 Petaflop 天是直到最近都无法想象的计算量。
169 00:20:21,483 --> 00:20:24,628 演讲者 SPEAKER_01: 然后，你可以用它来生成新闻文章，例如。
170 00:20:25,069 --> 00:20:26,392 演讲者 SPEAKER_01: 你可以用它来生成各种东西。
171 00:20:26,833 --> 00:20:27,954 演讲者 SPEAKER_01: 它知道各种各样的事情。
172 00:20:28,455 --> 00:20:31,520 演讲者 SPEAKER_01: 但让我们专注于一个特别好的例子。
173 00:20:32,951 --> 00:20:36,035 讲者 SPEAKER_01: 这是一条新闻文章的开头。
174 00:20:36,055 --> 00:20:39,397 讲者 SPEAKER_01: 所以它被告知标题是《联合卫理公会达成历史性分裂》。
175 00:20:40,138 --> 00:20:44,042 讲者 SPEAKER_01: 副标题是《反对同性婚姻者将成立自己的教派》。
176 00:20:45,144 --> 00:20:48,666 讲者 SPEAKER_01: 然后，文章现在必须开始产生文字。
177 00:20:49,228 --> 00:20:51,730 演讲者 SPEAKER_01：它一次生成一个单词片段。
178 00:20:52,250 --> 00:20:59,778 演讲者 SPEAKER_01：每次它猜测一个单词片段或给出一个分布，你从分布中选择，告诉它猜对了，然后你说，好的，下一个单词片段是什么？
179 00:21:00,778 --> 00:21:02,200 演讲者 SPEAKER_01：这就是它生成的。
180 00:21:06,009 --> 00:21:07,412 演讲者 SPEAKER_01：现在，这是精选的。
181 00:21:07,531 --> 00:21:11,978 讲者 SPEAKER_01：这是 GPT-3 中最好的例子之一。
182 00:21:13,059 --> 00:21:21,192 讲者 SPEAKER_01：但有趣的是，大多数人无法判断这是真实的新闻文章还是 Bert 编造的。
183 00:21:21,811 --> 00:21:23,335 讲者 SPEAKER_01：它有点通过了图灵测试。
184 00:21:25,798 --> 00:21:27,540 讲者 SPEAKER_01：它充满了大量的常识。
185 00:21:27,980 --> 00:21:30,444 演讲者 SPEAKER_01：注意，从语言学的角度来看，它只使用单词。
186 00:21:30,505 --> 00:21:33,189 演讲者 SPEAKER_01：它完全可以生成非单词，但它不会这么做。
187 00:21:34,210 --> 00:21:35,612 演讲者 SPEAKER_01：它知道如何使用引号。
188 00:21:36,587 --> 00:21:43,875 演讲者 SPEAKER_01：它具有连贯性，也就是说后来的句子会引用先前的句子。
189 00:21:44,835 --> 00:21:46,057 Speaker SPEAKER_01: The whole thing makes a lot of sense.  
190 00:21:47,538 --> 00:21:56,726 Speaker SPEAKER_01: So this is just an example of what can now be done by first training with unsupervised learning using BERT, and then training a huge language model.  
191 00:21:58,708 --> 00:22:00,849 Speaker SPEAKER_01: It's the only really impressive example I'm gonna give.  
192 00:22:01,549 --> 00:22:06,595 Speaker SPEAKER_01: I'm gonna now go back to the underlying ideas about how do we do unsupervised learning.  
193 00:22:09,645 --> 00:22:18,157 讲者 SPEAKER_01：所以变分自编码器和 BERT 比我们和 Ruslan Salakutinov 提出的贪婪堆叠自编码器要好。
194 00:22:18,178 --> 00:22:27,751 讲者 SPEAKER_01：这是因为端到端学习确保了早期层的隐藏单元学会提取后期层所需的特征。
195 00:22:28,472 --> 00:22:30,134 讲者 SPEAKER_01：这正是反向传播擅长的地方。
196 00:22:31,583 --> 00:22:40,351 讲者 SPEAKER_01：我相信大脑必须有一种方法来调整早期层的特征检测器，以便它们提取后期层特征检测器所需的特征。
197 00:22:43,273 --> 00:22:47,017 讲者 SPEAKER_01：堆叠自编码器贪婪地学习时没有动力去这样做。
198 00:22:47,538 --> 00:22:55,825 讲者 SPEAKER_01：当它们学习早期特征检测器时，它们并没有考虑后续层的表示，因为那些表示还没有被学习。
199 00:22:56,346 --> 00:23:01,269 讲者 SPEAKER_01：你可以稍后微调它们来做这件事，但在无监督学习中，它们不会这样做。
200 00:23:04,320 --> 00:23:05,729 讲者 SPEAKER_01：所以问题是，我们能否解决这个问题？
201 00:23:08,141 --> 00:23:12,001 讲者 SPEAKER_01: 有一个问题，这个修复真的需要通过多层进行反向传播吗？
202 00:23:12,926 --> 00:23:24,663 近年来，我一直非常渴望找到一种在深度网络中进行无监督学习的方法，这种方法不需要通过多层进行反向传播，因为我并不认为大脑就是这样做的。
203 00:23:25,404 --> 00:23:36,101 我非常努力地试图想出大脑可能采取的方法，并与他人发明了一些相当复杂的方案，但我并不真的相信大脑是通过多层进行反向传播的。
204 00:23:40,047 --> 00:23:41,449 所以这里有一个明显的解决方案。
205 00:23:42,474 --> 00:23:52,205 讲座者 SPEAKER_01：这次讲座的大部分内容将讨论这个明显的解决方案为什么不起作用，以及如何改进这个明显的解决方案使其有效。
206 00:23:52,226 --> 00:24:08,365 讲座者 SPEAKER_01：明显的解决方案是学习每一层的特征，使它们擅长重建下一层的特征，同时也便于上一层重建。
207 00:24:08,969 --> 00:24:11,653 讲座者 SPEAKER_01：所以我们只考虑下一层和上一层。
208 00:24:12,194 --> 00:24:14,279 讲座者 SPEAKER_01：这意味着我们必须同时学习所有层。
209 00:24:15,422 --> 00:24:20,231 讲者 SPEAKER_01：我们将尝试制作出擅长重建下一层的特征。
210 00:24:20,271 --> 00:24:27,385 这就是贪婪自动编码器的目标函数，同时对于上层来说也易于重建。
211 00:24:27,987 --> 00:24:30,893 也就是说，它们与上层自然预测的内容相吻合。
212 00:24:33,623 --> 00:24:35,305 这有一个非常令人满意的解释。
213 00:24:36,086 --> 00:24:43,213 Speaker SPEAKER_01: The layer above is gonna make a top-down prediction, and that top-down prediction is gonna supervise the learning of the bottom-up connections.  
214 00:24:44,796 --> 00:24:53,566 Speaker SPEAKER_01: The bottom-up connections are going to produce a representation, and that representation is gonna act as a target for the top-down prediction.  
215 00:24:55,268 --> 00:24:57,150 Speaker SPEAKER_01: So what's produced bottom-up?  
216 00:24:57,619 --> 00:25:06,573 Speaker SPEAKER_01: is acting as a target for learning top-down predictions, and the top-down predictions are acting as a target for learning what to produce bottom-up.  
217 00:25:09,217 --> 00:25:11,059 讲者 SPEAKER_01：自下而上和自上而下的监督相互配合。
218 00:25:13,784 --> 00:25:17,390 讲者 SPEAKER_01：那么让我给您举一个例子，展示如何使用上下文一致性作为教师。
219 00:25:18,632 --> 00:25:22,096 讲者 SPEAKER_01：如果您考虑一个句子，比如，她用平底锅打了他。
220 00:25:24,601 --> 00:25:26,884 讲者 SPEAKER_01：希望您之前从未听说过“scrum”这个词，
221 00:25:27,691 --> 00:25:33,839 Speaker SPEAKER_01: You suspect it's a verb because of where it is in the sentence and the ending on it, but you have no idea what it means initially.  
222 00:25:34,881 --> 00:25:39,887 Speaker SPEAKER_01: But after you've seen that one sentence, most people have a pretty good idea of what it means.  
