1 00:00:02,478 --> 00:00:04,120 说话人 SPEAKER_01：让我检查一下它是否可以点击通过。
52 00:03:37,481 --> 00:03:43,129 说话人 SPEAKER_01：它将来自所有其他激活神经元的输入加起来，即状态为 1 的神经元，加上偏置。
53 00:03:43,169 --> 00:03:45,252 说话人 SPEAKER_01：如果它大于 0，就会打开。
54 00:03:45,272 --> 00:03:46,615 说话人 SPEAKER_01：如果它小于 0，就会关闭。
55 00:03:48,907 --> 00:03:52,953 说话人 SPEAKER_01：这就是能隙，即能量差异，取决于它是开启还是关闭。
56 00:03:54,935 --> 00:03:57,018 说话人 SPEAKER_01：这里有一个 Hopfield 网络的例子。
57 00:04:00,562 --> 00:04:03,127 说话人 SPEAKER_01：我们可以给它赋予状态。
58 00:04:03,467 --> 00:04:05,449 说话人 SPEAKER_01：现在我已将状态分配给所有神经元。
59 00:04:06,211 --> 00:04:18,829 说话人 SPEAKER_01：如果我想计算该状态的能量，或者我称之为“良好度”的负能量，它就是所有单元对之间状态的乘积与它们之间权重的总和。
60 00:04:19,314 --> 00:04:23,980 说话人 SPEAKER_01：所以在这个网络中，只有一对单元同时处于激活状态，它们之间的权重为三。
61 00:04:24,581 --> 00:04:27,324 说话人 SPEAKER_01：这样我们得到一个能量为负三或者一个良好度为三。
62 00:04:28,326 --> 00:04:29,867 说话人 SPEAKER_01：通常谈论良好度更容易一些。
63 00:04:31,269 --> 00:04:37,757 说话人 SPEAKER_01：现在，我们可以通过选择网络中的一个神经元，比如那个，来更新网络的状态。
64 00:04:38,978 --> 00:04:42,382 说话人 SPEAKER_01：现在我们可以问，那个神经元的总输入是多少？
65 00:04:43,202 --> 00:04:45,286 说话人 SPEAKER_01：嗯，在这个网络中，我没有加入任何偏差。
66 00:04:45,805 --> 00:04:48,850 说话人 SPEAKER_01：所以总的输入是从其他活跃神经元那里得到的。
67 00:04:49,336 --> 00:04:53,482 说话人 SPEAKER_01：它从与之相连的活跃神经元那里得到一个-4 的输入。
68 00:04:53,862 --> 00:04:55,384 说话人 SPEAKER_01：与之相连的其他神经元处于关闭状态。
69 00:04:55,423 --> 00:04:56,966 演讲者 SPEAKER_01：所以它的总输入是减 4。
70 00:04:57,646 --> 00:04:59,490 说话人 SPEAKER_01：它将保持相同的状态。
71 00:04:59,550 --> 00:05:00,451 说话人 SPEAKER_01：它将保持在 0。
72 00:05:00,992 --> 00:05:02,173 说话人 SPEAKER_01：而良好度仍然是 3。
73 00:05:02,593 --> 00:05:05,216 说话人 SPEAKER_01：我认为我们可以选择另一个神经元。
74 00:05:05,237 --> 00:05:06,038 说话人 SPEAKER_01: 是的，就像那样。
75 00:05:07,000 --> 00:05:12,927 说话人 SPEAKER_01: 如果我们看那个，它的总输入来自其他活跃神经元的数量是 3。
76 00:05:12,947 --> 00:05:13,488 说话人 SPEAKER_01: 就这样。
77 00:05:14,110 --> 00:05:15,490 说话人 SPEAKER_01：所以它有一个正输入。
78 00:05:15,550 --> 00:05:16,692 说话人 SPEAKER_01：它会保持开启状态。
79 00:05:17,617 --> 00:05:21,862 说话人 SPEAKER_01：这有点无聊了，我们想要一个会变化的，所以让我们选择那个。
80 00:05:23,004 --> 00:05:35,677 说话人 SPEAKER_01：那个是关闭的，但是如果你看现在的总输入，它从其中一个神经元得到了加二，等等，从另一个神经元减一，所以我们得到了总输入加一，所以我们将它翻转成开启状态，因为它得到了正输入。
81 00:05:36,158 --> 00:05:42,524 说话人 SPEAKER_01：当我们将其翻转成开启状态时，网络的优良度变为四，能量变为负四，所以我们得到了网络更好的状态。
82 00:05:43,447 --> 00:05:46,629 说话人 SPEAKER_01：现在网络所处的状态，当这些单元三角处于激活状态时，
83 00:05:46,846 --> 00:05:50,290 说话人 SPEAKER_01：左边的三角，这是一个能量最小值。
84 00:05:51,250 --> 00:05:54,795 说话人 SPEAKER_01：如果你现在环顾四周并问，我能否翻转任何单元来使事情变得更好？
85 00:05:54,855 --> 00:05:55,314 说话人 SPEAKER_01：你不能。
86 00:05:56,677 --> 00:06:00,180 说话人 SPEAKER_01：这是一个局部最优解，能量的局部最小值。
87 00:06:01,961 --> 00:06:08,348 说话人 SPEAKER_01：但是如果你用同样的网络，实际上有一个更深的能量最小值，就是有一个右三角形。
88 00:06:10,692 --> 00:06:12,173 说话人 SPEAKER_01：所以网络有两个三角形。
89 00:06:12,553 --> 00:06:14,495 说话人 SPEAKER_01：这有点像美国的政治体系。
90 00:06:15,076 --> 00:06:16,718 说话人 SPEAKER_01：在这些三角形中，
91 00:06:17,086 --> 00:06:20,891 说话人 SPEAKER_01：神经元之间往往有正权重，这两个三角形彼此讨厌。
92 00:06:21,331 --> 00:06:27,220 说话人 SPEAKER_01：因此，两个三角形之间有一个大的负权重，即负四，尽管一个单元同时参与两个三角形。
93 00:06:28,362 --> 00:06:41,139 说话人 SPEAKER_01：因此，这个网络的两个最小值是在右侧三角形开启时，其良好度为五，这是最深的最低点，以及左侧三角形开启时，其良好度为四，不是那么好。
94 00:06:42,442 --> 00:06:45,185 说话人 SPEAKER_01：好吧，我刚刚都说了。
95 00:06:46,144 --> 00:06:47,427 说话人 SPEAKER_01：所以这就是全局最小值。
96 00:06:49,610 --> 00:06:52,394 说话人 SPEAKER_01：霍普菲尔德想到了利用这种网络的方法。
97 00:06:52,915 --> 00:07:05,692 说话人 SPEAKER_01：所以霍普菲尔德建立的是，如果你建立对称连接并使用二进制阈值决策规则，然后逐个更新神经元，网络将收敛到能量最小值，但不一定是全局最小值。
98 00:07:06,593 --> 00:07:10,860 说话人 SPEAKER_01：他认为你可以在生物学中用这个来存储记忆。
99 00:07:11,139 --> 00:07:16,067 说话人 SPEAKER_01：你可以把记忆想象成这样一个神经网络的能量最小值。
100 00:07:16,451 --> 00:07:23,860 说话人 SPEAKER_01：这显然是一个高度理想化的神经网络，但它是由二进制神经元组成的网络，这些神经元要么开启要么关闭，它们之间有成对权重。
101 00:07:25,442 --> 00:07:44,062 说话人 SPEAKER_01：然后可能发生的情况是，如果你对一个记忆进行破坏，或者遗漏了它的一部分，比如说一些神经元，我不知道它们的状态是什么，它们处于一种中立状态，或者我直接改变一些记忆单元的状态，它可以纠正破坏，或者填补不完整的记忆。
102 00:07:45,697 --> 00:07:50,444 讲者 SPEAKER_01：现在，关于记忆作为能量最小值这一想法，很久以前是由 I.A.提出的。
103 00:07:50,485 --> 00:07:52,307 讲者 SPEAKER_01：理查兹在文学批评一书中提出了这个观点。
104 00:07:53,170 --> 00:07:54,312 讲者 SPEAKER_01：霍普菲尔德并不知道这一点。
105 00:07:55,012 --> 00:07:58,338 讲者 SPEAKER_01：因此，霍普菲尔德没有必要参考那本书。
106 00:07:59,341 --> 00:08:01,785 说话人 SPEAKER_01: 当然，Schmidhuber 会说他是骗子，因为他没有这么做。
107 00:08:02,625 --> 00:08:10,540 说话人 SPEAKER_01: 能量最小值代表记忆，你可以得到一个内容可寻址的存储器。
108 00:08:11,396 --> 00:08:14,781 说话人 SPEAKER_01: 因此，你只需知道它的一些部分，就可以访问内存中的项目。
109 00：08：14,862 --> 00：08：19,048 议长 SPEAKER_01：你知道一些单位的状态，现在这个网络将填补其余的记忆。
110 00：08：21,370 --> 00：08：24,475 演讲者 SPEAKER_01：这是在 Google 之前的 16 年完成的。
111 00：08：25,415 --> 00：08：30,262 演讲者 SPEAKER_01：在 Google 之前的 16 年，内容可寻址内存还不习惯。
您通常不能只通过提供其内容的一小部分来访问事物，并获取其余部分。
113 00：08：35,289 --> 00：08：41,217 演讲者 SPEAKER_01：当然，一旦 Google 出现，你就可以通过在文档中给出几个生僻词来访问文档，然后你就会得到文档。
但是这是一个内容可寻址存储的早期例子，并且在生物学上更为合理。
115 00：08：47,731 --> 00：08：49,173 扬声器 SPEAKER_01：它对硬件损坏很强大。
116 00：08：50,375 --> 00：08：56,285 演讲者 SPEAKER_01：这有点像拥有几块恐龙骨骼，然后重建整个恐龙，人们一直在这样做。
117 00:08:59,370 --> 00:09:06,361 说话人 SPEAKER_01：所以，在 Hopfield 网络中存储记忆的方式取决于单元的状态是一还是负一。
118 00:09:06,982 --> 00:09:12,230 讲者 SPEAKER_01：我经常用单元来代替神经元，1 和 -1 的状态，或者 1 和 0 的状态。
119 00:09:12,350 --> 00:09:15,556 讲者 SPEAKER_01：如果它们是 1 和 -1 的状态，存储规则非常简单。
120 00:09:15,596 --> 00:09:21,705 讲者 SPEAKER_01：你只需通过这两个神经元在记忆中的活动乘积来改变权重。
121 00:09:22,645 --> 00:09:25,650 讲者 SPEAKER_01：所以如果它们的状态相反，你就减少权重。
122 00:09:26,071 --> 00:09:28,354 说话者 SPEAKER_01：如果它们处于相同的状态，你就增加权重。
123 00:09:29,115 --> 00:09:30,457 说话者 SPEAKER_01：这似乎是件合情合理的事。
124 00:09:30,918 --> 00:09:34,504 说话者 SPEAKER_01：这样就会形成一个能工作的 Hopfield 记忆。
125 00:09:34,524 --> 00:09:35,504 说话者 SPEAKER_01：如果它们有
126 00:09:36,076 --> 00:09:36,976 演讲者 SPEAKER_01：这是一个非常简单的规则。
127 00:09:36,996 --> 00:09:38,418 演讲者 SPEAKER_01：它根本不涉及迭代。
128 00:09:38,500 --> 00:09:40,001 演讲者 SPEAKER_01：你只需一次性存储记忆。
129 00：09：41,524 --> 00：09：48,934 发言者 SPEAKER_01：如果他们的权重状态为 0 和 1，则规则会稍微复杂一些。
130 00:09:48,975 --> 00:09:51,719 演讲者 SPEAKER_01：实际上有几种规则的版本，但这是其中一种。
131 00：09：52,519 --> 00：09：55,724 发言者 SPEAKER_01：你用这两个术语的乘积来改变权重。
每个这些项要么是减半，要么是加半，具体取决于神经元是开启还是关闭。
133 00:10:03,416 --> 00:10:05,138 说话人 SPEAKER_01：所以如果 Si 是关闭的，
134 00:10:05,741 --> 00:10:07,203 说话人 SPEAKER_01：第一个项你会得到减半。
135 00:10:07,264 --> 00:10:09,648 说话人 SPEAKER_01：如果 SJ 开启，第二个项你会得到加半。
136 00:10:10,669 --> 00:10:13,494 说话人 SPEAKER_01：因此你会减小两个神经元之间的权重。
137 00:10:14,014 --> 00:10:15,417 说话人 SPEAKER_01：它们会相互抑制。
138 00:10:16,719 --> 00:10:16,980 说话人 SPEAKER_01: 好吧。
139 00:10:19,123 --> 00:10:23,450 说话人 SPEAKER_01: 所以人们发现霍普菲尔德网络，物理学家做了很多研究。
140 00:10:24,410 --> 00:10:30,340 说话人 SPEAKER_01: 他们发现，限制你能存储多少记忆的一个因素是虚假的极小值。
141 00:10:31,562 --> 00:10:33,284 说话人 SPEAKER_01: 所以每次你记忆，
网络的一个完整配置，即对所有网络中的神经元进行一和零的分配，你创建了一个能量最小值。
143 00：10：40,297 --> 00：10：42,160 议长 SPEAKER_01：至少你希望你创造了一个最低限度的能源。
因此，例如，我们可以通过存储两个不同的记忆来创建两个不同的能量最小值，就像这样。
但如果记忆很接近，你可能会创建一个虚假的最小值，这是两种记忆的平均值。
146 00:10:58,749 --> 00:10:59,610 说话人 SPEAKER_01：这是个问题。
147 00:11:00,417 --> 00:11:02,359 说话人 SPEAKER_01：我们现在有一个错误的记忆。
148 00:11:02,440 --> 00:11:03,900 说话人 SPEAKER_01：这是这两个记忆的平均值。
149 00:11:06,784 --> 00:11:12,032 说话人 SPEAKER_01：有人在频道上和 Alexa 说话。
150 00:11:12,052 --> 00:11:13,774 说话人 SPEAKER_01: 确保这个人被静音。
151 00:11:13,813 --> 00:11:16,937 说话人 SPEAKER_02: 是的，我刚刚已经静音了他们。
152 00:11:16,998 --> 00:11:17,918 说话人 SPEAKER_02: 对不起。
153 00:11:17,938 --> 00:11:18,539 说话人 SPEAKER_01: 对不起。
154 00:11:20,062 --> 00:11:23,306 说话人 SPEAKER_01：这限制了 Hockfield 网络的能力。
155 00:11:24,388 --> 00:11:27,792 说话人 SPEAKER_01：实际上，那张图片非常糟糕。
156 00:11:28,581 --> 00:11:32,085 说话人 SPEAKER_01：因为 Hopfield 网络的状态空间是超立方体的角。
157 00:11:32,706 --> 00:11:37,950 讲者 SPEAKER_01：如果有 n 个神经元，就有一个 n 维超立方体，而不同的配置就是该超立方体的顶点。
158 00:11:38,931 --> 00:11:44,495 说话者 SPEAKER_01：所以把它展示成这样的一维，把状态空间展示成一维是误导的，但你应该明白这个意思。
159 00:11:44,836 --> 00:11:52,342 说话者 SPEAKER_01：如果你有两个相似的回忆，当你存储它们时，你实际上可能会得到这两个回忆的平均值，这个平均值比任何一个回忆都要好。
160 00:11:53,583 --> 00:11:58,048 说话者 SPEAKER_01：因此，为了处理这个问题，Hopfield、Feinstein 和 Palmer 建议
161 00:11:58,770 --> 00:12:03,316 说话者 SPEAKER_01：你应该将网络置于随机状态，让它稳定下来，然后进行去学习。
162 00:12:04,136 --> 00:12:10,403 说话人 SPEAKER_01：这样就可以摆脱深层极小值，因为它可能会稳定到一个深层极小值，这可能是虚假状态。
163 00:12:11,004 --> 00:12:12,725 说话人 SPEAKER_01：这似乎非常乐观。
164 00:12:13,226 --> 00:12:17,270 说话人 SPEAKER_01：他们展示了这是可行的，但他们没有解释为什么它可行。
165 00:12:17,892 --> 00:12:20,414 说话人 SPEAKER_01：他们没有关于应该进行多少遗忘学习的理论。
166 00:12:22,157 --> 00:12:27,883 说话人 SPEAKER_01：基于这个想法，基本上是 Feinstein 的想法，克里克和米钦森，
167 00:12:28,082 --> 00:12:31,909 说话人 SPEAKER_01：提出了可能学习是梦境的作用模型。
168 00:12:33,352 --> 00:12:36,259 说话人 SPEAKER_01：所以当你做梦时，你不会记得你的梦。
那就是，你醒来前所做的梦在你的短期记忆中，可能是在你神经网络中的权重临时变化中。
170 00：12：44,815 --> 00：12：49,163 演讲者 SPEAKER_01：它会很快消失，但你可以记得你刚才醒来前做的最后一点梦。
171 00：12：49,666 --> 00：12：56,153 演讲者 SPEAKER_01：但是如果我们在夜间随机叫醒你，我们可以看到你每晚做几个小时的梦，而你却记不住了。
172 00:12:56,173 --> 00:12:57,153 说话者 SPEAKER_01：你为什么记不住它们？
173 00:12:57,173 --> 00:12:58,215 说话人 SPEAKER_01：因为它们很有趣。
174 00:12:59,056 --> 00:13:01,879 说话人 SPEAKER_01：我的梦通常比白天发生的事情更有趣。
175 00:13:01,938 --> 00:13:03,841 说话人 SPEAKER_01：然而我却不记得它们。
176 00:13:04,861 --> 00:13:12,409 说话人 SPEAKER_01：因此克里克的看法是，梦的目的是为了忘记那些没有得到数据支持的你倾向于相信的事情。
177 00:13:13,971 --> 00:13:18,035 说话人 SPEAKER_01：但他们无法说明你应该忘记多少。
178 00:13:18,386 --> 00:13:26,537 说话人 SPEAKER_01：我和 Terry Sanofsky 开始思考，能否将知识遗忘作为最小化某些合理成本函数的方法？
179 00:13:27,138 --> 00:13:31,623 说话人 SPEAKER_01：因此，我们可以确定应该进行多少次知识遗忘，以及通过知识遗忘进行优化的是什么。
180 00:13:33,565 --> 00:13:39,812 说话人 SPEAKER_01：然后，这结合了关于你可能使用 Hopfield 网络的不同理论。
181 00:13:41,575 --> 00:13:45,860 说话人 SPEAKER_01：所以我们不仅仅可以用它们来存储记忆，我们还可以用它们来进行感知。
182 00:13:46,421 --> 00:13:47,381 说话人 SPEAKER_01：在感知方面，
183 00:13:47,750 --> 00:13:52,916 说话人 SPEAKER_01：你所拥有的是一些输入，比如图像的像素，你想要对这些输入进行解释。
184 00:13:53,576 --> 00:13:56,280 说话人 SPEAKER_01：也就是说，获取对图像所描绘内容的某种解释。
所以要用 Hopfield 网络做到这一点，你需要将单元分成两组。
186 00：14：02,008 --> 00：14：04,691 演讲者 SPEAKER_01：会有可见的单位，这是你输入的地方。
187 00：14：04,711 --> 00：14：06,513 演讲者 SPEAKER_01：所以它们就像像素一样。
188 00：14：07,374 --> 00：14：09,037 扬声器 SPEAKER_01：如果你打开它们，那是一个明亮的像素。
189 00:14:09,076 --> 00:14:10,538 说话人 SPEAKER_01: 如果你关闭它们，那就是一个暗淡的像素。
190 00:14:11,379 --> 00:14:17,486 说话人 SPEAKER_01：然后会有隐藏单元对应于你解读为图像中发生的事情。
191 00:14:19,964 --> 00:14:24,932 说话人 SPEAKER_01：整个配置的能量将代表解释的糟糕程度。
192 00:14:25,732 --> 00:14:34,826 说话人 SPEAKER_01：因此，随着隐藏单元的更新，它们逐渐稳定到更好的状态、更低能量的状态，它们将获得更好的输入图像的解释。
193 00:14:36,288 --> 00:14:38,432 讲者 SPEAKER_01：我想给您一个具体的例子。
194 00:14:38,491 --> 00:14:43,119 演讲者 SPEAKER_01：这不是一个现实的例子，但它能让你理解这个概念。
195 00:14:44,822 --> 00:14:48,267 演讲者 SPEAKER_01：假设我给你展示一些图像中的 2D 线条。
196 00:14:48,618 --> 00:14:51,080 演讲者 SPEAKER_01：而你希望将它们解释为 3D 边缘。
197 00:14:52,942 --> 00:14:57,046 演讲者 SPEAKER_01：所以显然，在 2D 线条中，你丢失了一些关于 3D 边缘的信息。
198 00:14:57,647 --> 00:15:02,552 说话人 SPEAKER_01: 你已经丢失了关于该边端点深度的信息。
199 00:15:04,232 --> 00:15:05,735 说话人 SPEAKER_01: 所以你的眼球在蓝色中。
200 00:15:06,414 --> 00:15:08,297 说话人 SPEAKER_01: 并且有两个红色射线。
201 00:15:09,357 --> 00:15:16,304 说话人 SPEAKER_01: 我将向你展示许多会导致图像中完全相同的 2D 线的 3D 边。
202 00:15:16,846 --> 00:15:18,287 说话人 SPEAKER_01: 那一个和那一个。
203 00:15:18,773 --> 00:15:24,898 说话人 SPEAKER_01: 两个 3D 边缘的端点都落在这两条射线上时，都会在图像上形成同一条线。
204 00:15:25,619 --> 00:15:27,240 说话人 SPEAKER_01: 这就是你所丢失的信息。
你知道其中一条边是正确的，但你不知道深度，不知道这些射线上的深度有多深。
206 00：15：37,068 --> 00：15：37,369 议长 SPEAKER_01：好的。
所以这里有一整个家族的边，它们都可以是图像中同一条 2D 线的解释。
208 00：15：45,817 --> 00：15：48,139 演讲者 SPEAKER_01：所以我们可以建立一个知道这一点的神经网络。
209 00:15:49,097 --> 00:15:55,065 讲者 SPEAKER_01：我们知道如果物体是不透明的，你一次只能看到其中一条边，因为它们会互相遮挡。
210 00:15:57,488 --> 00:16:03,836 讲者 SPEAKER_01：所以，我们可以有一个线描图，并且我们可以有一大堆代表特定二维线的神经元。
211 00:16:05,437 --> 00:16:07,899 讲者 SPEAKER_01：先不用担心效率，这只是为了传达想法。
212 00:16:09,461 --> 00:16:16,049 讲者 SPEAKER_01：在这张图片中，有两条特定的线，我展示了如果这些线存在，哪些神经元会变得活跃。
213 00:16:16,721 --> 00:16:22,368 说话人 SPEAKER_01：一般来说，每张图像中只有少数这些神经元会变得活跃，因为图像中的大多数线并不存在。
214 00:16:23,850 --> 00:16:27,614 说话人 SPEAKER_01：然后对于这些行，我们可以有很多 3D 边。
215 00:16:29,316 --> 00:16:30,616 说话人 SPEAKER_01：这些边应该竞争。
216 00:16:31,817 --> 00:16:40,967 说话人 SPEAKER_01：所以这些绿色箭头是具有正权重的连接，表示如果你看到这条线，你应该尝试激活所有这些 3D 边。
217 00:16:41,708 --> 00:16:45,192 说话人 SPEAKER_01：红色线条是具有负权重的连接。
218 00:16:45,359 --> 00:16:48,282 说话人 SPEAKER_01：这些边中的每一个都会抑制其他所有边。
219 00:16:49,402 --> 00:17:01,832 说话人 SPEAKER_01：因此，你需要一个小电路，当你激活一条线时，它会尝试激活这些边，并且对任何一条边被激活都感到满意，但如果激活了多条边，它就会感到不高兴。
220 00:17:02,573 --> 00:17:04,536 说话人 SPEAKER_01：但它实际上不知道该激活哪条边。
221 00:17:05,936 --> 00:17:07,778 说话人 SPEAKER_01：我们还可以对图像中的另一条线做同样的处理。
222 00:17:08,919 --> 00:17:12,782 说话人 SPEAKER_01: 然后我们可以这样说，我们对世界中的物体有一些先验知识。
223 00:17:13,303 --> 00:17:14,403 说话人 SPEAKER_01: 例如，
224 00:17:14,738 --> 00:17:26,868 说话人 SPEAKER_01: 我们认为，如果你看到两条线，比如这些箭头在底部的线条，那么如果它们在图像中相交，它们在三维空间中很可能也相交。
225 00:17:27,970 --> 00:17:33,354 说话人 SPEAKER_01: 因此，我们可以在这两条线的解释之间建立一种联系，就像这样。
226 00:17:34,474 --> 00:17:38,439 说话人 SPEAKER_01：假设这两条线实际上在三维空间中相交。
227 00:17:40,260 --> 00:17:42,923 说话人 SPEAKER_01：然后我们将在这两条线之间建立一个正向连接。
228 00:17:42,942 --> 00:17:44,104 说话人 SPEAKER_01：它们应该相互支撑。
229 00:17:45,096 --> 00:17:49,782 说话人 SPEAKER_01：实际上可能存在两条在三维空间中垂直相交的线。
230 00:17:50,303 --> 00:17:53,386 说话者 SPEAKER_01：然后我们添加大的正连接，因为我们喜欢看到直角。
231 00:17:54,208 --> 00:17:56,211 说话者 SPEAKER_01：所以有两条线在直角处相交。
232 00:17:56,631 --> 00:17:58,894 说话者 SPEAKER_01：我们真的希望这两条线能同时激活。
233 00:18:00,016 --> 00:18:13,972 说话者 SPEAKER_01：我认为如果我们添加这样的连接，这些连接实际上关于我们期望物体看起来像什么，以及我们期望如何解释线条，并构建一个像这样的大型网络，那么网络可能会有许多稳定状态，
234 00:18:14,222 --> 00:18:32,943 说话者 SPEAKER_01：例如，对应于在深度上翻转这个立方体，就像尼克尔立方体一样，但它应该稳定在一个状态中，在这个状态中，它试图最大化有多少条线的深度相交，以及它们是否在图像中相交，以及有多少个直角。
好的，所以你可以制作一个这样的电路，你可以希望如果在连接上放置正确的权重，你将能够用 3D 边缘来解释图像。
236 00：18：45,424 --> 00：18：46,705 议长 SPEAKER_01：这就引出两个问题。
237 00：18：47,507 --> 00：18：48,807 演讲者 SPEAKER_01：一个是搜索问题。
238 00:18:49,528 --> 00:18:52,412 说话人 SPEAKER_01：如何避免陷入局部最小值？
239 00:18:52,751 --> 00:18:55,173 说话人 SPEAKER_01：因为如果你在做感知，你希望得到最好的解释。
