1 00:00:06,275 --> 00:00:07,517 说话人 SPEAKER_01: 你好，我是尼古拉斯·汤普森。
26 00:01:53,429 --> 00:01:57,674 所以你们有相对简单的处理元素，这些元素非常松散地模拟了神经元。
27 00:01:58,656 --> 00:02:00,058 它们有传入的连接。
28 00:02:00,498 --> 00:02:01,820 每个连接都有一个权重。
29 00:02:02,542 --> 00:02:04,504 说话人 SPEAKER_00：那个权重可以改变以进行学习。
30 00:02:05,325 --> 00:02:11,034 说话人 SPEAKER_00：神经元的作用是计算连接上的活动乘以权重，然后将它们全部加起来，
31 00:02:11,014 --> 00:02:13,078 说话人 SPEAKER_00：然后决定是否发送输出。
32 00:02:13,998 --> 00:02:15,901 说话人 SPEAKER_00：如果总和足够大，它就会发送输出。
33 00:02:16,522 --> 00:02:18,504 说话人 SPEAKER_00：如果总和是负数，则不发送任何内容。
34 00:02:19,306 --> 00:02:19,806 说话人 SPEAKER_00：就这么多。
35 00:02:20,908 --> 00:02:30,122 说话人 SPEAKER_00：你只需要用无数个这样的（权重）平方，然后找出如何改变权重，它就能做任何事情。
36 00:02:30,481 --> 00:02:31,764 说话人 SPEAKER_00：这只是个如何改变权重的问题。
37 00:02:32,846 --> 00:02:39,655 说话人 SPEAKER_01：那么你是何时意识到这只是一个近似的大脑工作方式的表示？
38 00:02:40,342 --> 00:02:41,765 说话人 SPEAKER_00：哦，它一直都是这样设计的。
39 00:02:42,467 --> 00:02:44,312 说话人 SPEAKER_00：它被设计成类似于大脑的工作方式。
40 00:02:44,331 --> 00:02:45,413 说话人 SPEAKER_01：但让我问你这个问题。
41 00:02:45,433 --> 00:02:48,319 说话人 SPEAKER_01：在您的职业生涯中，您会在某个时刻开始理解大脑是如何工作的。
42 00:02:48,360 --> 00:02:49,362 说话人 SPEAKER_01：也许是在您 12 岁的时候。
43 00:02:49,423 --> 00:02:50,305 说话人 SPEAKER_01：也许是在您 25 岁的时候。
44 00:02:50,485 --> 00:02:55,094 说话人 SPEAKER_01：您是什么时候决定尝试将计算机建模为大脑的呢？
45 00:02:55,800 --> 00:02:57,862 说话人 SPEAKER_00: 大概就是从那时起，这就是它的全部意义。
46 00:02:59,243 --> 00:03:05,610 说话人 SPEAKER_00: 整个想法是制造一个学习设备，它像大脑一样学习，就像人们认为大脑学习的那样，通过改变连接强度。
47 00:03:06,009 --> 00:03:07,211 说话人 SPEAKER_00: 这不是我的想法。
48 00:03:07,270 --> 00:03:08,793 说话人 SPEAKER_00: 图灵也有同样的想法。
49 00:03:09,092 --> 00:03:18,420 说话人 SPEAKER_00: 图灵，尽管他发明了标准计算机科学的基础，但他认为大脑是一个无组织的设备，带有随机的权重。
50 00:03:19,062 --> 00:03:22,564 说话人 SPEAKER_00: 它将使用强化学习来改变连接。
51 00:03:23,086 --> 00:03:23,925 说话人 SPEAKER_00: 它将学习一切。
52 00:03:24,127 --> 00:03:25,807 说话人 SPEAKER_00: 他认为这是通往智能的最佳途径。
53 00:03:25,788 --> 00:03:31,597 说话人 SPEAKER_01：因此，您遵循图灵的想法，最好的制造机器的方法是模仿人脑。
54 00:03:31,918 --> 00:03:34,260 说话人 SPEAKER_01：这就是人脑的工作方式，所以让我们制造出这样的机器。
55 00:03:34,401 --> 00:03:35,502 说话人 SPEAKER_00：是的，这不仅仅是图灵的想法。
56 00:03:35,563 --> 00:03:36,784 说话人 SPEAKER_00：当时很多人都有这样的想法。
57 00:03:36,806 --> 00:03:37,787 说话人 SPEAKER_01：好吧，所以你有了这个想法。
58 00:03:37,847 --> 00:03:38,989 说话人 SPEAKER_01：很多人都有这个想法。
59 00:03:39,049 --> 00:03:42,995 说话人 SPEAKER_01：你在 80 年代末获得了很多赞誉。
60 00:03:43,034 --> 00:03:45,419 说话人 SPEAKER_01：你的作品发表后开始成名。
61 00:03:45,438 --> 00:03:46,120 说话人 SPEAKER_01：这是正确的吗？
62 00:03:46,139 --> 00:03:46,580 说话人 SPEAKER_00：是的。
63 00:03:46,561 --> 00:03:48,366 说话人 SPEAKER_01：最黑暗的时刻是什么时候？
64 00:03:48,385 --> 00:03:56,486 说话人 SPEAKER_01：是什么时候，其他人开始对这个图灵的想法表示怀疑，并开始退缩，而你却继续前进？
65 00:03:58,474 --> 00:04:02,320 说话人 SPEAKER_00：总有一群人一直相信它，尤其是在心理学领域。
66 00:04:02,983 --> 00:04:11,556 说话人 SPEAKER_00：但在计算机科学家中，我想在 90 年代，发生的事情是数据集相当小，计算机速度也不快。
67 00:04:12,377 --> 00:04:18,288 说话人 SPEAKER_00：在小数据集上，其他方法，比如所谓的支持向量机，效果稍微好一些。
68 00:04:18,949 --> 00:04:21,293 说话人 SPEAKER_00：它们不会因为噪声而混淆得那么严重。
69 00:04:21,273 --> 00:04:24,819 说话人 说话人_00: 这非常令人沮丧，因为我们80年代开发了反向传播算法。
70 00:04:25,321 --> 00:04:26,483 说话人 说话人_00: 我们以为它能解决一切问题。
71 00:04:27,004 --> 00:04:29,307 说话人 说话人_00: 我们对此有些困惑，为什么它不能解决一切问题。
72 00:04:30,269 --> 00:04:34,237 说话人 说话人_00: 这只是规模问题，但我们当时并不真正了解这一点。
73 00:04:34,257 --> 00:04:36,362 说话人 SPEAKER_01：那么为什么你认为它不起作用呢？
74 00:04:37,404 --> 00:04:40,208 说话人 SPEAKER_00：我们认为它不起作用是因为我们没有完全正确的算法。
75 00:04:40,228 --> 00:04:41,990 说话人 SPEAKER_00：我们没有完全正确的目标函数。
76 00:04:42,331 --> 00:04:47,336 说话人 SPEAKER_00：我长时间认为是因为我们试图进行监督学习，而监督学习需要标注数据。
77 00:04:47,637 --> 00:04:51,141 说话人 SPEAKER_00：我们本应该进行无监督学习，即从无标签的数据中进行学习。
78 00:04:52,002 --> 00:04:54,745 说话人 SPEAKER_00：结果证明这主要是一个规模问题。
79 00:04:54,766 --> 00:04:55,466 说话人 SPEAKER_01：哦，这很有趣。
80 00:04:55,487 --> 00:04:58,110 说话人 SPEAKER_01：所以问题是你的数据不够。
81 00:04:58,170 --> 00:05:00,894 说话者 SPEAKER_01: 你以为你有了正确数量的数据，但你并没有正确标注。
82 00:05:00,913 --> 00:05:02,855 说话者 SPEAKER_01: 所以你是误判了问题？
83 00:05:03,173 --> 00:05:06,178 说话者 SPEAKER_00: 我认为使用标签本身就是个错误。
84 00:05:06,199 --> 00:05:11,129 说话者 SPEAKER_00: 你应该尽量在没有任何标签的情况下学习，只是通过尝试模拟数据中的结构。
85 00:05:11,529 --> 00:05:12,732 说话人 SPEAKER_00: 我实际上仍然相信这一点。
86 00:05:12,752 --> 00:05:20,206 说话人 SPEAKER_00: 我认为随着计算机速度的提高，对于任何给定大小的数据集，如果你能让计算机足够快，那么进行无监督学习会更好。
87 00:05:21,209 --> 00:05:25,317 说话人 SPEAKER_00: 一旦你完成了无监督学习，你将能够从更少的标签中学习。
88 00:05:25,533 --> 00:05:27,857 说话人 SPEAKER_01: 所以在 20 世纪 90 年代，你继续进行你的研究。
89 00:05:27,877 --> 00:05:28,718 说话人 SPEAKER_01：你在学术界。
90 00:05:28,798 --> 00:05:31,682 说话人 SPEAKER_01：你还在发表文章，但并未获得赞誉。
91 00:05:31,702 --> 00:05:33,064 说话人 SPEAKER_01：你并没有解决大问题。
92 00:05:33,545 --> 00:05:34,307 说话人 SPEAKER_01：你什么时候开始？
93 00:05:35,387 --> 00:05:38,312 说话人 SPEAKER_01：嗯，实际上，有没有那么一刻，你知道的？
94 00:05:39,514 --> 00:05:40,136 说话人 SPEAKER_01：够了。
95 00:05:40,276 --> 00:05:41,959 说话人 SPEAKER_01：我要去尝试其他的事情。
96 00:05:42,879 --> 00:05:46,987 说话人 SPEAKER_01：不是我要去卖汉堡，而是我要找出另一种做这件事的方式。
97 00:05:47,007 --> 00:05:49,110 说话人 SPEAKER_01：你刚刚说我们要继续做深度学习。
98 00:05:49,192 --> 00:05:50,836 说话人 SPEAKER_00：是的，类似这样的方法必须有效。
99 00:05:50,896 --> 00:05:52,821 说话人 SPEAKER_00：我的意思是，大脑中的连接以某种方式在学习。
100 00:05:53,523 --> 00:05:54,625 说话人 SPEAKER_00：我们只需要找出答案。
101 00:05:55,406 --> 00:05:59,276 说话人 SPEAKER_00: 很可能，有几种不同的方法来学习连接强度。
102 00:05:59,416 --> 00:06:00,379 说话人 SPEAKER_00: 大脑正在使用其中一种。
103 00:06:00,720 --> 00:06:01,843 说话人 SPEAKER_00: 可能还有其他方法来做这件事。
104 00:06:02,283 --> 00:06:04,870 说话人 SPEAKER_00: 但肯定的是，你需要有能够学习这些连接强度的事物。
105 00:06:05,793 --> 00:06:07,115 说话人 SPEAKER_00：我从未怀疑过。
106 00:06:07,096 --> 00:06:08,497 说话人 SPEAKER_01：好的，所以你从未怀疑过。
107 00:06:08,877 --> 00:06:12,202 说话人 SPEAKER_01：它第一次开始像是在工作是什么时候？
108 00:06:12,262 --> 00:06:13,824 说话人 SPEAKER_01：好的，我们有了这个。
109 00:06:14,324 --> 00:06:15,206 说话人 SPEAKER_01：我相信这个想法。
110 00:06:15,225 --> 00:06:18,170 说话人 SPEAKER_01：实际上，如果你眯着眼睛看，你会发现它在起作用。
111 00:06:18,250 --> 00:06:19,232 说话人 SPEAKER_01：那是什么时候发生的？
112 00:06:19,492 --> 00:06:26,940 说话人 SPEAKER_00：好的，所以 80 年代的一个大失望是，如果你制作了很多隐藏层的网络，你无法训练它们。
113 00:06:26,961 --> 00:06:36,072 说话人 SPEAKER_00: 这并不完全正确，因为 Yann LeCun 设计的卷积网络可以用于训练一些相对简单的任务，比如识别手写体。
114 00:06:36,052 --> 00:06:40,778 说话人 SPEAKER_00: 但对于大多数深度网络，我们不知道如何训练它们。
115 00:06:40,798 --> 00:06:47,286 说话人 SPEAKER_00: 大约在 2005 年，我想出了一种进行深度网络无监督训练的方法。
116 00:06:48,086 --> 00:06:55,894 说话人 SPEAKER_00: 因此，你会取你的输入，比如说像素，然后你会学习一些特征检测器，它们擅长解释为什么像素会表现出那样的行为。
117 00:06:56,295 --> 00:07:04,524 说话者 SPEAKER_00: 然后你会把那些特征检测器当作数据，然后你会学习另一组能够解释为什么那些特征检测器有那些相关性的特征检测器。
118 00:07:04,504 --> 00:07:06,067 说话者 SPEAKER_00: 你会不断地学习层与层。
119 00:07:06,788 --> 00:07:17,988 说话者 SPEAKER_00: 而有趣的是，你可以做一些数学证明，每次你学习另一层时，你并不一定有一个更好的数据模型，但你有一个关于你的模型有多好的界限。
120 00:07:18,430 --> 00:07:20,834 说话者 SPEAKER_00: 而且每次你添加另一层时，你都可以得到一个更好的界限。
121 00:07:20,853 --> 00:07:23,137 说话人 SPEAKER_01：你说的模型的好坏限制是什么意思？
122 00:07:23,269 --> 00:07:29,350 说话人 SPEAKER_00：好的，那么在你有了模型之后，你可以问，模型对这个数据有多惊讶？
123 00:07:29,389 --> 00:07:32,519 说话人 SPEAKER_00：你给它一些数据，然后你说，这是你相信的那种类型吗，还是说这很惊讶？
124 00:07:33,161 --> 00:07:36,874 说话人 SPEAKER_00：你可以测量出某种表示这种惊讶程度的东西。
125 00:07:36,971 --> 00:07:38,613 说话人 SPEAKER_00: 你想要的是一个模型。
126 00:07:38,774 --> 00:07:41,637 说话人 SPEAKER_00: 一个好的模型是能够观察数据并说，是的，我知道。
127 00:07:41,798 --> 00:07:42,557 说话人 SPEAKER_00: 这并不令人惊讶。
128 00:07:44,139 --> 00:07:48,985 说话人 SPEAKER_00: 而且通常很难精确计算这个模型认为数据有多令人惊讶。
129 00:07:49,466 --> 00:07:51,088 说话人 SPEAKER_00: 但你可以计算一个界限。
130 00:07:51,108 --> 00:07:55,994 说话人 SPEAKER_00: 你可以说，这个模型认为这些数据比这些更不令人惊讶。
131 00:07:56,735 --> 00:07:59,637 说话人 SPEAKER_00: 你可以证明这一点。
132 00:08:00,098 --> 00:08:03,822 说话人 SPEAKER_00: 随着添加额外的特征检测器层，你得到一个模型。
133 00:08:03,988 --> 00:08:06,716 说话人 说话人_00：每次添加一层，它都会找到数据。
134 00:08:06,995 --> 00:08:09,281 说话人 说话人_00：它发现数据时的惊讶程度限制变得更好。
135 00:08:09,843 --> 00:08:10,283 说话人 说话人_01：哦，我明白了。
136 00:08:10,343 --> 00:08:11,125 说话人 说话人_01：好的，这样就有道理了。
137 00:08:11,146 --> 00:08:15,617 说话人 SPEAKER_01：你在进行观察，它们并不正确，但你清楚它们越来越接近正确。
138 00:08:15,656 --> 00:08:16,579 说话人 SPEAKER_01：我在观察观众。
139 00:08:16,598 --> 00:08:17,841 说话人 SPEAKER_01：我在做一些概括。
140 00:08:18,142 --> 00:08:20,749 说话人 SPEAKER_01：这并不正确，但我越来越擅长它了。
141 00：08：21,134 --> 00：08：21,555 议长 SPEAKER_01：大概？
142 00：08：21,855 --> 00：08：22,216 议长 SPEAKER_00：大概。
143 00：08：22,315 --> 00：08：22,555 议长 SPEAKER_01：好的。
144 00：08：22,877 --> 00：08：26,242 演讲者 SPEAKER_01：大概是 2005 年，你提出了数学上的突破。
145 00:08:26,422 --> 00:08:26,843 说话人 SPEAKER_01: 嗯。
146 00:08:26,862 --> 00:08:29,047 说话人 SPEAKER_01: 你什么时候开始得到正确的答案？
147 00:08:29,307 --> 00:08:30,348 说话人 SPEAKER_01: 你正在处理什么数据？
148 00:08:30,949 --> 00:08:32,652 说话人 SPEAKER_01: 这是语音数据，你在这里首先取得突破。
149 00:08:32,672 --> 00:08:35,476 说话人 SPEAKER_00: 这只是手写的数字，非常简单的数据。
150 00:08:35,876 --> 00:08:39,623 说话人 SPEAKER_00: 然后，在大约同一时间，他们开始开发 GPU。
151 00:08:40,384 --> 00:08:45,673 说话人 SPEAKER_00: 大约在 2007 年，做神经网络的人们开始使用 GPU。
152 00:08:47,458 --> 00:08:54,187 说话人 SPEAKER_00: 我有一个非常优秀的学生叫 Vlad Mni，他开始使用 GPU 在航空图像中寻找道路。
153 00:08:55,269 --> 00:09:03,099 说话人 说话人_00: 他编写了一些代码，然后其他学生使用这些代码利用 GPU 识别语音中的音素。
154 00:09:04,019 --> 00:09:06,504 说话人 说话人_00: 因此他们使用了预训练的想法。
155 00:09:06,543 --> 00:09:12,711 说话人 说话人_00: 在完成所有预训练后，只需在上面贴上标签，然后使用反向传播。
156 00:09:12,731 --> 00:09:16,115 说话人 说话人_00: 结果证明，你可以有一个非常深的网络。
157 00:09:16,096 --> 00:09:21,368 说话人 SPEAKER_00: 这样进行预训练，然后可以使用反向传播，实际上效果很好。
158 00:09:21,388 --> 00:09:24,235 说话人 SPEAKER_00: 它在某种程度上击败了语音识别的基准。
159 00:09:24,655 --> 00:09:29,005 说话人 SPEAKER_01: 初始时，只是略微超过了最好的商用语音识别。
160 00:09:29,046 --> 00:09:31,471 说话人 SPEAKER_01: 它击败了语音识别领域最好的学术成果。
161 00:09:32,278 --> 00:09:35,125 说话人 SPEAKER_00：在一个相对较小的数据集 Timit 上。
162 00:09:35,145 --> 00:09:37,510 说话人 SPEAKER_00：它的表现略好于最佳学术成果。
163 00:09:38,833 --> 00:09:40,357 说话人 SPEAKER_00：同时也在 IBM 工作过。
164 00:09:43,004 --> 00:09:48,616 说话人 SPEAKER_00：很快，人们就意识到这件事。
165 00:09:48,596 --> 00:09:55,003 说话人 SPEAKER_00：因为它打败了那些需要 30 年才能开发的标准模型，再稍加发展，就能做得非常好。
166 00:09:55,703 --> 00:10:01,490 说话人 SPEAKER_00：因此，我的研究生们去了微软、IBM 和谷歌。
167 00:10:01,509 --> 00:10:04,993 说话人 SPEAKER_00：谷歌是最快将其转化为生产级语音识别器的。
168 00:10:05,394 --> 00:10:11,940 说话人 SPEAKER_00：到 2012 年，2009 年开始的那项工作在安卓系统中发布。
169 00:10:12,421 --> 00:10:14,503 说话人 SPEAKER_00：安卓语音识别突然变得更好了。
170 00:10:14,482 --> 00:10:24,591 说话人 SPEAKER_01：那么，请告诉我那个你构思了 40 年、发表了 20 年，最终比同事做得更好的想法。
171 00:10:24,610 --> 00:10:25,894 说话人 SPEAKER_01：那是什么感觉？
172 00:10:26,160 --> 00:10:28,144 说话人 SPEAKER_00：当时，我的想法才构思了 30 年。
173 00:10:28,924 --> 00:10:29,164 说话人 SPEAKER_01: 正确。
174 00:10:29,184 --> 00:10:29,645 说话人 SPEAKER_01: 正确。
175 00:10:29,666 --> 00:10:29,885 说话人 SPEAKER_01: 抱歉。
176 00:10:30,927 --> 00:10:31,808 说话人 SPEAKER_01: 所以有一个新想法。
177 00:10:31,849 --> 00:10:32,870 说话人 SPEAKER_01: 很新鲜。
178 00:10:33,171 --> 00:10:37,738 说话人 SPEAKER_00: 它最终在真实问题上达到了最先进的状态，感觉真的很好。
179 00:10:37,878 --> 00:10:42,323 说话人 SPEAKER_01: 你还记得你第一次得到启示性数据时你在哪里吗？
180 00:10:42,985 --> 00:10:44,147 说话人 SPEAKER_00: 不记得了。
181 00:10:44,167 --> 00:10:44,606 说话人 SPEAKER_01: 不。
182 00:10:44,626 --> 00:10:44,768 说话人 SPEAKER_01: 不。
183 00:10:44,827 --> 00:10:45,248 说话人 SPEAKER_01: 好的。
184 00:10:45,268 --> 00:10:45,609 说话人 SPEAKER_01: 好吧。
185 00:10:45,629 --> 00:10:48,852 说话人 SPEAKER_01：所以你意识到它在语音识别上有效。
186 00:10:49,453 --> 00:10:52,118 说话人 SPEAKER_01：你什么时候开始将其应用于其他问题？
187 00:10:52,232 --> 00:10:54,434 说话人 SPEAKER_00：然后我们开始将其应用于各种其他问题。
188 00:10:54,895 --> 00:11:02,903 说话人 SPEAKER_00：所以乔治·达尔（George Dahl），他是进行原始语音识别工作的人之一，将这种方法应用于，我给你很多分子的描述符。
189 00:11:03,585 --> 00:11:08,129 说话人 SPEAKER_00：你想预测这个分子是否会与某种物质结合，从而成为一款好药。
190 00:11:09,070 --> 00:11:10,370 说话人 SPEAKER_00：在 Cargill 举行了一场竞赛。
191 00:11:11,032 --> 00:11:16,817 说话人 SPEAKER_00：他只是将我们为语音识别设计的标准技术应用于预测药物活性。
192 00:11:17,339 --> 00:11:18,779 说话人 SPEAKER_00：并且赢得了竞赛。
193 00:11:18,759 --> 00:11:21,303 说话人 SPEAKER_00：这就是一个迹象，表明这些东西相当普遍。
194 00:11:21,865 --> 00:11:29,796 说话人 SPEAKER_00：然后我有一个学生叫伊利亚·苏特科娃，他说，杰夫，这些方法对图像识别也会有效。
195 00:11:30,157 --> 00:11:32,841 说话人 SPEAKER_00：而李飞飞已经为它创建了正确的数据集。
196 00:11:32,880 --> 00:11:34,864 说话人 SPEAKER_00：并且有一个公开的比赛。
197 00:11:34,903 --> 00:11:36,886 说话人 SPEAKER_00: 我们必须这么做。
198 00:11:36,866 --> 00:11:41,799 说话人 SPEAKER_00: 因此我们采用了最初由 Yann LeCun 开发的方案。
199 00:11:44,246 --> 00:11:51,687 说话人 SPEAKER_00: 一个名叫 Alex Krashevsky 的学生，他是一位真正的巫师，能够让 GPU 做任何事情，编程能力非常强。
200 00:11:51,885 --> 00:11:56,913 说话人 SPEAKER_00: 我们得到了比标准计算机视觉更好的结果。
201 00:11:56,932 --> 00:11:58,034 说话人 SPEAKER_00: 那是 2012 年。
202 00:11:58,434 --> 00:12:02,301 说话人 SPEAKER_00: 我认为这是一个巧合，因为安卓系统推出了语音识别。
203 00:12:02,341 --> 00:12:04,423 说话人 SPEAKER_00: 所以你知道这些技术可以解决生产问题。
204 00:12:05,566 --> 00:12:10,952 说话人 SPEAKER_00: 2012 年在视觉领域，它已经比标准计算机视觉做得更好了。
205 00:12:11,433 --> 00:12:13,317 说话人 SPEAKER_01：那么这是它成功的三个领域。
206 00:12:13,397 --> 00:12:16,541 说话人 SPEAKER_01：建模化学、语音、声音。
207 00:12:16,881 --> 00:12:17,842 说话人 SPEAKER_01：它在哪些方面失败了？
208 00:12:19,628 --> 00:12:21,431 说话人 SPEAKER_00：失败只是暂时的，你明白。
209 00:12:23,673 --> 00:12:24,375 说话人 SPEAKER_00: 它在哪里失败？
210 00:12:26,157 --> 00:12:30,624 说话人 SPEAKER_00: 对于像机器翻译这样的任务，我认为我们还需要很长时间才能做到。
211 00:12:31,485 --> 00:12:36,692 说话人 SPEAKER_00: 因为机器翻译，你有一个符号串输入，然后输出一个符号串。
212 00:12:37,033 --> 00:12:43,662 说话人 SPEAKER_00: 在这之间，你可以在符号串上进行操作，这正是传统人工智能所做的事情。
213 00:12:43,642 --> 00:12:45,485 说话人 SPEAKER_00：实际上，它并不是这样工作的。
214 00:12:45,865 --> 00:12:46,908 说话人 SPEAKER_00：符号串就出现了。
215 00:12:46,967 --> 00:12:49,312 说话人 SPEAKER_00：你把它们转换成大脑中的巨大向量。
216 00:12:49,352 --> 00:12:50,816 说话人 SPEAKER_00：这些向量相互作用。
217 00:12:51,115 --> 00:12:53,782 说话人 SPEAKER_00: 然后将它转换回符号字符串输出。
218 00:12:54,984 --> 00:13:06,426 说话人 SPEAKER_00: 如果你在 2012 年告诉我，在接下来的五年里，我们只需使用同样的技术就能在许多语言之间进行翻译，
219 00:13:06,405 --> 00:13:12,816 说话人 SPEAKER_00: 循环神经网络，但只是从随机初始权重开始的随机梯度下降。
220 00:13:12,836 --> 00:13:13,657 说话人 SPEAKER_00: 我是不会相信你的。
221 00:13:13,817 --> 00:13:15,399 说话人 说话人_00: 发生得比预期的要快得多。
222 00:13:16,000 --> 00:13:24,133 说话人 说话人_01: 但是什么区分了它工作得最快和需要更多时间的地方？
223 00:13:24,552 --> 00:13:34,427 说话人 说话人_01: 看起来视觉处理、语音识别，这些是我们通过感官感知做的核心人类事情，似乎是第一个需要克服的障碍。
224 00:13:34,648 --> 00:13:35,669 说话人 说话人_01: 这样说对吗？
225 00:13:35,649 --> 00:13:38,373 说话人 SPEAKER_00: 是的，不是的，因为我们还做其他事情，比如电机控制。
226 00:13:38,413 --> 00:13:39,654 说话人 SPEAKER_00: 我们在电机控制方面非常出色。
227 00:13:39,695 --> 00:13:41,136 说话人 SPEAKER_00: 我们的大脑显然是为这个目的而设计的。
228 00:13:41,798 --> 00:13:48,306 说话人 SPEAKER_00: 而且现在神经网络才刚刚开始与最好的其他技术竞争。
229 00:13:48,326 --> 00:13:51,129 说话人 SPEAKER_00: 他们最终会赢，但现在他们才刚刚开始赢。
230 00:13:51,931 --> 00:13:59,880 说话人 SPEAKER_00: 我认为像推理、抽象推理这样的东西将是最后我们学会做的事情。
231 00:14:00,581 --> 00:14:03,345 说话人 SPEAKER_00: 我认为它们将是这些神经网络最后学会做的事情之一。
232 00:14:03,562 --> 00:14:09,436 说话人 SPEAKER_01: 所以你一直说神经网络最终会在所有事情上获胜。
233 00:14:09,756 --> 00:14:11,039 说话人 说话人_00：嗯，我们是神经网络，对吧？
234 00:14:11,120 --> 00:14:12,243 说话人 说话人_00：我们能做的，它们都能做。
235 00:14:12,583 --> 00:14:14,347 说话人 说话人_01：没错，但仅仅因为人类
236 00:14:15,356 --> 00:14:20,903 说话人 说话人_01：人脑并不一定是迄今为止最有效的计算机器。
237 00:14:21,443 --> 00:14:23,125 说话人 SPEAKER_01：那么为什么不能有呢？
238 00:14:23,145 --> 00:14:24,366 说话人 SPEAKER_01：当然不是我的大脑。
239 00:14:24,888 --> 00:14:29,113 说话人 SPEAKER_01：难道就没有一种比人脑更高效的方式来模拟机器吗？
240 00:14:29,472 --> 00:14:33,899 说话人 SPEAKER_00：从哲学上讲，我对存在某种完全不同的方法来完成这一切的想法没有异议。
241 00:14:34,119 --> 00:14:41,246 说话人 SPEAKER_00：也许如果你从逻辑开始，尝试自动化逻辑，并制作一些非常复杂的定理证明器，
242 00:14:41,226 --> 00:14:43,870 说话人 SPEAKER_00：然后进行推理。
243 00:14:44,230 --> 00:14:46,975 说话人 SPEAKER_00：然后你决定通过推理来进行视觉感知。
244 00:14:47,655 --> 00:14:49,097 说话人 SPEAKER_00：这种做法可能会获胜。
245 00:14:49,278 --> 00:14:50,219 说话人 说话人_00：结果证明并没有。
246 00:14:50,779 --> 00:14:52,783 说话人 说话人_00：但我对它获奖没有哲学上的反对意见。
247 00:14:53,464 --> 00:14:55,486 说话人 说话人_00：只是我们知道大脑可以做到这一点。
248 00:14:56,989 --> 00:14:57,208 说话人 说话人_01：没错。
249 00:14:57,769 --> 00:15:01,895 说话人 SPEAKER_01：但是也有一些事情，我们的大脑做不好。
250 00:15:02,115 --> 00:15:05,039 说话人 SPEAKER_01：这些事情神经网络也不太可能做得好？
251 00:15:06,320 --> 00:15:07,741 说话人 SPEAKER_01：很可能，是的。
252 00:15:07,761 --> 00:15:13,148 说话人 SPEAKER_01：然后还有一个问题，就是我们并不完全清楚这些事情是如何工作的。
253 00:15:13,368 --> 00:15:14,809 说话人 SPEAKER_00: 不，我们真的不知道它们是如何工作的。
254 00:15:14,830 --> 00:15:19,335 说话人 SPEAKER_01: 我们不明白自上而下的神经网络是如何工作的。
