1 00:00:12,686 --> 00:00:22,184 说话人 SPEAKER_00：大家好，非常感谢大家的参与，我们有幸并且非常高兴地邀请到 Jeff Hinton 教授与我们同在。
29 00:03:19,240 --> 00:03:22,705 说话者 SPEAKER_02：首先，我觉得大脑必须使用反向传播，因为它效果非常好。
30 00:03:23,626 --> 00:03:32,098 说话者 SPEAKER_02：现在我得出结论，它可能并没有使用反向传播，而且可能没有像使用反向传播的大系统那样有效。
31 00:03:34,080 --> 00:03:39,627 说话者 SPEAKER_02：没有令人信服的证据表明在大脑皮层中存在反向传播，即导数的反向传播。
32 00:03:40,687 --> 00:03:48,104 说话者 SPEAKER_02：如果你必须处理像视频这样的实时连续输入，那么时间反向传播显然是不可能的。
33 00:03:49,006 --> 00:03:52,334 说话者 SPEAKER_02：根本没时间让大脑停下来，将事情反向回传到过去。
34 00:03:53,697 --> 00:03:55,741 说话者 SPEAKER_02：如果你观察大脑的解剖结构，全都是错的。
35 00:03:56,643 --> 00:03:59,710 说话者 SPEAKER_02：所以，在两个向前连接的皮层区域之间，
36 00:04:00,584 --> 00:04:02,788 说话者 SPEAKER_02：以及向后连接的区域之间。
37 00:04:02,807 --> 00:04:11,723 讲者 SPEAKER_02：如果按照皮层区域与感知输入的接近程度进行排序，存在前向连接和反向连接，但反向连接并不与前向连接相对应。
38 00:04:12,584 --> 00:04:14,507 讲者 SPEAKER_02：实际上，你发现的是一些小环路。
39 00:04:15,408 --> 00:04:18,052 讲者 SPEAKER_02：所以在皮层下区域，
40 00:04:18,336 --> 00:04:21,899 讲者 SPEAKER_02：如果皮层下区域的一个层有活动的话。
41 00:04:22,440 --> 00:04:30,247 说话人 SPEAKER_02：它将在下皮质区和上皮质区经过大约六个不同的突触，活动才会回到起点。
42 00:04:31,108 --> 00:04:35,833 说话人 SPEAKER_02：所以它看起来是为执行诸如自动编码循环等活动而设置的，但并未为反向传播做好准备。
43 00:04:38,074 --> 00:04:45,541 说话人 SPEAKER_02：最后一个论点是反向传播需要精确的模型来描述你在正向传播中执行的计算，以便计算导数。
44 00:04:46,720 --> 00:05:00,797 说话人 SPEAKER_02：如果你有低功耗模拟硬件或像大脑这样的噪声硬件，其中单个神经元的输入输出特性会随时间漂移，那么获取梯度将会非常困难。
45 00:05:01,978 --> 00:05:13,591 说话人 SPEAKER_02：我们需要一个对硬件行为多变且无法正确建模的算法。
46 00:05:14,372 --> 00:05:16,035 说话人 SPEAKER_01：这就是前向-前向算法。
47 00:05:19,019 --> 00:05:25,271 说话人 SPEAKER_01：关于大脑，我们还知道它具有高度循环性。
48 00:05:26,413 --> 00:05:34,769 说话人 SPEAKER_02：例如，如果你研究小鼠的视觉皮层，虽然小鼠不是特别擅长视觉，但它们确实有视觉皮层。
49 00:05:35,228 --> 00:05:38,175 说话者 SPEAKER_02：如果你观察所谓的视觉皮层，
50 00:05:39,725 --> 00:05:42,949 说话者 SPEAKER_02：当鼠标行为不正常时，神经元由视觉驱动。
51 00:05:43,329 --> 00:05:51,500 说话者 SPEAKER_02：但是一旦鼠标开始表现行为，那么神经元就更多地由鼠标的肢体行为驱动，而不是由视觉驱动。
52 00:05:53,562 --> 00:05:55,966 说话者 SPEAKER_02：但大脑的每个地方，事物都是高度重复的。
53 00:05:57,007 --> 00:06:02,475 说话人 SPEAKER_02：这与纯前馈网络完全不匹配。
54 00:06:03,281 --> 00:06:14,055 说话人 SPEAKER_02：反向传播的问题在于我们工作的方式是，现在我们得到的大语言模型知道的比我们多得多，而且它们使用的权重要少得多。
55 00:06:16,218 --> 00:06:21,163 说话人 SPEAKER_02：所以反向传播实际上是为了将大量知识压缩到很少的权重中，比如只有一兆。
56 00:06:22,987 --> 00:06:24,749 说话人 SPEAKER_02：在大脑皮层中，你面临的是相反的问题。
57 00:06:25,750 --> 00:06:28,192 说话人 SPEAKER_02：您大约有 100 万亿个连接，
58 00:06:28,915 --> 00:06:31,017 说话人 SPEAKER_02：但您只能活大约 10 的 9 次方秒。
59 00:06:31,197 --> 00:06:33,420 说话人 SPEAKER_02：幸运的是，对我来说，这大约是 2 乘以 10 的 9 次方。
60 00:06:34,242 --> 00:06:39,769 说话人 SPEAKER_02：因此，与您拥有的参数数量相比，您的经验实际上并不多。
61 00:06:40,529 --> 00:06:45,956 说话人 SPEAKER_02：而真正大的语言模型已经看到了数以万亿计的训练示例。
62 00:06:46,838 --> 00:06:51,264 说话人 SPEAKER_02：所以这是光谱的两端。
63 00:06:51,363 --> 00:06:55,428 说话人 SPEAKER_02：反向传播，你有小网络和大量数据。
64 00:06:55,797 --> 00:06:58,942 说话人 SPEAKER_02：而大脑皮层，你有大网络但数据不多。
65 00:07:00,504 --> 00:07:02,867 说话人 SPEAKER_01：所以对学习算法的要求有些不同。
66 00:07:07,516 --> 00:07:10,079 说话人 SPEAKER_01：所以前向算法是这样的。
67 00:07:12,423 --> 00:07:14,826 说话人 SPEAKER_02：我们将训练前馈网络的每一层。
68 00:07:15,588 --> 00:07:19,694 说话人 SPEAKER_02：所以首先，我们将有一个前馈网络，但稍后会将其推广到循环网络。
69 00:07:20,232 --> 00:07:43,973 说话人 SPEAKER_02：你将训练每一层，当它遇到正数据向量，即来自训练集的一个向量时，具有高良度，而当它遇到负向量，即不是来自训练集的向量时，具有低良度，而且有许多方法可以获得这些负向量，但最明显的方法是让模型自己生成它们，就像在玻尔兹曼机中，它自己生成自己的负数据。
70 00:07:46,516 --> 00:07:49,699 说话人 SPEAKER_02：我们将逐层贪婪地训练层。
71 00:07:49,814 --> 00:07:50,415 说话人 SPEAKER_01：首先。
72 00:07:52,557 --> 00:07:56,822 说话人 SPEAKER_01：我将描述一些生成负数据向量的方法。
73 00:08:01,026 --> 00:08:05,271 说话人 SPEAKER_02：所以每一层隐藏层都将由 ReLUs 组成。
74 00:08:05,492 --> 00:08:10,137 说话人 SPEAKER_02：不一定要是 ReLUs，你可以使用各种东西，但现阶段我使用 ReLUs，即修正线性单元。
75 00:08:11,759 --> 00:08:17,627 说话人 SPEAKER_02：并且将有一个“良好度”函数，最初它将等于活动平方和。
76 00:08:18,298 --> 00:08:20,182 说话人 SPEAKER_02：你可以使用许多可能的“良好度”函数。
77 00:08:21,062 --> 00:08:22,105 说话人 SPEAKER_02：这是最明显的一个。
78 00:08:24,007 --> 00:08:37,149 说话人 SPEAKER_02：每一隐藏层将要尝试计算输入数据为正数据的概率，即真实数据，而不是假数据，即模型自身生成或其他方式生成的数据。
79 00:08:39,133 --> 00:08:43,158 说话人 SPEAKER_02：所以它将说这是正数据的概率，
80 00:08:43,392 --> 00:08:48,399 说话人 SPEAKER_02：是整个层的良好度对数减去某个阈值。
81 00:08:49,441 --> 00:08:59,054 说话人 SPEAKER_02：所以我们希望层的“好”是高的，即层中活动量的平方和对于正数据，我们希望它对于负数据是低的。
82 00:09:04,363 --> 00:09:07,947 说话人 SPEAKER_01：现在，你可以看到如何学习这样一个层。
83 00:09:08,738 --> 00:09:14,326 说话人 SPEAKER_02：但显然，在你学习了一个层之后，该层中的活动量对于正数据将是高的，对于负数据将是低的。
84 00:09:14,667 --> 00:09:16,529 说话人 SPEAKER_02：所以下一层的工作将非常简单。
85 00:09:16,909 --> 00:09:20,095 说话人 SPEAKER_02：只需查看在层之前活动是否频繁。
86 00:09:20,635 --> 00:09:21,918 说话人 SPEAKER_02：如果是，它表示为正面。
87 00:09:23,840 --> 00:09:33,615 说话人 SPEAKER_02：为了防止这种情况，我们将在将其呈现给第二个隐藏层之前，使用简单形式的层归一化来规范化第一隐藏层中活动向量的长度。
88 00:09:35,501 --> 00:09:43,791 说话人 SPEAKER_02：因此，第一隐藏层试图根据活动向量的长度、长度的平方、平方和来决定是正面还是负面的数据。
当我们通过将其标准化为固定长度来归一化时，我们就移除了用于将输入分类为正面或负面的第一隐藏层中使用的所有活动。
90 00:09:59,488 --> 00:10:05,475 说话人 SPEAKER_02：所以现在第二隐藏层必须使用其他类型的信息，即相对活动中的信息
91 00：10：06,046 --> 00：10：11,535 演讲者 SPEAKER_02：所以你可以把它看作是第一个隐藏层中的活动向量有一个长度和一个方向。
我们使用长度来判断是正数据还是负数据，然后通过归一化去除长度，并将方向发送到第二隐藏层。
93 00:10:22,417 --> 00:10:26,485 说话人 SPEAKER_02：第二隐藏层需要做什么，就是将那个方向
94 00:10:26,971 --> 00:10:36,682 说话人 SPEAKER_02：并且使用其输入权重矩阵，它必须将方向中的一些信息转换为长度，以便用于判断是正数据还是负数据。
95 00:10:41,187 --> 00:10:45,373 说话人 SPEAKER_01：首先，我将向您展示 FF 进行监督学习。
96 00:10:47,294 --> 00:10:56,927 说话人 SPEAKER_02：由于这是一个前馈网络，我们没有进行反向传播，因此如何给它一个标签并不明显，因为我们通常在输出处放置标签。
97 00:10:57,750 --> 00:11:01,715 说话人 SPEAKER_02：但是我们要做的是，我们要把标签放入输入中。
98 00:11:04,538 --> 00:11:08,182 说话人 SPEAKER_02：所以正图像是指包含正确标签的图像。
99 00:11:08,883 --> 00:11:12,027 说话人 SPEAKER_02：实际上，我会把图像作为标签的一部分放入图像中。
100 00:11:12,888 --> 00:11:20,235 说话人 SPEAKER_02：你可以在 MNIST 中这样做，因为 Yann LeCun 在每个数字周围留下了一个大黑边，这样卷积网络的工作就更容易了。
101 00:11:20,777 --> 00:11:24,500 说话人 SPEAKER_02：但这意味着你可以添加标签，而不会干扰图像。
102 00:11:25,898 --> 00:11:31,846 说话人 SPEAKER_02：所以正面的图像将使用一个 N 中选一的代码，在前 10 个像素处包含正确的标签。
103 00:11:33,570 --> 00:11:35,373 说话人 SPEAKER_02：实际上，不是一，而是五。
104 00:11:35,472 --> 00:11:37,275 说话人 SPEAKER_02：我让它更活跃，以便它有更大的效果。
105 00:11:38,898 --> 00:11:42,264 说话人 SPEAKER_02：所以前 10 个像素将包含九个零和一个五。
106 00:11:43,385 --> 00:11:46,910 说话人 SPEAKER_02：负图像包括一个错误的标签。
107 00:11:48,293 --> 00:11:51,298 说话人 SPEAKER_02：正负图像之间的唯一区别是标签。
108 00:11:53,422 --> 00:12:01,230 说话人 SPEAKER_02：与该标签不相关的图像特征将被算法忽略，因为这些特征无法帮助它区分正负案例。
109 00:12:02,672 --> 00:12:11,741 说话人 SPEAKER_02：如果我在页边空白处添加一些随机噪声，它就会忽略那些随机噪声，因为随机噪声与正负图像之间的差异不相关。
110 00:12:12,942 --> 00:12:16,047 说话人 SPEAKER_01：这就是监督学习的优点，它忽略了无关紧要的东西。
111 00:12:19,870 --> 00:12:22,533 说话人 SPEAKER_01：所以有两种方法可以在网络学习后对其进行测试。
112 00:12:23,341 --> 00:12:25,364 说话人 SPEAKER_02：你可以给它一个中性标签。
113 00:12:26,586 --> 00:12:30,049 说话人 SPEAKER_02：首先取前 10 个像素，使它们都处于同等活跃状态。
114 00:12:33,394 --> 00:12:36,679 说话人 SPEAKER_02：然后正向通过网络以获取隐藏层的活动。
115 00:12:38,261 --> 00:12:42,849 说话人 SPEAKER_02：然后将所有这些隐藏活动作为 softmax 的输入。
116 00:12:43,509 --> 00:12:45,331 说话人 SPEAKER_02：这就叫做线性分类器。
117 00:12:46,054 --> 00:12:47,375 说话人 SPEAKER_02：尽管它是非线性的。
118 00:12:48,236 --> 00:12:56,466 说话人 SPEAKER_02：这样就可以使用学习到的隐藏活动来学习一个简单的模型，该模型可以分类数字。
119 00:12:57,366 --> 00:12:58,368 说话人 SPEAKER_02：这很快。
120 00:12:58,389 --> 00:13:00,230 说话人 SPEAKER_02：你只需要将事物通过网络运行一次。
121 00:13:02,113 --> 00:13:09,801 说话者 SPEAKER_02：一种更好的方法，但速度较慢，就是给网络提供同一张图片多次，每次都使用每个可能的标签。
122 00:13:10,101 --> 00:13:13,226 说话者 SPEAKER_02：然后你看到哪个标签在隐藏层中给出了最高的总优良度。
123 00:13:14,048 --> 00:13:15,410 说话者 SPEAKER_02：这就是你真正训练的内容。
124 00:13:16,172 --> 00:13:17,734 说话者 SPEAKER_02：这就是测试它的正确方法。
125 00:13:18,355 --> 00:13:26,087 说话人 SPEAKER_02：但是需要运行很多次，次数与标签数量相同，如果有 10 个标签，这没问题，但如果有一千个标签，成本就会很高。
126 00:13:26,989 --> 00:13:31,996 说话人 SPEAKER_02：然后你会首先使用快速方法得到一个可能的标签短列表。
127 00:13:32,498 --> 00:13:36,244 说话人 SPEAKER_02：然后你可以依次检查短列表中每个标签的好坏。
128 00:13:36,510 --> 00:13:39,695 说话人 SPEAKER_02：所以你可能得到最好的五个标签并检查它们。
129 00:13:40,375 --> 00:13:43,380 说话人 SPEAKER_01：所以它相对高效，即使是对于大型标签集。
130 00:13:48,268 --> 00:14:04,289 说话人 SPEAKER_02：在 MNIST 上，如果你使用全连接网络且非卷积，通常 MNIST 的测试错误率约为 1.4%，如果你使用反向传播，大约在 1.3%到 1.4%之间。
131 00:14:05,299 --> 00:14:19,874 说话人 SPEAKER_02：使用前向-前向算法，它不进行反向传播，如果你只是将负标签，你在负例中使用的标签，设置为随机，训练速度会慢得多。
132 00:14:20,894 --> 00:14:26,299 说话人 SPEAKER_02：因为在训练的后期，它获取的大多数负例显然是负例。
133 00:14:27,380 --> 00:14:29,943 说话人 SPEAKER_02：鉴于它已经知道的情况，这些标签并不合理。
134 00:14:30,244 --> 00:14:31,424 说话人 SPEAKER_02：所以它没有学到任何东西。
135 00:14:33,042 --> 00:14:39,250 说话人 SPEAKER_02：你可以通过给它一些难以区分的负面案例来让它学得更快。
136 00:14:40,270 --> 00:14:52,907 说话人 SPEAKER_02：而你要这样做的方式是，在你训练前馈算法的同时，也训练使用隐藏活动来对图像进行分类的线性 softmax 分类器。
137 00:14:54,472 --> 00:15:09,350 说话人 SPEAKER_02：然后你查看 SOPAC 分类器的输出，并从错误类别的分布中挑选一个更活跃的类别，不是正确的类别，而是你挑选的。
138 00:15:09,431 --> 00:15:12,916 说话人 SPEAKER_02：所以你更频繁地挑选困难负样本，而不是简单负样本。
139 00:15:13,817 --> 00:15:15,259 说话人 SPEAKER_02：这使得它学习得更快。
140 00:15:15,578 --> 00:15:20,565 说话人 SPEAKER_02：然后它比反向传播慢两倍左右学习。
141 00:15:23,126 --> 00:15:24,908 说话人 SPEAKER_01：它的性能与反向传播相当。
142 00:15:26,471 --> 00:15:49,539 说话人 SPEAKER_02：如果你在所有四个方向上将图像抖动最多两个像素，那么现在有 25 个不同的图像位置，如果你长时间训练，可以得到大约 0.64%的错误率，这与你通过抖动图像使用反向传播得到的结果相当。
143 00:15:50,600 --> 00:15:55,205 说话人 SPEAKER_02：如果你使用卷积网络，这也会使反向传播的速度更快。
144 00:15:55,926 --> 00:16:01,211 说话人 SPEAKER_02：因此，对于 MNIST，抖动图像可以使你获得与卷积网络相似的性能。
145 00:16:02,613 --> 00:16:04,775 说话人 SPEAKER_02：如果你这样做，你也会得到很好的感受域。
146 00:16:06,197 --> 00:16:09,201 说话人 SPEAKER_02：所以我将向你展示一些感受域。
147 00:16:12,544 --> 00:16:20,033 说话人 SPEAKER_02：所以你在这里看到的是在第一隐藏层，它正在学习的感受域。
148 00:16:20,130 --> 00:16:27,985 说话人 SPEAKER_02：你将看到前 10 个像素是特征检测器对标签单元的权重。
149 00:16:29,107 --> 00:16:31,591 说话人 SPEAKER_02：右边的两个红色方框我已经放大了。
150 00:16:32,934 --> 00:16:42,712 说话人 SPEAKER_02：如果你看右边的顶部特征，如果你看到两条大致水平的线，中间是黑色的，
151 00:16:43,672 --> 00:16:53,285 说话人 SPEAKER_02：这很可能是三或七，中间有横杠，并且它学会了这一点。
152 00:16:53,667 --> 00:16:54,988 说话人 SPEAKER_02：所以它学会了有意义的特征。
153 00:16:55,008 --> 00:17:06,404 说话者 SPEAKER_02：我们可以解释它学到的内容，这是一个非常合理的功能，它说，如果你看到这个，那可能就是三或七，因此它学到了来自三和七的大权重。
154 00:17:08,865 --> 00:17:13,230 说话者 SPEAKER_02：这意味着当你将其中之一作为标签输入时，就会激活这个功能。
155 00:17:13,590 --> 00:17:18,075 说话者 SPEAKER_02：但是如果你输入一个错误的标签，这个功能就不会那么活跃。
156 00:17:18,355 --> 00:17:19,396 说话者 SPEAKER_02：所以它不会那么高兴。
157 00:17:19,436 --> 00:17:20,617 说话人 SPEAKER_02：所以它会知道这是一个负面案例。
158 00:17:24,602 --> 00:17:37,454 说话人 SPEAKER_02：所以，这个前向算法版本的一个主要问题是由于它没有反向传播，你在后续层学到的知识不会影响你在早期层学到的知识。
159 00:17:38,144 --> 00:17:43,832 说话人 SPEAKER_02：这似乎很不好，因为这是反向传播的一个主要优点。
160 00:17:44,452 --> 00:17:48,377 说话人 SPEAKER_02：而且看起来如果我们使用这个算法，我们就失去了这一点。
161 00:17:50,280 --> 00:17:54,247 说话者 SPEAKER_02：如果你想要模拟感知中的自上而下的效应，而这正是我所做的，那情况尤其糟糕。
162 00:17:56,288 --> 00:18:00,996 说话者 SPEAKER_02：所以这里有三个感知中自上而下效应的例子。
163 00:18:01,684 --> 00:18:08,873 说话者 SPEAKER_02：如果你看那两个词中间的 H，它们完全一样，但如果你看动词，它就是 H，如果你看猫，它就是 A。
164 00:18:09,473 --> 00:18:17,281 说话者 SPEAKER_02：如果你不去注意字母，而是注意整个单词，你会根据上下文不同地解释那个 H。
165 00:18:18,624 --> 00:18:22,989 说话者 SPEAKER_02：同样，如果你首先看到右边的图片，你会看到一个脸。
166 00:18:24,089 --> 00:18:26,932 说话者 SPEAKER_02：所以中间的那一对，你把它解释为鼻子。
167 00:18:28,499 --> 00:18:33,325 说话者 SPEAKER_02：从下往上的数据并没有真正告诉你那是一个鼻子，它告诉你那是一对，如果有的话。
168 00:18:34,125 --> 00:18:38,852 说话者 SPEAKER_02：但是从整个图像向上看的数据告诉你那里应该有一个鼻子，这就是你看到的样子。
169 00:18:39,833 --> 00:18:42,076 说话者 SPEAKER_02：这就是自上而下的信息产生的强烈影响。
170 00:18:43,617 --> 00:18:49,765 说话者 SPEAKER_02：然后如果你看底部的句子，如果我把这个句子给你，
171 00:18:52,039 --> 00:18:56,905 说话者 SPEAKER_02：单独一句话，你就能很好地理解“scrummed”这个词可能是什么意思。
172 00:18:57,605 --> 00:19:02,571 说话者 SPEAKER_02：可能意味着她用这个东西打他的头，或者以某种方式攻击他。
173 00:19:05,575 --> 00:19:10,840 说话者 SPEAKER_02：这可能意味着她用烹饪得很好给他留下了印象，但这种情况不太可能。
174 00:19:11,883 --> 00:19:16,748 说话者 SPEAKER_02：所以你可以从单个上下文中理解一个词的含义。
175 00:19:17,452 --> 00:19:26,544 说话者 SPEAKER_02：这是上下文告诉您如何创建表示“scrummed”一词含义的向量的另一个例子。
176 00:19:31,750 --> 00:19:42,481 说话者 SPEAKER_02：因此，我们将通过将静态图像视为视频来使前向算法处理上下文的影响。
177 00:19:43,323 --> 00:19:46,047 说话人 SPEAKER_02：这个视频非常无聊，因为每一帧都是一样的。
178 00:19:46,907 --> 00:19:49,991 说话人 SPEAKER_02：但是我们将使用一个专门设计用于处理视频的循环网络。
179 00:19:50,571 --> 00:19:53,476 说话人 SPEAKER_02：我们将会给它一个非常无聊的视频，它是一张静态图片。
180 00:19:56,339 --> 00:19:58,742 说话人 SPEAKER_02：然后学习在时间上是贪婪的。
181 00:19:58,803 --> 00:20:00,244 说话人 SPEAKER_02：它没有随时间进行背景处理。
182 00:20:00,885 --> 00:20:02,969 说话人 SPEAKER_02：但是它在层上并不贪婪，您很快就会看到。
183 00:20:06,973 --> 00:20:09,857 说话人 SPEAKER_02：所以我将使用这种类型的网络。
184 00:20:09,877 --> 00:20:13,261 说话人 SPEAKER_02：这是我从去年发表的一篇论文中摘录的。
185 00:20:13,343 --> 00:20:28,121 说话人 SPEAKER_02：在一个我称之为 Glom 的系统上，该系统旨在解释神经网络如何在不根据部分-整体层次结构重新布线的情况下对部分-整体层次结构进行建模。
186 00:20:28,142 --> 00:20:35,510 说话人 SPEAKER_02：所以在神经网络中，神经元的操作取决于它们的连接强度，它们不能随意地即时执行不同的任务。
187 00:20:37,732 --> 00:20:39,756 说话人 SPEAKER_02：这使得在神经网络中实现灵活的图结构，如部分-整体层次结构变得困难。
188 00:20:40,309 --> 00:20:46,259 说话人 SPEAKER_02：这对于每个图像中不同的部分-整体层次结构来说都是如此。
189 00:20:47,000 --> 00:20:55,253 说话人 SPEAKER_02：关于如何通过具有代表部分或空洞的相似向量岛屿来实现这些层次结构的 Glom 论文。
190 00:20:56,474 --> 00:21:03,527 说话人 SPEAKER_02：这需要一种这样的架构，你可以从中学习。
191 00:21:04,708 --> 00:21:05,710 说话人 SPEAKER_02：当我
192 00:21:06,532 --> 00:21:08,535 说话人 SPEAKER_02：在 Glom 论文中，这有点尴尬。
193 00:21:08,555 --> 00:21:12,721 说话人 SPEAKER_02：我没有为这种架构找到一种生物上可行的学习算法。
194 00:21:13,761 --> 00:21:18,788 说话人 SPEAKER_02：现在正向算法适用于这种架构，并且更加符合生物原理。
195 00:21:20,210 --> 00:21:31,983 说话人 SPEAKER_02：所以如果你看中间层，即 L 层，以及右侧的框，该框在任何时间点的活动
196 00:21:32,048 --> 00:21:40,978 说话人 SPEAKER_02：这一层是由来自下方、前一时间步的底层输入决定的。
197 00:21:41,858 --> 00:21:50,528 说话人 SPEAKER_02：来自上一时间步的顶层输入以及来自同一层级的绿色横向输入。
198 00:21:51,670 --> 00:21:58,798 说话人 SPEAKER_02：那么，如果你现在考虑如何在该层中获取正数据的较高活动水平，那么获取较高活动水平的方式，主要方式，就是顶层输入（红色箭头）和底层输入（蓝色箭头）达成一致，指向同一方向。
199 00:21:59,436 --> 00:22:17,380 说话人 SPEAKER_02：那么你将会有较高的活动水平。
200 00:22:17,900 --> 00:22:19,301 说话人 SPEAKER_02：然后你将会有高活动。
201 00:22:20,429 --> 00:22:28,968 说话人 SPEAKER_02：您可以看到，前向-前向算法正在尝试在自上而下的预测和自下而上的特征提取之间达成一致。
202 00:22:29,869 --> 00:22:37,846 说话人 SPEAKER_02：而那个自上而下的预测，指向中间层最右边框的红色箭头，如果您看它从哪里来，
203 00:22:38,349 --> 00:22:50,227 说话人 SPEAKER_02：它实际上来自两个时间步之前的输入数据，确切地说，是三个时间步之前，因为它必须从左侧的 L 层向上传递，然后再向上到 L+1 层，然后再次下降到 L 层。
204 00:22:52,569 --> 00:23:00,662 说话人 SPEAKER_02：因此，上下文信息来自较早的时间步，并且已经通过了更多层的处理。
205 00:23:01,756 --> 00:23:25,131 说话人 SPEAKER_02：这里发生的事情是，当它试图在 L 级别获得高活动度时，前向算法真正试图做的是让基于更大上下文但较旧数据的自上而下活动与基于更小上下文但更新数据的自下而上活动达成一致。
206 00:23:26,534 --> 00:23:29,518 说话人 SPEAKER_02：所以它必须学会成为一个预测模型。
207 00:23:29,599 --> 00:23:37,491 说话人 SPEAKER_02：所以如果视频实际上在移动，我用移动视频也做过，效果也很好，只要运动简单。
208 00:23:38,292 --> 00:23:47,006 说话人 SPEAKER_02：它将学会一个预测模型，并将寻找预测模型预测的内容与您实际看到的内容之间的共识。
209 00:23:47,046 --> 00:23:54,477 说话人 SPEAKER_02：因此我们现在正在获得感知中的自上而下的效应。
210 00:23:56,836 --> 00:24:01,321 说话人 SPEAKER_01：现在，这些自上而下的效应不像反向传播那样快速传播。
211 00:24:03,865 --> 00:24:09,633 说话人 SPEAKER_01：所以让我向您展示一下进行数字时的样子。
212 00:24:10,755 --> 00:24:14,579 说话人 SPEAKER_02：视频的帧只是数字，每次都是同一个数字。
213 00:24:16,102 --> 00:24:26,556 说话人 SPEAKER_02：在顶层，我们放入一个标签，每次都是同一个标签，使用 1/n。实际上，是 5，不是 1，但就是这样。
214 00:24:28,695 --> 00:24:30,739 说话人 SPEAKER_02：这就是循环神经网络的重训练。
215 00:24:31,941 --> 00:24:35,666 说话人 SPEAKER_01：如果你用前向-前向算法训练这个循环神经网络，它工作得相当好。
216 00:24:38,471 --> 00:24:45,922 说话人 SPEAKER_02：所以底层视频像素，顶层被固定为正数据的正确标签和负数据的错误标签。
