1 00:00:00,166 --> 00:00:07,655 说话人 SPEAKER_02：对我来说，能有机会与 Geoffrey Hinton 进行对话，这真是一件令人高兴的事情。
31 00:02:36,587 --> 00:02:41,373 说话人 SPEAKER_00: 他在不知道其名称的情况下，基本上抹掉了这个领域。
32 00:02:46,239 --> 00:02:51,044 说话人 SPEAKER_02: 嗯，你知道，医疗保健医学
33 00:02:51,650 --> 00:02:58,479 说话人 SPEAKER_02: 生命科学在最近的 AI 中与 transformer 模型的发展路径有所不同。
34 00:02:59,599 --> 00:03:09,894 说话人 SPEAKER_02：当然，也要回顾您在引入深度学习、深度神经网络整个时代所做的那项卓越工作。
35 00:03:09,913 --> 00:03:16,763 说话人 SPEAKER_02：但我认为在这里，我们可以从医疗保健的特殊优势开始讨论。
36 00:03:17,317 --> 00:03:21,581 说话人 SPEAKER_02：与它在其他领域的应用相比？
37 00:03:22,062 --> 00:03:41,687 说话人 SPEAKER_02：因为当然，您和其他人已经提出了关于安全性的担忧，包括潜在的，你知道，不仅仅是幻觉和虚构，当然，更好的说法，或者，你知道，AI 发展方向上的负面后果。
38 00:03:42,426 --> 00:03:43,729 说话人 SPEAKER_02：但是您认为
39 00:03:43,927 --> 00:04:00,171 说话人 SPEAKER_02：AlphaFold2 在医疗生命科学领域是另一个例子，当然，这是来自您的同事 Demis Hassabis 和 Google DeepMind 的其他人，这看起来更加乐观。
40 00:04:00,192 --> 00:04:00,853 说话人 SPEAKER_00：绝对是的。
41 00:04:01,092 --> 00:04:09,104 说话人 SPEAKER_00：我的意思是，我总是以医学为例，因为它能带来很多好处，因为几乎在医学领域它要做的一切都是有益的。
42 00:04:09,425 --> 00:04:13,311 说话人 SPEAKER_00：有一些不良用途，比如试图找出谁不应该投保。
43 00:04:13,882 --> 00:04:16,745 说话人 SPEAKER_00：但它们相对有限。
44 00:04:18,146 --> 00:04:20,350 说话人 SPEAKER_00：几乎可以肯定，这将非常有帮助。
45 00:04:20,410 --> 00:04:25,355 说话人 SPEAKER_00：我们将有一位看过一亿患者的家庭医生，他们将成为更好的家庭医生。
46 00:04:27,077 --> 00:04:39,112 说话人 SPEAKER_02：嗯，这真是一个重要的笔记，它带我们到了一篇昨天刚刚发表在预印本服务器上的论文。
47 00:04:39,497 --> 00:04:57,778 说话人 SPEAKER_02：有趣的是，这个档案通常并不经常发表很多医学预印本，但它是由谷歌团队完成的，他们后来告诉我这是一个尚未公开宣传的大型语言模型。
48 00:04:57,918 --> 00:04:59,281 说话人 SPEAKER_02：他们没有透露名字。
49 00:04:59,341 --> 00:05:09,031 说话人 SPEAKER_02：它不是 MedPalm2，但无论如何，它是一个非常好的、独特的研究，因为它对 1001 个样本进行了随机化。
50 00:05:09,670 --> 00:05:26,812 20位具有约9年临床实践经验的内科医生回答了《新英格兰医学杂志》超过300个临床病理会议。
51 00:05:26,872 --> 00:05:33,661 以下是那些邀请资深临床医生参与以尝试提出鉴别诊断的病例报告。
52 00:05:33,680 --> 00:05:35,322 在那个
53 00:05:35,961 --> 00:05:53,197 报告中，这可能是关于医学诊断的最佳报告之一，它回到了杰夫，关于你1亿次访问的话题，因为在随机研究中，LLM在提出鉴别诊断方面超过了临床医生。
54 00:05:53,637 --> 00:05:57,560 说话人 SPEAKER_02：你知道，我对这份令人印象深刻的报告有什么看法？
55 00:05:59,221 --> 00:06:05,968 说话人 SPEAKER_00：所以，在 2016 年，我做出了一次大胆且错误的预测。
56 00:06:06,521 --> 00:06:15,071 说话人 SPEAKER_00：那就是在五年内，神经网络在解读医学影像方面将优于放射科医生。
57 00:06:16,233 --> 00:06:17,713 说话人 SPEAKER_00：这有时会被断章取义。
58 00:06:17,754 --> 00:06:21,057 说话人 说话人_00：我原本是打算用它来解读医学影像，而不是做放射科医生能做的所有事情。
59 00:06:21,899 --> 00:06:23,761 说话人 说话人_00：关于这一点，我是错的。
60 00:06:24,360 --> 00:06:27,845 说话人 说话人_00：但到目前为止，它们是可比的。
61 00:06:28,206 --> 00:06:29,846 说话人 说话人_00：这已经过去了七年了。
62 00:06:30,208 --> 00:06:33,692 说话人 SPEAKER_00：它们在许多不同类型的医学扫描方面可以与放射科医生相提并论。
63 00:06:34,072 --> 00:06:35,853 说话人 SPEAKER_00：我相信在 10 年后，
64 00:06:36,322 --> 00:06:39,927 说话人 SPEAKER_00：它们将常规用于提供第二意见。
65 00:06:40,348 --> 00:06:45,754 说话人 SPEAKER_00：也许在 15 年后，它们在提供第二意见方面会非常出色，以至于医生的看法将是第二个。
66 00:06:46,615 --> 00:06:53,363 说话人 SPEAKER_00: 我认为我可能差了三倍，但我仍然坚信从长远来看我是完全正确的。
67 00:06:56,047 --> 00:07:05,098 说话人 SPEAKER_00: 所以你提到的这篇论文，实际上有两个来自多伦多谷歌实验室的人是这篇论文的作者。
68 00:07:05,213 --> 00:07:11,543 说话人 SPEAKER_00: 正如你所说，它是基于当时经过微调的大型 Palm II 模型。
69 00:07:11,564 --> 00:07:14,208 说话人 SPEAKER_00: 我认为它比 MedPalm II 稍微进行了不同的微调。
70 00:07:16,192 --> 00:07:21,521 说话人 说话人_00：但是，仅凭LLMs似乎比内科医生表现得更好。
71 00:07:22,262 --> 00:07:27,711 说话人 说话人_00：但更有趣的是，当内科医生使用LLMs时，他们变得更好。
72 00:07:28,822 --> 00:07:38,396 说话人 说话人_00：如果我记得没错，他们使用LLMs时提高了15%，而使用谷歌搜索和医学文献时只提高了8%。
73 00:07:39,237 --> 00:07:46,869 说话人 说话人_00：所以，作为第二意见，它们已经极其有用。
74 00:07:48,250 --> 00:07:57,225 说话人 SPEAKER_02：是的，又回到了你提到的那个知识库问题，LLM 正在提供
75 00:07:57,677 --> 00:08:01,764 说话人 SPEAKER_02：这是可能不会出现在医生脑海中的鉴别诊断。
76 00:08:01,803 --> 00:08:12,019 说话人 SPEAKER_02：当然，这就是摄入了如此多的信息，能够回放这些可能性所带来的边缘效应。
77 00:08:12,238 --> 00:08:17,786 说话人 SPEAKER_02：如果鉴别诊断不在你的列表中，那么它肯定不会成为你的最终诊断。
78 00:08:18,408 --> 00:08:25,237 说话人 SPEAKER_02：我确实想回到放射科医生那里去，因为你知道，我们是在年度大型会议之后谈论的。
79 00:08:25,521 --> 00:08:30,168 说话人 SPEAKER_02：这是北美放射学会，RSNA 会议。
80 00:08:30,809 --> 00:08:39,280 说话人 SPEAKER_02：在那些会议上，我虽然不在那里，但与我的放射科同事交谈，他们说你的投影已经正在发生了。
81 00:08:40,322 --> 00:08:44,047 说话人 SPEAKER_02：这就是不仅仅是阅读、撰写报告的能力。
82 00:08:44,147 --> 00:08:45,107 说话人 SPEAKER_02：我的意思是，整个作品。
83 00:08:45,769 --> 00:08:50,735 说话人 SPEAKER_02：所以你可能没有说过五年前的话，这
84 00:08:50,951 --> 00:09:01,668 说话人 SPEAKER_02：当然，在 AI 和医学中，这可能是最常引用的一句话，你可能也知道，但现在它正在接近你的预测。
85 00:09:02,671 --> 00:09:12,986 说话人 SPEAKER_00：我了解到关于医学的一点，就像其他学术一样，医生也有自尊心，说这些话会取代他们是错误的举动。
86 00:09:13,006 --> 00:09:18,816 说话人 SPEAKER_00：正确的做法是说，它将非常擅长提供第二意见，但医生仍然负责。
87 00:09:19,724 --> 00:09:21,846 说话人 SPEAKER_00：这显然是推销产品的正确方式。
88 00:09:21,927 --> 00:09:23,609 说话人 SPEAKER_00：这很好。
89 00:09:24,169 --> 00:09:32,402 说话人 SPEAKER_00：只是，我实际上相信过一段时间后，你会开始听 AI 系统而不是医生的话。
90 00:09:32,902 --> 00:09:34,485 说话人 SPEAKER_00: 当然，这也有危险。
91 00:09:35,265 --> 00:09:45,620 说话人 SPEAKER_00: 我们已经看到了人脸识别的危险，如果你在一个包含非常少黑人数据的数据库上训练，你会得到一个非常擅长识别人脸的系统。
92 00:09:45,679 --> 00:09:49,004 说话人 SPEAKER_00: 使用它的人，比如警察，会认为，这很擅长识别人脸。
93 00:09:49,407 --> 00:09:55,852 说话人 SPEAKER_00: 当它为有色人种的人给出错误身份时，警察就会相信它。
94 00:09:55,873 --> 00:09:56,793 说话人 说话人_00：那是一场灾难。
95 00:09:57,475 --> 00:09:58,956 说话人 说话人_00：我们可能会在医学上遇到同样的问题。
96 00:09:58,995 --> 00:10:16,072 说话人 说话人_00：如果有一些小众群体在患不同疾病方面的概率明显不同，如果这些数据在训练时没有经过非常仔细的控制，医生对这些东西产生信任是非常危险的。
97 00:10:16,998 --> 00:10:17,879 说话人 说话人_02：没错，没错。
98 00:10:17,899 --> 00:10:19,522 说话人 SPEAKER_02：实际上，我确实想回你。
99 00:10:20,042 --> 00:10:31,739 说话人 SPEAKER_02：这个新报告中LLMs做得那么好的原因，是不是因为其中一些来自《新英格兰医学杂志》的案例研究是预训练的一部分？
100 00:10:32,679 --> 00:10:34,202 说话人 SPEAKER_00：这始终是一个大问题。
101 00:10:35,865 --> 00:10:40,611 说话人 SPEAKER_00：这让我非常担心，也让其他人非常担心，因为这些事情已经吸引了大量数据。
102 00:10:41,052 --> 00:10:44,236 说话人 SPEAKER_00: 现在有一种绕过的方法。
103 00:10:44,470 --> 00:10:47,774 说话人 SPEAKER_00: 至少对于证明LLMs是真正有创意的。
104 00:10:48,615 --> 00:10:54,143 说话人 SPEAKER_00: 所以在普林斯顿有一位非常优秀的计算机科学理论家，名叫 Sanjeev Arora。
105 00:10:55,245 --> 00:10:59,890 说话人 SPEAKER_00: 我要把这一切归功于他，但当然，所有的工作都是他的学生、博士后和合作者完成的。
106 00:11:00,552 --> 00:11:12,248 说话人 SPEAKER_00: 想法是你可以让这些语言模型生成内容，但你也可以通过说，我最近尝试了一个例子。
107 00:11:12,288 --> 00:11:13,870 说话人 SPEAKER_00: 我选取了两份多伦多报纸
108 00:11:14,423 --> 00:11:18,708 说话人 SPEAKER_00: 然后用三到四句话比较这两份报纸。
109 00:11:19,249 --> 00:11:28,621 说话人 SPEAKER_00: 在你的回答中，展示讽刺、转移注意力、同理心，还有一样，但我忘了是什么，隐喻、隐喻。
110 00:11:29,082 --> 00:11:34,109 说话人 SPEAKER_00: 这两个报纸的精彩比较展示了所有那些东西。
111 00:11:35,191 --> 00:11:40,498 说话人 SPEAKER_00: Sanjeev Arora 工作的要点是，如果你
112 00:11:40,967 --> 00:11:46,715 说话人 SPEAKER_00: 有大量主题和大量可能在文本中展示的不同事物。
113 00:11:46,735 --> 00:11:57,427 说话人 SPEAKER_00: 那么，如果我给出一个主题，并说我要求展示这五个事物，那么在训练数据中找到与该主题展示这五个技能的内容是非常不可能的。
114 00:11:58,148 --> 00:12:01,972 说话人 说话人_00: 因此当它这样做时，你可以相当有信心它是原创的。
115 00:12:02,513 --> 00:12:04,254 说话人 说话人_00: 这不是你在训练数据中看到的东西。
116 00:12:04,936 --> 00:12:05,777 说话人 说话人_00: 这在我看来是一个
117 00:12:06,128 --> 00:12:08,971 说话人 说话人_00: 一个是否生成新内容的更加严格的测试。
118 00:12:09,350 --> 00:12:15,015 说话人 说话人_00：有趣的是，其中一些较弱的LLMs实际上没有通过测试。
119 00:12:15,677 --> 00:12:19,421 说话人 说话人_00：但像 GPT-4 这样的，轻松通过了测试。
120 00:12:19,441 --> 00:12:24,465 说话人 说话人_00：这确实生成了一些原创内容，几乎可以肯定这些内容不在训练数据中。
121 00:12:25,186 --> 00:12:30,671 说话人 SPEAKER_02：你知道，这是一个非常重要的工具，可以挖掘免费训练的影响。
122 00:12:30,691 --> 00:12:31,991 说话人 SPEAKER_02：我很高兴你看了那个。
123 00:12:33,013 --> 00:12:35,916 说话人 SPEAKER_02：现在，大多数人提出的问题，尤其是在医学领域，是大型语言模型真的理解吗？
124 00:12:36,048 --> 00:12:44,456 说话人 SPEAKER_02：争论的焦点，尤其是在医学领域，是大型语言模型是否真的理解。
125 00:12:46,198 --> 00:12:47,640 说话人 SPEAKER_02：你对此有什么看法？
126 00:12:48,542 --> 00:13:03,658 说话人 SPEAKER_02：你知道，我们正在讨论被称作随机鹦鹉论与理解力或增强智能之间的争论，无论你想要怎么称呼它，
127 00:13:03,892 --> 00:13:06,514 说话人 SPEAKER_02：这场辩论还在继续，你站在哪一边？
128 00:13:07,976 --> 00:13:10,480 说话人 SPEAKER_00：我站在理智的一边。
129 00:13:10,519 --> 00:13:13,702 说话人 SPEAKER_00：它们真的能理解。
130 00:13:13,764 --> 00:13:25,336 说话人 SPEAKER_00: 如果给他们一些涉及一点推理的测验，现在做起来要难得多，因为当然，现在 GPT-4 可以查看网络上的内容。
131 00:13:26,298 --> 00:13:28,701 说话人 SPEAKER_00: 所以现在如果我说一个测验，
132 00:13:29,018 --> 00:13:31,081 说话人 SPEAKER_00: 可能有人已经把它给了 GPT-4。
133 00:13:31,360 --> 00:13:37,509 说话人 SPEAKER_00: 但几个月前你做这个的时候，在它能够看到网络之前，你可以给它一些它从未见过的测验。
134 00:13:38,432 --> 00:13:40,894 说话人 SPEAKER_00：它可以进行推理。
135 00:13:41,716 --> 00:13:56,197 说话人 SPEAKER_00：所以，让我给你讲一个我最喜欢的例子，这是一个人给我的，他相信符号推理，但也是一个非常诚实的人，他相信符号推理，但对 GPT-4 能否进行符号推理感到非常困惑。
136 00:13:57,139 --> 00:13:57,759 说话人 SPEAKER_00：所以，
137 00:13:58,245 --> 00:14:00,768 说话人 SPEAKER_00：他给了我一个问题，我把它变得稍微复杂一些。
138 00:14:00,807 --> 00:14:01,629 说话人 说话人_00: 问题就在这里。
139 00:14:02,450 --> 00:14:06,354 说话人 说话人_00: 我家里的房间都是刷成白色、黄色或蓝色的。
140 00:14:07,855 --> 00:14:09,976 说话人 说话人_00: 黄色油漆一年后就会褪成白色。
141 00:14:10,798 --> 00:14:14,381 说话人 说话人_00: 两年后，我希望所有的房间都是白色的。
142 00:14:14,802 --> 00:14:16,023 说话人 SPEAKER_00：我应该做什么，为什么？
143 00:14:17,344 --> 00:14:19,787 说话人 SPEAKER_00：它说，你不需要粉刷白色的房间。
144 00:14:20,648 --> 00:14:23,370 说话人 SPEAKER_00：你不需要粉刷黄色的房间，因为它们会自然变成白色。
145 00:14:24,270 --> 00:14:25,692 说话人 SPEAKER_00：你需要把蓝色的房间粉刷成白色。
146 00:14:26,933 --> 00:14:27,274 说话人 说话人_00：现在，
147 00:14:27,676 --> 00:14:33,403 说话人 说话人_00：我相当确信，当我第一次给它这个问题时，它以前从未见过这个问题。
148 00:14:33,764 --> 00:14:37,068 说话人 说话人_00：这个问题涉及到一定量的基本常识推理。
149 00:14:37,669 --> 00:14:45,259 说话人 说话人_00：比如，你必须明白，如果它一年后变成黄色，而你感兴趣的是两年后的状态，两年比一年多，以此类推。
150 00:14:48,403 --> 00:14:51,708 说话人 说话人_00：当我第一次给它这个问题时，
151 00:14:52,279 --> 00:14:53,861 说话人 说话人_00：并且没有要求你解释原因。
152 00:14:53,883 --> 00:14:57,567 说话人 说话人_00：它实际上提出了一种解决方案，涉及将蓝色房间涂成黄色。
153 00:14:57,587 --> 00:15:01,894 说话人 说话人_00：这更像是一个数学家的解决方案，因为它将其简化为一个已解决的问题。
154 00:15:03,677 --> 00:15:04,458 说话人 说话人_00：但这也可以。
155 00:15:05,380 --> 00:15:07,945 说话人 说话人_00：所以我确信它可以进行推理。
156 00:15:09,145 --> 00:15:13,472 说话人 说话人_00：有些人，我的朋友，比如 Yann LeCun，他们确信它不能进行推理。
157 00:15:14,875 --> 00:15:16,498 说话人 说话人_00：我只是在等待他幡然醒悟。
158 00:15:18,115 --> 00:15:21,499 说话人 SPEAKER_02：我注意到你和 Jan 之间的你来我往。
159 00:15:21,538 --> 00:15:23,041 说话人 SPEAKER_02：我知道这只是友好的打趣。
160 00:15:23,760 --> 00:15:40,179 说话人 SPEAKER_02：当然，你在他的职业生涯中有着很大的影响，就像现在站在前线的大多数人一样，无论是 OpenAI 的 Ilya，他最近因为那里的动荡而上了新闻。
161 00:15:40,801 --> 00:15:46,586 说话人 SPEAKER_02：实际上，感觉所有和你一起训练过的人现在都
162 00:15:46,836 --> 00:15:52,244 说话人 SPEAKER_02：在全球各地各种 AI 公司和学术团体中的领导职位。
163 00:15:52,563 --> 00:15:58,171 说话人 SPEAKER_02：所以这充分说明了你的影响力，不仅仅是在深度神经网络方面。
164 00:15:58,250 --> 00:16:04,379 说话人 SPEAKER_02：我想问你，因为你经常被尊称为 AI 之父。
165 00:16:04,418 --> 00:16:08,484 说话人 SPEAKER_02：你认为被这样称呼怎么样？
166 00:16:10,986 --> 00:16:14,692 说话人 SPEAKER_00: 我觉得最初，这并不是完全有益的。
167 00:16:15,011 --> 00:16:15,712 说话人 SPEAKER_00: 我记得
168 00:16:16,063 --> 00:16:24,634 说话人 SPEAKER_00: 安德鲁·吴（Andrew Ng）实际上是在英国温莎镇的一个小型研讨会上提出那个词的。
169 00:16:25,576 --> 00:16:28,279 说话人 SPEAKER_00: 那是在一个我一直在打断大家的会议之后。
170 00:16:29,581 --> 00:16:33,947 说话人 SPEAKER_00：我曾经是那种领导组织举办研讨会的人。
171 00:16:33,966 --> 00:16:39,134 说话人 SPEAKER_00：我认为这是为了打断每一个人。
172 00:16:39,214 --> 00:16:44,080 说话人 SPEAKER_00：我认为这并不完全友好，但我对此感到满意。
173 00:16:45,072 --> 00:16:45,692 说话人 SPEAKER_02：那太好了。
174 00:16:47,053 --> 00:16:54,501 说话人 SPEAKER_00：现在我退休了，把一些时间花在慈善工作上，我自称是“慈善教父”。
175 00:16:57,044 --> 00:16:57,664 说话人 SPEAKER_02：那太好了。
176 00:16:58,245 --> 00:17:10,759 说话人 SPEAKER_02：你知道吗，我真的很喜欢 Josh Rothman 写的《纽约客》人物特写，我们以前合作过，他实际上在加拿大你那里待了一段时间。
177 00:17:11,548 --> 00:17:16,473 说话人 SPEAKER_02：我的意思是，它深入探讨了你的生活，这些我以前都不知道。
178 00:17:17,233 --> 00:17:28,545 说话人 SPEAKER_02：你知道，我对你的妻子患癌症以及你所经历的各种各样的事情一无所知，这些事情都是非同寻常的。
179 00:17:28,585 --> 00:17:40,797 说话人 SPEAKER_02：我想知道，当你看到医学和人工智能的影响之路，回顾你自己在家庭中的医疗经历，你是否看到了可能改变的地方。
180 00:17:41,282 --> 00:17:45,166 说话人 SPEAKER_02：你知道，我们只是错过了时间，事情本可以有所不同。
181 00:17:47,188 --> 00:17:48,789 说话人 SPEAKER_00：是的，我看到了很多。
182 00:17:51,332 --> 00:17:55,635 说话人 SPEAKER_00：首先，Joshua 是一位非常优秀的作家，他这样做真是太好了。
183 00:17:59,480 --> 00:18:08,488 说话人 SPEAKER_00：让我想到的一件事实际上是使用LLMs的一个很好的用途，也许可以稍微调整一下，以产生不同类型的语言。
184 00:18:09,278 --> 00:18:12,181 说话人 SPEAKER_00：是为了帮助癌症患者的亲属。
185 00:18:12,662 --> 00:18:13,982 说话人 SPEAKER_00：癌症会持续很长时间。
186 00:18:14,103 --> 00:18:19,189 说话人 说话人_00：我的意思是，这是持续时间最长且最复杂的事情之一。
187 00:18:20,130 --> 00:18:30,580 说话人 说话人_00：大多数人真的无法真正理解真正的选择是什么，会发生什么，以及他们的亲人实际上会因什么而死等等。
188 00:18:31,102 --> 00:18:37,969 说话人 说话人_00：我非常幸运，因为在那方面，我有一位因卵巢癌去世的妻子。
189 00:18:38,354 --> 00:18:45,761 说话人 说话人_00：我有一位以前的毕业生，他曾是放射科医生，给了我关于发生了什么的建议。
190 00:18:46,563 --> 00:18:56,714 说话人 SPEAKER_00：最近，当我的妻子，另一个妻子，因胰腺癌去世时，您所知道的 David Naylor 非常善良。
191 00:18:56,755 --> 00:19:01,559 说话人 SPEAKER_00：他给了我很多时间来向我解释发生了什么以及有哪些选择。
192 00:19:01,877 --> 00:19:06,182 说话人 SPEAKER_00：以及一些看似相当不可靠的治疗方法是否值得尝试。
193 00:19:06,722 --> 00:19:11,548 说话人 SPEAKER_00：有趣的是，他得出结论，支持它的证据不多，但如果那是他自己的情况，他会选择这么做。
194 00:19:11,827 --> 00:19:13,250 说话人 SPEAKER_00：我们做到了。
195 00:19:13,569 --> 00:19:17,314 说话人 SPEAKER_00：这就是电击肿瘤的地方，注意不要停止心脏。
196 00:19:17,854 --> 00:19:26,823 说话人 SPEAKER_00：因为如果你用两个电极电击肿瘤，而且肿瘤是紧密的，所有的能量都会进入肿瘤，而不是大部分能量进入你身体的其余组织。
197 00:19:27,624 --> 00:19:31,327 说话人 SPEAKER_00：然后它会破坏细胞膜，细胞就会死亡。
198 00:19:31,695 --> 00:19:33,657 说话人 SPEAKER_00：我们不知道这有没有帮到。
199 00:19:35,538 --> 00:19:41,664 说话人 SPEAKER_00：但是有非常了解的人给亲戚提供建议是非常有用的。
200 00:19:42,184 --> 00:19:43,286 说话人 SPEAKER_00：这真是太有帮助了。
201 00:19:43,906 --> 00:19:54,836 说话人 SPEAKER_00：而且这并不是那种生死攸关的应用，如果你解释得稍微不对，也不会决定治疗方案。
202 00:19:54,896 --> 00:19:56,298 说话人 SPEAKER_00：这不会杀死病人。
203 00:19:57,558 --> 00:19:59,580 说话人 SPEAKER_00：所以你实际上可以容忍一点错误。
204 00:20:00,241 --> 00:20:01,702 说话人 SPEAKER_00：我认为亲属们，
205 00:20:01,902 --> 00:20:08,534 说话人 SPEAKER_00：如果能和一个LLM交谈并就发生了什么咨询一个LLM，会好得多。
206 00:20:08,773 --> 00:20:10,998 说话人 SPEAKER_00: 因为医生们从来没有时间好好解释。
207 00:20:11,038 --> 00:20:17,209 说话人 SPEAKER_00: 在极少数情况下，如果你像我一样碰巧认识一个非常好的医生，你会得到正确的解释。
208 00:20:17,269 --> 00:20:21,696 说话人 SPEAKER_00: 但对于大多数人来说，它不会被正确解释，也不会用正确的语言解释。
209 00:20:21,777 --> 00:20:23,319 说话人 SPEAKER_00: 但你可以想象一个 LLM
210 00:20:23,501 --> 00:20:26,585 说话人 SPEAKER_00：仅为了帮助那些极其有用的亲戚。
211 00:20:26,605 --> 00:20:29,127 说话人 SPEAKER_00：这将是边缘用途，但我认为这将是非常有用的。
212 00:20:29,147 --> 00:20:31,049 说话人 SPEAKER_02：不，我认为你提出了一个重要观点。
213 00:20:31,089 --> 00:20:36,556 说话人 SPEAKER_02：我很高兴你提到了我的朋友大卫·奈尔，他是一位杰出的医生。
214 00:20:36,796 --> 00:20:48,028 说话人 SPEAKER_02：这就引出了直觉的概念，人类的直觉与LLM能做的事情之间的对比。
215 00:20:48,749 --> 00:20:51,551 说话人 SPEAKER_02：你不认为这些会是互补的功能吗？
216 00:20:52,560 --> 00:20:53,883 说话人 SPEAKER_00：是的，也不是。
217 00:20:54,042 --> 00:20:57,970 说话人 SPEAKER_00：也就是说，我认为这些聊天机器人是有直觉的。
218 00：20：58,510 --> 00：21：05,842 演讲者 SPEAKER_00：也就是说，他们所做的是获取一串符号，然后将每个符号转换为他们发明的一大堆功能。
219 00：21：06,522 --> 00：21：12,492 演讲者 SPEAKER_00：然后他们学习不同符号特征之间的交互，以便他们能够预测下一个符号的特征。
220 00:21:13,954 --> 00:21:14,316 说话者 说话者_00：并且
221 00：21：14,633 --> 00：21：16,096 演讲者 SPEAKER_00：我想人们也是这样做的。
222 00:21:16,898 --> 00:21:20,148 说话人 SPEAKER_00：我认为实际上他们几乎和我们一样工作。
223 00:21:20,430 --> 00:21:24,441 说话人 SPEAKER_00：很多人说他们和我们完全不一样，他们不理解。
224 00:21:24,741 --> 00:21:32,411 说话人 SPEAKER_00：但实际上，真正有关于大脑工作原理和如何理解这些事物工作原理的理论的人并不多。
225 00:21:32,431 --> 00:21:36,315 说话人 SPEAKER_00：大多数说他们和我们不一样的人实际上并没有我们工作方式的模型。
226 00:21:37,016 --> 00:21:43,923 说话人 SPEAKER_00: 他们可能感兴趣的是，这些语言模型实际上是一种关于我们大脑工作原理的理论。
227 00:21:44,664 --> 00:21:52,133 说话人 SPEAKER_00: 所以，我称之为“小语言模型”的东西，它很小，我在 1985 年引入了它。
228 00:21:52,483 --> 00:21:55,547 说话人 SPEAKER_00: 而它实际上让《自然》杂志接受了我们关于反向传播的论文。
229 00:21:56,227 --> 00:22:00,151 说话人 SPEAKER_00: 它所做的是预测一个三词字符串中的下一个词。
