1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
40 00:05:28,283 --> 00:05:32,134 说话人 SPEAKER_00：我们的出版物、网络研讨会和学习资源。
41 00:05:32,755 --> 00:05:39,475 说话人 SPEAKER_00：ACM 在全球计算教育和课程指南方面也非常活跃。
42 00:05:40,432 --> 00:05:48,685 说话人 SPEAKER_00：能来 FCRC 真是太好了，正如 Vivek 所说，这是一个多么独特的机遇啊。
43 00:05:49,327 --> 00:06:03,050 说话人 SPEAKER_00：我们都知道计算已经变得更具跨学科性，但很少有机会能和来自其他领域的研究者见面和交流。
44 00:06:03,571 --> 00:06:07,437 说话人 SPEAKER_00：我真心希望大家能充分利用这个星期的时间。
45 00:06:08,951 --> 00:06:18,360 说话人 SPEAKER_00：正如我们所知，人工智能是所有科学领域增长最快的领域，也是社会上的热门话题。
46 00:06:19,742 --> 00:06:33,555 说话人 SPEAKER_00：我们所看到的 AI 的惊人进步，如果没有像今晚我们致敬的人所建立的某些基础，是根本不可能实现的。
47 00:06:34,297 --> 00:06:38,841 说话人 SPEAKER_00：例如，当我们想到影响时，
48 00:06:39,175 --> 00:06:45,884 说话人 SPEAKER_00：想想最初在游戏行业中开发 GPU 所投入的研究。
49 00:06:46,204 --> 00:07:04,812 说话人 SPEAKER_00：当时谁能想到后来它们会被组装成大型阵列，并用作庞大神经网络的平台，进而推动了机器人学和计算机视觉等领域的大幅进步？
50 00:07:06,377 --> 00:07:12,726 今晚我们所认可的进步主要是在深度学习领域。
51 00:07:14,288 --> 00:07:20,377 全世界有成亿的人从机器学习的优势中受益。
52 00:07:20,858 --> 00:07:32,654 任何拥有智能手机的人都能接触到诸如计算机视觉和语音识别等方面的惊人进步，这些进步我们几年前甚至不敢想象。
53 00:07:33,985 --> 00:07:46,958 更重要的是，也许，机器学习为科学家们提供了新的工具，使他们能够在医学、天文学和材料科学等领域取得进步。
54 00:07:49,620 --> 00:07:57,608 说话人 说话人_00: FCRC 每四年举办一次，所以当我们讨论这个会议时，我们想在欢迎会议中做一些特别的事情。
55 00:07:58,310 --> 00:08:03,654 说话人 说话人_00: 我认为你们会同意我的看法，听取今年图灵奖得主的情况确实能让这次会议变得非常特别。
56 00:08:03,853 --> 00:08:07,158 说话人 说话人_00: 2018 年 ACM AM 图灵奖上周在旧金山颁发给了三位深度学习先驱，约书亚·本吉奥、杰弗里·辛顿和杨立昆。
57 00:08:07,858 --> 00:08:23,437 说话人 说话人_00: 2018 年 ACM AM 图灵奖上周在旧金山颁发给了三位深度学习先驱，约书亚·本吉奥、杰弗里·辛顿和杨立昆。
58 00:08:24,379 --> 00:08:25,439 说话人 SPEAKER_00: 他们三个
59 00:08:25,875 --> 00:08:43,523 说话人 SPEAKER_00: 在过去 30 年的时间里，他们集体和独立地工作，首先为深度神经网络的概念基础做出了贡献，然后进行了实验，最终识别出许多非常有趣的现象。
60 00:08:43,984 --> 00:08:45,225 说话人 SPEAKER_00: 但他们并没有止步于此。
61 00:08:45,265 --> 00:08:53,317 说话人 SPEAKER_00: 他们继续开发了工程上的进步，这些进步最终有力地证明了深度
62 00:08:54,174 --> 00:09:00,366 说话人 SPEAKER_00: 神经网络实际上可以以经济的方式应用于实践。
63 00:09:00,386 --> 00:09:07,559 说话人 SPEAKER_00: 这反过来又允许其他人开发这些惊人的
64 00:09:08,384 --> 00:09:15,692 说话人 SPEAKER_00: 概念，我们现在正在从这些概念中受益，以及我们现在在许多不同领域受益的进步。
65 00:09:16,092 --> 00:09:23,682 说话人 SPEAKER_00: 计算机视觉、语音识别、自然语言处理、机器人技术，以及许多其他不同领域。
66 00:09:24,322 --> 00:09:29,469 主持人：今晚我非常高兴能够介绍今晚的演讲者。
67 00:09:29,869 --> 00:09:32,011 主持人：第一位是杰夫·辛顿。
68 00:09:32,245 --> 00:09:38,336 主持人：他将就“数字学习革命”这一主题发表图灵奖演讲。
69 00:09:38,976 --> 00:09:47,592 主持人：接下来是杨立昆，他恰如其分地将自己的演讲命名为“深度学习革命：续篇”。
70 00:09:48,073 --> 00:09:50,658 说话人 SPEAKER_00：所以，杰弗里，我想欢迎你。
71 00:10:05,235 --> 00:10:11,244 说话人 SPEAKER_07：首先，我想感谢所有在 ACM 投入时间使这一切顺利进行的人们。
72 00:10:14,908 --> 00:10:17,952 说话人 SPEAKER_07：所以，人工智能领域有两种范式。
73 00:10:20,075 --> 00:10:31,210 说话人 SPEAKER_07：自 20 世纪 50 年代以来，一直存在一种受逻辑启发的途径，其中智能的本质被视为由符号规则操作的符号表达式。
74 00:10:31,628 --> 00:10:34,711 说话人 SPEAKER_07：主要问题一直是推理。
75 00:10:34,811 --> 00:10:40,155 说话人 SPEAKER_07：我们如何让计算机像人类一样进行推理？
76 00:10:40,176 --> 00:10:44,440 说话人 SPEAKER_07：然后是受生物学启发的途径，这非常不同。
77 00:10:45,721 --> 00:10:49,865 说话人 SPEAKER_07：它将智能的本质视为学习神经网络连接强度的过程。
78 00:10:50,765 --> 00:10:55,990 说话人 SPEAKER_07：至少一开始要关注的主要是学习和感知。
79 00:10:56,010 --> 00:10:58,833 说话人 SPEAKER_07：所以它们是两种非常不同的范式，具有非常不同的初始目标。
80 00:11:01,666 --> 00:11:04,812 说话人 SPEAKER_07：它们对应该使用的内部表示有非常不同的看法。
81 00:11:05,914 --> 00:11:20,147 说话人 SPEAKER_07：所以符号范式认为你应该使用符号表达式，如果你发明了一种好的语言来表达它们，你当然可以将这些表达式交给计算机，通过应用规则，你当然可以在计算机内部得到新的表达式。
82 00:11:20,919 --> 00:11:26,147 说话人 SPEAKER_07：生物范式认为内部表征与语言完全不同。
83 00:11:26,866 --> 00:11:28,649 说话人 SPEAKER_07：它们只是大量神经活动的向量。
84 00:11:29,029 --> 00:11:31,572 说话人 SPEAKER_07：这些大量向量会对其他大量向量产生因果效应。
85 00:11:33,515 --> 00:11:35,798 说话人 SPEAKER_07：这些向量将从数据中学习。
86 00:11:35,818 --> 00:11:38,741 说话人 SPEAKER_07：所以这些向量中的所有结构都将从数据中学习得到。
87 00:11:39,363 --> 00:11:43,548 说话人 SPEAKER_07：我显然是在以一种夸张的方式描述这两个立场，以强调它们之间的差异。
88 00:11:46,572 --> 00:11:50,336 说话人 SPEAKER_07：这导致了两种完全不同的方式来尝试让计算机做你想做的事情。
89 00:11:50,602 --> 00:11:58,110 说话人 SPEAKER_07：所以一种方法，我稍微有点调皮地称之为智能设计，就是所谓的编程。
90 00:11:58,831 --> 00:12:03,677 说话人 SPEAKER_07：是你找出解决问题的方法，然后告诉计算机具体要做什么。
91 00:12:05,340 --> 00:12:13,207 说话人 SPEAKER_07：另一种方法是向计算机展示大量输入和它应该产生的输出示例，然后让计算机自己解决。
92 00:12:13,668 --> 00:12:19,075 说话人 SPEAKER_07：当然，你也需要编程计算机，但只需要用一些通用学习算法编程一次。
93 00:12:20,336 --> 00:12:21,597 说话人 SPEAKER_07：这又是一种简化。
94 00:12:23,980 --> 00:12:31,389 说话人 SPEAKER_07：所以一个人们用符号人工智能尝试了 50 年的例子，就是拿一张图片并描述图片中的内容。
95 00:12:32,711 --> 00:12:42,480 说话人 SPEAKER_07：想想看，将左边的图片中的数百万像素转换成一系列单词。
96 00:12:42,922 --> 00:12:44,663 说话人 SPEAKER_07：显然不知道如何编写这样的程序。
97 00:12:45,283 --> 00:12:47,626 说话人 SPEAKER_07：人们尝试了很长时间，但无法编写出这样的程序。
98 00:12:48,873 --> 00:12:57,780 说话人 SPEAKER_07：从事神经网络研究的人们也尝试了很长时间，最终他们成功地开发出了一种工作相当好的系统，该系统基于纯学习的方法。
99 00:13:00,624 --> 00:13:12,134 说话人 SPEAKER_07：所以神经网络的核心问题一直是，我们知道具有许多层和非线性处理元素的大的神经网络可以计算复杂的事物，至少我们相信它们可以。
100 00:13:13,796 --> 00:13:15,538 说话人 SPEAKER_07：但问题是，它们能否学会这样做？
101 00:13:16,732 --> 00:13:32,068 说话人 SPEAKER_07：那么，能否通过从一个大的网络开始，从随机权重开始，并通过某种方式训练它，使其改变权重，从而改变其计算的内容，来学习像物体识别或机器翻译这样的任务呢？
102 00:13:32,089 --> 00:13:39,716 说话人 SPEAKER_07：对于这类系统，有一个明显的学习算法，它是由图灵、塞尔弗里奇以及许多人提出的，这个算法的变体。
103 00:13:40,498 --> 00:13:42,639 说话人 SPEAKER_07：想法是，你从随机权重开始。
104 00:13:42,990 --> 00:13:45,575 说话人 SPEAKER_07：这就是图灵认为的人类智能是如何工作的。
105 00:13:45,995 --> 00:13:53,044 说话人 SPEAKER_07：你从随机权重开始，奖励和惩罚会使你改变连接强度，这样你最终就能学到东西。
106 00:13:54,888 --> 00:13:56,350 说话人 SPEAKER_07：这非常低效。
107 00:13:56,370 --> 00:13:58,251 说话人 SPEAKER_07：它将起作用，但非常低效。
108 00:14:00,956 --> 00:14:10,990 说话人 SPEAKER_07：在 20 世纪 60 年代，罗森布拉特提出了一种相当简单且高效的学习过程，比随机尝试和错误的方法高效得多，可以找出
109 00:14:11,289 --> 00:14:21,945 说话人 SPEAKER_07：如何学习从图像中提取的特征上的权重，然后你使用权重组合特征以做出决策。
110 00:14:23,908 --> 00:14:28,193 说话者 SPEAKER_07：他设法向你展示了你可以做一些类似的事情，一些相当令人印象深刻的事情。
111 00:14:28,995 --> 00:14:31,558 说话者 SPEAKER_07：但在感知器中，你不会学习特征。
112 00:14:32,580 --> 00:14:33,782 说话者 SPEAKER_07：这又是一个简化。
113 00:14:33,841 --> 00:14:38,107 说话者 SPEAKER_07：罗森布拉特有很多关于如何学习特征的想法，但他并没有发明反向传播。
114 00:14:39,082 --> 00:14:46,956 说话人 SPEAKER_07：在 1969 年，明斯基和帕帕特表明，罗森布拉特使其工作的感知器类型在功能上非常有限。
115 00:14:47,317 --> 00:14:49,542 说话人 SPEAKER_07：有一些相对简单的事情他们做不到。
116 00:14:50,663 --> 00:14:56,855 说话人 SPEAKER_07：明斯基和帕帕特强烈暗示，使它们更深或更好的学习算法并不能解决问题。
117 00:14:57,235 --> 00:14:59,299 说话人 SPEAKER_07：这种方式存在一个基本的局限性。
118 00:15:00,201 --> 00:15:02,205 说话人 SPEAKER_07：这导致了第一个神经网络冬天。
119 00:15:05,797 --> 00:15:12,123 说话人 SPEAKER_07：在 20 世纪 70 年代和 80 年代，许多不同的团队发明了反向传播算法及其变体。
120 00:15:13,124 --> 00:15:20,471 说话人 SPEAKER_07：反向传播允许神经网络学习特征检测器，并拥有多层学习特征检测器。
121 00:15:21,773 --> 00:15:23,333 说话人 SPEAKER_07：这引起了极大的兴奋。
122 00:15:25,817 --> 00:15:31,062 说话人 SPEAKER_07：这使得神经网络能够将单词转换为
123 00:15:31,817 --> 00:15:37,144 说话人 SPEAKER_07：代表单词意义的向量，它们只需尝试预测下一个单词就能做到这一点。
124 00:15:38,326 --> 00:15:44,816 说话人 SPEAKER_07：看起来它可能能够解决像语音识别和形状识别这样的难题。
125 00:15:45,277 --> 00:15:54,769 说话人 SPEAKER_07：事实上，它确实解决了，在语音识别方面表现中等，对于某些形状识别形式，它做得非常好，比如 Yann LeCun 的读取手写的网络。
126 00:15:58,274 --> 00:16:01,740 说话人 SPEAKER_07：现在我打算解释
127 00:16:02,850 --> 00:16:04,613 说话人 SPEAKER_07：非常简要地说明神经网络是如何工作的。
128 00:16:04,773 --> 00:16:08,057 说话人 SPEAKER_07：我知道你们大多数人都会知道这个，但我只是想过一遍，以防万一。
129 00:16:09,578 --> 00:16:11,640 说话人 SPEAKER_07：所以我们对神经元做了一个粗略的理想化。
130 00:16:12,822 --> 00:16:22,614 说话人 SPEAKER_07：这种理想化的目的是为了得到可以学习的东西，以便我们可以研究您如何将这些所有东西组合起来，在大型的这些事物网络中学习复杂的东西。
131 00:16:23,615 --> 00:16:27,658 说话人 SPEAKER_07：所以它有一些可以变化的输入权重，或者学习算法会变化。
132 00:16:28,200 --> 00:16:30,883 说话人 SPEAKER_07：它给出的输出等于其输入
133 00:16:31,201 --> 00:16:32,923 说话人 SPEAKER_07：只要输入超过一定量。
134 00:16:33,403 --> 00:16:39,830 说话人 SPEAKER_07：这就是一个修正线性神经元，我们实际上直到后来才开始使用，但这些神经元工作得非常好。
135 00:16:42,113 --> 00:16:49,520 说话人 SPEAKER_07：然后你将它们连接到网络中，并为每个这些神经元设置输入权重。
136 00:16:49,860 --> 00:16:54,086 说话人 SPEAKER_07：当你改变这些输入权重时，你实际上在改变这个神经元会响应的特征。
137 00:16:54,566 --> 00:16:56,989 说话人 SPEAKER_07：所以通过学习这些权重，你实际上在学习特征。
138 00:16:57,221 --> 00:17:03,368 说话人 SPEAKER_07：你添加了几层隐藏层，然后你想训练它，使得输出神经元做你想让它做的事情。
139 00:17:03,388 --> 00:17:05,590 说话人 SPEAKER_07：例如，我们可能会展示狗和猫的图片。
140 00:17:06,270 --> 00:17:09,134 说话人 SPEAKER_07：我们可能希望左边的神经元在看到狗时激活，而右边的神经元在看到猫时激活。
141 00:17:10,335 --> 00:17:11,737 说话人 SPEAKER_07：问题是，我们该如何训练它？
142 00:17:14,398 --> 00:17:17,563 说话人 SPEAKER_07：所以有两种学习算法，主要是。
143 00:17:18,242 --> 00:17:20,625 说话人 SPEAKER_07：哦，实际上有三个，但第三个效果不太好。
144 00:17:20,726 --> 00:17:22,807 说话人 SPEAKER_07：这被称为强化学习。
145 00:17:25,807 --> 00:17:29,536 说话人 SPEAKER_07：强化学习有一个非常巧妙的归谬法，叫做 DeepMind。
146 00:17:31,239 --> 00:17:33,964 说话人 SPEAKER_07：这是个笑话。
147 00:17:33,984 --> 00:17:43,884 说话人 SPEAKER_07：有监督训练，你向网络展示期望的输出，然后调整权重，直到它产生你想要的输出。
148 00:17:43,949 --> 00:17:45,692 说话人 SPEAKER_07：为此，你需要知道期望的输出是什么。
149 00:17:46,153 --> 00:17:57,570 说话人 SPEAKER_07：还有无监督学习，你取一些数据，并尝试以某种方式在隐藏层中表示这些数据，以便你可以重建数据或重建数据的一部分。
150 00:17:57,932 --> 00:18:01,357 说话人 SPEAKER_07：如果我将数据的小部分空白，现在能否从隐藏层中重建它们？
151 00:18:02,138 --> 00:18:05,805 说话人 SPEAKER_07：这就是无监督学习在神经网络中通常工作的方式。
152 00:18:08,317 --> 00:18:14,942 说话人 SPEAKER_07：所以这里有一个非常低效的监督学习方法，通过使用变异或强化方法。
153 00:18:14,962 --> 00:18:19,448 说话人 SPEAKER_07：你会做的是，你拿你的神经网络，给它一个典型的示例集。
154 00:18:20,048 --> 00:18:21,028 说话人 SPEAKER_07：你会看到它做得有多好。
155 00:18:21,509 --> 00:18:27,295 说话人 SPEAKER_07：然后你会改变一个权重，稍微调整一下，看看神经网络的表现是变好还是变差。
156 00:18:28,115 --> 00:18:29,757 说话人 SPEAKER_07：如果表现变好了，你就保留这个变化。
157 00:18:30,498 --> 00:18:32,779 说话人 SPEAKER_07：如果表现变差了，你就把它丢弃。
158 00:18:33,601 --> 00:18:37,884 说话人 SPEAKER_07：也许你会改变方向，这已经是两倍的性能提升了。
159 00:18:38,978 --> 00:18:40,941 说话人 SPEAKER_07：但这是一种极其缓慢的学习算法。
160 00:18:40,961 --> 00:18:41,662 说话人 SPEAKER_07：它将会工作。
161 00:18:42,564 --> 00:18:46,951 说话人 SPEAKER_07：但它所达到的效果可以通过反向传播许多许多倍地更快地实现。
162 00:18:47,612 --> 00:18:50,876 讲者 SPEAKER_07：所以你可以把反向传播看作是这个算法的高效版本。
163 00:18:52,799 --> 00:19:00,952 讲者 SPEAKER_07：在反向传播中，我们不是改变一个权重并测量它对网络性能的影响，
164 00:19:01,372 --> 00:19:05,397 讲者 SPEAKER_07：而是利用网络中所有的权重都在计算机内的这一事实。
165 00:19:06,180 --> 00:19:10,346 讲者 SPEAKER_07：利用这一事实来计算权重变化对性能的影响。
166 00:19:10,926 --> 00:19:13,009 说话人 SPEAKER_07：您将对所有权重并行进行操作。
167 00:19:13,671 --> 00:19:20,642 说话人 SPEAKER_07：如果您有一百万个权重，您可以并行计算这些权重中任何一个微小变化对性能的影响。
168 00:19:21,202 --> 00:19:22,885 说话人 SPEAKER_07：然后您可以并行更新它们。
169 00:19:23,866 --> 00:19:28,914 说话人 SPEAKER_07：这有其自身的问题，但它的速度会比之前的算法快一百万倍。
170 00:19:29,873 --> 00:19:32,998 众多媒体人士将其描述为指数级加速。
171 00:19:33,578 --> 00:19:35,540 实际上，这是一个线性加速。
172 00:19:35,622 --> 00:19:37,924 “指数”这个词被过度地平方使用了。
173 00:19:42,592 --> 00:19:49,001 因此我们回到了反向传播，你需要在网络中进行正向传播。
174 00:19:49,321 --> 00:19:51,325 说话人 SPEAKER_07：你看一下输出结果是什么。
175 00:19:51,457 --> 00:19:58,243 说话人 SPEAKER_07：然后使用你得到的结果和期望结果之间的差异，进行反向传播，这与正向传播有类似的风格。
176 00:19:58,704 --> 00:20:03,028 说话人 SPEAKER_07：这就像是高中或者可能是大学一年级的微积分。
177 00:20:03,829 --> 00:20:09,576 说话人 SPEAKER_07：现在你可以并行计算出每个权重应该改变的方向。
178 00:20:10,317 --> 00:20:13,240 说话人 SPEAKER_07：然后非常令人惊讶的是，你不需要对整个训练集都这样做。
179 00:20:13,259 --> 00:20:15,422 说话人 SPEAKER_07：你只需要取一小批示例。
180 00:20:15,924 --> 00:20:19,249 说话人 SPEAKER_07：然后在这个示例批次中，你计算如何改变连接强度。
181 00:20:19,970 --> 00:20:22,772 说话人 SPEAKER_07：你可能会因为那个示例批次的问题而出错。
182 00:20:23,173 --> 00:20:24,173 说话人 SPEAKER_07：但你还是改变了它们。
183 00:20:24,193 --> 00:20:25,635 说话人 SPEAKER_07：然后你取另一批例子。
184 00:20:26,115 --> 00:20:28,818 说话人 SPEAKER_07：这被称为随机梯度下降。
185 00:20:28,838 --> 00:20:39,211 说话人 SPEAKER_07：我想神经网路社区的最重要的发现之一就是随机梯度下降，尽管它实际上没有工作的权利，但实际上工作得非常好。
186 00:20:40,913 --> 00:20:42,654 说话人 SPEAKER_07：但在规模上它确实工作得很好。
187 00:20:42,694 --> 00:20:45,357 说话人 SPEAKER_07：如果你给它大量的数据和大的网络，
188 00:20:46,012 --> 00:20:46,854 说话人 SPEAKER_07：它就显示出颜色了。
189 00:20:50,140 --> 00:20:57,571 说话人 SPEAKER_07：然而，在 20 世纪 80 年代，我们对反向传播非常、非常满意。
190 00:20:57,612 --> 00:21:01,939 说话人 SPEAKER_07：它似乎解决了问题，我们相信它将解决一切。
191 00:21:03,020 --> 00:21:10,031 说话人 SPEAKER_07：实际上它在语音识别和一些物体识别方面做得相当不错，但基本上是个失望。
192 00:21:10,092 --> 00:21:11,835 说话人 SPEAKER_07：它的工作效果远没有我们想象的那么好。
193 00:21:12,727 --> 00:21:14,229 说话人 SPEAKER_07：真正的问题在于为什么。
194 00:21:14,368 --> 00:21:19,215 说话人 SPEAKER_07：当时，人们都有各种分析为什么它不起作用，其中大部分都是错误的。
195 00:21:20,057 --> 00:21:21,880 说话人 SPEAKER_07：他们说，它陷入了局部最优。
196 00:21:22,319 --> 00:21:23,662 说话人 SPEAKER_07：我们现在知道那不是问题。
197 00:21:26,806 --> 00:21:37,401 说话人 SPEAKER_07：当其他学习算法在修改后的数据集上比反向传播表现更好时，机器学习社区的大多数人接受了这样的观点，
198 00:21:37,869 --> 00:21:46,046 说话人 SPEAKER_07：你们这些人在尝试的事情是从随机权重中学习这些深层多层网络，仅使用随机梯度下降。
199 00:21:46,487 --> 00:21:47,449 说话人 SPEAKER_07：这太疯狂了。
200 00:21:48,250 --> 00:21:49,553 说话人 SPEAKER_07：这永远不会成功。
201 00:21:49,593 --> 00:21:51,016 说话人 SPEAKER_07：你要求得太多了。
202 00:21:52,439 --> 00:21:56,547 说话者 SPEAKER_07：除非你投入大量手工设计，否则根本无法让这样的系统工作。
203 00:21:57,628 --> 00:21:59,692 说话者 SPEAKER_07：你以某种方式融入了一些先验知识。
204 00:22:00,432 --> 00:22:08,285 说话者 SPEAKER_07：例如，语言学家们被灌输了一种观念，认为许多语言是与生俱来的，没有先验知识你是不可能学会语言的。
205 00:22:08,305 --> 00:22:13,773 说话者 SPEAKER_07：事实上，他们有数学定理证明，没有先验知识你是不可能学会语言的。
206 00:22:14,836 --> 00:22:18,863 说话人 SPEAKER_07：我对这个的回答是警惕带着定理的数学家。
207 00:22:23,820 --> 00:22:26,526 说话人 SPEAKER_07：所以我只想给你一些非常愚蠢的理论。
208 00:22:26,786 --> 00:22:28,709 说话人 SPEAKER_07：我是蒙提·派森的粉丝。
209 00:22:28,789 --> 00:22:30,172 说话人 SPEAKER_07：所以这里有几个非常愚蠢的理论。
210 00:22:31,654 --> 00:22:33,917 说话人 SPEAKER_07：大陆曾经是相连的，然后逐渐分离。
211 00:22:34,479 --> 00:22:37,505 说话人 SPEAKER_07：你可以想象地质学家当时认为这个理论多么荒谬。
212 00:22:38,926 --> 00:22:43,134 说话人 SPEAKER_07：从随机权重和没有先验知识开始的巨大神经网络可以学会进行机器翻译。
213 00:22:43,836 --> 00:22:46,420 说话人 SPEAKER_07：这个理论在许多人看来非常荒谬。
214 00:22:47,075 --> 00:22:53,641 说话人 SPEAKER_07：再补充一点，如果你使用一种天然疗法并且不断稀释它，你稀释得越多，它就越有效。
215 00:22:55,442 --> 00:22:56,984 说话人 SPEAKER_07：有些人也这么认为。
216 00:23:02,230 --> 00:23:06,574 说话人 SPEAKER_07：所以上面的引言实际上是从大陆漂移文献中摘录的。
217 00:23:07,775 --> 00:23:14,000 说话人 SPEAKER_07：魏格纳在 1912 年提出了这个观点，尽管他实际上有很好的论据，但还是被嘲笑了一顿。
218 00:23:14,761 --> 00:23:16,103 说话人 SPEAKER_07：他没有一个好的机制。
219 00:23:16,640 --> 00:23:22,346 说话人 SPEAKER_07：地质界说，你知道，我们必须把这些东西从教科书中和杂志中排除出去。
220 00:23:22,405 --> 00:23:23,567 说话人 SPEAKER_07：这只会让人困惑。
221 00:23:25,308 --> 00:23:28,613 说话人 SPEAKER_07：我们在第二次神经网络冬天有过这样的小经验。
222 00:23:30,775 --> 00:23:36,480 讲者 SPEAKER_07：所以 NIPS，在所有会议中，拒绝了我的论文。
223 00:23:38,723 --> 00:23:46,291 讲者 SPEAKER_07：那些事情你不会忘记。
