1 00:00:00,908 --> 00:00:02,549 演讲者 演讲者_06: 大家好。
46 00:04:56,274 --> 00:05:01,422 等变的想法是，当视角改变时，表示中的某些内容也会改变。
47 00:05:02,295 --> 00:05:22,120 所以我认为在我们的感知系统中，当你的视角改变时，神经活动的模式会改变，但代表标签的模式不会改变，显然你希望它保持不变，但代表你感知的模式会改变很多，而不会随着视角改变的是权重，以及编码事物之间关系的权重。
48 00:05:22,139 --> 00:05:23,240 这将在稍后变得清晰。
49 00:05:25,060 --> 00:05:26,882 讲者 SPEAKER_07：卷积神经网络也无法解析图像。
50 00:05:27,461 --> 00:05:36,470 讲者 SPEAKER_07：当卷积神经网络识别图像时，如果你只进行一次遍历，它不会进行任何明确的解析，说明这个属于那个，这个不属于那个。
51 00:05:37,230 --> 00:05:49,480 讲者 SPEAKER_07：相反，你可以将卷积神经网络想象为以各种像素位置为中心，你得到越来越丰富的关于该像素位置发生情况的描述，这取决于越来越多的上下文。
52 00:05:49,802 --> 00:05:53,564 讲者 SPEAKER_07：最终，你得到如此丰富的描述，以至于你知道图像中有什么物体。
53 00:05:56,026 --> 00:05:57,817 演讲者 SPEAKER_07：但他们并没有明确解析图像。
54 00:06:00,142 --> 00:06:13,235 演讲者 SPEAKER_07：卷积神经网络（CNN）在识别物体方面与人类的方式截然不同，因为我可以拿一张图片，添加一点噪声，CNN 会将其识别为完全不同的东西，而我几乎看不到它有任何变化。
55 00:06:14,357 --> 00:06:16,298 演讲者 SPEAKER_07：这看起来真的很奇怪。
56 00:06:17,060 --> 00:06:22,665 演讲者 SPEAKER_07：我认为这是 CNN 实际上使用与我们非常不同的信息来识别图像的证据。
57 00:06:23,105 --> 00:06:29,711 讲者 SPEAKER_07：这并不是说它错了，他们只是以非常不同的方式来做，他们的方式在泛化方面有一些差异。
58 00:06:33,067 --> 00:06:44,144 对 CNN 的另一个抱怨是它们通过取下层活动与某些权重的标量积来激活事物，这提供了证据，并将证据相加。
59 00:06:44,165 --> 00:06:45,646 如果它们有足够的证据，事物就会激活。
60 00:06:46,988 --> 00:06:50,535 有一种非常不同的方式来激活事物，那就是寻找巧合。
61 00:06:51,291 --> 00:07:00,598 讲者 SPEAKER_07：巧合真的很重要，就像物理学的大部分内容都是关于你可以进行的两种不同测量的巧合，方程式的两边。
62 00:07:01,420 --> 00:07:03,968 讲者 SPEAKER_07：理论和实验之间存在巧合。
63 00:07:04,201 --> 00:07:08,369 讲者 SPEAKER_07：在高维度中，如果你得到一个高维度的巧合，那是非常有意义的。
64 00:07:08,709 --> 00:07:24,658 讲者 SPEAKER_07：如果你在过滤无线电交通时看到 9 月 9 日，纽约，然后在另一条信息中看到 9 月 9 日，纽约，只有少数几个这样的，如果它们都是 9 月 9 日和纽约，那是非常有意义的，因为这是一个高维度的巧合。
65 00:07:25,819 --> 00:07:27,963 讲者 SPEAKER_07：现在我们使用的神经元类型
66 00:07:29,108 --> 00:07:30,550 讲者 SPEAKER_07：不要做巧合。
67 00:07:31,170 --> 00:07:33,553 讲者 SPEAKER_07：这不再成立了，因为我们开始使用 Transformer。
68 00:07:33,613 --> 00:07:36,738 讲者 SPEAKER_07：Transformer 确实会做一些巧合，我稍后会解释。
69 00:07:37,600 --> 00:07:42,146 演讲者 SPEAKER_07：通过两个活动向量的标量积来激活事物会更好。
70 00:07:42,206 --> 00:07:43,687 演讲者 SPEAKER_07：这些活动向量匹配吗？
71 00:07:43,767 --> 00:07:44,910 演讲者 SPEAKER_07：如果是这样，就激活。
72 00:07:45,511 --> 00:07:46,632 演讲者 SPEAKER_07：这就是变压器所做的事情。
73 00:07:47,473 --> 00:07:49,315 演讲者 演讲者_07：这使得过滤器更好。
74 00:07:50,117 --> 00:07:53,341 演讲者 演讲者_07：这也使得对协方差结构响应更好的事物。
75 00:07:53,843 --> 00:07:57,747 演讲者 演讲者_07：在图像中，重要的是协方差结构，像素的协方差结构。
76 00:08:00,091 --> 00:08:03,437 演讲者 演讲者_07：CNNs 的最后一个也是最糟糕的问题是它们不使用坐标系。
77 00:08:04,399 --> 00:08:09,548 演讲者 SPEAKER_07：所以当你看到任何东西时，你会看到一个形状，你会施加一个坐标系。
78 00:08:09,928 --> 00:08:11,952 演讲者 SPEAKER_07：这是人类感知的基本方面。
79 00:08:12,514 --> 00:08:13,836 演讲者 SPEAKER_07：我将尝试说服你们这一点。
80 00:08:14,336 --> 00:08:17,783 演讲者 SPEAKER_07：由于时间不多，我将快速说服你们这一点。
81 00:08:18,345 --> 00:08:22,752 演讲者 SPEAKER_07：我有一些美丽的演示可以让你信服，但我没有时间展示它们。
82 00:08:22,773 --> 00:08:23,954 演讲者 SPEAKER_07：这个差距还不够大。
83 00:08:25,875 --> 00:08:30,923 演讲者 SPEAKER_07：所以，你会在那里看到一个国家，这个国家看起来有点像澳大利亚。
84 00:08:32,664 --> 00:08:38,553 演讲者 SPEAKER_07：当我告诉你它不是垂直的，它是倾斜的，你可以把它看作是非洲。
85 00:08:38,594 --> 00:08:43,660 讲者 SPEAKER_07：一旦你把它看作是非洲，它看起来就与当你把它看作是一种镜面翻转的澳大利亚时完全不同。
86 00:08:44,822 --> 00:08:50,230 讲者 SPEAKER_07：但人们最初并不把它看作是非洲，他们会把它看作是一个他们不认识的国度，如果他们被告知这是一个国度的话。
87 00:08:50,210 --> 00:08:57,716 讲者 SPEAKER_07：如果你看右边的例子，你可以看到它要么是一个直立钻石，要么是一个倾斜的方形。
88 00:08:58,879 --> 00:09:02,312 讲者 SPEAKER_07：你对它的感知完全不同，取决于你从哪个角度看它。
89 00:09:03,236 --> 00:09:09,903 讲者 SPEAKER_07：如果你把它看作一个直立钻石，你会非常清楚左下角和右下角是否完全处于同一高度。
90 00:09:10,222 --> 00:09:11,764 讲者 SPEAKER_07：你会注意到一个微小的差距。
91 00:09:12,706 --> 00:09:15,488 讲者 SPEAKER_07：但实际上你并不清楚这些角是否是直角。
92 00:09:15,888 --> 00:09:16,708 讲者 SPEAKER_07：你只是没有注意到。
93 00:09:17,649 --> 00:09:25,037 演讲者 SPEAKER_07：所以如果我把两个角垂直拉开，角度就不会是直角，但它仍然看起来像一颗完美的钻石。
94 00:09:25,937 --> 00:09:30,562 演讲者 SPEAKER_07：然而，如果你把它看作是一个倾斜的方形，你会非常清楚角度是否是直角。
95 00:09:30,621 --> 00:09:33,244 演讲者 SPEAKER_07：如果我将它们改变两度，你就会注意到。
96 00:09:33,224 --> 00:09:37,388 演讲者 SPEAKER_07：但你根本不会意识到两侧的两个角是否在同一高度。
97 00:09:38,428 --> 00:09:42,732 演讲者 SPEAKER_07：所以你根据所施加的坐标系不同，会有完全不同的内部感知。
98 00:09:44,033 --> 00:09:46,436 演讲者 SPEAKER_07：卷积神经网络实际上无法解释这一点。
99 00:09:47,177 --> 00:09:51,941 演讲者 SPEAKER_07：你给他们一个输入，他们有一个感知，而这个感知并不依赖于施加坐标系。
100 00:09:52,761 --> 00:10:00,109 演讲者 SPEAKER_07：我想这与对抗样本有关，并且与卷积神经网络以与人类完全不同的方式进行感知的事实有关。
101 00:10:02,047 --> 00:10:06,620 讲者 SPEAKER_07：我认为将计算机视觉视为逆向计算机图形学是一个非常不错的办法。
102 00:10:06,639 --> 00:10:07,501 讲者 SPEAKER_07：这绝非新观点。
103 00:10:07,523 --> 00:10:09,226 讲者 SPEAKER_07：我想这可以追溯到伯特奥尔·霍恩。
104 00:10:09,869 --> 00:10:12,275 讲者 SPEAKER_07：实际上，可能还要早得多。
105 00:10:14,567 --> 00:10:27,187 讲者 SPEAKER_07：所以图形程序使用层次模型，通过矩阵来模拟空间结构，这些矩阵将整个嵌入的坐标系与部分嵌入的坐标系联系起来。
106 00:10:27,207 --> 00:10:30,712 讲者 SPEAKER_07：所以你必须选择一个整体对象，嵌入一个坐标系，你必须选择它是什么。
107 00:10:31,114 --> 00:10:32,755 讲者 SPEAKER_07：对于部分，你必须嵌入一个坐标系。
108 00:10:33,076 --> 00:10:37,803 讲者 SPEAKER_07：一旦我完成了这个，我就可以说部分与整体之间的关系，这只是一个矩阵运算。
109 00:10:38,304 --> 00:10:39,746 讲者 SPEAKER_07: 我们现在先考虑刚性物体。
110 00:10:40,589 --> 00:10:42,751 讲者 SPEAKER_07: 这意味着它是一个线性关系。
111 00:10:43,288 --> 00:10:53,341 讲者 SPEAKER_07: 所以存在一个非常简单的线性结构，这就是计算机图形学所使用的，这也是为什么在计算机图形学中，如果你说，你能从另一个角度展示给我吗？
112 00:10:53,701 --> 00:10:58,707 讲者 SPEAKER_07: 他们不会说，哦，我想，但是我们没有从那个角度训练，所以我们不能从另一个角度展示给你。
113 00:10:58,727 --> 00:11:04,014 演讲者 SPEAKER_07：我们可以把它旋转 15 度给你看，但这也就这样了。
114 00:11:04,972 --> 00:11:15,586 演讲者 SPEAKER_07：他们只是从另一个角度展示给你，因为他们有一个真实的 3D 模型，并且他们通过部件和孔的关系来建模空间结构，这些关系根本不依赖于视角。
115 00:11:16,969 --> 00:11:17,249 演讲者 SPEAKER_07：好的。
116 00:11:18,691 --> 00:11:23,616 演讲者 SPEAKER_07：我认为在处理 3D 物体的图像时不利用这种美丽的结构是疯狂的。
117 00:11:24,658 --> 00:11:26,660 讲者 SPEAKER_07：其中一个原因是
118 00:11:28,581 --> 00:11:34,048 我们知道，你可以推广到长距离的东西，你可以真正外推的线性模型。
119 00:11:34,467 --> 00:11:37,311 如果它比线性更高阶，就很难很好地外推。
120 00:11:37,552 --> 00:11:39,234 但是线性模型，你可以外推得很远。
121 00:11:40,254 --> 00:11:43,057 演讲者 SPEAKER_07：我们一直在寻找线性的潜在流形。
122 00:11:43,457 --> 00:11:45,000 演讲者 SPEAKER_07：在计算机视觉中，我们知道它们是什么。
123 00:11:45,740 --> 00:11:48,302 演讲者 SPEAKER_07：视角是影响图像的最重要因素。
124 00:11:49,323 --> 00:11:52,648 演讲者 SPEAKER_07：在这之下有一个线性结构，但我们没有充分利用它。
125 00:11:55,462 --> 00:12:00,571 讲者 SPEAKER_07: 好的，现在我将要谈论一个特定的系统，称为堆叠胶囊自动编码器。
126 00:12:01,312 --> 00:12:08,745 讲者 SPEAKER_07: 对于阅读过任何关于胶囊内容的人来说，我想尝试澄清这是胶囊的不同版本。
127 00:12:08,904 --> 00:12:11,970 讲者 SPEAKER_07: 每年都会有全新的胶囊版本。
128 00:12:11,950 --> 00:12:16,956 讲者 SPEAKER_07: 所以在 2017 年的 NIPS 会议中有一个版本实现了路由功能。
129 00:12:17,456 --> 00:12:22,322 演讲者 SPEAKER_07：然后还有一个 2018 年在 ICLR 上使用的 EM 算法版本。
130 00:12:23,024 --> 00:12:28,270 演讲者 SPEAKER_07：还有 2019 年在 EURIPS 上的这个新版本，我现在就讲这个。
131 00:12:29,852 --> 00:12:32,196 演讲者 SPEAKER_07：所以，忘记你之前所知道的所有版本。
132 00:12:32,255 --> 00:12:38,143 演讲者 SPEAKER_07：它们都是错误的，但这个是对的。
133 00:12:39,861 --> 00:12:43,666 讲者 SPEAKER_07：之前的版本使用了判别性学习，我知道这是一个坏主意。
134 00:12:43,686 --> 00:12:45,547 讲者 SPEAKER_07：我一直知道无监督学习是正确的做法。
135 00:12:45,888 --> 00:12:47,909 讲者 SPEAKER_07：所以之前的模型是心怀叵测的。
136 00:12:49,431 --> 00:12:52,293 讲者 SPEAKER_07：它们还使用了部分-整体关系，这非常可疑。
137 00:12:53,034 --> 00:12:56,437 讲者 SPEAKER_07：使用整体-部分关系会更好。
138 00:12:56,498 --> 00:13:07,548 讲者 SPEAKER_07：如果你尝试使用部分-整体关系，如果部分比整体自由度少，比如它是一个点，而你正在寻找星座，仅知道一个点的位置是无法预测星座的姿态的。
139 00:13:07,568 --> 00:13:08,889 讲者 SPEAKER_07：你需要使用很多这样的点。
140 00:13:08,870 --> 00:13:11,297 讲者 SPEAKER_07：所以单个部分不能为整体做出预测。
141 00:13:12,740 --> 00:13:18,336 讲者 SPEAKER_07：在这个新版本中，我们正在进行无监督学习，并使用整体-部分关系。
142 00:13:20,160 --> 00:13:23,149 讲者 SPEAKER_07：胶囊网络的想法是...
143 00:13:25,052 --> 00:13:30,557 讲者 SPEAKER_07：为了在神经网络中构建更多结构，并希望这种额外的结构能帮助您更好地泛化。
144 00:13:30,817 --> 00:13:32,419 讲者 SPEAKER_07：这受到了卷积神经网络（CNN）的启发。
145 00:13:33,179 --> 00:13:36,803 讲者 SPEAKER_07：在 CNN 中，Jan 只增加了一点点结构。
146 00:13:37,283 --> 00:13:38,345 讲者 SPEAKER_07：非常简单的结构。
147 00:13:38,966 --> 00:13:42,609 讲者 SPEAKER_07：让你的特征检测器在翻译中重复使用。
148 00:13:43,169 --> 00:13:44,270 讲者 SPEAKER_07：这是一个巨大的胜利。
149 00:13:45,871 --> 00:13:48,134 演讲者 SPEAKER_07：我们能否再进一步？
150 00:13:48,594 --> 00:13:52,477 演讲者 SPEAKER_07：也许我们还能加入一些模块化结构，以便获取解析树等？
151 00:13:53,099 --> 00:14:06,302 所以胶囊将代表，它将学习应该代表什么实体，并将具有该实体的某些参数。
152 00:14:08,144 --> 00:14:14,735 在2019版本的胶囊中，这是最终和正确的版本，
153 00:14:15,796 --> 00:14:26,307 演讲者 SPEAKER_07：将有一个逻辑单元，那是一个浅蓝色的小东西，表示这个实体是否存在于当前图像中，无论这个胶囊覆盖的位置在哪里。
154 00:14:26,327 --> 00:14:28,211 演讲者 SPEAKER_07：所以胶囊本身也可以是卷积的。
155 00:14:30,113 --> 00:14:42,246 演讲者 SPEAKER_07：它将有一个矩阵，那是一个红色的小东西，表示被这个胶囊表示的实体或该实体的嵌入固有坐标系与相机之间的空间关系。
156 00:14:42,868 --> 00:14:45,650 演讲者 SPEAKER_07：所以它告诉你它是怎么放置的，有多大，在哪里等等。
157 00:14:46,508 --> 00:14:51,397 演讲者 SPEAKER_07：它将具有一系列其他属性，其中包括关于变形的内容。
158 00:14:51,437 --> 00:14:59,392 演讲者 SPEAKER_07：如果你处理视频，它们将包括关于速度、颜色等内容。
159 00:14:59,412 --> 00:15:05,562 演讲者 SPEAKER_07：再次强调，因为这是重点，它们擅长捕捉内在几何形状。
160 00:15:07,230 --> 00:15:18,644 演讲者 SPEAKER_07：因此，代表一个物体的胶囊可以从其姿态预测各个部分的姿态，并且当改变视角时，其姿态与部分姿态之间的关系不会改变。
161 00:15:19,144 --> 00:15:22,607 讲者 SPEAKER_07：如果我旋转整个物体，整体与部分之间的关系保持不变。
162 00:15:23,448 --> 00:15:26,272 讲者 SPEAKER_07：这就是你想要放入神经网络权重中的内容。
163 00:15:26,832 --> 00:15:33,120 讲者 SPEAKER_07：这就是你想要存储的知识，然后你想要使用这种知识进行识别，这种知识不依赖于视角。
164 00:15:39,479 --> 00:15:41,869 讲者 SPEAKER_07：所以这是你需要尝试理解的幻灯片。
165 00:15:41,909 --> 00:15:44,200 讲者 SPEAKER_07：如果您理解这张幻灯片，您就理解了新的模型。
166 00:15:45,345 --> 00:15:49,523 讲者 SPEAKER_07：我们的想法是会有一种自动编码器。
167 00:15:50,852 --> 00:15:55,159 讲者 SPEAKER_07：我们最初将贪婪地做，即取一些像素。
168 00:15:55,221 --> 00:15:56,863 讲者 SPEAKER_07：从一些像素中，您可以得到一些部分。
169 00:15:57,224 --> 00:15:58,706 演讲者 SPEAKER_07：从某些部分，你可以得到更大的部分。
170 00:15:58,726 --> 00:16:00,328 演讲者 SPEAKER_07：从更大的部分，你可以得到更大的部分。
171 00:16:01,511 --> 00:16:08,844 演讲者 SPEAKER_07：这将是一个贪婪的过程，因为一旦你从像素中提取出部分，你就不会自上而下地修正你对这些部分估计。
172 00:16:09,345 --> 00:16:10,226 演讲者 SPEAKER_07：你将接受这个结果。
173 00:16:10,768 --> 00:16:15,054 演讲者 SPEAKER_07：在更高一级别，你将尝试找出如何将这些部分组合成一个更熟悉的整体。
174 00:16:17,025 --> 00:16:25,835 演讲者 SPEAKER_07：所以，我向你展示的是两层自编码器中的一层解码器。
175 00:16:26,775 --> 00:16:29,499 演讲者 SPEAKER_07：但我们使用的单元不再是神经元了。
176 00:16:29,519 --> 00:16:32,280 演讲者 SPEAKER_07：它们是更复杂的东西，称为胶囊。
177 00:16:32,301 --> 00:16:37,066 演讲者 SPEAKER_07：在底层，我们已经从图像中推断出了一些胶囊。
178 00:16:37,787 --> 00:16:39,128 演讲者 SPEAKER_07：这是归纳步骤。
179 00:16:39,148 --> 00:16:42,932 演讲者 SPEAKER_07：我们已经有一些低层胶囊了。
180 00:16:44,735 --> 00:16:46,038 演讲者 SPEAKER_07：你知道，这相当令人厌恶。
181 00:16:46,360 --> 00:16:55,048 演讲者 SPEAKER_07：你知道它们是否存在，它们的属性向量是什么，它们的姿态是什么，它们与摄像机的相对位置如何。
182 00:16:56,091 --> 00:17:08,336 演讲者 SPEAKER_07：提取这些信息后，你现在想要学习下一层，或者想要推断下一层，这将是某些高级胶囊，而且最好有一个高级胶囊可以解释多个低级胶囊。
183 00:17:08,857 --> 00:17:11,061 演讲者 SPEAKER_07：这时候你就知道你正在取得进展。
184 00:17:11,102 --> 00:17:15,130 演讲者 SPEAKER_07：你已经用整个胶囊解释了看到的几个胶囊，即部分胶囊。
185 00:17:16,577 --> 00:17:26,452 演讲者 SPEAKER_07：好的，在生成模型中，我们实际上并不是生成低级数据，而是在生成低级数据应该是什么的预测。
186 00:17:27,614 --> 00:17:29,155 演讲者 SPEAKER_07：从高级胶囊中。
187 00:17:30,057 --> 00:17:45,176 演讲者 SPEAKER_07：我们首先做的是取胶囊中的参数向量，那些点状的绿色线条表示，使用我们为这个实体提取的参数，我们预测特定部分与整体的空间关系将是什么。
188 00:17:45,798 --> 00:17:48,280 演讲者 SPEAKER_07：如果是刚性实体，你不需要点状的绿色线条。
189 00:17:48,320 --> 00:17:52,145 演讲者 SPEAKER_07：那里的绿色矩阵可以是常数。
190 00:17:52,165 --> 00:17:54,229 演讲者 SPEAKER_07：但对于灵活的东西，你需要那些带点的绿色线条。
191 00:17:56,133 --> 00:18:10,574 演讲者 SPEAKER_07：然后每个高级胶囊，我稍后会解释它们是如何实例化的，但每个实例化的高级胶囊都会为从图像中提取的每个低级胶囊的姿势做出预测。
192 00:18:11,815 --> 00:18:23,592 演讲者 SPEAKER_07：所以那种有三个红色方框的垂直椭圆内，那是三个不同高级胶囊对特定低级胶囊姿势的预测。
193 00:18:25,141 --> 00:18:28,930 演讲者 SPEAKER_07：我们感兴趣的是，这些人中有一个应该能够解释它。
194 00:18:29,711 --> 00:18:30,835 演讲者 SPEAKER_07：所以我们使用混合模型。
195 00:18:31,236 --> 00:18:36,888 演讲者 SPEAKER_07：混合模型的基本假设是其中之一是解释，但通常我不知道是哪一个。
196 00:18:39,586 --> 00:18:54,232 演讲者 SPEAKER_07：现在我们有一个目标函数，我们希望最大化在混合模型下，由高级胶囊产生的混合模型对已经观察到的姿态的日志概率。
197 00:18:55,174 --> 00:18:58,641 演讲者 SPEAKER_07：在这种混合模型下，你可以计算对数概率。
198 00:19:00,561 --> 00:19:07,670 演讲者 SPEAKER_07：我们将通过反向传播来训练整个系统，以便学习实例化哪些高级胶囊。
199 00:19:08,431 --> 00:19:17,821 演讲者 SPEAKER_07：当你通过混合模型进行反向传播时，那些无法很好地解释数据的混合元素基本上没有后验责任。
200 00:19:17,922 --> 00:19:22,007 演讲者 SPEAKER_07：当你进行反向传播时，修复它们是没有意义的，因为它们没有帮助。
201 00:19:22,647 --> 00:19:26,231 演讲者 SPEAKER_07：通常来说，做最好解释的元素在调整后会有最大的导数。
202 00:19:27,105 --> 00:19:32,319 演讲者 SPEAKER_07：好吧，如果不小心的话，我的时间就要用完了，但这是生成模型。
203 00:19:32,641 --> 00:19:35,087 演讲者 SPEAKER_07：注意，生成模型有两个内置的东西。
204 00:19:35,568 --> 00:19:42,027 演讲者 SPEAKER_07：它有这样一个观点，即每个低级胶囊正好由一个高级胶囊解释。
205 00:19:42,344 --> 00:19:44,086 讲者 SPEAKER_07：这就是分析树的概念，对吧？
206 00:19:44,366 --> 00:19:47,451 讲者 SPEAKER_07：在分析树中，每个元素只有一个祖先。
207 00:19:50,074 --> 00:20:08,317 讲者 SPEAKER_07：它还包含了一个概念，即低级胶囊的姿态是通过矩阵乘法从高级胶囊到相机的关系以及部分到整体的关系推导出来的，这将给出部分到相机的关系。
208 00:20:09,614 --> 00:20:17,092 讲者 SPEAKER_07：因此，我们在视觉中加入了两个最重要的东西，即处理视角和推导分析树。
209 00:20:19,017 --> 00:20:22,243 演讲者 SPEAKER_07: 但是我们还没有做，我还没有做的是向您展示如何在这里进行编码。
210 00:20:22,726 --> 00:20:24,209 演讲者 SPEAKER_07: 当然，这就是感知。
211 00:20:24,269 --> 00:20:25,412 演讲者 SPEAKER_07: 感知就是编码器。
212 00:20:28,548 --> 00:20:30,250 演讲者 SPEAKER_07: 因此我们面临着一个艰难的推理问题。
我们尝试在胶囊的先前版本中，通过为高级胶囊的姿势投票来设计编码器，并查看这些投票是否一致。
214 00：20：42,625 --> 00：20：43,787 议长 SPEAKER_07：这真的很挑剔。
215 00：20：43,807 --> 00：20：44,989 演讲者 SPEAKER_07：真的很难说对。
Sarah Sabor 付出了很多努力，她确实让它成功了。
217 00:20:49,534 --> 00:20:50,494 演讲者 SPEAKER_07: 但这很困难。
218 00:20:52,157 --> 00:20:56,563 演讲者 SPEAKER_07: 幸运的是，当我们这样做的时候，变压器技术出现了。
219 00:20:56,694 --> 00:20:57,715 演讲者 SPEAKER_07: 它们被用于语言。
220 00:20:57,916 --> 00:20:59,198 演讲者 SPEAKER_07: 变压器技术真的很棒。
221 00:21:00,400 --> 00:21:04,925 演讲者 SPEAKER_07: 我们要做的就是简单地说，我们有一个棘手的推理问题。
222 00:21:05,506 --> 00:21:06,426 演讲者 SPEAKER_07: 你有一些部分。
223 00:21:06,928 --> 00:21:07,949 演讲者 SPEAKER_07: 你想要推断出空洞。
