1 00:00:01,415 --> 00:00:04,479 主持人 主持人_00：请欢迎杰弗里·辛顿和凯德·梅茨。
110 00:09:23,509 --> 00:09:24,370 说话人 说话人_00：这就是人们所做的事情。
111 00:09:24,390 --> 00:09:26,515 说话人 说话人_00：他们说，不，那不是一个四面体。
112 00:09:27,277 --> 00:09:27,938 说话人 说话人_00：让我们看看。
113 00:09:29,081 --> 00:09:32,788 说话者 说话者_00: 那不是一个四面体。
114 00:09:33,650 --> 00:09:34,493 说话者 说话者_00: 那不是一个四面体。
115 00:09:34,653 --> 00:09:36,837 说话者 说话者_00: 他们就这样继续下去。
116 00:09:37,222 --> 00:09:52,092 说话者 说话者_00: 现在我把这些折磨人的工具带到了麻省理工学院，我进行了一个实验，其中水平轴是你作为麻省理工学院教授的年数，垂直轴是你所需的时间（分钟）。
117 00:09:53,068 --> 00:10:02,659 讲者：如果你在麻省理工学院只当了一两年教授，你可以在几分钟内完成，考虑到这两件作品各有五个面且完全相同，它们组成一个四面体，这仍然相当非凡。
118 00:10:03,880 --> 00:10:05,403 讲者：所以你需要解释一下，对吧？
119 00:10:05,682 --> 00:10:06,724 讲者：这太奇怪了。
120 00:10:07,725 --> 00:10:15,253 讲者：如果你在麻省理工学院有终身教职，我试过两个人，他们需要无限的时间。
121 00:10:18,297 --> 00:10:21,220 讲者：这就是终身职位的意义，对吧？
122 00:10:22,921 --> 00:10:31,413 讲者：其中一个人拒绝这么做，另一个人非常奇怪。
123 00:10:31,432 --> 00:10:32,534 讲者：他看了这两块。
124 00:10:32,554 --> 00:10:33,235 讲者：他没有拿起它们。
他只是看了看它们，看了很长时间，然后写下了一个证明，表明这是不可能的。
126 00:10:41,928 --> 00:10:43,211 说话者 说话者_00：他名叫卡尔·休伊特。
127 00:10:43,250 --> 00:10:44,192 发言人 SPEAKER_00：这已经是很久以前的事了。
128 00:10:44,231 --> 00:10:48,337 发言人 SPEAKER_00: 我现在要向你们展示
129 00:10:49,481 --> 00:10:50,182 说话人 SPEAKER_00：这是怎么工作的。
130 00:10:50,562 --> 00:10:52,065 说话人 SPEAKER_00：所以人们这么做。
131 00:10:53,046 --> 00:10:54,207 说话人 SPEAKER_00：不，那不是一个四面体。
132 00:10:54,508 --> 00:10:55,249 说话人 SPEAKER_00：然后他们这么做。
133 00:10:55,288 --> 00:10:56,510 说话人 SPEAKER_00: 不，那不是一个四面体。
134 00:10:56,870 --> 00:10:57,932 说话人 SPEAKER_00: 他们没有做的事情是。
135 00:10:59,794 --> 00:11:01,817 说话人 SPEAKER_00: 现在如果你看那个，那就是你想要的，对吧？
136 00:11:01,836 --> 00:11:03,720 说话人 SPEAKER_00: 那是一个四面体，如果你不知道它是什么的话。
137 00:11:04,860 --> 00:11:05,981 说话者 说话者_00: 真的很容易就能做出一个四面体。
138 00:11:06,001 --> 00:11:06,844 说话者 说话者_00: 你只需要这样做。
139 00:11:07,904 --> 00:11:10,288 说话者 说话者_00: 你只需要把正方形面拼合在一起。
140 00:11:11,188 --> 00:11:12,890 说话者 说话者_00: 那为什么人们做不到呢？
141 00:11:14,474 --> 00:11:17,918 说话者 说话者_00：现在看看这个四面体，并想想你用它使用的坐标系。
142 00:11:18,198 --> 00:11:22,965 说话者 说话者_00：有一条垂直的轴从我的下巴穿过那里的顶峰，一直到底座的中间。
143 00:11:24,706 --> 00:11:31,235 说话者 说话者_00：当我向你展示这些碎片中的一个时，如果我只展示一个，你就在这个碎片上施加一个坐标系。
144 00:11:31,817 --> 00:11:37,124 说话者 说话者_00：它有一个这样的长轴，还有一个这样的轴，还有一个这样的轴。
145 00:11:37,684 --> 00:11:42,591 说话者 说话者_00：这些轴与描述四面体通常使用的轴根本不对齐。
146 00:11:43,921 --> 00:11:48,307 说话者 说话者_00：正因为如此，你无法看到这与四面体有何关联。
147 00:11:50,049 --> 00:11:51,852 说话者 说话者_00：那些解决问题的人是通过推理来解决的。
148 00:11:51,893 --> 00:11:55,697 说话者 说话者_00：他们说，看，四面体，所有的面都是三角形的。
149 00:11:55,958 --> 00:11:57,520 说话人 SPEAKER_00: 我永远也做不出一个三角形。
150 00:11:57,760 --> 00:11:59,224 说话人 SPEAKER_00: 所以一定是这两个面。
151 00:11:59,524 --> 00:12:00,785 说话人 SPEAKER_00: 最后，他们就这样放。
152 00:12:04,971 --> 00:12:08,157 说话人 SPEAKER_00: 所以这整个的目的，嗯，主要目的是为了好玩。
153 00:12:08,277 --> 00:12:13,725 说话者 SPEAKER_00: 但是次要的观点是试图说服你们这些做后框架的人
154 00:12:14,616 --> 00:12:20,363 说话者 SPEAKER_00: 在物体上，他们使用这些框架来理解物体，并且无法克服这一点。
155 00:12:20,423 --> 00:12:25,629 说话者 SPEAKER_00: 这是我们看事物的内在属性，这并不是卷积网络所做的事情。
156 00:12:27,191 --> 00:12:38,682 说话者 SPEAKER_01: 因此，因为这是我们看事物的内在属性，所以你希望产生一个计算系统，在该系统中施加你提到的相同坐标系，即 3D 坐标系，到图像上
157 00:12:38,883 --> 00:12:41,067 说话者 SPEAKER_01：因此可以更好地识别它们，对吧？
158 00:12:41,087 --> 00:12:42,711 说话者 SPEAKER_00：是的，我还有另一条逻辑。
159 00:12:42,831 --> 00:12:45,155 说话者 SPEAKER_00：这是无懈可击的逻辑。
160 00:12:46,438 --> 00:12:49,144 说话者 SPEAKER_00：有两种系统在观点上没有任何问题。
161 00:12:50,427 --> 00:12:53,855 说话人 SPEAKER_00：一个是我们的感知系统，另一个是计算机图形学。
162 00:12:54,676 --> 00:12:55,999 说话人 SPEAKER_00：因此，它们以相同的方式工作。
163 00:12:57,341 --> 00:12:59,726 说话人 SPEAKER_00：这是自然推理。
164 00:13:00,128 --> 00:13:05,053 说话人 SPEAKER_00：所以在计算机图形学中，当有人说“做一个房子”时，你需要做什么。
165 00:13:06,176 --> 00:13:08,938 说话者 说话者_00：所以他们告诉你房子应该在哪儿。
166 00:13:10,240 --> 00:13:12,182 说话者 说话者_00：现在你想要知道门应该在哪儿。
167 00:13:13,105 --> 00:13:16,028 说话者 说话者_00：嗯，你知道房子和门之间的关系。
168 00:13:17,210 --> 00:13:19,052 说话者 说话者_00：那么在数学上你是怎么考虑这个问题的？
169 00:13:19,111 --> 00:13:23,378 说话者 说话者_00：嗯，你给房子设定了一个参考框架，也给门设定了一个参考框架。
170 00:13:23,878 --> 00:13:26,861 说话者 说话者_00：你有两个坐标系，一个用于房子，一个用于门。
171 00:13:26,993 --> 00:13:36,030 说话者 说话者_00：你将它们存储在计算机中，作为关于房子是什么的知识的一部分，存储这两个坐标系之间的关系。
172 00:13:36,432 --> 00:13:40,259 说话者 说话者_00：如何从房子的坐标系转换到门的坐标系。
173 00:13:40,460 --> 00:13:47,549 说话者 SPEAKER_00: 然后对于门，如果你想知道门把手在哪里，你知道门把手的坐标系，你知道门把手相对于门的位置等等。
174 00:13:47,570 --> 00:13:53,216 说话者 SPEAKER_00: 所以计算机图形学从整个物体开始，一直分解到最基本的小东西，比如小三角形。
175 00:13:53,918 --> 00:14:00,147 说话者 SPEAKER_00: 然后进行渲染，这意味着它开始处理光和表面的属性，实际上产生像素。
176 00:14:00,767 --> 00:14:02,669 说话者 SPEAKER_00: 但到那时，它只是在做几何。
177 00:14:04,085 --> 00:14:15,280 说话者 SPEAKER_00：如果您认为我们应该使用与计算机图形处理视角变化相同的方法，因为计算机图形处理视角非常出色，那么您希望反过来操作。
178 00:14:15,301 --> 00:14:16,482 说话者 SPEAKER_00：您要从像素开始。
179 00:14:17,524 --> 00:14:27,918 说话者 SPEAKER_00：您希望进行一个初始阶段，分析光和表面的特性，并得到小块表面的几何形状。
180 00:14:29,500 --> 00:14:32,826 说话者 SPEAKER_00：然后从那里开始，将小块拼接成更大的部分。
181 00:14:34,020 --> 00:14:42,476 说话者 说话者_00：为了用神经网络做到这一点，你需要使用与我们目前使用的非常不同的一种神经网络。
182 00:14:43,398 --> 00:14:45,581 说话者 说话者_00：我应该谈谈我们目前使用的神经网络类型。
183 00:14:46,443 --> 00:14:54,458 说话者 说话者_00：如果你在这个领域待了很长时间，就像我一样，你就会知道我们现在使用的神经网络并没有什么特别之处。
184 00:14:54,479 --> 00:14:55,640 说话者 说话者_00：我们只是随便创造了它们。
185 00:14:56,363 --> 00:14:58,693 说话人 SPEAKER_00：它们不是，神经网络不是这样的。
186 00:14:59,316 --> 00:15:04,922 说话人 SPEAKER_00：有些人想出了一些技巧，我们有一些效果相当不错的技巧，但还有数百种其他技巧我们没有探索。
187 00:15:05,493 --> 00:15:13,139 说话人 SPEAKER_00：为了让您看到当前最先进的状态有多么原始，我们使用的是这种输入输出曲线的对数单位。
188 00:15:13,799 --> 00:15:15,001 说话人 SPEAKER_00：这是一个像这样的 S 形曲线。
189 00:15:16,123 --> 00:15:18,865 说话人 说话人_00：过去30年，我们之所以使用那些，是因为我们认为那些是最好的。
190 00:15:19,625 --> 00:15:26,251 说话人 说话人_00：然后我们发现，如果输入输出关系是这样的，这就叫做修正线性单元，这些更容易训练。
191 00:15:26,772 --> 00:15:29,413 说话人 说话人_00：所以，过去30年，我们一直在使用错误的东西。
192 00:15:30,014 --> 00:15:31,655 说话人 说话人_00：然后我们发现了一些更好的东西。
193 00:15:32,376 --> 00:15:33,457 说话人 说话人_00：然后我们用了那个。
194 00:15:34,078 --> 00:15:42,517 说话人 说话人_00：嗯，如果我们对这样简单的事情都这么愚蠢，想想看我们在所有其他神经网络中犯了多少错误。
195 00:15:45,222 --> 00:15:49,010 说话人 说话人_00：所以我们可以制造一种不同类型的神经网络，其中将神经元分成小组。
196 00:15:49,633 --> 00:15:51,977 说话人 说话人_00：我将那个小组称为胶囊。
197 00:15:51,998 --> 00:15:53,421 说话人 说话人_00: 在这个胶囊里，
198 00:15:53,822 --> 00:15:55,004 说话人 说话人_00: 你将看到一串数字。
199 00:15:55,625 --> 00:15:57,107 说话人 说话人_00: 这些是神经元的活动。
200 00:15:57,528 --> 00:15:59,410 说话人 说话人_00: 但它们将会是一组组相关的。
201 00:16:00,052 --> 00:16:02,095 说话人 说话人_00：在普通的神经网络中，你只是有很多神经元。
202 00:16:02,475 --> 00:16:06,181 说话人 说话人_00：并没有说明这些神经元和那些神经元是一起的，那些神经元和那些神经元是一起的。
203 00:16:06,461 --> 00:16:07,322 说话人 说话人_00：它可能会学会这样做。
204 00:16:07,341 --> 00:16:09,745 说话人 说话人_00：但在胶囊网络中，我们将提前定义这一点。
205 00:16:10,687 --> 00:16:12,450 说话人 说话人_00: 我们将拥有，比如说，16个神经元。
206 00:16:13,090 --> 00:16:14,091 说话人 说话人_00: 它们都将一起。
207 00:16:15,313 --> 00:16:21,923 说话人 说话人_00: 它们将代表，嗯，这组神经元将变得活跃。
208 00:16:22,105 --> 00:16:24,589 说话人 说话人_00: 还将有一个额外的神经元来表示这组神经元是否活跃。
209 00:16:25,811 --> 00:16:31,320 说话者 SPEAKER_00：当出现特定类型的实体时，它们会变得活跃，比如凯德的鼻子。
210 00:16:32,221 --> 00:16:46,105 说话者 SPEAKER_00：所以我的视觉系统已经发现了鼻子，它将激活许多神经元，这些神经元表示鼻子中嵌入的坐标系与眼球中嵌入的坐标系之间的几何关系。
211 00:16:47,705 --> 00:16:52,673 说话者 SPEAKER_00：这就是我对鼻子的方向、位置和大小的知识。
212 00:16:53,033 --> 00:16:58,422 说话者 SPEAKER_00：这是鼻子中的坐标系与眼球中的坐标系之间的几何关系。
213 00:16:58,442 --> 00:16:59,222 说话者 SPEAKER_00: 好的。
214 00:16:59,243 --> 00:17:04,711 说话者 SPEAKER_00: 可能是一组神经元活跃起来，它们认出了凯德的嘴巴是嘴巴。
215 00:17:05,893 --> 00:17:13,644 说话者 SPEAKER_00: 那组 16 个神经元将代表嘴巴中嵌入的坐标系与我眼球之间的关系。
216 00:17:15,835 --> 00:17:32,701 说话者 SPEAKER_00: 然后，那些认为可能找到了鼻子但并不确定的 16 个神经元，如果它们知道鼻子的视角，就可以预测整个脸部嵌入的坐标系应该与我眼球之间的关系。
217 00:17:33,843 --> 00:17:38,028 说话者：也就是说，它们正在预测我视野中人脸的大小、方向和位置。
218 00:17:39,712 --> 00:17:41,255 说话者：因此，它们做出预测。
219 00:17:41,957 --> 00:17:46,644 说话者：代表老鼠的16个神经元也可以做出预测。
220 00:17:47,025 --> 00:17:48,186 说话者：我希望我之前说过“鼻子”。
221 00:17:48,207 --> 00:17:49,808 说话人 说话人_00：但无论如何，鼻子做出预测。
222 00:17:50,069 --> 00:17:51,151 说话人 说话人_00：嘴巴做出预测。
223 00:17:51,711 --> 00:17:54,957 说话人 说话人_00：这些是每个的16个神经活动。
224 00:17:55,878 --> 00:17:57,520 说话人 说话人_00：当我移动时，你保持静止。
225 00:17:57,761 --> 00:17:59,263 说话人 SPEAKER_00：当我移动时，不，保持不动。
226 00:17:59,284 --> 00:17:59,785 说话人 SPEAKER_00：不要看我。
227 00:18:00,326 --> 00:18:01,688 说话人 SPEAKER_00：当我移动时。
228 00:18:02,359 --> 00:18:06,428 说话人 SPEAKER_00：这 16 个数字会变化，因为他的嘴巴与我眼球的关系发生了变化。
229 00:18:07,029 --> 00:18:08,352 说话人 SPEAKER_00：那么这些都是神经活动。
230 00:18:09,054 --> 00:18:14,766 说话人 SPEAKER_00：但是有一件事是不变的，那就是他的鼻子和脸之间的关系。
231 00:18:16,028 --> 00:18:21,819 说话人 SPEAKER_00：所以我们做的是，我们取代表他的嘴巴与我眼球关系的 16 个数字。
232 00:18:22,458 --> 00:18:25,240 说话人 SPEAKER_00：然后我们用矩阵，一个 4x4 矩阵，将它们相乘。
233 00:18:26,041 --> 00:18:29,926 说话人 SPEAKER_00: 我们实际上将它们形成一个 4x4 的矩阵，然后乘以另一个 4x4 的矩阵。
234 00:18:30,386 --> 00:18:32,589 说话人 SPEAKER_00: 这对于计算机图形学的人来说听起来非常熟悉。
235 00:18:33,270 --> 00:18:37,316 说话人 SPEAKER_00: 我们得到一个矩阵，说明他的脸应该如何与我的眼睛相关联。
236 00:18:38,196 --> 00:18:41,961 说话人 SPEAKER_00: 我们对鼻子和嘴巴也做同样的处理。
237 00:18:43,082 --> 00:18:51,132 说话人 SPEAKER_00: 如果鼻子和嘴巴正确地与面部相关联，它们会对面部姿态做出相同的预测。
238 00:18:52,292 --> 00:18:59,471 说话人 SPEAKER_00: 当我移动时，当我改变我的视角时，鼻子会改变它的预测，因为我已经改变了与他的面部关系。
239 00:19:00,212 --> 00:19:01,576 说话人 SPEAKER_00: 嘴巴也会改变它的预测。
240 00:19:01,596 --> 00:19:03,340 说话人 SPEAKER_00: 但不会改变的是，它们会达成一致。
241 00:19:03,381 --> 00:19:09,576 说话人 SPEAKER_00：所以关于人脸形状的所有知识
242 00:19:10,450 --> 00:19:18,184 说话人 SPEAKER_00：都包含在这些应用于视场矩阵的变换矩阵中，你变换它，你就能预测出人脸的视场。
