1 00:00:00,031 --> 00:00:04,503 众所周知，这是计算机世界的诺贝尔奖。
56 00:03:34,207 --> 00:03:47,745 说话人 说话人_01：所以发生的事情是，电脑可以看到其他人如何回复 Gmail，它可以理解你收到的 Gmail 和其他人收到的 Gmail 之间的关系，即使它们并不完全相同，它也可以推断出可能合适的回复。
57 00:03:48,146 --> 00:03:51,872 说话人 说话人_00：这就是你精确想出来的例子。
58 00:03:51,972 --> 00:04:02,705 说话人 说话人_01：这是一个正在分析 Gmail 中单词的神经网络，神经网络内部有活跃的神经元，它正在预测你可能想要做出的回应。
59 00:04:02,967 --> 00:04:04,087 说话人 说话人_00：所以我可能想要点击它。
60 00:04:04,207 --> 00:04:06,390 说话人 说话人_00：它在为我思考和写作。
61 00:04:06,431 --> 00:04:11,778 说话人 说话人_00：本尼戈教授，您也在语言领域，我们这里有一些视频。
62 00:04:12,118 --> 00:04:14,823 说话人 说话人_00：这也应用于翻译领域。
63 00:04:14,902 --> 00:04:16,584 说话人 说话人_00：如果您能解释一下这部分就好了。
64 00:04:17,290 --> 00:04:18,031 说话人 说话人_02：当然可以。
65 00:04:18,872 --> 00:04:45,492 说话人 SPEAKER_02：所以，这并不是几年前我们预期的，一个神经网络能够将一串单词，也就是一堆没有自身内在意义的符号，通过 Dr. Hinton 所提到的在大神经网络中进行的所有计算，产生另一串单词，这些单词将对应于翻译，比如说，从法语句子到英语句子的翻译。
66 00:04:46,079 --> 00:05:00,639 说话人 SPEAKER_02：而且有趣的是，他们在做所有这些的同时，还捕捉到了一些词的意义，因此具有相似意义和相似语法角色的词最终将以相似的方式表示。
67 00:05:00,838 --> 00:05:06,887 说话人 SPEAKER_02：这使得这些系统能够在新句子中获得正确答案，而这些新句子是他们以前从未见过的。
68 00:05:06,927 --> 00:05:08,829 说话人 SPEAKER_02：这就是为什么这些技术被部署的原因。
69 00:05:09,146 --> 00:05:13,552 说话人 SPEAKER_02：例如，在谷歌翻译和大多数工业翻译系统中。
70 00:05:13,572 --> 00:05:18,980 说话人 SPEAKER_02：但这种技术正在被用于各种自然语言理解任务。
71 00:05:19,439 --> 00:05:24,226 说话人 SPEAKER_00：好的，这是谷歌提供的视频，所以我们从他们展示的角度来看。
72 00:05:24,646 --> 00:05:29,973 说话人 SPEAKER_00：如果我们想进一步探讨应用，Hinton 教授，例如，这对医疗保健有何作用？
73 00:05:30,088 --> 00:05:32,471 说话人 SPEAKER_01：在医疗保健领域将有巨大的应用。
74 00:05:32,951 --> 00:05:44,086 说话人 SPEAKER_01：任何需要解释图像内容的情况，比如 CT 扫描或 X 光片，目前都是由人完成的，而人们各不相同，注意力也会分散。
75 00:05:44,927 --> 00:05:50,132 说话人 SPEAKER_01：计算机在许多这些事情上已经和人类一样好，而且它们还在不断进步。
76 00:05:50,653 --> 00:05:57,901 说话人 SPEAKER_01：所以很快，医生将咨询计算机来商定图像的解释。
77 00：05：57,882 --> 00：06：02,036 演讲者 SPEAKER_01：因为计算机可以看到的图像比医生在有生之年看到的要多得多。
78 00：06：02,117 --> 00：06：02,838 演讲者 SPEAKER_00：太不可思议了。
79 00：06：02,858 --> 00：06：06,264 演讲者 SPEAKER_00：再说一次，我们看视频只是为了说明你在说什么。
80 00:06:06,283 --> 00:06:07,646 说话者 SPEAKER_00：所以你帮助我们开发了它。
81 00:06:08,427 --> 00:06:28,074 说话人 说话人_00：当我听你说话时，尤其是在医疗保健方面，很明显，你看到了潜力，但本吉奥教授，你立刻就能意识到人们为何对此感到焦虑，为何人们担心未来会走向何方，不仅是在与人类合作方面，也许在生活的许多方面，我们的社会，我们的经济，都有可能被取代。
82 00:06:28,055 --> 00:06:31,139 说话人 说话人_00：我们谈论了很多人们对人工智能和机器人的担忧。
83 00:06:31,160 --> 00:06:33,002 说话人 说话人_00：您如何回应他们，本吉奥教授？
84 00:06:34,745 --> 00:06:41,795 说话人 说话人_02：嗯，我认为我们需要就我们如何使用这项技术进行民主讨论。
85 00:06:41,956 --> 00:06:48,966 说话人 SPEAKER_02：它可以用于做好事，例如在医疗保健和许多其他领域，例如在自动驾驶汽车中的交通。
86 00:06:49,406 --> 00:06:52,391 说话人 SPEAKER_02：但它也可能产生负面影响，正如你所说，对就业。
87 00:06:52,432 --> 00:06:56,458 说话人 SPEAKER_02：因此政府需要立即开始考虑这个问题，因为这需要时间来
88 00:06:56,793 --> 00:07:01,718 说话人 SPEAKER_02：调整我们的培训系统或社会保障体系。
89 00:07:02,178 --> 00:07:05,862 说话人 SPEAKER_02：但是，人们对这项技术的滥用也感到担忧。
90 00:07:05,882 --> 00:07:22,480 说话人 SPEAKER_02：为此，政府需要考虑适当的法规和法律，包括国际法规，比如如何管理这些技术在武器，如令人担忧的这些杀人无人机中的使用。
91 00:07:23,185 --> 00:07:23,966 说话人 SPEAKER_00：绝对如此。
92 00:07:24,005 --> 00:07:42,139 说话人 SPEAKER_00：我的意思是，甚至有一个名为“生命未来研究所”的机构，Elon Musk 也参与了其中，试图确保人们像你这样的人开发的所有技术，都用于人类有益的目的，而不是用于你刚才提到的那些令人担忧的事情。
93 00:07:42,119 --> 00:07:48,250 说话人 说话人_00：你知道，政府需要关注这一点，因为制定回应需要时间。
94 00:07:48,670 --> 00:07:50,213 说话人 说话人_00：他们可能没有这么多时间。
95 00:07:50,314 --> 00:07:52,598 说话人 说话人_00：现在这进展得非常非常快。
96 00:07:52,658 --> 00:07:57,548 说话人 说话人_00：你说你在这个行业已经几十年了，但现在它几乎以光速在前进。
97 00：07：57,848 --> 00：08：00,634 演讲者 SPEAKER_00：Hinton 教授，您的未来会是什么样子？
98 00:08:00,918 --> 00:08:10,774 说话人 SPEAKER_01：我认为这种新技术，即通过展示示例让计算机完成工作，将在几乎所有行业中得到应用。
99 00:08:11,136 --> 00:08:21,353 说话人 SPEAKER_01：每当您有数据并希望预测事物时，您只需向计算机展示历史数据的示例以及接下来发生的事情，计算机就能找出规律并开始做出预测。
100 00:08:21,855 --> 00:08:23,617 说话人 SPEAKER_01：例如，它可以预测
101 00:08:23,598 --> 00:08:24,560 说话人 SPEAKER_01：它可以预测洪水。
102 00:08:24,819 --> 00:08:26,463 说话人 SPEAKER_01：它可以预测地震的余震。
103 00:08:26,923 --> 00:08:34,096 说话人 SPEAKER_01：它甚至可以观察你眼睛后面的图像，通过观察视网膜中的血管，它可以预测你是否会心脏病发作。
104 00:08:34,615 --> 00:08:35,798 说话人 SPEAKER_01：它将在每个地方发生。
105 00:08:36,158 --> 00:08:37,902 说话人 SPEAKER_00：在我们生活的各个方面。
106 00:08:37,922 --> 00:08:38,643 说话人 SPEAKER_01：在各个方面。
107 00:08:38,663 --> 00:08:40,446 说话人 SPEAKER_01：这将提高各处的生产力。
108 00:08:41,027 --> 00:08:45,274 说话人 SPEAKER_01：问题是，这种生产力的提高是否会转化为公共利益？
109 00:08:45,875 --> 00:08:47,037 说话人 SPEAKER_01：但这是一个政治问题。
110 00:08:47,076 --> 00:08:48,659 说话人 SPEAKER_01：这不是一个关于技术的问题。
111 00:08:49,096 --> 00:08:58,384 说话人 SPEAKER_00：因为，我想知道，你们是否想对此发表意见，因为我们将不得不就此结束，但这是一个政策制定者的问题。
112 00:08:58,445 --> 00:09:09,775 说话人 SPEAKER_00：有趣的是，我刚刚读到一家公司开发了一种出色的技术，但实际上并没有发布它，因为它担心这项技术在更广泛的社会中的应用。
113 00:09:09,836 --> 00:09:16,302 说话人 SPEAKER_00：我的意思是，你是说科学家们像你们一样可以随意开发任何技术吗？
114 00:09:16,621 --> 00:09:18,663 说话人 SPEAKER_00：我们必须决定限制是什么。
115 00:09:18,711 --> 00:09:22,138 说话人 SPEAKER_01：不，我认为科学家们应该非常清楚他们在开发什么。
116 00:09:22,339 --> 00:09:28,529 说话人 SPEAKER_01：例如，我认为他们可能选择不从事武器研究，因为不良用途太明显了。
117 00:09:29,912 --> 00:09:37,446 说话人 SPEAKER_01：但总体上在各个行业中获得的劳动生产率提高，这是应该造福大众的。
当然，有些工作会失去，但许多其他工作将会得到提升。
119 00：09：43,562 --> 00：09：50,861 演讲者 SPEAKER_01：所以，如果你看一下印刷机，印刷机基本上摆脱了抄写员，但我认为没有人会说我们不应该引入印刷机。
120 00：09：51,567 --> 00：09：52,609 议长 SPEAKER_00：我们拭目以待。
121 00：09：53,009 --> 00：09：56,034 演讲者 SPEAKER_00：很高兴见到你们两位，祝贺你。
122 00:09:56,195 --> 00:10:04,831 说话人 说话人_00：这场对话可以无限进行下去，因为我认为我们作为一个社会需要解决这个问题的很多方面。
123 00:10:04,850 --> 00:10:07,917 说话人 说话人_00：但恭喜你在旧金山，本杰明教授。
124 00:10:08,216 --> 00:10:10,301 说话人 说话人_00：祝您旅途平安，无论您接下来去哪里。
125 00:10:10,321 --> 00:10:12,063 说话人 说话人_00：感谢您抽出时间，辛顿教授。
126 00:10:12,083 --> 00:10:13,225 说话人 说话人_00：很高兴见到你。
127 00:10:13,346 --> 00:10:13,586 说话人 说话人_00：谢谢。
128 00:10:13,606 --> 00:10:14,427 说话人 说话人_00：恭喜你。
129 00:10:14,528 --> 00:10:15,330 说话人 说话人_01：非常感谢。
