1 00:00:05,245 --> 00:00:10,631 说话人 说话人_00：在我们开始之前，我最近在斯坦福做过同样的演讲。
44 00:03:42,093 --> 00:03:43,756 说话人 SPEAKER_00: 像反向传播这样的技术只想工作。
45 00:03:43,776 --> 00:03:44,717 说话人 SPEAKER_00: 你试试，它们是有效的。
46 00:03:46,057 --> 00:03:48,060 说话人 SPEAKER_00: 我还有其他一些想法，但就是不想工作。
47 00:03:49,121 --> 00:03:51,324 说话人 SPEAKER_00: 胶囊式（Capsules）介于两者之间，我们让它工作了。
48 00:03:52,104 --> 00:03:59,532 说话人 SPEAKER_00: 但我现在有一个新理论，可以看作是一种有趣的胶囊模型，其中每个胶囊都是通用的。
49 00:03:59,932 --> 00:04:07,000 说话人 SPEAKER_00：也就是说，不是每个胶囊都只对应一种特定的事物，每个胶囊可以代表任何事物。
50 00:04:09,157 --> 00:04:13,644 说话人 SPEAKER_00：但是硬件仍然以胶囊的形式存在，有时也被称为嵌入。
51 00:04:16,988 --> 00:04:20,634 说话人 SPEAKER_00：所以我将要介绍的想象系统叫做 Glom。
52 00:04:21,475 --> 00:04:25,002 说话人 SPEAKER_00：在 Glom 中，硬件被分配到列中。
53 00:04:26,244 --> 00:04:32,093 说话人 说话人_00：每一列都包含了对图像一小块区域发生情况的多个层次表示。
54 00:04:33,507 --> 00:04:39,394 说话人 说话人_00：所以在某一列中，你可能会有一个较低层次的表示，表明它是鼻孔。
55 00:04:40,475 --> 00:04:42,259 说话人 说话人_00：而更高一个层次可能会说它是鼻子。
56 00:04:42,319 --> 00:04:43,699 说话人 说话人_00：再高一个层次可能会说它是脸部。
57 00:04:43,740 --> 00:04:44,822 说话人 SPEAKER_00: 上升一个层次，一个人。
58 00:04:45,182 --> 00:04:46,644 说话人 SPEAKER_00: 顶层可能说是派对。
59 00:04:47,204 --> 00:04:48,165 说话人 SPEAKER_00: 整个场景就是这样。
60 00:04:50,449 --> 00:04:57,117 说话人 SPEAKER_00: 表示部分-整体层次结构的思想是使用这些不同层次之间的嵌入之间的共识岛屿。
61 00:04:58,346 --> 00:05:06,278 说话人 说话人_00：在场景级别，在最高级别，你希望每个图像块都拥有相同的嵌入，因为每个块都是同一场景的块。
62 00:05:07,261 --> 00:05:13,771 说话人 说话人_00：在物体级别，你希望属于该物体的所有不同块的嵌入都相同。
63 00:05:14,713 --> 00:05:17,697 说话人 说话人_00：因此，当你向上层递进时，你试图使事物越来越相同。
64 00:05:18,439 --> 00:05:21,283 说话人 说话人_00：这就是你如何压缩冗余的方式。
嵌入向量是像指针一样的东西，嵌入向量是动态的，它们是神经激活而不是神经权重，所以为每张图像有不同的嵌入向量是可以的。
66 00：05：39,209 --> 00：05：44,274 演讲者 SPEAKER_00：所以，如果你有一维的补丁行，这里有一张小图片。
67 00：05：45,475 --> 00：05：47,057 演讲者 SPEAKER_00：这些是补丁的列。
68 00:05:48,737 --> 00:05:49,278 说话者 说话者_00：嗯。
69 00:05:49,815 --> 00:05:52,480 说话人 SPEAKER_00: 你会有一个卷积神经网络作为前端。
70 00:05:53,942 --> 00:06:00,350 说话人 SPEAKER_00: 然后在前端之后，你生成最低级别的嵌入，表示每个特定区域的情况。
71 00:06:01,172 --> 00:06:03,956 说话人 SPEAKER_00: 因此，底部黑色箭头的这一层，它们都是不同的。
72 00:06:04,697 --> 00:06:09,343 说话人 SPEAKER_00: 当然，这些嵌入维度可能有数千维，在你的大脑中可能是数十万维。
73 00:06:10,425 --> 00:06:18,456 说话人 说话人_00：二维向量是不对的，但至少我可以通过使用方向来表示两个向量相同的位置。
74 00:06:19,144 --> 00:06:22,887 说话人 说话人_00：在最低级别，所有的补丁都将有不同的表示。
75 00:06:23,968 --> 00:06:30,394 说话人 说话人_00：但在更高一级别，前两个补丁可能属于一个鼻孔，例如。
76 00:06:31,255 --> 00:06:36,821 说话人 说话人_00：所以，是的，它们将具有相同的嵌入。
77 00:06:37,721 --> 00:06:41,985 说话人 SPEAKER_00: 但是再往上一层，前三个补丁可能属于同一个鼻子。
78 00:06:42,966 --> 00:06:44,367 说话人 SPEAKER_00: 因此它们都将拥有相同的嵌入。
79 00:06:45,228 --> 00:06:48,612 说话人 SPEAKER_00: 注意，尽管图像中的内容相当不同，
80 00:06:49,536 --> 00:06:54,264 说话人 SPEAKER_00: 在部件级别，这三个红色向量都应该是相同的。
81 00:06:55,286 --> 00:07:00,112 说话人 SPEAKER_00: 我们正在做的是，对于表面上非常不同的事物，我们得到相同的表示。
82 00:07:00,954 --> 00:07:05,661 说话人 SPEAKER_00: 我们通过给不同的事物相同的表示，在图像中找到空间一致性。
83 00:07:07,083 --> 00:07:11,189 说话人 SPEAKER_00: 在物体层面上，你可能有鼻子和嘴巴。
84 00:07:12,230 --> 00:07:15,055 说话人 SPEAKER_00: 它们是同一个人的脸，是同一张脸的组成部分。
85 00:07:15,187 --> 00:07:20,370 说话人 SPEAKER_00: 因此所有这些向量都是相同的，这个网络还没有稳定下来以产生未见过的内容。
86 00:07:22,324 --> 00:07:26,709 说话人 SPEAKER_00: 所以，共识岛屿捕捉了解析树。
87 00:07:27,310 --> 00:07:29,194 说话人 SPEAKER_00: 现在它们比解析树更强大。
88 00:07:29,793 --> 00:07:33,298 说话人 SPEAKER_00: 它们可以捕捉到像“闭嘴”这样的内容。
你可以在一个层面上拥有关闭和上升是不同的向量，但在更高层面上，关闭和上升可以具有完全相同的向量，即“闭嘴”的向量，它们可以是分离的。
所以你在这里可以做一些比无上下文文法更强大的事情，但基本上它是一个解析树。
如果你是一名物理学家，你可以将这些层面想象成具有实值向量的冰山模型，而不是二进制自旋。
你可以将它们想象成在不同层面之间的坐标变换，这使得它变得更加复杂。
93 00:08:08,459 --> 00:08:19,011 说话人 说话人_00: 这是一种多级糖霜模型，但各级之间存在复杂的交互，因为例如，在红色箭头和它们上面的黑色箭头之间，
94 00:08:19,463 --> 00:08:22,466 说话人 说话人_00: 你需要鼻子和脸之间的坐标变换。
95 00:08:23,427 --> 00:08:24,408 说话人 说话人_00: 但我们稍后再说。
96 00:08:26,471 --> 00:08:29,033 说话人 说话人_00: 如果你不是物理学家，就忽略所有这些，因为那不会帮到你。
97 00:08:33,458 --> 00:08:40,947 讲者：我想开始，这可能是特别适合自然语言课程，因为有些人不是视觉型的人。
98 00:08:41,570 --> 00:08:47,958 讲者：我要尝试向你们证明坐标系并非只是笛卡尔所发明的东西。
99 00:08:48,720 --> 00:08:57,072 讲者：坐标系是大脑很久以前就发明出来的，我们在理解图像时使用坐标系。
100 00:08:58,114 --> 00:09:01,778 讲者：我还想展示图像的句法树的心理学现实。
101 00:09:02,880 --> 00:09:09,129 说话人 SPEAKER_00：所以我将用我在 20 世纪 70 年代很久以前发明的一个任务来做这件事。
102 00:09:09,480 --> 00:09:10,702 说话人 SPEAKER_00：实际上，当我还是研究生的时候。
103 00:09:11,303 --> 00:09:16,030 说话人 SPEAKER_00：你必须完成这个任务才能从中获得全部的好处。
104 00:09:19,274 --> 00:09:27,106 说话人 SPEAKER_00：所以我想让你想象一下，在你面前的桌子上，有一个标准方向的线框立方体。
105 00:09:27,768 --> 00:09:28,990 说话人 SPEAKER_00: 它正放在桌面上。
106 00:09:29,711 --> 00:09:37,481 说话人 SPEAKER_00: 从你的角度看，有一个前下右角和一个后上左角。
107 00:09:37,702 --> 00:09:39,284 说话人 SPEAKER_00: 好了。
108 00:09:40,192 --> 00:09:45,357 说话人 SPEAKER_00: 前下右角正放在桌面上，与其他四个角一起。
109 00:09:46,619 --> 00:09:51,722 说话人 说话人_00：立方体的对角线穿过中心，顶部的左后角就在对角线的另一端。
110 00:09:53,125 --> 00:09:54,206 说话人 说话人_00：到目前为止，一切顺利。
111 00:09:55,105 --> 00:10:02,173 说话人 说话人_00：现在我们要旋转立方体，让这个手指保持在桌面上，而另一个手指垂直地放在它上面。
112 00:10:03,533 --> 00:10:04,575 说话人 说话人_00：这个手指不应该移动过。
113 00:10:05,696 --> 00:10:09,019 说话人 SPEAKER_00: 好的，现在我们已经将立方体调整到一个位置，那个
114 00:10:09,320 --> 00:10:11,302 说话人 SPEAKER_00: 之前是体对角线的现在变成了垂直。
115 00:10:12,201 --> 00:10:19,989 说话人 SPEAKER_00: 你只需要用下面的手指，因为那只手指还在桌面上，然后用下面的手指指向立方体的其他角。
116 00:10:21,049 --> 00:10:22,010 说话人 SPEAKER_00: 所以我想让你实际做一下。
117 00:10:22,051 --> 00:10:22,410 说话人 说话人_00：出发吧。
118 00:10:22,791 --> 00:10:30,518 说话人 说话人_00：用你的拇指，将你的食指放在刚刚变成垂直的那条对角线的另一端，然后指向其他角落。
119 00:10:33,159 --> 00:10:39,225 说话人 说话人_00：幸运的是，这是 Zoom，所以你们大多数人，其他人，都不会看到你们做了什么。
120 00:10:39,442 --> 00:10:41,785 说话人 说话人_00：我看到有些人没有指向，这很不好。
121 00:10:43,408 --> 00:10:50,860 说话人 SPEAKER_00: 大多数人指出另外四个角，最常见的回答是说它们在这里，这里，这里和这里。
122 00:10:51,341 --> 00:10:54,225 说话人 SPEAKER_00: 他们指出在轴的中点上的正方形中的四个角。
123 00:10:57,610 --> 00:10:59,433 说话人 SPEAKER_00: 这是不对的，正如你可能想象的那样。
124 00:11:00,274 --> 00:11:07,086 说话人 SPEAKER_00: 很容易看出这是错误的，因为如果你想象立方体处于正常方向并数角的话，有八个角。
125 00:11:08,179 --> 00:11:09,402 说话人 说话人_00：这两个角在哪里。
126 00:11:10,243 --> 00:11:11,663 说话人 说话人_00：那么另外两个角去哪里了？
127 00:11:13,046 --> 00:11:18,533 说话人 说话人_00：有一种理论是，当你旋转立方体时，离心力使它们飞到了你的潜意识中。
128 00:11:19,553 --> 00:11:20,575 说话人 说话人_00：这并不是一个非常好的理论。
129 00:11:21,375 --> 00:11:28,164 说话者 SPEAKER_00：这里发生的事情是，除非你是像晶体学家这样的人，否则你根本不知道其他角落在哪里。
130 00:11:29,506 --> 00:11:34,692 说话者 SPEAKER_00：你可以想象到立方体的某些部分，但你无法想象其他角落的结构，它们形成了什么样的结构。
131 00:11:36,445 --> 00:11:43,653 说话者 SPEAKER_00：人们给出的一个常见反应，即正方形中的四个角落，正在做些非常奇怪的事情。
132 00:11:43,820 --> 00:11:50,248 说话者 SPEAKER_00：它试图说，好吧，我不知道立方体的这些部分在哪里，但我对立方体有些了解。
133 00:11:50,307 --> 00:11:51,830 说话人 说话人_00：我知道角落是四个一组出现的。
134 00:11:52,650 --> 00:11:59,220 说话人 说话人_00：我知道一个立方体有这种四重旋转对称性，或者两个双边对称面，一个直角旋转。
135 00:12:00,221 --> 00:12:04,225 说话人 说话人_00：所以人们在做回应时，会保留立方体的对称性。
136 00:12:05,106 --> 00:12:06,870 说话人 说话人_00：他们给出一个正方形中的四个角落。
137 00:12:08,591 --> 00:12:13,437 说话人 说话人_00：现在，他们实际上指出的，如果那样做的话，是两个金字塔，
138 00:12:14,043 --> 00:12:15,524 说话人 说话人_00：每个都有正方形底座。
139 00:12:16,265 --> 00:12:18,870 说话人 说话人_00：一个是倒置的，它们底部对底部地粘在一起。
140 00:12:19,750 --> 00:12:21,273 说话人 说话人_00：所以你可以很容易地想象出来。
141 00:12:21,774 --> 00:12:24,677 说话人 SPEAKER_00: 这是一个底座为正方形的金字塔，下面还嵌套了一个。
142 00:12:25,359 --> 00:12:28,244 说话人 SPEAKER_00: 因此现在你得到了两个手指作为这两个金字塔的顶点。
143 00:12:29,666 --> 00:12:43,745 说话人 SPEAKER_00: 这有趣的地方在于，你保留了立方体的对称性，代价是进行了一些相当激进的改变，即把面变成了顶点，把顶点变成了面。
144 00:12:44,418 --> 00:12:47,001 说话人 SPEAKER_00: 你指出的那个，如果你那样做，将会是一个八面体。
145 00:12:48,485 --> 00:12:50,868 说话人 SPEAKER_00: 它有八个面和六个顶点。
146 00:12:51,590 --> 00:12:53,533 说话人 SPEAKER_00: 一个立方体有六个面和八个顶点。
147 00:12:54,394 --> 00:13:07,455 说话人 SPEAKER_00: 所以为了保留你对立方体所知道的对称性，如果你那样做了，你做了一件非常激进的事情，那就是将面换成顶点，将顶点换成面。
148 00:13:07,890 --> 00:13:09,614 说话人 SPEAKER_00: 我应该向你展示答案的样子。
149 00:13:10,235 --> 00:13:15,323 说话人 SPEAKER_00：我要退后一步，尽量让光线充足，也许你们能看见这个立方体。
150 00:13:18,811 --> 00:13:28,567 说话人 SPEAKER_00：这是一个立方体，你们可以看到其他边形成了一种围绕中间的波浪形环。
151 00:13:30,230 --> 00:13:31,653 说话人 SPEAKER_00：所以我拍了一张它的照片。
152 00:13:34,638 --> 00:13:48,479 说话人 SPEAKER_00：这里的彩色杆是立方体的其他边，那些不接触你们指尖的边，你们的上手指连接到那些折页的三个顶点，你们的手指底部连接到最低的三个顶点那里。
153 00:13:49,860 --> 00:13:51,102 说话者 说话者_00：这就是一个立方体的样子。
154 00:13:51,183 --> 00:13:52,785 说话者 说话者_00：这是你从未想过的事情。
155 00:13:52,806 --> 00:13:55,770 说话者 说话者_00：这只是一个完全不同的立方体模型。
156 00:13:56,051 --> 00:13:57,552 说话者 说话者_00：它太不同了，我要给它起一个不同的名字。
157 00:13:57,572 --> 00:14:00,577 说话人 说话人_00: 我把它称为六面体。
158 00:14:01,908 --> 00:14:07,155 说话人 说话人_00: 有一点需要注意，六面体和立方体在概念上是完全不同的。
159 00:14:07,596 --> 00:14:11,923 说话人 说话人_00: 如果你认为一个实际上是一个立方体，你就不会知道一个是另一个。
160 00:14:12,684 --> 00:14:20,456 说话人 说话人_00: 这就像倾斜的方形和直立钻石之间的歧义，但更强大，因为你对它不熟悉。
161 00:14:21,111 --> 00:14:24,456 说话人 SPEAKER_00：这就是我的演示，证明人们确实使用坐标系。
162 00:14:24,636 --> 00:14:38,134 说话人 SPEAKER_00：如果你使用不同的坐标系来描述事物，这里我通过使对角线垂直并要求你相对于这个垂直轴来描述它，来强迫你使用不同的坐标系，那么熟悉的事物就变得完全陌生了。
163 00:14:39,297 --> 00:14:42,841 说话人 SPEAKER_00：当你相对于这个新框架看到它们时，它们就完全是不同的事物了。
164 00:14:44,384 --> 00:14:47,288 说话人 SPEAKER_00: 注意到像卷积神经网络这样的东西是没有这个特点的。
165 00:14:47,486 --> 00:14:51,630 说话人 SPEAKER_00: 它们不能看一样的东西，却有两个完全不同的内部表示。
166 00:14:53,432 --> 00:14:55,714 说话人 说话人_00：我也在向您展示我正在做解析。
167 00:14:56,053 --> 00:14:57,034 说话人 说话人_00：所以这里我已经把它着色了。
168 00:14:57,075 --> 00:15:02,659 说话人 说话人_00：所以您将其解析成我称之为“王冠”的东西，它是由三个向上和向外倾斜的三角形叶片组成。
169 00:15:04,120 --> 00:15:05,162 说话人 说话人_00：这里是一个不同的解析。
170 00:15:06,302 --> 00:15:08,404 说话人 SPEAKER_00: 同样的绿色翻盖向上向外倾斜。
171 00:15:09,066 --> 00:15:11,607 说话人 SPEAKER_00: 现在我们有一个红色翻盖向下向外倾斜。
172 00:15:12,649 --> 00:15:16,211 说话人 SPEAKER_00: 我们有一个中央矩形，你只看到矩形的两端。
173 00:15:17,153 --> 00:15:23,600 说话人 SPEAKER_00: 如果你知道，如果你能感觉到这一点，我闭上你的眼睛问你，有没有平行边？
174 00:15:24,561 --> 00:15:27,844 说话人 SPEAKER_00: 你非常清楚那两条边，两条蓝色边是平行的。
175 00:15:28,585 --> 00:15:33,570 说话人 SPEAKER_00: 你通常不会注意到其他平行的边，尽管你知道通过对称性，必须还有其他一对。
176 00:15:34,490 --> 00:15:35,432 说话人 SPEAKER_00: 类似地，对于王冠。
177 00:15:35,471 --> 00:15:42,739 说话人 SPEAKER_00: 如果你看到了王冠，然后我让你闭上眼睛，问你平行边在哪里，你看不到任何平行边。
178 00:15:43,376 --> 00:15:48,263 说话人 SPEAKER_00: 这是因为您用于那些叶片的坐标系与边缘对齐。
179 00:15:48,923 --> 00:15:52,828 说话人 SPEAKER_00: 只有当它们与您使用的坐标系对齐时，您才会注意到平行边缘。
180 00:15:53,590 --> 00:15:58,356 说话人 SPEAKER_00: 所以对于这个矩形，平行边缘与坐标系对齐，而对于叶片则不对齐。
181 00:15:59,118 --> 00:16:06,346 说话人 SPEAKER_00: 所以您知道那两条蓝色边缘是平行的，但您不知道其中一条绿色边缘和一条红色边缘也是平行的。
182 00:16:10,445 --> 00:16:16,394 说话人 SPEAKER_00：所以这不像 NECA 魔方那种模糊性，当你翻转它时，你会认为现实中的事物是不同的。
183 00:16:16,453 --> 00:16:17,575 说话人 SPEAKER_00：事物处于不同的深度。
184 00:16:18,376 --> 00:16:21,761 说话人 SPEAKER_00：这就像下个周末，我们应该去拜访亲戚。
185 00:16:22,822 --> 00:16:25,447 说话人 SPEAKER_00：所以如果你把句子“下个周末，我们应该去拜访亲戚”取出来。
186 00:16:26,107 --> 00:16:31,054 说话人 SPEAKER_00: 这可以意味着下个周末，我们将要去做的是拜访亲戚。
187 00:16:31,676 --> 00:16:36,283 说话人 SPEAKER_00: 或者这也可能意味着下个周末，我们将要的是拜访亲戚。
188 00:16:37,158 --> 00:16:39,019 说话人 SPEAKER_00: 现在，这些词义完全不同。
189 00:16:39,620 --> 00:16:41,423 说话人 SPEAKER_00: 它们恰好具有相同的真值条件。
190 00:16:41,703 --> 00:16:44,607 说话人 SPEAKER_00: 在真值条件意义上，它们的意思是相同的。
191 00:16:45,109 --> 00:16:48,393 说话人 SPEAKER_00: 因为如果你在拜访亲戚，你就是拜访亲戚。
192 00:16:49,193 --> 00:16:50,475 说话人 SPEAKER_00: 就是这样一种歧义。
193 00:16:50,836 --> 00:16:54,480 说话人 SPEAKER_00: 对于世界上正在发生的事情没有分歧，但看待这个句子的方式完全不同。
194 00:16:59,047 --> 00:17:03,452 说话人 SPEAKER_00: 这是在 20 世纪 70 年代绘制的。
195 00:17:03,994 --> 00:17:06,237 说话人 SPEAKER_00: 这就是 20 世纪 70 年代的 AI。
196 00:17:06,637 --> 00:17:12,145 说话人 SPEAKER_00: 这是对王冠解释的一种结构描述。
197 00:17:13,608 --> 00:17:17,074 说话人 SPEAKER_00: 所以你有了所有各个部分在层次结构中的节点。
198 00:17:17,855 --> 00:17:20,038 说话人 SPEAKER_00：我也在弧线上放了一些东西。
199 00:17:20,057 --> 00:17:25,527 说话人 SPEAKER_00：这里的 Rwx 是王冠和叶片之间的关系。
200 00:17:26,508 --> 00:17:28,651 说话人 SPEAKER_00：这可以表示为一个矩阵。
201 00:17:28,671 --> 00:17:34,941 说话人 SPEAKER_00：这实际上是王冠的固有参考系与叶片的固有参考系之间的关系。
202 00:17:35,680 --> 00:17:40,226 说话人 SPEAKER_00: 注意，如果我改变我的视角，这并不会改变。
203 00:17:41,587 --> 00:17:45,412 说话人 SPEAKER_00: 所以这种关系将是一个很好的东西，可以放入神经网络的权重中。
204 00:17:45,893 --> 00:17:49,678 说话人 SPEAKER_00: 因为您希望神经网络能够独立于视角来识别形状。
205 00:17:50,519 --> 00:17:55,085 说话人 SPEAKER_00: 而 RWX 是关于形状的知识，它独立于视角。
206 00:17:57,146 --> 00:17:59,349 说话人 SPEAKER_00: 这是锯齿形解释。
207 00:18:00,592 --> 00:18:03,055 说话人 SPEAKER_00: 而这里我添加了另一件事。
208 00:18:03,794 --> 00:18:05,396 说话人 SPEAKER_00：重蓝色框中的东西。
209 00:18:06,498 --> 00:18:11,747 说话人 SPEAKER_00：它们是节点与观察者之间的关系。
210 00:18:12,468 --> 00:18:13,589 说话人 SPEAKER_00：这需要更加明确。
211 00:18:13,971 --> 00:18:23,405 说话人 SPEAKER_00：王冠固有坐标系与观察者固有坐标系（即眼球）之间的坐标变换是 RWV。
212 00:18:24,803 --> 00:18:26,443 说话人 说话人_00：这完全是另一种不同的事情。
213 00:18:26,964 --> 00:18:28,967 说话人 说话人_00：因为当你改变视角时，这也会改变。
214 00:18:29,606 --> 00:18:35,152 说话人 说话人_00：实际上，当你改变视角时，所有那些蓝色框中的东西都会以一致的方式一起改变。
215 00:18:36,453 --> 00:18:43,420 说话人 说话人_00：这里有一个简单的关联，那就是如果你取 RWV，然后乘以 RWX，你得到 RXV。
216 00:18:44,560 --> 00:18:48,825 说话人 SPEAKER_00：您可以将观点信息轻松传播到结构描述中。
217 00:18:50,026 --> 00:18:52,228 说话人 SPEAKER_00：这就是我认为的内心图像。
218 00:18:52,444 --> 00:18:54,106 说话人 SPEAKER_00: 而不是一堆像素。
219 00:18:55,148 --> 00:18:58,794 说话人 SPEAKER_00: 这是一个带有相关视角信息的结构描述。
220 00:19:02,298 --> 00:19:04,682 说话人 SPEAKER_00: 这解释了许多心理图像的特性。
221 00:19:05,163 --> 00:19:11,311 说话人 SPEAKER_00: 比如，如果你要对像 RWX 这样的东西进行推理，你会形成一个心理图像。
222 00:19:12,512 --> 00:19:14,736 说话人 SPEAKER_00：也就是说，你填充，你选择一个视角。
223 00:19:15,857 --> 00:19:20,865 说话人 SPEAKER_00：我想再做一个演示来让你信服，解决心理图像问题时，你总是选择一个视角。
224 00:19:21,352 --> 00:19:25,556 说话人 SPEAKER_00：所以我将给你另一个非常简单的心理意象问题，冒着超时风险。
225 00:19:26,175 --> 00:19:36,846 说话人 SPEAKER_00：想象一下，你处于一个特定的点，然后向东走一英里，然后向北走一英里，然后再向东走一英里。
226 00:19:36,905 --> 00:19:39,667 说话人 SPEAKER_00：你返回起点的方向是什么？
227 00:19:40,890 --> 00:19:42,310 说话人 SPEAKER_00：这不是一个很难的问题。
228 00:19:43,051 --> 00:19:45,614 说话人 SPEAKER_00: 它有点偏南，而且相当偏西，对吧？
229 00:19:46,414 --> 00:19:50,278 说话人 SPEAKER_00: 它并不完全是西南方向，但有点像西南方向。
230 00:19:50,545 --> 00:20:00,133 说话人 SPEAKER_00: 现在，当你完成那个任务时，从你的视角来看，你想象的是先向东走了一英里，然后向北走了一英里，再向东走了一英里。
231 00:20:01,497 --> 00:20:02,917 说话人 SPEAKER_00: 我来告诉你你没有想象到的事情。
232 00:20:03,318 --> 00:20:07,301 说话人 SPEAKER_00：你没有想到你向东走了一英里，然后又向北走了一英里，然后再向东走了一英里。
233 00:20:07,982 --> 00:20:12,547 说话人 SPEAKER_00：如果你把北边不设为上方，你完全可以完美地解决这个问题，但你把北边设为上方了。
234 00:20:13,087 --> 00:20:14,348 说话人 SPEAKER_00：你也没有想到这一点。
235 00:20:14,749 --> 00:20:17,231 说话人 SPEAKER_00：你向东走了一英里，然后向北走了一英里，然后再向东走了一英里。
236 00:20:17,991 --> 00:20:18,772 说话者 SPEAKER_00: 你没有想象过这一点。
237 00:20:18,792 --> 00:20:21,355 说话者 SPEAKER_00: 你向东走一英里，然后向北走一英里，以此类推。
