1 00:00:00,031 --> 00:00:01,552 说话人 SPEAKER_00: 我叫艾伦·伯恩斯坦。
28 00:02:44,477 --> 00:02:53,955 讲者：我们一直在将加拿大和世界各地的杰出人才连接起来，以独特的全球研究网络深入讨论对世界具有重要意义的问题。
29 00:02:54,516 --> 00:02:57,643 说话人 说话人_00：我认为在地球上没有其他组织
30 00:02:57,622 --> 00:02:59,604 说话人 说话人_00：像 CIFAR 一样，我们已经做了很多努力。
31 00:03:00,385 --> 00:03:22,229 说话人 说话人_00：我们给我们的研究员和顾问，现在大约有400人，他们分布在18个国家的115个机构，提供了时间和自由去探索全新的视角，建立他们从未想过会建立的新的合作关系，去探索全新的发现之路。
32 00:03:22,210 --> 00:03:33,694 说话人 说话人_00：我们的工作使加拿大处于世界上一些最重要的讨论的中心，这些讨论最终将导致改变世界的变革性知识。
33 00:03:34,777 --> 00:03:41,652 说话人 说话人_00: CFAR 创造这些独特的条件，使得来自广泛不同领域的学者能够分享他们的个人观点和知识，对重要问题产生影响，并分享对问题的全新理解方式。
34 00:03:41,633 --> 00:03:51,063 说话人 说话人_00: 我可以告诉您，因为我们现在正在启动四个新的项目，看到那些以前从未见过面，甚至永远不会见面的人之间的化学反应是多么有趣，多么令人兴奋。
35 00:03:52,025 --> 00:04:04,300 说话人 说话人_00: 我可以告诉您，因为我们现在正在启动四个新的项目，看到那些以前从未见过面，甚至永远不会见面的人之间的化学反应是多么有趣，多么令人兴奋。
36 00:04:05,308 --> 00:04:09,816 说话人 说话人_00: 他们的学科原本永远不会交叉，如果不是因为参加了 CFAR 项目。
37 00:04:10,197 --> 00:04:12,520 说话者 说话者_00：他们最初会经历一段怀疑期。
38 00:04:12,961 --> 00:04:13,762 说话者 说话者_00：我为什么会在这里？
39 00:04:14,502 --> 00:04:15,324 说话者 说话者_00：这个人是谁？
40 00:04:15,405 --> 00:04:16,766 说话者 说话者_00：他们在谈论什么？
41 00:04:16,807 --> 00:04:18,108 说话人 说话人_00: 我不懂这种语言。
42 00:04:18,689 --> 00:04:21,394 说话人 说话人_00: 在一系列会议中，逐渐地，
43 00:04:21,374 --> 00:04:22,295 说话人 说话人_00: 他们明白了。
44 00:04:22,355 --> 00:04:23,216 说话人 说话人_00: 灯亮了。
45 00:04:24,358 --> 00:04:31,709 说话者 说话者_00：看到这一切发生，看到随着这光亮的出现而带来的新知识视角，这真是一件神奇的事情。
46 00:04:32,490 --> 00:04:39,781 说话者 说话者_00：所以今晚，我们想给你们打开一扇了解 CIFAR 所可能实现的跨学科对话的窗口。
47 00:04:40,442 --> 00:04:43,627 说话者 说话者_00：正如你们所知，我们最初计划有两个节目。
48 00:04:44,108 --> 00:04:49,997 说话者 说话者_00：顺便说一句，我听说蓝鸟队赢了，丹尼尔·丹尼特和杰夫·辛顿也在其中。
49 00:04:49,976 --> 00:04:54,826 说话人 SPEAKER_00: 很遗憾，由于生病，Dan 今天无法与我们在一起。
50 00:04:55,408 --> 00:04:57,891 说话人 SPEAKER_00: 他告诉我们他今天不可能在这里。
51 00:04:59,235 --> 00:05:00,898 说话人 SPEAKER_00: Jeff 并不是一个差劲的替代者。
52 00:05:01,418 --> 00:05:07,891 说话人 SPEAKER_00: Jeff Hinton 无疑是世界上人工智能和深度学习领域的顶尖专家。
53 00:05:08,593 --> 00:05:10,516 说话人 SPEAKER_00: 他是 CIFAR 杰出研究员。
54 00:05:10,497 --> 00:05:19,951 说话人 SPEAKER_00: 他将帮助我们理解为什么他的工作和他的深度学习同事的工作成为了当今科学和社会中最热门的领域之一。
55 00:05:19,971 --> 00:05:21,454 说话人 SPEAKER_00: 我稍后会更多地介绍 Jeff。
56 00:05:22,836 --> 00:05:33,432 说话人 SPEAKER_00: Jeff 将和我们的 CBC 电台主持人 Nora Young 一起，帮助我们开始理解这个世界将如何因为这一新科学而改变。
57 00:05:33,413 --> 00:05:38,920 说话人 说话人_00：今晚，我想感谢很多人，是他们让 CIFAR 成为今天的模样。
58 00:05:38,940 --> 00:05:42,206 说话人 说话人_00：首先，我想感谢佩卡·森沃。
59 00:05:43,908 --> 00:06:02,694 说话人 说话人_00：佩卡在 CIFAR 担任高级副总裁七年，今年年初，他告诉我们他决定离开 CIFAR，全职回到多伦多大学的高能物理和粒子物理教学与研究中。
60 00:06:03,586 --> 00:06:06,089 说话人 说话人_00：佩卡是一位世界知名的粒子物理学家。
61 00:06:06,531 --> 00:06:14,223 讲者：他是发现希格斯玻色子的团队的一员，这一发现去年获得了诺贝尔物理学奖。
62 00:06:15,324 --> 00:06:28,665 讲者：他将国际研究声誉带到了 CIFAR，并且是我们所有人眼中的热情、真正的热情的倡导者和受人尊敬的同事。
63 00:06:28,644 --> 00:06:30,747 讲者：他指导了我们的研究项目。
64 00:06:31,187 --> 00:06:35,314 讲者：他坚持每五年对每个项目进行严格的审查。
65 00:06:35,774 --> 00:06:38,519 说话人 SPEAKER_00: 他帮助全球青年学院的发展。
66 00:06:38,959 --> 00:06:42,363 说话人 SPEAKER_00: 他还启动了我们首次的知识传播工作。
67 00:06:42,884 --> 00:06:56,322 说话人 SPEAKER_00: 我个人对 Pekka 非常感激，因为他在我第一次来到 CIFAR 时就伸出了援手，并在帮助实现 CIFAR 2.0——我们对 CIFAR 的更新愿景方面发挥了领导作用。
68 00:06:56,302 --> 00:07:05,399 说话人 SPEAKER_00: Pekka 在我们首次全球征集研究提案创意，以在此处 CIFAR 创建新项目的过程中扮演了主角。
69 00:07:06,021 --> 00:07:16,360 说话人 SPEAKER_00: 毫无疑问，真的毫无疑问，没有 Pekka 的领导、他的辛勤工作、他对研究的热情以及他对 CIFAR 的热情，CIFAR 今天不可能达到现在的地位。
70 00:07:16,720 --> 00:07:19,064 说话人 SPEAKER_00: Pekka，我们会想念你的，我们深深地想念你。
71 00:07:19,305 --> 00:07:20,387 说话人 SPEAKER_00: 祝你一切顺利。
72 00:07:20,367 --> 00:07:21,874 说话人 SPEAKER_00: 我想 Pat 在这里。
73 00:07:21,894 --> 00:07:22,557 说话人 说话人_00: 我没见过她。
74 00:07:22,576 --> 00:07:23,360 说话人 说话人_00: 哦，在那儿。
75 00:07:23,401 --> 00:07:24,766 说话人 说话人_00: 帕特，很高兴你能来。
76 00:07:25,189 --> 00:07:29,769 说话人 说话人_00: 在接下来的几个月和几年里，你可能会更多地拥有你的丈夫。
77 00:07:40,870 --> 00:07:51,108 说话人 SPEAKER_00: 今晚稍晚些时候，我们还将向在 CFAR 董事会任职 20 年的理查德·艾维致敬，他一直是 CFAR 的真正强大支持者。
78 00:07:51,550 --> 00:07:55,197 说话人 SPEAKER_00: 我们将在今晚稍后了解更多关于理查德的信息，我想也是从理查德那里听到的。
79 00:07:55,937 --> 00:07:58,002 说话人 SPEAKER_00: 今晚屏幕上，
80 00:07:57,982 --> 00:08:04,956 说话人 SPEAKER_00: 您应该能看到，为 CFAR 慷慨捐赠的公共和私人支持者以及我们的合作伙伴的名单。
81 00:08:05,478 --> 00:08:09,625 主持人：今晚许多人都与我们在这里，我无法感谢你们的支持足够。
82 00:08:10,307 --> 00:08:11,990 主持人：研究是需要资金的。
83 00:08:12,122 --> 00:08:30,007 主持人：没有秘密，但如果您想到我之前提到的全球问题，比如气候变化或精神疾病，我们工作的成本实际上只是这些社会问题真实成本的一小部分。
84 00:08:31,007 --> 00:08:41,842 主持人：我想特别感谢今晚与我们在这里的，慷慨捐赠了五十万美元或更多以帮助 CFAR 重大新项目的各位。
阿斯里埃利基金会、安大略省政府、理查德·W·艾维和唐娜·艾维、理查德·M·艾维、杰里和杰拉尔丁·赫费南、迈克尔和索尼娅·克纳尔，以及加拿大皇家银行基金会。
86 00:08:57,782 --> 00:09:08,235 发言人 SPEAKER_00：你们所有人、你们所代表的组织，以及许多贡献远少于这些的人，对于我们所做的工作都至关重要。
87 00:09:08,215 --> 00:09:12,121 发言人 SPEAKER_00：我们还有史以来第一次增加了新的研究合作伙伴。
加拿大脑研究基金会、加拿大基因组学、不列颠哥伦比亚基因组学以及首次，来自加拿大以外的合作伙伴。
89 00:09:20,517 --> 00:09:20,937 说话人 说话人_00：美国。
90 00:09:21,119 --> 00:09:22,922 说话人 说话人_00：戈登和贝蒂·摩尔基金会。
91 00:09:23,503 --> 00:09:26,307 说话人 说话人_00：戈登·摩尔是计算机芯片的发明者。
92 00:09:26,288 --> 00:09:38,153 说话人 说话人_00：支持我们在量子材料和微生物多样性项目，以及法国机构 INRIA，该机构帮助支持杰夫在神经计算和自适应感知项目。
93 00:09:38,874 --> 00:09:42,542 说话人 说话人_00：在大家的支持下，我认为我们取得了巨大的进步。
94 00:09:42,522 --> 00:09:49,614 说话人 说话人_00：经过一次非常成功的全球新研究想法征集，我们增加了四个非常激动人心的新项目。
95 00:09:50,054 --> 00:09:51,857 说话人 说话人_00：生物启发式太阳能。
96 00:09:52,239 --> 00:09:55,043 说话人 说话人_00：你们中的许多人去年都听过 Ted Sargent 谈论这个话题。
97 00:09:55,605 --> 00:09:56,966 说话人 说话人_00：大脑、心智和意识。
98 00:09:57,368 --> 00:09:58,929 说话人 说话人_00：生命的分子结构。
99 00:09:59,431 --> 00:10:00,894 说话人 说话人_00：人类与微生物组。
100 00:10:01,394 --> 00:10:05,120 说话人 说话人_00：将我们的项目总数增加到14个。
101 00:10:05,100 --> 00:10:09,388 说话人 SPEAKER_00：我对这个进展非常满意，但我们并不打算就此止步。
102 00:10:10,028 --> 00:10:17,441 说话人 SPEAKER_00：世界面临着许多重要的问题，这些问题可以从 CIFAR 的独特模式中受益，并且确实绝对需要研究。
103 00:10:18,101 --> 00:10:24,292 说话人 SPEAKER_00：感谢大家与我及我的同事一起继续为世界做出 CIFAR 至关重要的工作。
104 00:10:24,731 --> 00:10:26,134 说话人 SPEAKER_00：现在请尽情享用您的餐点。
105 00:10:26,575 --> 00:10:28,357 说话人 说话人_00: 好胃口，我马上回来。
106 00:10:38,394 --> 00:10:40,720 说话人 说话人_00: 如果可以再次得到大家的注意，请。
107 00:10:48,414 --> 00:10:50,639 说话人 说话人_00: 我希望你们今晚都吃得好。
108 00:10:50,698 --> 00:10:53,063 说话人 说话人_00: 我今晚快速看了一下菜单。
109 00:10:53,104 --> 00:10:59,576 说话人 SPEAKER_00: 它说有三种不错的甜点，但实际上是指奢华的，所以我读得太快了。
110 00:10:59,995 --> 00:11:03,559 说话人 SPEAKER_00: 我很高兴今晚有 Nora Young 与我们同在。
111 00:11:04,601 --> 00:11:20,125 说话人 SPEAKER_00: 大多数人都会熟悉 Nora，她是 CBC《绝对不是歌剧》的创始主持人，现在是《火花》的主持人，这个节目探讨技术是如何塑造我们的生活和我们所生活的更广阔世界的。
112 00:11:20,785 --> 00:11:26,475 说话人 SPEAKER_00: 在演讲结束后，Nora 将引导 Jeff 进行对话。
113 00:11:26,455 --> 00:11:29,919 说话人 说话人_00: 我还想说几句关于杰夫·辛顿的话。
114 00:11:30,741 --> 00:11:40,798 说话人 说话人_00: 杰夫是 CIFAR 杰出研究员，谷歌的杰出研究员，以及多伦多大学的杰出教授。
115 00:11:41,499 --> 00:11:44,143 说话人 说话人_00: 所以他三次获得杰出称号。
116 00:11:45,389 --> 00:11:54,282 说话人 说话人_00: 让我指出，他是有史以来仅被授予 CFAR 杰出研究员称号的三个人之一。
117 00:11:54,822 --> 00:11:56,445 说话人 SPEAKER_00: 这个称号是一生的荣誉。
118 00:11:56,785 --> 00:12:08,663 说话人 SPEAKER_00: 它由 CFAR 董事会授予极少数对 CFAR 和科学做出杰出、长期、持久贡献的研究人员。
119 00:12:08,643 --> 00:12:11,748 说话人 SPEAKER_00: 同时在他们的研究领域内大大推进了知识。
120 00:12:12,549 --> 00:12:16,216 说话人 SPEAKER_00: 我认为在杰夫的情况下，这个荣誉是非常、非常应得的。
121 00:12:17,077 --> 00:12:31,883 说话人 说话人_00: 杰夫在上个千年时对计算机科学的一个分支——神经网络产生了兴趣，并且持续关注了很长时间，远在其他人纷纷放弃之后。
122 00:12:33,095 --> 00:12:53,178 说话人 说话人_00: 2004 年，他被邀请与蒙特利尔大学的约书亚·本吉奥和纽约大学及现在的 Facebook 的杨立昆一起创立了 CIFAR 的“神经网络与自适应感知”项目，为他找到了一个学术家园。
123 00:12:53,480 --> 00:13:04,032 说话人 说话人_00: 他们和其他项目成员继续研究神经网络，并开发了一种革命性的神经网络新方法——深度学习。
124 00:13:05,013 --> 00:13:10,739 说话人 说话人_00: 这种形式的人工智能在最近几年取得了巨大的成功。
125 00:13:11,379 --> 00:13:17,866 说话人 SPEAKER_00: 事实上，它被用于从图像识别到自然语言处理的各个方面。
126 00:13:17,846 --> 00:13:24,421 说话人 SPEAKER_00: 谷歌、Facebook、中国的百度等都在使用它并进行研究。
127 00:13:25,142 --> 00:13:37,729 说话人 SPEAKER_00: 我非常自豪，在加入这个美好的组织之前，CIFAR 就承担了风险，在那些早期就提供了支持，帮助实现这一革命。
128 00:13:37,708 --> 00:13:48,634 说话人 SPEAKER_00: 《连线》杂志，这是硅谷的记录杂志，在过去一年里对杰夫、CFAR 和 NCAP 做了两篇报道。
129 00:13:48,654 --> 00:13:53,085 说话人 说话人_00：我将从这些故事中的一篇简要引用。
130 00:13:53,065 --> 00:14:04,268 说话人 说话人_00：我引用如下，仅从 CIFAR 每年投资五十万美元开始，Hinton 的自由思考者联盟即将将无数美元回馈到经济中。
131 00:14:05,090 --> 00:14:12,205 说话人 说话人_00：在这个过程中，Hinton 和 CIFAR 改变了曾经排斥他们的社区的面貌。
132 00:14:12,184 --> 00:14:18,931 说话人 说话人_00：大学里的学生们正在远离更传统的机器学习项目，转向深度学习。
133 00:14:20,072 --> 00:14:23,195 说话人 SPEAKER_00: 换句话说，深度学习现在已经变得主流。
134 00:14:24,375 --> 00:14:27,458 说话人 SPEAKER_00: 我们不再是那个疯狂的边缘，Hinton 说。
135 00:14:28,360 --> 00:14:30,101 说话人 SPEAKER_00: 我们现在是疯狂的内核。
136 00:14:32,964 --> 00:14:39,210 说话人 SPEAKER_00: 现在我要邀请 Nora 和一位绝对不疯狂的人上台与我一起。
137 00:14:39,429 --> 00:14:40,250 Speaker SPEAKER_00: Nora, Jeff.
138 00:14:49,241 --> 00:14:52,056 Speaker SPEAKER_06: 非常感谢。
139 00:14:52,096 --> 00:14:52,698 Speaker SPEAKER_04: 非常感谢。
140 00:14:52,719 --> 00:14:54,166 Speaker SPEAKER_04: 我想直接进入正题。
141 00:14:54,186 --> 00:14:57,581 说话人 SPEAKER_04：在我们开始 Jays 1 之前，我只想说一句话。
142 00:15:01,357 --> 00:15:15,778 说话人 SPEAKER_04：7-1 我认为是这样，我将把事情交给 Jeff，让他来启发我们，然后我会和 Jeff 进行简短的问答，最后我们再稍微开放一下讨论。Jeff，我想首先感谢 CIFAR。
143 00:15:16,259 --> 00:15:29,138 说话人 SPEAKER_02：CIFAR 是我 1987 年来加拿大的原因，他们有一个人工智能项目，是我最早的项目之一，我在 2002 年回到了加拿大。
144 00:15:29,910 --> 00:15:54,298 说话人 SPEAKER_02：我和 CFAR 合作建立了这个项目，它产生了巨大的影响，因为它使得加拿大（如蒙特利尔、UBC 和多伦多）、美国、以色列和芬兰等地的许多研究人员能够定期互动，这导致了令人满意的进展。
145 00:15:56,572 --> 00:16:02,485 说话人 SPEAKER_02：那么，我将尝试向你们解释什么是深度学习，先假设你们一无所知。
146 00:16:03,787 --> 00:16:08,736 说话人 SPEAKER_02：我是一个学者，我想正确地解释事物。
147 00:16:08,756 --> 00:16:14,567 说话人 SPEAKER_02：所以，这是关于神经网络，神经网络由人工神经元组成。
148 00:16:14,989 --> 00:16:16,471 说话人 SPEAKER_02：那么什么是人工神经元呢？
149 00:16:16,822 --> 00:16:18,726 说话人 SPEAKER_02：嗯，这并不完全像真实的神经元。
150 00:16:18,746 --> 00:16:22,234 说话人 SPEAKER_02：真实的神经元很复杂，就像真实的分子一样复杂。
151 00:16:22,274 --> 00:16:27,124 说话人 SPEAKER_02：但如果你想了解一种气体，你可以把分子想象成台球，这样你就可以了解很多关于气体的知识。
152 00:16:27,924 --> 00:16:31,432 说话人 SPEAKER_02：同样地，我们将理想化，哎呀，我想回退一下。
153 00:16:33,056 --> 00:16:37,784 说话人 SPEAKER_02：我们将通过理想化神经元来说明，它是一种接收输入的东西。
154 00:16:39,232 --> 00:16:41,616 说话人 SPEAKER_02：如果你看左边的图，它是一堆输入。
155 00:16:42,577 --> 00:16:46,424 说话人 SPEAKER_02：在这些来自其他神经元或感官的输入行上，它有权重。
156 00:16:47,105 --> 00:16:50,071 说话人 SPEAKER_02：它将输入行的活动乘以权重，然后全部加起来。
157 00:16:50,431 --> 00:16:51,231 说话人 SPEAKER_02：这就是它的总输入。
158 00:16:51,852 --> 00:16:54,457 说话人 SPEAKER_02：然后它给出一个与总输入相关的输出。
159 00:16:55,018 --> 00:16:59,065 说话人 SPEAKER_02：右侧显示了某种人工神经元的输入输出函数。
160 00:16:59,044 --> 00:17:03,778 说话人 SPEAKER_02：所以如果其总输入超过阈值，它就会随着输入的增加而增加输出。
161 00:17:04,138 --> 00:17:06,787 说话人 SPEAKER_02：如果它低于阈值，则不输出任何内容。
162 00:17:07,608 --> 00:17:09,212 说话人 SPEAKER_02：因此它有隐藏信息的一种方式。
163 00:17:09,534 --> 00:17:12,362 说话者 SPEAKER_02：它不关心输入中的波动，只要这些波动低于阈值。
164 00:17:13,490 --> 00:17:18,895 说话者 SPEAKER_02：好吧，这比真实的神经元简单得多，尽管并不完全不同。
165 00:17:19,557 --> 00:17:24,202 说话者 SPEAKER_02：但是通过研究这类事物，我们可以问，如果你把这些东西放在一起，我们该如何做呢？
166 00:17:24,222 --> 00:17:26,085 说话者 SPEAKER_02：特别是，让我们做一个有趣的任务。
167 00:17:26,786 --> 00:17:29,588 说话人 SPEAKER_02：我给你展示 300 万个数字。
168 00:17:30,148 --> 00:17:35,275 说话人 SPEAKER_02：这 300 万个数字是 1000 乘以 1000 像素的 RGB 值。
169 00:17:36,336 --> 00:17:39,160 说话人 SPEAKER_02：你的任务是编写一个计算机程序，该程序接受 300 万个数字。
170 00:17:40,134 --> 00:17:43,641 说话人 SPEAKER_02：并输出一个描述图像内容的单词串。
171 00:17:45,263 --> 00:17:47,327 说话人 SPEAKER_02：现在，你不想写那个程序。
172 00:17:48,229 --> 00:17:51,214 说话人 SPEAKER_02：你更愿意写一个简单的程序，让它去学习并找出结果。
173 00:17:52,155 --> 00:17:54,079 说话人 SPEAKER_02：进化也是这样想的。
174 00:17:56,324 --> 00:17:59,730 说话人 SPEAKER_02：因此我们在人工神经网络中连接这些神经元。
175 00:18:00,182 --> 00:18:03,387 说话人 SPEAKER_02：我们在这里有输入神经元，通常代表图像中的像素。
176 00:18:04,088 --> 00:18:05,451 说话人 SPEAKER_02：我们有多层中间层。
177 00:18:06,192 --> 00:18:10,137 说话人 SPEAKER_02：然后我们有输出神经元，代表例如图像中可能存在的决策。
178 00:18:11,480 --> 00:18:19,531 说话人 SPEAKER_02：我们称中间层为隐藏层，因为仅凭知道输入和输出，你不知道它们在做什么。
179 00:18:19,551 --> 00:18:23,237 说话人 SPEAKER_02：目标是训练神经网络，使其合理地使用那些隐藏层。
180 00:18:24,922 --> 00:18:25,763 说话人 SPEAKER_02：那么我们如何训练它呢？
181 00:18:26,464 --> 00:18:27,728 说话人 SPEAKER_02：嗯，有两种算法。
182 00:18:27,748 --> 00:18:28,690 说话人 SPEAKER_02：有监督训练。
183 00:18:29,111 --> 00:18:32,558 说话人 SPEAKER_02：在监督训练中，我们展示了一个输入，并展示了正确的输出。
184 00:18:33,160 --> 00:18:35,684 说话人 SPEAKER_02：所以我们展示了一张图片，并说，在这张图片中，有一只猫和一只狗。
185 00:18:37,890 --> 00:18:44,684 说话人 SPEAKER_02：然后你调整所有这些神经元的权重，以便下次展示那张图片时，你能在得到正确答案上有所提高。
186 00:18:45,424 --> 00:18:46,705 说话人 SPEAKER_02：我将在一分钟内告诉你如何做到这一点。
187 00:18:47,287 --> 00:18:49,750 说话人 SPEAKER_02：在无监督训练中，我们甚至不告诉它答案。
188 00:18:49,769 --> 00:18:50,631 说话人 SPEAKER_02：我们只是展示给它输入。
189 00:18:51,271 --> 00:18:57,598 说话人 SPEAKER_02：然后它试图使用其隐藏神经元，从隐藏神经元的活动中重建输入。
190 00:19:00,942 --> 00:19:04,446 说话人 SPEAKER_02：所以这就是我们将要使用的监督学习算法的思考方式。
191 00:19:05,008 --> 00:19:08,731 说话者 SPEAKER_02：不是我们使用的算法，而是我们使用了一种更高效地完成同样事情的方法。
192 00:19:10,230 --> 00:19:15,476 说话者 SPEAKER_02：如果你有一个简单的进化论理论，你可能会认为训练神经网络的办法是这样的。
193 00:19:16,596 --> 00:19:26,865 说话者 SPEAKER_02：你给它输入在底部，你从顶部得到输出，你将那些输出与正确的输出进行比较，看看你做得怎么样，你为那些你知道正确答案的小样本案例做这件事。
194 00:19:28,167 --> 00:19:31,089 说话者 SPEAKER_02：然后你看看网络目前在那组案例上的表现如何。
195 00:19:32,090 --> 00:19:37,115 说话者 SPEAKER_02：然后你取网络中的一个权重，那个用红色显示的权重，然后你稍微改变它。
196 00:19:38,023 --> 00:19:41,387 说话者 SPEAKER_02：然后你问，我的网络在这些情况下表现是更好还是更差？
197 00:19:42,088 --> 00:19:45,113 说话者 SPEAKER_02：如果它表现更差，你就让这个权重保持在原来的位置。
198 00:19:45,153 --> 00:19:46,875 说话者 SPEAKER_02：但如果它表现更好，你就保留这个改变。
199 00:19:47,455 --> 00:19:51,060 说话者 SPEAKER_02：所以你对一个权重进行了变异，如果效果变好就保留它。
200 00:19:52,123 --> 00:19:56,848 说话者 SPEAKER_02：对所有人来说都很明显，如果你这样做足够长时间，你就能在这个网络中得到很好的权重。
201 00:19:58,109 --> 00:20:02,395 说话者 SPEAKER_02：有一个算法，它不是一次改变一个权重，而是可以并行改变所有权重。
202 00:20:03,076 --> 00:20:06,141 说话者 SPEAKER_02：这只需要用到一些微积分，我不会打扰你。
203 00:20:07,150 --> 00:20:14,599 讲者 SPEAKER_02：这就是所谓的反向传播算法，它实际上就是我所描述的变异方法，但它对所有的权重进行并行处理。
204 00:20:15,240 --> 00:20:21,849 讲者 SPEAKER_02：所以如果你有一百万个权重，它的效率比改变一个权重然后看效果要高一百万倍。
205 00:20:22,691 --> 00:20:26,256 讲者 SPEAKER_02：如果你有一亿个权重，它的效率要高一亿倍。
206 00:20:26,977 --> 00:20:32,824 讲者 SPEAKER_02：现在你实际上有大约 10 的 14 次方个权重，所以它的效率是 10 的 14 次方倍，这相当于宇宙的年龄。
207 00:20:33,986 --> 00:20:34,086 未知说话者：好的。
208 00:20:35,315 --> 00:20:37,596 说话者 SPEAKER_02：能得到让物理学家印象深刻的数字真是太好了。
209 00:20:40,157 --> 00:20:42,540 说话者 SPEAKER_02：所以人们使用这个反向传播算法。
210 00:20:42,761 --> 00:20:43,843 说话者 SPEAKER_02：很多人发明了这个算法。
211 00:20:43,923 --> 00:20:46,446 说话人 SPEAKER_02：但在 80 年代，当工作站足够快时，他们就使用了它。
212 00:20:47,107 --> 00:20:48,690 说话人 SPEAKER_02：你会在底部放一张图片。
213 00:20:49,111 --> 00:20:50,173 说话人 SPEAKER_02：你会得到答案。
214 00:20:50,732 --> 00:20:52,236 说话人 SPEAKER_02：然后你会回传错误信号。
215 00:20:52,916 --> 00:21:01,429 说话者 SPEAKER_02：为了理解这个想法，你希望早期层的特征能够，早期这些神经元的层能够学会成为边缘等事物的特征检测器。
216 00:21:02,089 --> 00:21:06,336 说话者 SPEAKER_02：然后在下一层，你可能会检测到一对在锐角处相交的边缘。
217 00:21:06,856 --> 00:21:08,358 说话者 SPEAKER_02：那么这可能是喙。
218 00:21:09,030 --> 00:21:14,698 说话者 SPEAKER_02：如果你发现了喙的证据，还有眼睛和羽毛的证据，那么你可能认为这是一只鸟。
219 00:21:15,239 --> 00:21:17,461 说话人 SPEAKER_02：因此，我们的想法是通过这种方式获得特征层次结构。
220 00:21:17,903 --> 00:21:21,467 说话人 SPEAKER_02：我们知道人脑可以进行物体识别等类似活动。
221 00:21:22,087 --> 00:21:24,230 说话人 SPEAKER_02：结果证明，如果你训练这些网络，它们也能做到这一点。
222 00:21:28,596 --> 00:21:29,637 说话人 SPEAKER_02：所以，
223 00:21:29,955 --> 00:21:39,125 说话人 SPEAKER_02：在 20 世纪 80 年代中期和后期，这个算法被应用于许多事物，比如读取支票上的金额、检测信用卡欺诈、解读宫颈涂片。
