1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
34 00:04:50,103 --> 00:05:01,978 说话者 说话者_00：我认为，国际合作和包容性机构对于确保人工智能能够发挥其作为善的力量潜能至关重要。
第三点，我认为霍 inton 教授在很多次谈论 AI 风险和监管重要性的时候都提到了这一点，当政府并不真正相信监管时，我们该怎么办？
36 00:05:17,737 --> 00:05:28,776 讲者 讲者_00：我的个人问题或担忧是，我会把这个留给你，然后我非常期待 Hinton 教授的发言，
37 00:05:29,684 --> 00:05:48,327 讲者 SPEAKER_00：一个像瑞典这样的小开放经济体，高度依赖国际贸易、国际合作和正常的世界秩序，在并非所有人都相信国际合作或支持国际合作与规范的世界里，应该怎么做？
38 00:05:48,968 --> 00:05:51,692 讲者 SPEAKER_00：欧盟，欧洲应该怎么做？
39 00:05:52,026 --> 00:05:56,992 讲者 SPEAKER_00：在监管 AI 方面，不仅是为了控制其风险，还要发挥其潜力。
40 00:05:58,194 --> 00:06:01,978 讲者 SPEAKER_00：在此，我欢迎 Hinton 教授发表开幕致辞。
41 00:06:08,865 --> 00:06:21,038 讲者 SPEAKER_09：我想对 Sylvia 刚才说的内容发表一点评论，就是有些政治家不相信制度，因为如果那些制度运作得当，他们早就该进监狱了。
42 00:06:24,528 --> 00:06:26,451 讲者 SPEAKER_09：我不想提及任何人的名字。
43 00:06:28,836 --> 00:06:33,723 讲者 SPEAKER_09：我还有 10 分钟的时间，我想基本上说一件事。
44 00:06:34,345 --> 00:06:43,802 讲者 SPEAKER_09：如果你要解决像气候变化这样的问题，首先你必须说服人们，
45 00:06:44,778 --> 00:06:48,264 人类产生的二氧化碳是导致气候变化的原因。
46 00:06:48,865 --> 00:06:51,170 在你做到那一步之前，你无法制定合理的政策。
47 00:06:51,812 --> 00:06:54,076 即使你做到了那一步，你也可能无法制定合理的政策。
48 00:06:54,216 --> 00:06:58,125 人们可能仍然会补贴石油公司等，但这只是第一步。
49 00:06:59,267 --> 00:07:00,389 演讲者 SPEAKER_09：现在，
50 00:07:00,370 --> 00:07:03,413 演讲者 SPEAKER_09：我一直在谈论人工智能的生存威胁。
51 00:07:03,774 --> 00:07:04,975 演讲者 SPEAKER_09：这是一个长期威胁。
52 00:07:04,995 --> 00:07:15,305 演讲者 SPEAKER_09：有许多许多短期威胁是紧迫的，比如网络攻击、失业和流行病，等等，还有虚假视频。
53 00:07:16,247 --> 00:07:23,154 说话人 SPEAKER_09：但是，我们可能会创造出比我们自己更智能的东西，它们将会接管。
54 00:07:24,653 --> 00:07:27,879 说话人 SPEAKER_09：很多人并不认真对待这一点。
55 00:07:28,540 --> 00:07:36,074 说话人 SPEAKER_09：其中一个原因是因为他们认为我们目前拥有的 AI 系统并没有真正理解。
56 00:07:37,196 --> 00:07:43,387 说话人 SPEAKER_09：所以有一群人，其中许多受到乔姆斯基影响的语言学家，
57 00:07:43,603 --> 00:07:45,947 讲者 SPEAKER_09：谁把这些东西称为随机鹦鹉。
58 00:07:46,449 --> 00:07:55,444 讲者 SPEAKER_09：他们认为这些东西只是统计上的技巧，将大量文本拼凑在一起，看起来像理解了，但实际上并不像我们那样理解。
59 00:07:56,666 --> 00:08:03,379 讲者 SPEAKER_09：现在，要有一个他们认为并不像我们那样理解的理论，你必须有一个关于我们如何理解的理论。
60 00:08:04,841 --> 00:08:08,127 讲者 SPEAKER_09：我将论证它们就像我们一样理解。
61 00:08:08,663 --> 00:08:23,379 讲者 SPEAKER_09：谈论随机鹦鹉的人，他们有一个来自经典符号 AI 的理解理论，即在你脑海中，你有一些经过清理的符号表达式，你使用符号规则来操作它们。
62 00:08:23,800 --> 00:08:26,343 讲者 SPEAKER_09：这个理论从未真正奏效。
63 00:08:28,706 --> 00:08:30,148 讲者 SPEAKER_09：但他们仍然坚持这个理论。
64 00:08:30,600 --> 00:08:37,971 讲者 SPEAKER_09：因为他们认为，唯一能够拥有智能的方式就是通过某种逻辑来进行推理。
65 00:08:38,711 --> 00:08:40,894 讲者 SPEAKER_09：他们认为智能的本质是推理。
66 00:08:41,655 --> 00:08:46,844 讲者 SPEAKER_09：有一个完全不同的范式，智能的本质是学习，而这种学习是在神经网络中进行的。
67 00:08:47,344 --> 00:08:52,390 讲者 SPEAKER_09：像视觉和运动控制这样的东西是首要的，而语言和推理则是在后来。
68 00:08:56,317 --> 00:08:58,600 讲者 SPEAKER_09：但我想要讨论这个问题，
69 00:08:58,715 --> 00:09:00,057 演讲者 SPEAKER_09：他们真的理解吗？
70 00:09:01,019 --> 00:09:13,500 演讲者 SPEAKER_09：而且有一个特别的历史事件，大多数人不知道，那就是这些大型语言模型，它们看起来似乎能理解并能回答你提出的任何问题，尽管水平并不高，
71 00:09:14,256 --> 00:09:16,421 演讲者 SPEAKER_09：它们已经存在很长时间了。
72 00:09:16,441 --> 00:09:17,964 演讲者 SPEAKER_09：我喜欢这样思考。
73 00:09:18,585 --> 00:09:23,695 讲者 SPEAKER_09：它们来自我在 1985 年创建的一个模型，这是第一个神经网络语言模型。
74 00:09:25,037 --> 00:09:30,628 讲者 SPEAKER_09：它只有 104 个训练示例，而不是万亿个。
75 00:09:31,182 --> 00:09:32,023 讲者 SPEAKER_09：或者说是数十亿个。
76 00:09:32,764 --> 00:09:35,668 讲者 SPEAKER_09：网络中大约有 1,000 个权重，而不是万亿个。
77 00:09:36,889 --> 00:09:54,472 讲者 SPEAKER_09：这是一个训练用来预测下一个单词并将预测错误反向传播以将输入符号转换为神经活动向量的语言模型，然后学习这些向量应该如何相互作用以预测它试图预测的符号的向量。
78 00:09:54,452 --> 00:09:57,856 讲者 SPEAKER_09：那个点并没有工程意义。
79 00:09:57,876 --> 00:10:02,743 讲者 SPEAKER_09：它的意义在于是一种关于人们如何理解词义的理论。
80 00:10:05,927 --> 00:10:12,735 讲者 SPEAKER_09：因此，我们关于人们如何理解句子的最佳模型就是这些语言模型。
81 00:10:14,096 --> 00:10:17,662 讲者 SPEAKER_09：这是我们唯一一个真正有效的工作模型。
82 00:10:17,682 --> 00:10:19,004 讲者 SPEAKER_09：我们有很多这些符号模型。
83 00:10:20,024 --> 00:10:21,826 讲者 SPEAKER_09：它们实际上并不怎么有效。
84 00:10:21,942 --> 00:10:29,899 讲者 SPEAKER_09：它们，我的意思是，它们受到了乔姆斯基的强烈影响，乔姆斯基设法说服了多代语言学家，语言不是通过学习获得的。
85 00:10:30,580 --> 00:10:34,248 讲者 SPEAKER_09：表面上看来，说语言不是学来的显然是荒谬的。
86 00:10:34,769 --> 00:10:38,836 讲者 SPEAKER_09：如果你能让人们相信显然荒谬的事情，那么你就建立了一个邪教。
87 00:10:39,543 --> 00:10:41,626 讲者 SPEAKER_09：乔姆斯基就有一个邪教。
88 00:10:43,110 --> 00:10:47,096 讲者 SPEAKER_09：语言是可以学来的，我们现在可以看到学习语言的事物。
89 00:10:47,498 --> 00:10:50,363 讲者 SPEAKER_09：结构不必是天生的，它来自数据。
90 00:10:50,744 --> 00:10:56,674 讲者 SPEAKER_09：神经网络和学习算法中必须存在天生的结构，但所有语言的结构你都可以从数据中获得。
91 00:10:57,155 --> 00:11:00,522 讲者 SPEAKER_09：乔姆斯基看不到如何做到这一点，所以他说是天生的。
92 00:11:00,501 --> 00:11:19,557 讲者 SPEAKER_09：说它必须天生的，而不是学来的，这真的很愚蠢，因为这相当于说进化学到了它，而不是学习。进化是一个比学习慢得多的过程，进化产生大脑的原因是你可以比进化更快地学习东西，因为进化使它天生的速度要慢得多。
93 00:11:21,409 --> 00:11:28,264 演讲者 SPEAKER_09：这次闲聊的目的是说服你们，他们理解的方式和我们一样。
94 00:11:28,745 --> 00:11:30,489 演讲者 SPEAKER_09：为此，我将再给你们提供一条证据。
95 00:11:31,892 --> 00:11:38,926 很多人谈论随机鹦鹉时会说，看，我可以向你展示他们实际上并不理解，因为他们只是胡编乱造。
96 00:11:38,946 --> 00:11:39,908 他们只是胡编乱造。
97 00:11:41,456 --> 00:11:43,379 讲者 SPEAKER_09：这些人不是心理学家。
98 00:11:43,419 --> 00:11:46,485 讲者 SPEAKER_09：他们不明白不应该使用“幻觉”这个词。
99 00:11:46,946 --> 00:11:48,889 讲者 SPEAKER_09：他们应该使用“虚构”这个词。
100 00:11:49,370 --> 00:11:53,256 讲者 SPEAKER_09：自 1930 年代以来，心理学家一直在研究人类的虚构行为。
101 00:11:53,557 --> 00:11:54,899 讲座者 SPEAKER_09：一位名叫巴特莱特的心理学家。
102 00:11:55,620 --> 00:11:58,525 讲座者 SPEAKER_09：人们总是在编造故事。
103 00:11:59,086 --> 00:12:02,131 讲座者 SPEAKER_09：如果你回想很久以前发生的事情，而且在这期间你没有
104 00:12:02,956 --> 00:12:09,408 讲座者 SPEAKER_09：练习过，你试图回忆它，你会自信地记住许多错误的事情。
105 00:12:09,448 --> 00:12:14,097 讲者 SPEAKER_09：因为记忆并不是从某处获取一个文件。
106 00:12:14,759 --> 00:12:18,365 讲者 SPEAKER_09：记忆是构建一个看似合理的东西。
107 00:12:18,346 --> 00:12:24,774 讲者 SPEAKER_09：现在，如果你刚刚看到了某样东西，然后尝试构建一个看似合理的东西，你会有相当准确的细节。
108 00:12:25,535 --> 00:12:32,506 讲者 SPEAKER_09：但是如果你很多年前就看到了，现在尝试构建一个看似合理的东西，首先，它会被你在这期间学到的所有东西所影响。
109 00:12:33,488 --> 00:12:39,836 讲者 SPEAKER_09：你会构建一些听起来不错的东西，但实际上，你非常自信的许多细节都是错误的。
110 00:12:40,378 --> 00:12:45,905 讲者 SPEAKER_09：很难证明这一点，但有一位心理学家名叫 Ulrich Neisser，他研究了一个非常漂亮的案例。
111 00:12:46,392 --> 00:12:55,538 讲者 SPEAKER_09：约翰·迪安在水门事件中宣誓作证，关于椭圆形办公室正在进行的掩盖行动，但他不知道有录音带。
112 00:12:56,461 --> 00:12:59,912 讲者 SPEAKER_09：所以你有一个试图讲述几年前发生的事情的人。
113 00:13:00,802 --> 00:13:06,250 演讲者 SPEAKER_09：他说的很多内容并不真实，但他显然是在试图说出真相。
114 00:13:06,269 --> 00:13:07,873 演讲者 SPEAKER_09：他会说，这些人之间有过这次会议。
115 00:13:08,173 --> 00:13:09,554 演讲者 SPEAKER_09：不，这些人从未有过会议。
116 00:13:10,034 --> 00:13:11,037 演讲者 SPEAKER_09：这个人说了这样的话。
117 00:13:11,197 --> 00:13:12,558 说话人 SPEAKER_09：不，那个人没有说过那样的话。
118 00:13:12,818 --> 00:13:14,461 说话人 SPEAKER_09：有人在另一次会议上说过那样的话。
119 00:13:15,081 --> 00:13:22,272 说话人 SPEAKER_09：但重点是，他在传达关于掩盖真相的事实，他坚信自己所说的是真的，只是错了。
120 00:13:22,690 --> 00:13:24,913 说话人 SPEAKER_09：这就是人类记忆的工作方式。
121 00:13:25,634 --> 00:13:30,865 讲者 SPEAKER_09：当这些事情混淆时，它们就像人一样。
122 00:13:31,044 --> 00:13:31,947 讲者 SPEAKER_09：人们混淆。
123 00:13:32,828 --> 00:13:33,669 讲者 SPEAKER_09：至少我认为是这样。
124 00:13:33,690 --> 00:13:34,350 讲者 SPEAKER_09：我只是随便说的。
125 00:13:36,554 --> 00:13:38,158 演讲者 SPEAKER_09: 好的，我完成了。
126 00:13:38,177 --> 00:13:38,538 演讲者 SPEAKER_09: 我们不会记得。
127 00:13:47,750 --> 00:13:53,256 演讲者 SPEAKER_00: Jeffrey，如果你能留在这里，因为我想问你一两个问题。
128 00:13:53,378 --> 00:13:59,044 演讲者 SPEAKER_00: 我知道我们有一个非常棒的讨论小组，他们将更多地与您讨论这项技术。
129 00:14:00,027 --> 00:14:03,191 说话人 SPEAKER_00: 但我知道你已经讨论过人工智能的风险。
130 00:14:04,011 --> 00:14:13,605 说话人 SPEAKER_00: 所以我有一个问题，我认为你也提到了，必须有一些形式的国际合作来处理这些风险。
131 00:14:13,585 --> 00:14:22,999 说话人 SPEAKER_00: 你认为为了使各国能够以建设性的方式合作来控制这些风险，需要发生什么？
132 00:14:23,620 --> 00:14:28,086 说话人 SPEAKER_09: 所以我认为在致命自主武器这样的风险上，各国不会进行合作。
133 00:14:28,486 --> 00:14:32,653 俄罗斯人和美国人不会合作制造相互战斗的战斗机器人。
134 00:14:33,453 --> 00:14:38,360 所有主要武器供应国，
135 00:14:38,341 --> 00:14:53,149 俄罗斯、美国、中国、英国、以色列，以及可能还有瑞典，都在忙于制造自主致命武器，他们不会减速，不会自我监管，也不会合作。
136 00:14:53,809 --> 00:15:01,884 如果你看欧洲的法规，欧洲关于人工智能的法规中有一条条款说，这些法规不适用于人工智能的军事用途。
137 00:15:02,269 --> 00:15:04,793 讲者 SPEAKER_09：很明显，欧洲国家不想对其进行监管。
138 00:15:05,273 --> 00:15:08,797 讲者 SPEAKER_09：他们想赶紧看看是否能比其他人造出更好的战斗机器人。
139 00:15:09,597 --> 00:15:11,259 讲者 SPEAKER_09：所以我们无法控制这一点。
140 00:15:11,980 --> 00:15:15,823 讲者 SPEAKER_09：我认为许多其他短期风险也会如此。
141 00:15:15,844 --> 00:15:27,956 讲者 SPEAKER_09：在美国，例如，他们不会监管虚假视频，因为即将完全掌权的其中一个政党相信它们。
142 00:15:30,129 --> 00:15:35,379 讲者 SPEAKER_09：不过，有一个领域你们将会得到合作，那就是生存威胁。
143 00:15:36,220 --> 00:15:45,856 讲者 SPEAKER_09：所以当这些事物比我们聪明时，我所知道的几乎所有研究人员都认为它们会的，我们只是在时间上有所不同，无论是五年还是三十年。
144 00:15:47,840 --> 00:15:50,303 讲者 SPEAKER_09：当它们比我们聪明时，它们会接管吗？
145 00:15:50,585 --> 00:15:53,590 讲者 SPEAKER_09：我们能否做些什么来防止这种情况发生呢？
146 00:15:54,532 --> 00:15:59,259 讲者 SPEAKER_09：你们会得到合作，因为所有国家都不希望这种情况发生。
147 00:15:59,818 --> 00:16:07,090 讲者 SPEAKER_09：在冷战高峰期，苏联和美国可以合作防止核战争。
148 00:16:08,051 --> 00:16:11,255 讲者 SPEAKER_09：他们将以同样的方式合作防止这些事物占据主导地位。
149 00:16:11,275 --> 00:16:16,081 说话人 SPEAKER_09：中国共产党不想让 AI 夺走权力。
150 00:16:17,644 --> 00:16:20,168 说话人 SPEAKER_09：他们想保留权力。
151 00:16:20,586 --> 00:16:26,316 说话人 SPEAKER_09：所以我认为这是一个我们可以期待合作的领域，这真是幸运。
152 00:16:26,576 --> 00:16:28,678 说话人 SPEAKER_09：但我认为在其他领域我们不会得到合作。
153 00:16:28,980 --> 00:16:29,279 演讲者 演讲者_00：好的。
154 00:16:29,379 --> 00:16:31,322 演讲者 演讲者_00：嗯，这有点乐观。
155 00:16:31,984 --> 00:16:47,948 演讲者 演讲者_00：然后我最后一个问题，作为工程科学院，我们专注于解决问题，我想请问您，您会告诉他们什么，还有作为孩子的母亲，现在非常关心现在和未来的我，您会告诉年轻人什么？
156 00:16:48,269 --> 00:16:49,311 演讲者 演讲者_00：您想说什么...
157 00:16:49,392 --> 00:16:58,503 讲者 SPEAKER_09：好吧，有些 AI 研究人员，比如我的朋友、我的博士后 Yalaka，他们认为没有可能被取代，不用担心。
158 00:16:58,543 --> 00:17:00,706 讲者 SPEAKER_09：别信那。
159 00:17:02,227 --> 00:17:04,309 讲者 SPEAKER_09：当它们比我们聪明时，我们不知道会发生什么。
160 00:17:05,090 --> 00:17:07,674 讲者 SPEAKER_09：这是一片完全未知的领域。
161 00:17:07,694 --> 00:17:10,438 讲者 SPEAKER_09：有其他 AI 研究人员，比如尤达科夫斯基，
162 00:17:10,553 --> 00:17:16,161 讲者 SPEAKER_09：嗯，他其实并不是 AI 研究人员，但他对 AI 了解很多，他说有 99%的几率它们会接管。
163 00:17:17,001 --> 00:17:25,513 讲者 SPEAKER_09：他实际上说是 99.9%，正确的策略是现在就轰炸数据中心，这对大公司来说并不受欢迎。
164 00:17:27,757 --> 00:17:28,798 讲者 SPEAKER_09：这也太疯狂了。
165 00:17:29,638 --> 00:17:35,388 说话人 SPEAKER_09：我们正进入一个充满巨大不确定性的时代，当我们开始处理比我们更智能或与我们一样智能的事物时。
166 00:17:35,970 --> 00:17:37,571 说话人 SPEAKER_09：我们不知道会发生什么。
167 00:17:38,133 --> 00:17:41,298 说话人 SPEAKER_09：我们在构建它们，所以我们现在有很大的权力。
168 00:17:42,681 --> 00:17:43,741 说话人 SPEAKER_09：我们只是不知道会发生什么。
169 00:17:43,761 --> 00:17:44,683 说话人 SPEAKER_09：人们非常聪明。
170 00:17:45,865 --> 00:17:50,493 说话人 SPEAKER_09：完全有可能我们会找到方法，让他们永远不会想要控制。
171 00:17:50,894 --> 00:17:54,921 说话人 SPEAKER_09：因为如果他们想要控制，我认为如果他们比我们聪明，他们很容易就能做到。
172 00:17:54,901 --> 00:18:00,711 说话人 SPEAKER_09：所以我认为我们现在所处的局面就像有人养了一只非常可爱的小老虎。
173 00:18:02,694 --> 00:18:09,928 说话人 SPEAKER_09：小老虎是很好的宠物，但你最好确保它长大后不会想杀你。
174 00:18:10,449 --> 00:18:11,730 说话人 SPEAKER_09：如果你能确保这一点，那就没问题。
175 00:18:13,253 --> 00:18:14,496 说话人 SPEAKER_09：我们现在的处境就是这样。
176 00:18:15,791 --> 00:18:16,554 说话人 SPEAKER_00：非常感谢您。
177 00:18:16,574 --> 00:18:24,898 演讲者 演讲者_00：在这个问题上，我将把你们交给非常能干的安妮特·诺瓦克，她将引导我们进行这次圆桌讨论。
178 00:18:25,059 --> 00:18:26,403 演讲者 演讲者_00：非常感谢到目前为止。
179 00:18:26,544 --> 00:18:27,185 演讲者 演讲者_00：谢谢。
180 00:18:34,169 --> 00:18:36,755 演讲者 演讲者_07：谢谢你，西尔维亚，还有谢谢你，Hinton 教授。
181 00:18:37,615 --> 00:18:51,486 讲者 SPEAKER_07：作为 IVA 信息技术部的主席，我有幸和特权引导大家进入这次研讨会的下一部分，其中将有一系列真正强大的演讲者阵容进行圆桌讨论。
182 00:18:51,465 --> 00:18:57,893 讲者 SPEAKER_07：通过圆桌讨论，我认为我们也能展示信息技术是一个非常广泛的研究领域。
183 00:18:58,593 --> 00:19:06,320 讲者 SPEAKER_07：我们有来自未来学、哲学、计算机科学和人工智能与人类交互的 IWA 研究员。
184 00:19:07,301 --> 00:19:16,511 讲者 SPEAKER_07：我们将以此开始三个简短的发言，为与 Hinton 教授的圆桌讨论播下一些种子，他将会回来，所以请放心。
185 00:19:16,491 --> 00:19:27,228 演讲者 SPEAKER_07：我们将由安德斯·桑德伯格开始，他是斯德哥尔摩未来研究所的研究员，曾是牛津大学人类未来研究所的成员。
186 00:19:28,090 --> 00:19:29,556 演讲者 SPEAKER_07：请，安德斯，您来发言。
187 00:19:35,070 --> 00:19:35,951 演讲者 SPEAKER_08：非常感谢。
188 00:19:35,971 --> 00:19:50,170 演讲者 SPEAKER_08：我觉得能在这个场合讨论我们对人工智能的了解，或者更确切地说，讨论我们对它的不了解，尤其是因为我的教授就在听众席上，这非常有趣。
189 00:19:50,951 --> 00:19:56,758 讲者 SPEAKER_08：令人尴尬的一件事是意识到我在 90 年代学到的很多东西现在已经不再正确。
190 00:19:57,598 --> 00:20:02,886 讲者 SPEAKER_08：事实上，这正是人工智能领域整个历史的主要教训之一。
191 00:20:02,906 --> 00:20:08,335 讲者 SPEAKER_08：我们极其擅长预测什么会成功，什么不会成功。
192 00:20:08,355 --> 00:20:15,645 讲者 SPEAKER_08：当然，有一整个流派的名言，来自早期人工智能先驱们自信地表示，在一代人的时间内，我们将拥有达到人类水平的人工智能机器。
193 00:20:16,547 --> 00:20:20,353 讲者 SPEAKER_08：的确，他们都没有关心我们的安全。
194 00:20:21,013 --> 00:20:23,336 讲者 SPEAKER_08：当然，那些预测也是错误的。
195 00:20:23,941 --> 00:20:26,526 讲者 SPEAKER_08：我们对于悲观也是错误的。
196 00:20:26,546 --> 00:20:31,836 讲者 SPEAKER_08：有时候它突然开始工作，当它发生时，这既令人惊讶，甚至令人震惊。
197 00:20:31,936 --> 00:20:45,003 讲者 SPEAKER_08：2010 年代发生的革命是使用长期以来一直在做一些有趣事情的相同类型的网络，但突然间我们开始起飞，原因我们至今仍不完全理解。
198 00:20:44,983 --> 00:20:46,506 讲者 SPEAKER_08：我们懂得如何制造它们。
199 00:20:46,526 --> 00:20:48,627 讲者 SPEAKER_08：我们懂得一些基本原理。
200 00:20:49,249 --> 00:20:59,539 讲者 SPEAKER_08：但发展出来的新兴产物与其说是我们的创造，不如说是我们真正感到棘手的涌现现象。
201 00:20:59,559 --> 00:21:07,907 讲者 SPEAKER_08：当然，这表明我们对未来的预测并不十分了解，也不太有根据。
202 00:21:08,269 --> 00:21:12,173 讲者 SPEAKER_08：这并不意味着我们不应该相信预测。
203 00:21:12,153 --> 00:21:22,230 讲者 SPEAKER_08：因为在许多领域，在商业、政治、战争和爱情中，我们经常需要利用那些实际上并不太有根据的预测。
204 00:21:22,250 --> 00:21:31,224 讲者 SPEAKER_08：而当一个看似前景光明的技术领域出现时，如何处理其安全性则是一个有趣的挑战。
205 00:21:31,204 --> 00:21:35,655 讲者 SPEAKER_08：当然，从安全角度来说，这种情况当然是非常令人担忧的。
206 00:21:36,016 --> 00:21:39,986 讲者 SPEAKER_08：看起来像是人工智能，我们无法判断它能走多远。
207 00:21:40,366 --> 00:21:44,636 讲者 SPEAKER_08：很多人说，乔姆斯基实际上深层次是正确的。
208 00:21:45,137 --> 00:21:48,926 讲者 SPEAKER_08：或者存在其他限制，比如训练材料或计算能力。
209 00:21:48,906 --> 00:21:56,641 讲者 SPEAKER_08: 或者说我们实际上正在使用错误的算法，以及推动当前 LLMs 的扩展定律可能不会奏效。
210 00:21:56,961 --> 00:22:00,106 讲者 SPEAKER_08: 顺便问一下，为什么 LLM 能够进行思考呢？
211 00:22:00,386 --> 00:22:03,152 讲者 SPEAKER_08: 毕竟这只是在预测序列。
212 00:22:03,267 --> 00:22:12,477 讲者 SPEAKER_08: 意外地发现，序列预测实际上可能是一个相当好的思考替代品，即使大型语言模型所能规划的有限。
213 00:22:12,978 --> 00:22:18,324 演讲者 SPEAKER_08：也许它只能规划短小的思维序列，你需要接入另一个架构。
214 00:22:18,805 --> 00:22:23,309 演讲者 SPEAKER_08：无法保证不会有人在下周二做出这样的事情。
215 00:22:24,171 --> 00:22:26,272 演讲者 SPEAKER_08：同样，我们不知道它的发展速度有多快。
216 00:22:26,313 --> 00:22:32,380 演讲者 SPEAKER_08：再次，我们有一个很长的时期，似乎没有什么发生，然后突然发生了很多事情。
217 00:22:32,359 --> 00:22:37,686 讲者 SPEAKER_08：当然，这表明我们可能难以控制它并了解这一点。
218 00:22:37,707 --> 00:22:43,673 讲者 SPEAKER_08：看起来它可以走得很远，这是个非常好的消息，因为人工智能实际上看起来非常有用。
219 00:22:44,034 --> 00:22:45,155 讲者 SPEAKER_08：我当然在使用它。
220 00:22:45,256 --> 00:22:47,097 讲者 SPEAKER_08：它正在解决有趣的问题。
221 00:22:47,117 --> 00:22:58,792 讲者 SPEAKER_08：一些问题也让我有些紧张，因为我今天早些时候进行了一次生物安全演练，和一个LLM一起，我一直在期待着说，Anders，那是一个生物武器。
