1 00:00:24,989 --> 00:00:31,278 主持人 SPEAKER_02：我非常荣幸，能够介绍今天的演讲者。
41 00:04:40,355 --> 00:04:41,920 说话人 说话人_00: 这是一个简单的模型，描述了发生了什么。
42 00:04:42,259 --> 00:04:43,201 说话人 说话人_00: 基因中有一半消失了。
43 00:04:43,262 --> 00:04:46,228 说话人 说话人_00: 因此，你不再拥有那一大组相互适应的基因了。
44 00:04:46,249 --> 00:04:47,050 说话人 说话人_00: 所以，你的效果不是很好。
45 00:04:47,932 --> 00:04:49,956 说话人 说话人_00: 这真是个谜。
46 00:04:50,036 --> 00:04:51,920 说话人 说话人_00: 那为什么不是坏事呢？
47 00:04:52,627 --> 00:05:03,319 说话人 说话人_00: 所以，Livnat、Pepper、Dimitra 和 Feldman 在 2008 年的论文声称，有性生殖的全部目的就是为了打破这些共适应。
48 00:05:04,360 --> 00:05:06,682 说话人 说话人_00: 之所以这可能是个好主意，有两个原因。
49 00:05:07,204 --> 00:05:08,906 说话人 SPEAKER_00: 一个是为了长期优化。
50 00:05:09,326 --> 00:05:15,432 说话人 SPEAKER_00: 所以短期内可能不好，但它能让你摆脱必须同时改变很多东西才能取得进展的情况。
51 00:05:15,954 --> 00:05:17,514 说话人 SPEAKER_00: 所以这可能有助于长期优化。
52 00:05:18,235 --> 00:05:21,519 说话人 SPEAKER_00: 从机器学习的角度来看，我们还没有太多证据。
53 00:05:21,870 --> 00:05:25,694 说话人 说话人_00：另一件事是，这可能会使你更能抵御环境变化。
54 00:05:26,615 --> 00:05:37,545 说话人 说话人_00：所以如果环境发生变化，那么如果你有一个庞大而复杂的共适应，通过依赖许多不同的基因产生你想要的效果，那么可能会出现某些混乱。
55 00:05:38,466 --> 00:05:49,836 说话人 说话人_00：但如果你有大量较小的共适应，通过使用少量基因以多种方式实现功能，那么当环境发生变化时，其中一些方式更有可能存活下来。
56 00:05:50,355 --> 00:05:51,999 说话人 说话人_00：结果证明这是一个很大的影响。
57 00:05:55,225 --> 00:05:58,771 说话人 SPEAKER_00：另一个生物学问题是神经元如何进行通讯。
58 00:05:59,372 --> 00:06:02,177 说话人 SPEAKER_00：因此，皮层神经元进行大量的信号处理，并且在这方面非常擅长。
59 00:06:02,997 --> 00:06:06,124 说话人 SPEAKER_00：然而，它们并不向彼此发送真实数字。
60 00:06:06,725 --> 00:06:11,012 说话人 SPEAKER_00：据我们所知，它们发送这些活动尖峰，要么是一，要么是零。
61 00:06:11,533 --> 00:06:13,336 说话人 说话人_00：尖峰的时间是随机的。
62 00:06:13,956 --> 00:06:15,519 说话人 说话人_00：现在，这完全疯狂。
63 00:06:15,735 --> 00:06:21,622 说话人 说话人_00：因为对于相同数量的能量，它们可以发送一个与某些振荡相关的精确时间尖峰。
64 00:06:22,043 --> 00:06:26,428 说话人 说话人_00：因此，它们可以通过尖峰的时间来传递一个模拟值。
65 00:06:26,449 --> 00:06:28,031 说话人 SPEAKER_00: 那么，问题来了，他们为什么不这么做呢？
66 00:06:31,475 --> 00:06:31,536 说话人 SPEAKER_00: 好的。
67 00:06:31,555 --> 00:06:35,600 说话人 SPEAKER_00: 当我向你介绍这个机器学习中的想法时，我将尝试回答这两个问题。
68 00:06:37,235 --> 00:06:47,747 说话人 SPEAKER_00: 我们需要理解神经元如何通过单个尖峰进行通信的原因之一，是因为我们希望制作出由许多核心实现的真正大的神经网络。
69 00:06:48,428 --> 00:06:56,238 说话人 SPEAKER_00: 因此，神经元的状况，一些神经元会在一个核心中，而一些神经元在另一个核心中，它们需要在不同核心之间传递神经元的状况。
70 00:06:56,639 --> 00:06:58,062 说话人 SPEAKER_00: 因此，您希望这具有低带宽。
71 00:06:58,442 --> 00:07:04,709 说话人 SPEAKER_00: 如果它们只需要一个比特来传递它们的状况，那么这比目前人们所做的方法提高了 32 倍。
72 00:07:07,795 --> 00:07:13,062 说话人 SPEAKER_00: 表面上看，似乎很难相信一个比特比发送模拟值更好。
73 00:07:13,923 --> 00:07:21,394 说话人 SPEAKER_00: 我认为这是因为作为工程师，我们习惯于进行信号处理。
74 00:07:21,834 --> 00:07:29,485 说话人 SPEAKER_00: 你会做一些事情，比如假设存在一个线性动力学系统，然后拟合一个线性动力学模型。
75 00:07:30,266 --> 00:07:31,887 说话人 SPEAKER_00: 要做到这一点，你需要使用实数。
76 00:07:34,310 --> 00:07:36,334 说话人 SPEAKER_00: 这不是大脑解决的问题类型。
77 00:07:37,040 --> 00:07:42,550 发言人 SPEAKER_00：工程师从他们想要拟合的模型有一个很好的想法，现在他们想要识别参数。
78 00:07:43,492 --> 00:07:49,244 发言人 SPEAKER_00：大脑带着大量输入数据进入这个完全无法理解的世界。
79 00:07:50,064 --> 00:07:52,509 发言人 SPEAKER_00：这是一个真正的混乱。
80 00:07:53,391 --> 00:07:57,579 发言人 SPEAKER_00：在这种情况下，正确的方法是拟合无数不同的模型。
81 00:07:58,201 --> 00:08:00,303 说话人 SPEAKER_00: 你不想真的让一个特定模型非常合适。
82 00:08:00,324 --> 00:08:03,910 说话人 SPEAKER_00: 你想要拟合无数个不同的模型，然后利用大众的智慧。
83 00:08:04,411 --> 00:08:10,420 说话人 SPEAKER_00: 也就是说，当有人问你问题时，你让所有无数个不同的模型给出答案，然后取一个共识。
84 00:08:10,440 --> 00:08:16,029 说话人 SPEAKER_00: 这与仔细拟合一个精确模型非常不同的计算方式。
85 00:08:18,935 --> 00:08:20,458 说话人 说话人_00：所以我将回到那个问题。
86 00:08:21,158 --> 00:08:23,161 说话人 说话人_00：现在我要跳回去了。
87 00:08:23,766 --> 00:08:24,348 说话人 说话人_00：很长时间。
88 00:08:25,968 --> 00:08:31,714 说话人 说话人_00：在20世纪80年代中期，人们开发了具有多层特征检测器的神经网络。
89 00:08:32,294 --> 00:08:37,200 说话人 SPEAKER_00：我们有一个名为反向传播的学习算法，它在学习多层特征检测器方面是合理的。
90 00:08:37,879 --> 00:08:46,328 说话人 SPEAKER_00：所以你输入一些数据，让它通过网络，比较结果与预期，然后利用链式法则反向遍历网络，以确定如何改变每个神经元的输入连接权重。
91 00:08:47,068 --> 00:08:49,991 说话人 SPEAKER_00：一开始这非常令人兴奋。
92 00:08:50,753 --> 00:08:53,115 说话人 SPEAKER_00：但它对深层网络从未工作得很好。
93 00:08:53,416 --> 00:08:56,780 说话人 SPEAKER_00：除了 Yann LeCun 使用的卷积深度网络外。
94 00:08:57,522 --> 00:09:00,988 说话人 SPEAKER_00：但其他的都不太奏效。
95 00:09:01,008 --> 00:09:05,595 说话人 SPEAKER_00：其中一个问题是，当时，获取大量标记数据非常困难。
96 00:09:06,355 --> 00:09:11,024 说话人 SPEAKER_00：你可以获取图像，或者获取声波，但获取它们的准确标签真的很困难。
97 00:09:11,684 --> 00:09:12,947 说话人 说话人_00：所以我们无法获取足够多的标注数据。
98 00:09:15,190 --> 00:09:17,614 说话人 说话人_00：当然，一个解决方案就是非常努力地获取标注数据。
99 00:09:17,653 --> 00:09:18,775 说话人 说话人_00：语音领域的人就是这样做的。
100 00:09:18,796 --> 00:09:20,317 说话人 说话人_00：他们获得了大量的标注数据集。
101 00:09:20,686 --> 00:09:36,792 说话人 SPEAKER_00: 另一种解决方案是看看我们是否可以通过尝试建模输入数据，尝试构建一个感官输入的生成模型，而不是试图决定它的正确标签，来学习大多数特征检测器的层，也许除了最后一层。
102 00:09:37,773 --> 00:09:39,495 说话人 SPEAKER_00: 结果这种方法效果相当不错。
103 00:09:40,878 --> 00:09:43,361 说话人 SPEAKER_00: 所以自 1985 年以来，发生了很多事情。
104 00:09:43,842 --> 00:09:45,004 说话人 SPEAKER_00: 计算机变得更快了。
105 00:09:45,024 --> 00:09:47,688 说话人 SPEAKER_00: 这是发生的主要事情。
106 00:09:48,225 --> 00:09:49,707 说话人 SPEAKER_00: 标注数据集变得更大了。
107 00:09:50,349 --> 00:09:52,311 说话人 SPEAKER_00: 因此现在可以训练大的反向传播网络。
108 00:09:53,952 --> 00:09:59,640 说话人 SPEAKER_00: 我们还找到了使用无监督学习更好地初始化这些多层网络权重的更好方法。
109 00:10:00,240 --> 00:10:04,826 说话人 SPEAKER_00: 所有三个因素的结合意味着我们现在可以合理地初始化网络。
110 00:10:05,488 --> 00:10:07,931 说话人 SPEAKER_00: 然后，我们可以将它们释放到大数据集上。
111 00:10:08,312 --> 00:10:09,633 说话人 SPEAKER_00: 我们使用未标记的数据进行初始化。
112 00:10:09,653 --> 00:10:16,562 说话人 SPEAKER_00: 将它们释放到大数据集上，并用大型快速计算机或一大群大型快速计算机对它们进行彻底训练。
113 00:10:17,065 --> 00:10:18,606 说话人 说话人_00: 他们表现得非常好。
114 00:10:20,650 --> 00:10:21,873 说话人 说话人_00: 那么，这里有一些宣传。
115 00:10:24,657 --> 00:10:27,761 说话人 说话人_00: 到目前为止，最令人印象深刻的可能是语音识别的应用。
116 00:10:29,083 --> 00:10:41,283 说话人 说话人_00: 以前，我和我的部分学生，但主要是我的学生，展示了一个相对较小的数据集，即三小时的语音数据，有一个标准基准叫做
117 00:10:41,686 --> 00:10:58,075 说话者 SPEAKER_00：我们可以通过使用深度神经网络将声学帧窗口映射到对中间帧所代表的音素片段的预测，从而超越现有的无监督基准。
118 00:10:58,730 --> 00:11:02,053 说话者 SPEAKER_00：在语音处理中，你使用隐马尔可夫模型来处理时间对齐。
119 00:11:02,514 --> 00:11:06,138 说话者 SPEAKER_00：对于每个音素，你有一个具有几个状态（通常是三个）的隐马尔可夫模型。
120 00:11:06,999 --> 00:11:12,764 说话者 SPEAKER_00：有时对于某个音素，你可能会有许多不同的隐马尔可夫模型，这取决于你认为与之相邻的音素是什么。
121 00:11:14,025 --> 00:11:21,474 说话人 SPEAKER_00: 但是问题在于从声学输入预测出这个音素片段的可能性。
122 00:11:21,494 --> 00:11:23,876 说话人 SPEAKER_00: 而这正是深度神经网络做得更好的地方。
123 00:11:24,447 --> 00:11:34,541 说话人 SPEAKER_00: 如果你将这些预测输入到一个解码器，它使用各种关于语言的知识，那么它给出的单词字符串比使用之前的标准声学模型更准确。
124 00:11:36,702 --> 00:11:48,178 说话人 SPEAKER_00: 这里是一些最近综述论文的结果，这篇论文值得关注，因为论文的作者来自 MSR 研究、IBM、谷歌以及多伦多大学。
125 00:11:48,759 --> 00:11:50,522 说话人 SPEAKER_00：这是在更大的数据集上。
126 00:11:51,379 --> 00:11:55,566 说话人 SPEAKER_00：所以 MSR 使用了相当大的 309 小时的数据集。
127 00:11:55,605 --> 00:12:07,683 说话人 SPEAKER_00：他们使用标准方法在这之前将这些数据集的错误率从 27%降低到了 18%。
128 00:12:07,904 --> 00:12:08,905 说话人 SPEAKER_00：这是一个巨大的改进。
129 00:12:09,768 --> 00:12:12,851 说话人 说话人_00: 然后在另一个测试集上，他们将其从23%降低到16%。
130 00:12:14,033 --> 00:12:19,361 说话人 说话人_00: IBM，可能拥有最好的语音识别器，最精心调校的一个，
131 00:12:19,779 --> 00:12:26,327 说话人 说话人_00: 在一个相对较小的数据集上，将他们精心调校的系统错误率从18.8%降低到17.5%。
132 00:12:27,629 --> 00:12:30,533 说话人 说话人_00: 这是一个精心调校的系统。
133 00:12:30,552 --> 00:12:33,416 说话人 SPEAKER_00：在必应语音搜索中，他们降低了很多。
134 00:12:35,118 --> 00:12:37,321 说话人 SPEAKER_00：谷歌使用了谷歌认为的小数据集。
135 00:12:38,721 --> 00:12:41,846 说话人 SPEAKER_00：他们将错误率降低到了 12.3。
136 00:12:44,068 --> 00:12:47,592 说话人 SPEAKER_00：他们将错误率从 12.3 降低到了。
137 00:12:49,057 --> 00:12:52,201 说话人 SPEAKER_00: 训练在所谓的大数据集上的 16%。
138 00:12:53,283 --> 00:12:54,966 说话人 SPEAKER_00: 我不知道有多大，但肯定很大。
139 00:12:55,746 --> 00:12:57,308 说话人 SPEAKER_00: 所以你给它更多的数据，你得到 16%。
140 00:12:57,590 --> 00:13:00,734 说话人 SPEAKER_00: 你给它更少的数据，并且给它这个更好的，这个深度神经网络，它得到 12%。
141 00:13:01,014 --> 00:13:02,376 说话人 SPEAKER_00: 现在已经下降到 12%以下了。
142 00:13:02,456 --> 00:13:11,188 说话人 SPEAKER_00: 大部分进展都是由一个暑期实习生完成的，当然也得到了语音组的很大帮助。
143 00:13:12,530 --> 00:13:16,416 说话人 SPEAKER_00: 这就是深度神经网络做有用事情的最好例子之一。
144 00:13:17,392 --> 00:13:23,782 说话人 SPEAKER_00: MSR 已经宣布他们将要将其系统，即深度神经网络系统，投入实际使用。
145 00:13:28,008 --> 00:13:28,207 说话人 SPEAKER_00: 好吧。
146 00:13:28,227 --> 00:13:31,133 说话人 SPEAKER_00: 那么，问题是我们能用大深度神经网络做什么呢？
147 00:13:32,014 --> 00:13:33,076 说话人 SPEAKER_00: 为什么它们不是一切问题的答案呢？
148 00:13:33,096 --> 00:13:36,279 说话人 SPEAKER_00: 这就是我们第一次做反向传播时想到的，我现在又开始这么想了。
149 00:13:37,461 --> 00:13:39,225 说话人 SPEAKER_00：嗯，这里有一件比较棘手的事情要做。
150 00:13:39,544 --> 00:13:41,408 说话人 SPEAKER_00：要训练一个大型的深度神经网络，
151 00:13:42,147 --> 00:13:47,534 说话人 SPEAKER_00：你需要很多核心，然后分配到各个核心上，长时间运行。
152 00:13:48,495 --> 00:13:55,547 说话人 SPEAKER_00：经过几周使用数千个核心，你用大约 17 亿参数训练出了你那庞大的网络。
153 00:13:56,769 --> 00:14:03,479 说话人 SPEAKER_00: 然后，有人问，为什么不训练 500 个这样的模型然后取平均值呢？
154 00:14:03,499 --> 00:14:06,562 说话人 SPEAKER_00: 嗯，这听起来像是件辛苦的工作。
155 00:14:08,086 --> 00:14:11,630 说话人 SPEAKER_00: 但我们知道，平均很多模型
156 00:14:12,015 --> 00:14:13,138 说话人 SPEAKER_00: 总是能带来很大的收益。
157 00:14:13,778 --> 00:14:27,938 说话人 SPEAKER_00：如果你想赢得像 Netflix 这样的机器学习竞赛，你应该做的是尝试很多不同的模型，丢弃那些没有用的，保留那些表现相对较好的，尤其是那些彼此不同的，然后对它们进行平均。
158 00:14:28,399 --> 00:14:30,743 说话人 SPEAKER_00：获胜者平均使用了超过 100 个模型。
159 00:14:31,604 --> 00:14:34,008 说话人 SPEAKER_00：我们非常希望用大型深度神经网络来做这件事。
160 00:14:34,447 --> 00:14:35,809 说话人 SPEAKER_00：这可能会使它们的工作效果更好。
161 00:14:36,331 --> 00:14:41,077 说话人 说话人_00：为此提供更多证据的是，你可以使用一种相当软弱的机器学习方法，即决策树
162 00:14:41,513 --> 00:14:45,384 说话人 说话人_00：单独一个决策树效果并不好。
163 00:14:46,046 --> 00:14:48,793 说话人 说话人_00：但是如果你拿很多这样的树，那么它们效果非常好。
164 00:14:48,974 --> 00:14:50,057 说话人 说话人_00：这被称为随机森林。
165 00:14:50,658 --> 00:14:54,831 说话人 SPEAKER_00: 我认为连接，那个让你了解你如何跳舞的东西，
166 00:14:55,115 --> 00:14:58,259 说话人 SPEAKER_00: 从 3D 数据中，使用的是随机森林。
167 00:14:58,980 --> 00:15:04,486 说话人 SPEAKER_00: 决策树的特点是训练速度快，测试时也非常快。
168 00:15:05,067 --> 00:15:07,250 说话人 SPEAKER_00: 所以在测试时，你可以将很多结果平均起来。
169 00:15:07,792 --> 00:15:09,293 说话人 SPEAKER_00: 此外，你也可以负担起训练一大堆。
170 00:15:09,813 --> 00:15:13,259 说话人 SPEAKER_00: 我们真的很想用这些大型深度神经网络来做同样的事情。
171 00:15:13,278 --> 00:15:14,441 说话人 SPEAKER_00: 表面上看，这可能会很棘手。
172 00:15:17,725 --> 00:15:22,370 说话人 SPEAKER_00: 在我说明我们将如何做到这一点之前，让我先告诉你两种平均模型的方法。
173 00:15:22,890 --> 00:15:32,381 说话人 SPEAKER_00：最标准的做法是，如果每个模型在类别上产生一个概率分布，这里有三个类别，你所做的就是简单地平均这些概率。
174 00:15:34,082 --> 00:15:49,000 说话人 SPEAKER_00：我们将给出一个比模型预测的分布更柔和的分布，并且保证使用这个平均分布比随机选择一个模型更有可能。
175 00:15:49,368 --> 00:15:51,191 说话人 SPEAKER_00：当然，最好的模型可能比平均模型要好。
176 00:15:51,530 --> 00:15:53,313 说话人 SPEAKER_00：但是当你有很多模型时，通常不会是这样的。
177 00:15:54,556 --> 00:15:58,682 说话人 SPEAKER_00：我们可以通过取几何平均数而不是算术平均数来组合分布。
178 00:15:59,423 --> 00:16:03,750 说话人 SPEAKER_00：我们只需将模型对不同类别的概率相乘。
179 00:16:04,791 --> 00:16:07,294 说话人 SPEAKER_00：然后我们取第 n 次方根，如果我们有 n 个模型。
180 00:16:08,557 --> 00:16:11,201 说话人 SPEAKER_00：然后我们得到一些数字，它们的和不为 1，所以我们必须重新归一化。
181 00:16:13,124 --> 00:16:17,990 说话人 SPEAKER_00：但这也有一个很好的特性，如果你使用这个几何平均数，
182 00:16:18,460 --> 00:16:24,445 说话人 SPEAKER_00：这将比随机选择模型给出更好的预测。
183 00:16:28,849 --> 00:16:28,908 说话人 SPEAKER_00：好的。
184 00:16:28,928 --> 00:16:30,410 说话人 SPEAKER_00：那么这就是本次演讲的主要内容。
185 00:16:31,652 --> 00:16:34,333 说话人 SPEAKER_00：我们将要做的，是使用一个略微过大的神经网络。
186 00:16:34,514 --> 00:16:36,655 说话人 SPEAKER_00：我将从一个只有一个隐藏层的神经网络开始。
187 00:16:37,697 --> 00:16:44,342 说话人 SPEAKER_00：每次我将一些训练数据呈现给它时，我将以 0.5 的概率随机激活每个隐藏单元。
188 00:16:44,823 --> 00:16:46,105 说话人 SPEAKER_00：所以你假装它们不存在。
189 00:16:47,923 --> 00:16:52,428 说话人 SPEAKER_00：现在我们有一个包含 2 的 n 次方可能架构的空间，如果有任何隐藏单元的话。
190 00:16:52,769 --> 00:16:54,772 说话人 SPEAKER_00：所以 h 到 h 架构是 h 个隐藏单元。
191 00:16:55,633 --> 00:16:57,775 说话人 SPEAKER_00：我们从那个空间中采样架构。
192 00:16:59,197 --> 00:17:01,179 说话人 SPEAKER_00：我们将采样大量不同的架构。
193 00:17:02,400 --> 00:17:05,183 说话人 SPEAKER_00：每种架构只能看到一个训练示例。
194 00:17:05,545 --> 00:17:10,450 说话人 SPEAKER_00：它只会看到一次，因为两次采样相同内容的概率可以忽略不计。
195 00:17:10,470 --> 00:17:12,432 说话人 SPEAKER_00：几乎所有架构都不会被采样。
196 00:17:13,253 --> 00:17:16,917 说话人 SPEAKER_00：但所有这些架构都在共享相同的权重，这极大地规范了它们。
197 00:17:17,843 --> 00:17:20,948 说话人 SPEAKER_00: 那么，问题是，这种效果会好吗？
198 00:17:21,769 --> 00:17:25,013 说话人 SPEAKER_00: 另一个问题，好的，你在训练时这么做。
199 00:17:25,314 --> 00:17:34,848 说话人 SPEAKER_00: 所以在训练时，对于每个训练示例，你采样一个架构，然后稍微更新你实际使用的隐藏单元的权重，然后转到下一个示例。
200 00:17:35,108 --> 00:17:36,230 说话人 SPEAKER_00: 但是测试时你怎么办？
201 00:17:36,250 --> 00:17:37,973 说话人 SPEAKER_00：因为你在测试时如何平均所有这些事物呢？
202 00:17:38,755 --> 00:17:44,644 说话人 SPEAKER_00：结果如果你愿意取几何平均数，那就非常简单了。
203 00:17:48,251 --> 00:17:51,914 说话人 SPEAKER_00：我们可以考虑拥有一个非常大的可能模型数量。
204 00:17:52,855 --> 00:18:00,321 说话人 SPEAKER_00：我们只训练了其中的一小部分，但仍然是一个很大的数字，和训练样本数量的展示次数一样多。
205 00:18:02,805 --> 00:18:11,771 说话人 SPEAKER_00：所以你可以把它看作是非常极端的袋装，即通过提供不同的训练数据来使你的模型不同，并对其进行强烈的正则化。
206 00:18:12,413 --> 00:18:17,297 说话人 SPEAKER_00：然后在测试时，我们可以这样做
207 00:18:17,867 --> 00:18:26,338 说话人 SPEAKER_00：因为在训练过程中每个隐藏单元以一半的概率存在，所以在测试时我们让它始终存在，但将其输出权重减半。
208 00:18:27,220 --> 00:18:29,502 说话人 SPEAKER_00：因此，从它那里得到的预期贡献是相同的。
209 00:18:30,825 --> 00:18:36,551 说话人 SPEAKER_00：现在，如果你这样做，那么你将有一个 softmax 输出组，它在类别之间计算概率分布。
210 00:18:37,192 --> 00:18:44,382 说话人 SPEAKER_00：你可以证明这正好计算了所有这些 2 的 H 次方个网络的预测的几何平均值。
211 00:18:45,694 --> 00:18:47,636 说话人 SPEAKER_00：这是一个很好的属性。
212 00:18:47,676 --> 00:18:54,463 说话人 SPEAKER_00：这意味着我们只运行了一个比我们在训练中运行的任何网络都大一倍的平均网络。
213 00:18:55,105 --> 00:19:00,450 说话人 SPEAKER_00：因此，对于这个两倍的因素，我们可以将这些网络全部平均起来，包括我们未训练的所有网络。
214 00:19:02,211 --> 00:19:02,372 未知说话人：嗯？
215 00:19:03,153 --> 00:19:04,134 说话人 SPEAKER_02: 观众成员 2 这是因为年龄问题。
216 00:19:04,153 --> 00:19:04,835 未知说话人：他们中的大多数从未接受过训练。
217 00:19:05,154 --> 00:19:05,915 说话人 SPEAKER_00：我们从未接受过训练，对吧。
218 00:19:06,415 --> 00:19:08,278 说话人 SPEAKER_00：另一方面，它们与接受过训练的模型共享权重。
219 00:19:09,859 --> 00:19:13,743 说话人 SPEAKER_00：所以即使是没有经过训练的，也因为这种大规模权重共享而会做出合理的事情。
220 00:19:14,517 --> 00:19:17,842 说话人 SPEAKER_00：这是一种有趣的模型平均方法，我们将模型平均与大规模权重共享结合起来。
221 00:19:21,929 --> 00:19:25,394 说话人 SPEAKER_00：如果我们有更多的隐藏层，我们就在所有的隐藏层中使用 dropout。
222 00:19:26,215 --> 00:19:31,143 说话人 SPEAKER_00：我们总是使用，几乎总是使用 50%的 dropout，因为这不再是自由参数了。
223 00:19:32,546 --> 00:19:35,810 说话人 SPEAKER_00: 我的意思是，一半其实并不完全是调整。
224 00:19:35,830 --> 00:19:37,773 说话人 SPEAKER_00: 我们只是用一半。
225 00:19:38,632 --> 00:19:40,994 说话人 SPEAKER_00: 当然，我们尝试过使用不同的数字。
226 00:19:41,575 --> 00:19:44,659 说话人 SPEAKER_00: 任何介于 0.3 和 0.7 之间的数字都有非常相似的行为。
227 00:19:45,398 --> 00:19:52,707 说话人 SPEAKER_00: 很可能的情况是，如果你有一个非常大的网络，如果你负担得起，使用更多的 dropout 更好。
228 00:19:54,348 --> 00:19:56,771 说话人 SPEAKER_00: 也就是说，每个案例保留更小的比例。
