1 00:00:16,129 --> 00:00:17,030 主持人 SPEAKER_01：大家好。
69 00:07:48,413 --> 00:07:56,985 说话人 SPEAKER_00：你们和霍普菲尔德博士都警告过不受控制的 AI 和对其工作原理了解不足的危险。
70 00:07:57,545 --> 00:08:00,329 说话人 SPEAKER_00：我们如何避免灾难性场景？
71 00:08:01,524 --> 00:08:04,009 说话人 SPEAKER_02：目前我们还不知道如何避免所有这些。
72 00:08:04,028 --> 00:08:06,050 说话人 SPEAKER_02：这就是我们为什么需要紧急进行更多研究的原因。
73 00:08:07,553 --> 00:08:24,057 说话人 SPEAKER_02：所以我主张我们最优秀的年轻研究人员，或者其中许多人，应该从事人工智能安全研究，政府应该迫使大型公司提供他们所需的计算设施。
74 00:08:26,786 --> 00:08:32,634 说话人 SPEAKER_00：下一个问题来自加拿大通讯社的塔拉·德尚普斯，再次是关于辛顿教授的。
75 00:08:33,296 --> 00:08:40,225 说话人 SPEAKER_00：长期以来，人工智能并没有像今天这样被视为一种性感或流行的技术。
76 00:08:40,264 --> 00:08:47,715 说话人 SPEAKER_00：我想知道您能否分享一下在技术普及之前从事这项技术基础研究时的感受。
研究过程非常有趣，但稍微有点烦恼的是，很多人说，实际上，大多数人工智能领域的人都说神经网络永远不会起作用。
他们对此非常自信，认为这些事情只是浪费时间，我们永远无法用神经网络学习复杂的事情，比如理解自然语言，但他们错了。
79 00:09:16,940 --> 00:09:20,989 说话人 SPEAKER_00：下一个问题来自 CTV 新闻的 Adrian Gobriel。
80 00:09:21,009 --> 00:09:22,152 说话人 SPEAKER_00：这是他的第二个问题。
81 00:09:22,833 --> 00:09:28,004 说话人 SPEAKER_00：他问 Hinton 博士，你能详细谈谈你对 AI 的担忧吗？
82 00:09:28,066 --> 00:09:31,533 说话人 SPEAKER_00：你相信它可能会比人类更聪明吗？
83 00:09:32,195 --> 00:09:35,623 说话人 SPEAKER_00：为什么以及会多快发生这种情况？
84 00:09:36,532 --> 00:09:45,277 说话人 SPEAKER_02：好的，我所认识的顶尖研究人员中，大多数人认为人工智能将比人类更聪明。
85 00:09:46,100 --> 00:09:48,988 说话人 SPEAKER_02：他们对时间尺度有不同的看法。
86 00:09:49,947 --> 00:09:53,052 说话人 SPEAKER_02：其中很多人认为这将在未来 20 年内发生。
87 00:09:53,493 --> 00:09:55,235 说话人 SPEAKER_02：有些人认为这会很快发生。
88 00:09:55,836 --> 00:09:57,519 说话人 SPEAKER_02：有些人认为这需要更长的时间。
89 00:09:58,041 --> 00:10:04,191 说话人 SPEAKER_02：但相当多的优秀研究人员认为，在未来 20 年左右，人工智能的智能将超过我们。
90 00:10:05,192 --> 00:10:07,736 说话人 SPEAKER_02：那时我们需要深思熟虑会发生什么。
91 00:10:13,116 --> 00:10:18,605 说话人 说话人_00：我们不知道下一位提问者的名字，但他们问了一个有趣的问题。
92 00:10:19,066 --> 00:10:22,972 说话人 说话人_00：当你发现你获得了诺贝尔奖时，你首先联系的是谁？
93 00:10:24,674 --> 00:10:25,976 说话人 说话人_02：我在澳大利亚的妹妹。
94 00:10:30,544 --> 00:10:32,488 说话人 说话人_00：关于那个问题的补充，反应如何？
95 00:10:32,508 --> 00:10:37,655 说话人 SPEAKER_02: 我想她说了类似，哦，我的天哪。
96 00:10:41,585 --> 00:10:44,751 说话人 SPEAKER_00: 我们下一个是来自 Tara Deschamps 的后续问题。
97 00:10:44,772 --> 00:10:53,513 说话人 SPEAKER_00: 再次，她来自加拿大通讯社，她问 Hinton 教授，您最初提到在早上得知诺贝尔奖的消息时感到非常惊讶。
98 00:10:54,014 --> 00:10:56,961 说话人 SPEAKER_00: 您能告诉我们自那以后您的一天过得怎么样吗？
99 00:10:58,020 --> 00:11:01,927 说话人 SPEAKER_02: 是的，我几乎没有睡觉。
100 00:11:02,027 --> 00:11:06,953 说话人 SPEAKER_02: 那是凌晨一点，电话响起时我可能已经睡了大约一个小时。
101 00:11:07,875 --> 00:11:13,162 说话人 SPEAKER_02: 我在加利福尼亚，从那时起我可能又多睡了一个小时。
102 00:11:14,244 --> 00:11:16,366 说话人 SPEAKER_02: 所以我现在相当缺觉。
103 00:11:16,346 --> 00:11:29,309 主持人 SPEAKER_02：很多人试图联系我，还有许多多年未见的老朋友的消息，这真是太好了。
104 00:11:33,003 --> 00:11:38,975 主持人 SPEAKER_00：下一个问题来自 BetaKit 的 Isabel Kirkwood，再次向 Hinton 教授提问。
105 00:11:39,596 --> 00:11:52,243 主持人 SPEAKER_00：她问，Hinton 教授，您如何调和接受这种认可与您关于减缓 AI 发展步伐和技术风险的直言不讳？
106 00:11:53,219 --> 00:11:57,926 主持人 SPEAKER_02：我从未建议减缓 AI 的发展，因为我认为这是不可行的。
107 00:11:58,726 --> 00:12:10,363 人工智能有如此多的积极作用，比如在医疗保健领域，但在几乎所有行业中，我认为我们根本无法减缓其发展速度。
108 00:12:15,450 --> 00:12:17,352 您能再说一遍问题的后半部分吗？
109 00:12:17,552 --> 00:12:18,455 当然可以。
110 00:12:18,475 --> 00:12:29,638 她问，如何协调接受这种认可与您关于减缓人工智能发展步伐和技术带来的风险的直言不讳？
111 00:12:30,664 --> 00:12:38,437 说话人 SPEAKER_02：好吧，实际上诺贝尔委员会认识到我在谈论安全性方面的研究与此相关。
112 00:12:39,139 --> 00:12:42,024 说话人 SPEAKER_02：我记不太清楚他们具体说了什么，但提到了这一点。
113 00:12:42,865 --> 00:12:49,837 说话人 SPEAKER_02：我认为我们需要做出严肃的努力来确保其安全性，因为如果我们能保持其安全，那将是非常美好的。
114 00:12:52,619 --> 00:13:12,028 说话人 SPEAKER_00：我们再次收到 Hinton 教授和来自 AFP 的 Issam Ahmed 的跟进，他们问，你认为学生甚至专业人士过度依赖LLMs会导致智力下降，还是会让我们达到更高的层次？
115 00:13:13,105 --> 00:13:15,849 说话人 SPEAKER_02：我认为它不会产生显著的简化效果。
116 00:13:16,169 --> 00:13:22,479 说话人 SPEAKER_02：我想这就像他们第一次有袖珍计算器时，人们说，哦，孩子们不会再学数学了。
117 00:13:22,519 --> 00:13:24,221 说话人 SPEAKER_02：他们不会做乘法。
118 00:13:24,863 --> 00:13:28,388 说话人 SPEAKER_02：如果你有袖珍计算器，你就不需要会做乘法。
119 00:13:29,210 --> 00:13:31,393 说话人 SPEAKER_02：我认为它将与LLMs一样。
120 00:13:31,774 --> 00:13:37,602 说话人 SPEAKER_02：人们可能不会记得那么多事实，你可以问LLM，它会知道。
121 00:13:37,643 --> 00:13:40,547 说话人 SPEAKER_02：但我认为这会使人们变得更聪明，而不是更笨。
122 00:13:42,568 --> 00:13:43,129 说话人 SPEAKER_00：谢谢。
123 00:13:43,149 --> 00:13:47,460 说话人 SPEAKER_00：来自 CTV 新闻的 Adrian Gobriel 的后续提问。
124 00:13:48,160 --> 00:13:51,047 说话人 SPEAKER_00：他问，如果我还能问一个问题的话。
125 00:13:51,086 --> 00:13:55,998 说话人 SPEAKER_00：他说，你提到你得知这个奖项时用了“目瞪口呆”这个词。
126 00:13:56,479 --> 00:13:58,283 说话人 SPEAKER_00：为什么你这么惊讶？
127 00:13:59,443 --> 00:14:02,429 说话人 SPEAKER_02：我绝对不知道自己被提名了。
128 00:14:02,450 --> 00:14:05,174 说话人 SPEAKER_02：我不是物理学家。
129 00:14:05,576 --> 00:14:07,278 说话人 SPEAKER_02：我对物理学非常尊敬。
130 00:14:07,759 --> 00:14:14,854 说话人 SPEAKER_02：我在大学的第一年就退出了物理学，因为我无法处理复杂的数学。
131 00:14:14,833 --> 00:14:19,061 诺贝尔物理学奖对我来说非常意外。
132 00:14:19,402 --> 00:14:29,799 我非常高兴诺贝尔委员会认识到在人工神经网络领域取得了巨大进步。
133 00:14:30,280 --> 00:14:31,543 贺普菲尔德的工作
134 00:14:31,523 --> 00:14:33,125 与物理学密切相关。
135 00:14:33,205 --> 00:14:38,913 说话人 SPEAKER_02：我和 Terry Sanofsky 早期在玻尔兹曼机方面的工作受到了统计物理学的启发。
136 00:14:39,455 --> 00:14:43,480 说话人 SPEAKER_02：但最近，这项工作与物理学的关联越来越少。
137 00:14:43,760 --> 00:14:49,048 说话人 SPEAKER_02：所以我非常惊讶自己获得了物理学奖项。
138 00:14:49,068 --> 00:15:00,905 说话人 SPEAKER_00：下一个问题来自美联社的 Matt O'Brien，他问 Hinton 教授，您能否在电话会议中更详细地谈谈关于 Sam Altman 的评论？
139 00:15:02,219 --> 00:15:07,048 说话人 SPEAKER_02：所以 OpenAI 的建立非常重视安全。
140 00:15:08,571 --> 00:15:13,500 说话人 SPEAKER_02：它的主要目标是开发通用人工智能，并确保其安全性。
141 00:15:15,264 --> 00:15:20,835 说话人 SPEAKER_02：我的一个前学生，伊利亚·苏特科娃，是首席科学家。
142 00:15:20,883 --> 00:15:30,751 说话人 SPEAKER_02：随着时间的推移，发现山姆·奥特曼对安全的关注远不如对利润的关注。
143 00:15:30,772 --> 00:15:33,659 说话人 SPEAKER_02：我认为这很不幸。
144 00:15:37,217 --> 00:15:37,678 说话人 SPEAKER_00：谢谢。
145 00:15:37,719 --> 00:15:41,364 说话人 SPEAKER_00：下一个问题来自 PA Media 的 Jessica Coates。
146 00:15:41,384 --> 00:15:44,427 说话人 SPEAKER_00：这同样是一个针对 Hinton 教授的问题。
147 00:15:45,048 --> 00:15:53,539 说话人 SPEAKER_00: 她问，你提到了围绕人工智能的未知未来以及对其潜在机遇和风险的更深入了解的需求。
148 00:15:54,201 --> 00:15:58,626 说话人 SPEAKER_00: 你认为政府是否会介入，对人工智能实施更严格的监管？
149 00:15:58,647 --> 00:16:02,111 说话人 SPEAKER_00: 政府如何更好地支持人工智能研究？
150 00:16:03,356 --> 00:16:10,205 说话人 SPEAKER_02: 我认为政府可以鼓励大型公司更多地投入资源进行安全研究。
151 00:16:10,544 --> 00:16:22,077 说话人 SPEAKER_02：目前，几乎所有资源都投入到让模型变得更好，以便它们可以拥有闪亮的新模型，现在正在进行一场激烈的竞争，模型也在变得越来越好，这是好事。
152 00:16:22,618 --> 00:16:26,982 说话人 SPEAKER_02：但我们需要在人工智能安全方面付出相当的努力。
153 00:16:27,344 --> 00:16:29,466 说话人 SPEAKER_02：这种努力需要超过 1%。
154 00:16:29,446 --> 00:16:36,297 说话人 SPEAKER_02：可能需要将三分之一的努力投入到人工智能安全，因为如果这些东西变得不安全，那就非常糟糕。
155 00:16:36,357 --> 00:16:43,990 说话人 SPEAKER_00：我们的下一个问题是来自 Tara Deschamps 的。
156 00:16:45,332 --> 00:16:50,981 说话人 SPEAKER_00：她问 Hinton 教授，诺贝尔奖金有什么计划吗？
157 00:16:51,923 --> 00:16:53,666 说话人 SPEAKER_02：没有具体的计划。
158 00:16:53,787 --> 00:17:05,288 说话人 SPEAKER_02：我将把它捐给慈善机构，但我知道有一个慈善机构我会捐一些，它为神经多样性年轻人提供工作机会。
159 00:17:06,170 --> 00:17:09,797 说话人 SPEAKER_02：我会把它捐给一些其他的慈善机构，但我还不知道是哪一个。
160 00:17:12,577 --> 00:17:26,153 说话人 SPEAKER_00：我们接下来向辛顿教授提出的问题，又是来自路透社的瓦隆，他问，您有什么建议可以防止未来出现严重后果吗？
161 00:17:27,035 --> 00:17:31,059 说话人 SPEAKER_00：他们指的是人们应该如何小心对待 AI 及其使用。
162 00:17:31,661 --> 00:17:33,742 说话人 SPEAKER_00：正如您所警告的，它可能很危险。
163 00:17:34,869 --> 00:17:40,759 说话人 SPEAKER_02：我认为个人在使用它时小心谨慎并不能解决这些问题。
164 00:17:41,440 --> 00:17:45,807 说话人 SPEAKER_02：我认为开发 AI 的人需要小心地开发它。
165 00:17:46,728 --> 00:17:50,493 说话人 SPEAKER_02：并且我认为在大公司中需要进行研究，这些公司拥有资源。
166 00:17:51,556 --> 00:17:55,561 说话人 SPEAKER_02：我不认为个人使用它的方式会带来太大的改变。
167 00:18:00,097 --> 00:18:04,006 说话人 SPEAKER_00：我们的下一个问题是伊萨姆·阿赫迈德的后续问题。
168 00:18:04,527 --> 00:18:07,393 说话人 SPEAKER_00：这是在 AFP，再次为辛顿教授提问。
169 00:18:07,833 --> 00:18:12,563 说话人 SPEAKER_00：他们问，我知道你说过预测事情变坏可能意味着什么很难。
170 00:18:13,243 --> 00:18:18,714 说话人 SPEAKER_00：但如果你必须猜测一些可能引起关注的领域，那会是什么？
171 00:18:20,398 --> 00:18:24,066 说话人 SPEAKER_02：所以人工智能有很多不同的风险，它们都有不同的解决方案。
172 00:18:24,748 --> 00:18:28,355 说话人 SPEAKER_02：所以立即的风险包括像伪造视频破坏选举这样的东西。
173 00:18:29,396 --> 00:18:38,474 说话人 SPEAKER_02：我们已经看到政治家们要么指责他人使用伪造视频，要么自己使用伪造视频和伪造图像。
174 00:18:38,454 --> 00:18:39,958 说话人 SPEAKER_02：所以这是一个立即的危险。
175 00:18:40,018 --> 00:18:44,726 说话人 SPEAKER_02：来自网络攻击等事物的非常直接的危险。
176 00:18:44,746 --> 00:18:50,836 说话人 SPEAKER_02：例如，去年网络钓鱼攻击的数量增加了 1200%。
177 00:18:51,336 --> 00:18:56,526 说话人 SPEAKER_02：这是因为这些大型语言模型使得进行网络钓鱼攻击变得非常容易。
178 00:18:56,987 --> 00:19:01,173 说话人 SPEAKER_02：而且你不能再通过拼写错误和语法略有不同来识别它们了。
179 00:19:02,155 --> 00:19:03,298 说话人 SPEAKER_02：他们的英语非常流利。
180 00:19:06,198 --> 00:19:09,064 说话人 SPEAKER_00：下一个问题是来自维多利亚·吉布森的。
181 00:19:09,163 --> 00:19:10,646 说话人 SPEAKER_00：再次，她来自多伦多之星。
182 00:19:11,249 --> 00:19:18,463 说话人 SPEAKER_00：她问希顿教授，您今天已经几次提到了省政府和安大略科学中心。
183 00:19:18,984 --> 00:19:22,231 说话人 SPEAKER_00：为什么在获得这个荣誉时，这件事会浮现在你的脑海中？
184 00:19:23,613 --> 00:19:30,704 说话人 SPEAKER_02：因此，安大略科学中心在激发年轻人好奇心和对科学的兴趣方面起着非常重要的作用。
185 00:19:32,106 --> 00:19:34,631 说话人 SPEAKER_02：它有一些屋顶问题，需要进行翻修。
186 00:19:35,092 --> 00:19:46,329 说话人 SPEAKER_02：翻修的预估费用是 2 亿美元，但政府后来告诉估算费用的人，要将这个数字乘以 1.85。
187 00:19:46,494 --> 00:19:50,766 说话人 SPEAKER_02：为了得到一个更大的数字，以便他们可以据此将其拆除。
188 00:19:50,826 --> 00:19:56,319 说话人 SPEAKER_02：在我看来，拆除它的原因并不是政府给出的那些原因。
189 00:19:56,781 --> 00:20:00,471 说话人 SPEAKER_02：它本可以修复，修复它会更便宜。
190 00:20:03,116 --> 00:20:10,128 说话人 SPEAKER_00：接下来是加拿大通讯社的 Tara Deschamps 向 Hinton 教授提出的问题。
191 00:20:10,609 --> 00:20:19,785 说话人 SPEAKER_00: 她说，当人们谈论加拿大的人工智能和技术格局时，您的名字总是作为加拿大能够取得的成就的例证出现。
192 00:20:20,467 --> 00:20:26,576 说话人 SPEAKER_00: 但人们也说，这个国家必须小心不要浪费您所创造的机会。
193 00:20:26,557 --> 00:20:33,208 说话人 SPEAKER_00: 您认为加拿大能做些什么来保持其在人工智能领域的领先地位？
194 00:20:34,623 --> 00:20:38,728 说话人 SPEAKER_02: 它可以继续资助好奇心驱动的硏究。
195 00:20:38,807 --> 00:20:41,672 说话人 SPEAKER_02：这对留住最优秀的研究人员非常重要。
196 00:20:42,292 --> 00:20:50,903 说话人 SPEAKER_02：但在人工神经网络的时代，我们也需要大量的计算资源来留住大学的研究人员。
197 00:20:51,505 --> 00:20:53,567 说话人 SPEAKER_02：政府正在努力解决这个问题。
198 00:20:53,606 --> 00:20:58,773 说话人 SPEAKER_02：他们为人工智能研究划拨了 20 亿美元用于计算资源。
199 00:20:58,753 --> 00:21:00,981 说话人 SPEAKER_02：所以，我认为他们正在尽他们所能。
200 00:21:01,021 --> 00:21:09,792 说话人 SPEAKER_02：显然，我们比中国或美国这样的国家要小得多，但考虑到他们拥有的资源，我认为加拿大做得相当不错。
201 00:21:13,637 --> 00:21:33,961 说话人 SPEAKER_00：下一个问题来自多伦多大学新闻的拉胡尔·卡尔瓦帕利，他问希顿教授，您在人工神经网络的研究上一直坚持不懈，即使在科学界对该主题兴趣减弱的时期也是如此。
202 00:21:34,563 --> 00:21:42,092 说话人 SPEAKER_00：您对那些可能被认为不受欢迎或徒劳的奋斗的教授和学生有什么话要说吗？
203 00:21:43,337 --> 00:21:44,941 说话人 SPEAKER_02：我的信息是这样的。
204 00:21:45,902 --> 00:21:52,472 说话人 SPEAKER_02：如果你相信某件事，不要放弃，直到你明白为什么那个信念是错误的。
205 00:21:52,873 --> 00:21:57,800 说话人 SPEAKER_02：通常你相信某件事，最终你会弄清楚为什么相信它是错的。
206 00:21:58,442 --> 00:22:08,198 说话人 SPEAKER_02：但只要你还相信某件事，你无法看到为什么它是错的，就像大脑需要某种方式工作一样，所以我们必须弄清楚它是如何学习连接强度来使其工作的。
207 00:22:08,178 --> 00:22:14,688 说话人 SPEAKER_02：只要你们相信这一点，就要继续努力，如果你们看不到为什么它是胡说八道，就不要让别人告诉你们它是胡说八道。
208 00:22:18,073 --> 00:22:18,554 说话人 SPEAKER_00：谢谢。
209 00:22:18,574 --> 00:22:28,388 说话人 SPEAKER_00：下一个问题是来自小林康博的，他来自《读卖新闻》。
210 00:22:28,429 --> 00:22:33,236 说话人 SPEAKER_00：他们问，AI 何时会超越人类的能力？
211 00:22:33,696 --> 00:22:35,619 说话人 SPEAKER_00: 结果会怎样？
212 00:22:36,696 --> 00:22:41,521 说话人 SPEAKER_02: 所以没有人知道具体时间，但我认识的多数优秀研究人员认为这会发生。
213 00:22:42,682 --> 00:22:46,767 说话人 SPEAKER_02: 我的猜测是，这可能在 5 到 20 年之间发生。
214 00:22:47,146 --> 00:22:47,907 说话人 SPEAKER_02: 也可能更长。
215 00:22:48,588 --> 00:22:50,250 说话人 SPEAKER_02：可能性非常小，它可能会更早发生。
216 00:22:50,269 --> 00:22:54,294 说话人 SPEAKER_02：我们也不知道那时会发生什么。
217 00:22:54,974 --> 00:23:06,365 说话人 SPEAKER_02：所以如果你环顾四周，能找到的例子非常少，即更智能的事物被不那么智能的事物所控制，这让你不禁要思考，当 AI 比我们更智能时，它是否会接管控制权。
218 00:23:09,855 --> 00:23:11,678 说话人 SPEAKER_00：谢谢，辛顿教授。
219 00:23:12,318 --> 00:23:19,027 说话人 说话人_00：我们不再看到任何其他问题，但我们很高兴再稍等一会儿。
220 00:23:19,167 --> 00:23:32,784 说话人 说话人_00：如果任何人还有最后一刻的问题，请使用您屏幕底部的问答工具箱，并请提供您的姓名和媒体隶属关系。
221 00:23:33,525 --> 00:23:36,588 说话人 说话人_00：如果你们还有更多问题，我们还有时间。
222 00:23:47,555 --> 00:23:50,221 说话人 说话人_00：这是来自多伦多大学新闻的 Rahul 提出的问题。
223 00:23:50,922 --> 00:24:07,217 说话人 SPEAKER_00：他问格特勒总统，您认为辛顿教授获得诺贝尔奖将如何影响大学，并激发人工智能和其他领域的学术研究？
224 00:24:09,204 --> 00:24:12,568 说话人 SPEAKER_01：我认为这将产生巨大的影响，而且是极其积极的。
