1 00:00:01,110 --> 00:00:02,753 说话人 SPEAKER_05：我们将迎来超级智能。
42 00:03:19,087 --> 00:03:29,768 主持人：我们始终意识到任何强大通用技术带来的风险，我认为人工智能将是人类有史以来发明最强大，如果不是最强大的技术之一。
43 00:03:30,269 --> 00:03:35,258 主持人：因此，我们需要非常认真地对待这些风险，而且我们没有太多时间去进行研究。
44 00:03:35,237 --> 00:03:41,228 主持人：并且需要考虑如何解释这些系统以及控制这些系统。
45 00:03:41,548 --> 00:03:54,528 说话人 SPEAKER_00：但这也是一个社会问题，不仅仅是一个技术问题，那就是我们想用这些系统做什么，我们想如何部署它们，并确保全人类都能从这些系统能做的事情中受益。
46 00:03:54,677 --> 00:04:11,538 说话人 SPEAKER_01：在会议期间，也提出了这个问题，即今天的监管是否能够阻止人工智能的发展，以及所有这一切与大型科技公司的普遍利益有何关系，包括那些由利润驱动的公司。
47 00:04:11,519 --> 00:04:19,526 说话人 SPEAKER_05：我首先要指出的是，人工智能的一个短期危险是致命自主武器的开发。
48 00:04:20,226 --> 00:04:22,149 说话人 SPEAKER_05：那里不会有任何监管。
49 00:04:22,670 --> 00:04:30,737 说话人 SPEAKER_05：如果你看看欧洲的规定，例如，它们中有专门条款说明这些规定不适用于人工智能的军事用途。
50 00:04:31,398 --> 00:04:36,002 说话人 SPEAKER_05：所以当涉及到致命性自主武器时，各国政府都不愿意自我监管。
51 00:04:36,382 --> 00:04:40,766 说话人 SPEAKER_05：而且所有主要武器供应商之间都在进行一场军备竞赛。
52 00:04:40,747 --> 00:04:47,988 说话人 SPEAKER_05：比如美国、中国、俄罗斯、英国、以色列，甚至可能是瑞典，虽然我不太清楚。
53 00:04:50,062 --> 00:05:00,055 说话人 说话人_00：我认为人工智能是一项非常重要的技术，需要加以规范，但我认为我们制定正确的规范非常重要。
54 00:05:00,235 --> 00:05:06,322 说话人 说话人_00：目前最难的事情是它发展得太快，变化也很快。
55 00:05:06,362 --> 00:05:12,069 说话人 说话人_00：我们几年前讨论要规范的内容，现在考虑的规范已经不同了。
56 00:05:12,050 --> 00:05:29,992 说话人 说话人_00：因此，我建议政府和民间社会采取快速灵活的规范，也许可以借鉴我们在医疗保健、交通等领域已有的规范，并观察技术的发展，然后迅速适应其发展方向。
57 00:05:30,273 --> 00:05:35,720 主持人：在会议上，我们还向 DeepMind 的创始人 Demis Hassabis 提出了一个问题。
58 00:05:36,100 --> 00:05:40,925 主持人：现在的技术是否具有歧视性，以及如何确保它们不会歧视？
59 00:05:41,040 --> 00:05:48,687 说话人：是的，看，现在的 AI 确实需要大量的资源，尤其是计算资源，而且成本非常高。
60 00:05:49,588 --> 00:06:01,160 说话人：但是，由这些产生的许多模型都是开源的，或者几乎可以轻松地现成地提供给几乎任何人使用，包括我们构建的许多工具。
61 00:06:01,699 --> 00:06:06,704 说话人 说话人_00：我认为技术的民主化进程非常迅速。
62 00:06:06,805 --> 00:06:08,786 说话人 说话人_00：它正在迅速扩散。
63 00:06:11,685 --> 00:06:19,314 说话人 说话人_02：人工智能是一个非常强大有力的工具，就像一种新型的显微镜，就像一种获取世界信息的新方式。
64 00:06:19,374 --> 00:06:20,995 说话人 说话人_02：但我们通过实验来验证它。
65 00:06:21,055 --> 00:06:24,718 说话人 SPEAKER_02：我们用它来解决以前同样类型的问题。
66 00:06:24,738 --> 00:06:27,923 说话人 SPEAKER_02：也许我们现在会有一些看起来可以解决的问题。
67 00:06:28,442 --> 00:06:37,052 说话人 SPEAKER_02：因此，我认为我们将看到越来越多的 AI 作为过程中的一个步骤出现，甚至是主要步骤。
68 00:06:37,031 --> 00:06:41,459 说话人 SPEAKER_02：对于未来的诺贝尔奖获得者来说，但因为他们把 AI 引入其中，所以他们不会得到它，对吧？
69 00:06:41,519 --> 00:07:01,790 说话人 SPEAKER_02：这不仅仅是关于资金，更是关于发现，他们将因为发现而获得它，而且希望甚至，你知道，我最期待的是当有人在这里，例如，使用 AlphaFold 或其他蛋白质结构预测工具成为他们发现细胞工作新方式的决定性步骤，他们在这里，在这里，是因为他们知道细胞是如何工作的。
70 00:07:05,365 --> 00:07:14,944 说话人 SPEAKER_03：人工智能非常强大，但应该认识到深度学习方法需要真正庞大且精心整理的数据集。
71 00:07:15,264 --> 00:07:22,057 说话人 SPEAKER_03：我们三个人真正受益于 60 年的辛勤工作。
72 00:07:22,038 --> 00:07:29,846 说话人 SPEAKER_03：由成千上万的科学家和数十亿美元的投资来解决蛋白质结构的实验问题。
73 00:07:30,307 --> 00:07:36,293 说话人 SPEAKER_03：从某种意义上说，我们拥有这样一笔难以置信的资源，这是几代科学家共同积累的。
74 00:07:36,874 --> 00:07:44,661 说话人 SPEAKER_03：这也是为什么，嗯，这确实使得应用强大的深度学习方法来解决这些问题成为可能。
75 00:07:45,103 --> 00:07:51,048 说话人 SPEAKER_03：因此，在思考人工智能和深度学习方法如何进步，
76 00:07:51,028 --> 00:07:55,295 说话人 SPEAKER_03：以及如何更广泛地应用于科学领域。
77 00:07:56,476 --> 00:08:05,769 说话人 SPEAKER_03：但我认为这取决于其他领域可用的或生成的丰富数据集的程度。
78 00:08:05,829 --> 00:08:12,619 说话人 SPEAKER_03：例如，当我们向上移动生物复杂性等级时，显然有大量未解决的问题。
79 00:08:13,019 --> 00:08:15,163 说话人 SPEAKER_03：存在数据集
80 00:08:15,142 --> 00:08:20,427 说话人 SPEAKER_03：问题是，这些数据集在深度和丰富性上是否真的可以比较？
81 00:08:20,548 --> 00:08:21,990 说话人 SPEAKER_03: 答案可能是否定的。
82 00:08:22,029 --> 00:08:27,836 说话人 SPEAKER_03: 我认为不仅仅是方法，数据本身也非常重要。
83 00:08:27,855 --> 00:08:32,880 说话人 SPEAKER_01: 会议结束后，我们与化学诺贝尔奖得主大卫·贝克见面了。
84 00:08:33,020 --> 00:08:41,590 说话人 SPEAKER_01: 你很快就能在我们的频道上观看整个对话，但现在，我们分享的是关于人工智能的简短摘录。
85 00:08:42,851 --> 00:08:53,602 说话人 SPEAKER_06：你认为今年的诺贝尔奖是对人工智能、对技术的致敬吗？
86 00:08:53,623 --> 00:08:59,808 说话人 SPEAKER_06：你将与 DeepMind 的联合创始人共享诺贝尔奖，他们创造了这个 AI 系统。
87 00:09:00,649 --> 00:09:05,394 说话人 SPEAKER_06：在一次新闻发布会上，你坐在人工智能之父 Geoffrey Hinton 旁边。
88 00:09:05,815 --> 00:09:08,437 说话人 SPEAKER_06：你认为这是对那种技术的致敬吗？
89 00:09:08,418 --> 00:09:20,655 讲者 SPEAKER_03：嗯，我认为今年的奖项确实证明了人工智能在许多领域产生的巨大影响。
90 00:09:21,418 --> 00:09:26,424 讲者 SPEAKER_03：而且在我特别关注的领域，他们提到的是我们在人工智能之前就已经完成的工作。
91 00:09:26,806 --> 00:09:33,254 讲者 SPEAKER_03：但另一方面，我们过去四年一直在开发的设计方法都是人工智能方法。
92 00:09:33,495 --> 00:09:37,682 讲者 SPEAKER_03：所以我认为今年确实有一个共同的主题。
93 00:09:37,898 --> 00:09:42,441 说话人 SPEAKER_06：在你的工作中，是更有人性还是更偏向计算机科学。
94 00:09:42,927 --> 00:09:51,960 说话人 SPEAKER_03：嗯，我觉得两者都有，但你知道，设计本质上是一种人类活动，因为你要决定你想解决什么问题。
95 00:09:52,701 --> 00:10:06,779 说话人 SPEAKER_03：所以，世界各地的人们都来到我的小组，很多来自欧洲，还有其他地方的人，他们都带着解决特定问题的热情，比如做些关于气候变化或治愈疾病的事情。
96 00:10:07,621 --> 00:10:10,065 说话人 SPEAKER_03：所以这非常具有人性，
97 00：10：11,243 --> 00：10：16,287 演讲者 SPEAKER_03：你知道，你想为哪些需要解决的问题设计新的蛋白质？
98 00：10：16,548 --> 00：10：18,317 演讲者 SPEAKER_03：计算机不会告诉你这些。
