1 00:00:00,031 --> 00:00:05,157 说话人 SPEAKER_00：我所认识的几乎所有 AI 专家都认为它们将超越人类智能。
84 00:05:46,452 --> 00:05:50,201 说话人 SPEAKER_00：这将导致生产力的巨大提升，进而导致财富的巨大增长。
85 00:05:50,682 --> 00:05:53,709 说话人 SPEAKER_00：如果这种财富能够平均分配，那将是极好的。
86 00:05:54,069 --> 00:05:54,992 说话人 SPEAKER_00：但事实并非如此。
87 00:05:55,291 --> 00:06:01,345 说话人 SPEAKER_00：在我们所处的体系中，这种财富将流向富人，而不是那些失去工作的人。
88 00:06:01,459 --> 00:06:03,824 说话人 SPEAKER_00: 我认为这对社会来说将会非常糟糕。
89 00:06:04,185 --> 00:06:12,504 说话人 SPEAKER_00: 因此，它将加剧贫富差距，这增加了右翼民粹主义者当选的机会。
90 00:06:13,144 --> 00:06:21,223 说话人 SPEAKER_01: 所以，为了明确，你认为工作变化的这些社会影响可能会非常深远，
91 00:06:21,709 --> 00:06:28,199 说话人 SPEAKER_01: 以至于我们可能需要重新思考，我知道，福利制度、不平等、全民基本收入的政治？
92 00:06:28,418 --> 00:06:30,482 说话人 SPEAKER_00: 我确实相信普遍基本收入。
93 00:06:30,802 --> 00:06:35,369 说话人 SPEAKER_00: 但是我认为这还不够，因为很多人从他们所做的工作中获得自尊。
94 00:06:36,129 --> 00:06:45,642 说话人 SPEAKER_00: 如果把每个人都放在普遍基本收入上，这解决了他们饿肚子和付不起房租的问题，但并没有解决自尊的问题。
95 00:06:45,963 --> 00:06:48,526 说话人 SPEAKER_00: 那么，你只是尝试
96 00:06:48,507 --> 00:06:55,180 说话人 SPEAKER_01：政府需要介入，我的意思是，在英国，我们通常倾向于退后一步，让经济来决定胜者和败者。
97 00:06:56,242 --> 00:07:02,855 说话人 SPEAKER_00：是的，实际上唐宁街的人咨询过我，我建议他们实行全民基本收入是个好主意。
98 00:07:03,276 --> 00:07:06,684 说话人 SPEAKER_01：我的意思是，你说他们接管的风险是 10%到 20%。
99 00:07:06,803 --> 00:07:07,865 说话人 SPEAKER_01：是的。
100 00:07:08,369 --> 00:07:12,855 说话人 SPEAKER_01：你更确信这将在未来五年内，也许在下届议会中解决吗？
101 00:07:13,197 --> 00:07:21,870 说话人 SPEAKER_00：我的猜测是，从现在起五到二十年内，有大约一半的概率我们将不得不面对他们试图接管的问题。
102 00:07:22,310 --> 00:07:26,697 说话人 SPEAKER_01：你对各国政府迄今为止为试图遏制这一现象所做的努力印象深刻吗？
103 00:07:27,298 --> 00:07:30,764 说话人 SPEAKER_00：我对他们开始认真对待此事的事实印象深刻。
104 00:07:30,745 --> 00:07:34,494 说话人 SPEAKER_00：我对他们中没有人愿意监管军事用途的事实并不感到印象深刻。
105 00:07:35,055 --> 00:07:38,244 说话人 SPEAKER_00：我对大多数规定没有实际效果的事实也不感到印象深刻。
106 00:07:38,264 --> 00:07:48,348 说话人 SPEAKER_01：你认为科技公司是因为需要在人工智能竞赛中成为赢家而放松了对安全的警惕吗？
107 00:07:48,480 --> 00:07:50,403 说话人 SPEAKER_00：我不太清楚一般科技公司的情况。
108 00:07:50,603 --> 00:07:52,706 说话人 SPEAKER_00：我对谷歌很了解，因为我曾经在那里工作过。
109 00:07:53,447 --> 00:07:55,389 说话人 SPEAKER_00：谷歌非常关注这些问题。
110 00:07:55,911 --> 00:07:58,514 说话人 SPEAKER_00：谷歌没有发布大型聊天机器人。
111 00:07:59,115 --> 00:08:01,437 说话人 SPEAKER_00：如果它们说谎，谷歌担心自己的声誉。
112 00:08:03,000 --> 00:08:10,350 说话人 SPEAKER_00：但是一旦 OpenAI 与微软合作，微软将聊天机器人放入必应，谷歌别无选择。
113 00:08:10,850 --> 00:08:17,238 说话人 SPEAKER_00：所以我认为竞争将导致这些事物快速发展，竞争
114 00:08:17,218 --> 00:08:23,483 说话人 SPEAKER_00：意味着他们不会在安全性上投入足够的努力。
115 00:08:24,120 --> 00:08:28,625 说话人 SPEAKER_01：与他们的孩子交谈，给他们提供关于经济未来的建议，他们应该做什么工作，他们应该获得什么学位。
116 00:08:28,687 --> 00:08:32,871 说话人 SPEAKER_01：似乎这个世界正被你描述的这个世界抛向空中。
117 00:08:34,352 --> 00:08:39,820 说话人 SPEAKER_01：你现在会建议别人学习什么，以便能够驾驭这股潮流？
118 00:08:40,421 --> 00:08:46,187 说话人 SPEAKER_00：我不知道，因为很明显，许多中级智力工作将会消失。
119 00:08:46,828 --> 00:08:52,034 说话人 SPEAKER_00：如果你问哪些工作比较安全，我认为最安全的工作是管道工。
120 00:08:52,336 --> 00:08:54,979 说话人 SPEAKER_00: 因为这些事情在物理操作方面还不够好。
121 00:08:55,320 --> 00:08:57,662 说话人 SPEAKER_00: 那可能将是他们最后还能做得很好的事情。
122 00:08:58,243 --> 00:09:00,306 说话人 SPEAKER_00: 所以我认为管道行业在相当长的一段时间内是安全的。
123 00:09:01,105 --> 00:09:03,129 说话人 SPEAKER_00: 驾驶，那不会消失。
124 00:09:03,208 --> 00:09:03,990 说话人 SPEAKER_00: 没有开车，没有。
125 00:09:04,049 --> 00:09:04,330 说话人 SPEAKER_00: 自动驾驶。
126 00:09:04,610 --> 00:09:05,432 说话人 SPEAKER_00: 不，这是没有希望的。
127 00:09:05,971 --> 00:09:07,573 说话人 SPEAKER_00: 我的意思是，这比我们预期的要慢。
128 00:09:07,594 --> 00:09:08,654 说话人 说话人_00：新闻业。
129 00:09:08,936 --> 00:09:13,822 说话人 说话人_00：新闻业可能持续一段时间，但我认为这些事情很快就会成为相当不错的记者。
130 00:09:14,501 --> 00:09:15,984 说话人 说话人_00：而且可能也是相当不错的采访者，对吧。
131 00:09:16,924 --> 00:09:17,466 未知说话人：好的，嗯。
