1 00:00:02,916 --> 00:00:03,258 说话人 SPEAKER_00: 你好。
17 00:01:43,963 --> 00:01:47,766 说话者 SPEAKER_00: 然后你将从那个心理图像中读出比较差异。
18 00:01:48,768 --> 00:01:52,331 说话者 SPEAKER_00: 构建心理图像并不一定意味着创建一堆像素。
19 00:01:52,731 --> 00:01:59,058 说话者 SPEAKER_00: 它意味着采用一个观点，并从那个观点出发，用关于部分空洞的信息来表达。
20 00:01:59,918 --> 00:02:08,885 说话者 SPEAKER_00: 你可以看到你采用了观点，因为你肯定不会想象德国牧羊犬巨大到占据了你的大部分视野，或者小到只能看到一点点。
21 00:02:09,486 --> 00:02:11,929 说话人 SPEAKER_00: 你没有想象它旋转了 45 度。
22 00:02:12,111 --> 00:02:15,736 说话人 SPEAKER_00: 你所知道的所有这些，所以你选择了一个视角来解决这个问题的。
23 00:02:17,018 --> 00:02:19,861 说话人 SPEAKER_00: 首先，什么是空间关系？
24 00:02:19,882 --> 00:02:28,272 说话人 SPEAKER_00: 嗯，从数学上来说，它是将一个矩形坐标系中的点映射到另一个矩形坐标系中的坐标变换。
25 00:02:29,514 --> 00:02:37,444 说话人 SPEAKER_00：这听起来可能非常抽象和数学化，但我相信人们实际上确实会对孔洞和部件施加矩形坐标系来表示形状。
26 00:02:38,205 --> 00:02:39,687 说话人 SPEAKER_00：我将尽力说服你们这一点。
27 00:02:40,411 --> 00:02:42,354 说话人 SPEAKER_00：这里有一些来自欧文·洛克的心理证据。
28 00:02:43,574 --> 00:02:47,501 说话人 SPEAKER_00：如果你看左边的国家，你不确定这是哪个国家。
29 00:02:48,162 --> 00:02:54,510 说话者 说话者_00: 但如果我现在告诉你它向左倾斜了45度，你就会立刻看出它是非洲。
30 00:02:55,812 --> 00:02:59,296 说话者 说话者_00: 在那之前，你可能认为它像澳大利亚那样是一种反射版本。
31 00:03:01,681 --> 00:03:05,406 说话者 说话者_00: 所以你强加的参照框架决定了你感知到的形状。
32 00:03:06,449 --> 00:03:07,969 说话者 说话者_00: 这同样适用于右边的形状。
33 00:03:08,491 --> 00:03:14,836 讲者：您将其视为直立菱形或倾斜的方形，您所意识到的内容因视角不同而大相径庭。
34 00:03:15,516 --> 00:03:21,402 讲者：如果您将其视为倾斜的方形，您会极其敏感于边缘是否与您的矩形坐标系对齐。
35 00:03:22,204 --> 00:03:27,908 讲者：如果您将其视为直立菱形，边缘不会对齐，您对角度是否为直角完全无意识。
36 00:03:29,229 --> 00:03:32,332 讲者：我们关注的是与矩形坐标系的对齐，而不是直角。
37 00:03:33,533 --> 00:03:34,514 说话人 说话人_00: 这又是更多的证据。
38 00:03:36,031 --> 00:03:46,204 说话人 说话人_00: 如果你拿这两个形状，它们是相同的，但我从不同的角度给你展示，你可以把它们组装成一个四面体。
39 00:03:46,223 --> 00:03:53,092 说话人 说话人_00: 但是如果你让麻省理工学院的教授来做这个，他们需要超过一分钟的时间来把这两个部件组装成一个四面体。
40 00:03:53,813 --> 00:03:59,441 说话人 说话人_00: 现在它是一个两片拼图，你必须把相同形状的面拼在一起，这能有多难呢？
41 00:04:01,143 --> 00:04:04,046 讲者 SPEAKER_00: 我们需要解释为什么这如此困难。
42 00:04:05,191 --> 00:04:12,419 讲者 SPEAKER_00: 事实上，麻省理工学院的教授在麻省理工学院任教的时间越长，解决问题所需的时间就越长。
43 00:04:12,438 --> 00:04:25,012 讲者 SPEAKER_00: 所以这里发生的事情是，如果你看右边的部分，有一个自然坐标系，其中两个轴与桌面平行，第三个轴与重力方向一致。
44 00:04:26,954 --> 00:04:32,480 讲者 SPEAKER_00: 这个坐标系与我们通常使用的矩形坐标系完全无关。
45 00:04:32,747 --> 00:04:34,509 讲者 SPEAKER_00：为了感知四面体。
46 00:04:34,529 --> 00:04:44,841 讲者 SPEAKER_00：更重要的是，这两部分的自然坐标系在组合成四面体时并不对齐。
47 00:04:44,862 --> 00:04:54,454 讲者 SPEAKER_00：所以因为你看到的是相对于矩形坐标系，你根本看不到这些部分是如何组成四面体的，尽管这是显而易见的。
48 00:04:54,494 --> 00:05:01,422 讲者 SPEAKER_00：还有许多其他解决方法，比如，我最好把面拼在一起，使得剩下的面都是三角形。
49 00:05:01,874 --> 00:05:03,315 讲者：那么这很容易解决。
50 00:05:03,336 --> 00:05:05,077 讲者：但不知为什么，人们没有这么做。
51 00:05:05,158 --> 00:05:08,583 讲者：他们试图看它如何进入四面体，但他们看不到。
52 00:05:09,324 --> 00:05:10,966 讲者：这是因为矩形坐标系。
53 00:05:12,026 --> 00:05:14,310 说话人 SPEAKER_00: 在我进一步讲述之前，我应该先声明一下。
54 00:05:15,632 --> 00:05:19,416 说话人 SPEAKER_00: 这个演讲不是关于整个视觉的。
55 00:05:19,737 --> 00:05:21,319 说话人 SPEAKER_00: 视觉基本上是一个采样过程。
56 00:05:22,420 --> 00:05:27,627 说话人 SPEAKER_00: 我们会智能地选择下一步看哪里，这样我们就不必以高分辨率处理整个图像。
57 00:05:29,362 --> 00:05:32,107 演讲者 SPEAKER_00: 但对于每次注视，我们都会重复使用相同的神经网络。
58 00:05:33,007 --> 00:05:35,531 演讲者 SPEAKER_00: 这讨论了第一次注视时发生的事情。
59 00:05:37,334 --> 00:05:41,319 演讲者 SPEAKER_00: 所以这是理论三的一个版本，我称之为身份特定胶囊。
60 00:05:42,000 --> 00:05:44,785 演讲者 SPEAKER_00: 我和几位非常优秀的合作者一起研究了这个课题好几年。
61 00:05:45,565 --> 00:05:52,555 讲者 SPEAKER_00: 想法是将关于特定形状的知识定位到一组特定的神经元中，我称之为胶囊。
62 00:05:53,377 --> 00:05:56,822 讲者 SPEAKER_00: 这个组通过其权重知道所有部分与整体的关系。
63 00:05:58,252 --> 00:06:04,101 讲者 SPEAKER_00: 我们通过注意到多个不同的部分预测整体相同的姿态来识别形状。
64 00:06:05,084 --> 00:06:12,495 讲者 SPEAKER_00: 我所说的整体姿态是指视网膜与整体或部分内在框架之间的坐标变换。
65 00:06:14,017 --> 00:06:16,422 说话者 说话者_00：这就是它是如何工作的。
66 00:06:16,442 --> 00:06:22,692 说话者 说话者_00：假设你识别出你认为是一个嘴巴，你也识别出你认为是一个鼻子。
67 00:06:23,396 --> 00:06:34,312 说话者 说话者_00：在这些椭圆内部，有代表这些部分细节的神经活动，包括它们的姿态，即它们与摄像机的相对位置。
68 00:06:35,153 --> 00:06:38,259 说话者 说话者_00：你还有一个你认为该物体存在的概率。
69 00:06:38,478 --> 00:06:39,461 说话人 说话人_00: 那就是那些 P。
70 00:06:40,562 --> 00:06:50,637 说话人 说话人_00: 每个部分都可以对洞的可能形状、所属的洞、身份的可能以及姿态的可能进行预测。
71 00:06:51,949 --> 00:07:04,810 说话人 说话人_00: 如果你得到几个在身份上达成一致的部分，箭头指向同一个更高层次的胶囊，并且它们在姿态上也达成一致，那么你知道它们处于正确的几何关系中，可以形成洞。
72 00:07:06,733 --> 00:07:15,425 说话人 说话人_00: 这就是 Hough 变换，这是我非常努力追求的一种形状识别理论，我仍然相信其中有很多东西。
73 00:07:16,029 --> 00:07:22,240 讲者 SPEAKER_00：这就是从不同部分预测出的姿态之间的协议，这是整体的真正特征。
74 00:07:23,661 --> 00:07:30,913 讲者 SPEAKER_00：所以，理论 3 的一个新变体是让胶囊不再特定于特定形状。
75 00:07:32,175 --> 00:07:34,338 讲者 SPEAKER_00：所以我称这为通用胶囊。
76 00:07:35,420 --> 00:07:36,762 讲者 SPEAKER_00：它们将会无处不在。
77 00:07:36,802 --> 00:07:38,646 说话人 SPEAKER_00: 我们将它们复制到各个地方。
78 00:07:39,987 --> 00:07:42,391 说话人 SPEAKER_00: 我们将图像划分为许多小区域。
79 00:07:42,827 --> 00:07:48,036 说话人 SPEAKER_00: 在每个区域，我们分配硬件来表示占据该区域的内容。
80 00:07:48,896 --> 00:07:50,178 说话人 SPEAKER_00: 这将是一个视网膜映射图。
81 00:07:51,862 --> 00:07:55,307 说话人 SPEAKER_00: 但我们也在每个位置有不同的表示级别。
82 00:07:57,389 --> 00:08:02,156 说话人 SPEAKER_00: 因此，对于每个表示级别，我们都会有一个通用胶囊。
83 00:08:02,677 --> 00:08:12,091 说话人 SPEAKER_00: 这是一个胶囊，可以表示该位置在该表示级别上的任何事物，但每个位置只有一个。
84 00:08:13,321 --> 00:08:28,747 说话人 SPEAKER_00: 这就是迭代后，即循环神经网络稳定下来时，向其展示静态图像的帧序列后，不同表示级别的嵌入应该看起来像什么。
85 00:08:30,610 --> 00:08:39,244 说话人 SPEAKER_00: 将会有一个最低层的嵌入，这很可能是由卷积神经网络产生的。
86 00:08:39,528 --> 00:08:41,850 说话人 SPEAKER_00: 这些嵌入由箭头表示。
87 00:08:42,270 --> 00:08:44,013 说话人 SPEAKER_00: 当然，箭头只是二维向量。
88 00:08:44,052 --> 00:08:46,735 说话人 SPEAKER_00: 事实上，这些将是具有数千维的向量。
89 00:08:47,096 --> 00:08:48,798 说话人 SPEAKER_00: 然后这里有一个嵌入层的层次结构。
90 00:08:49,119 --> 00:08:57,849 说话人 SPEAKER_00: 在顶部，在这个描绘中还没有稳定下来，我们希望场景的嵌入向量在各个地方都是完全相同的。
91 00:08:57,869 --> 00:09:09,062 说话人 SPEAKER_00: 在下一级，我们希望一个特定物体，比如一个脸，所占据的所有位置都有相同的嵌入向量，完全相同的嵌入向量。
92 00:09:10,307 --> 00:09:15,836 说话人 SPEAKER_00: 在这个层次之下，对于脸的各个部分，我们希望每个部分都有一个相同的嵌入向量。
93 00:09:16,417 --> 00:09:20,503 讲者：也许这些红色箭头代表鼻子，绿色箭头代表嘴巴。
94 00:09:21,465 --> 00:09:28,836 讲者：在鼻子下方，我们可能会有鼻梁和鼻孔等单独的子部分。
95 00:09:29,255 --> 00:09:35,125 讲者：它们将具有不同的嵌入向量，但整个鼻梁将具有相同的嵌入向量，即使它占据了多个位置。
96 00:09:37,067 --> 00:09:39,792 讲者：所以这里发生的事情是我们有岛屿般的共识。
97 00:09:40,514 --> 00:09:48,485 讲者 SPEAKER_00: 这些共识岛屿将代表图像的路径，它如何在多个层面上分割成洞和部分。
98 00:09:50,609 --> 00:09:55,437 讲者 SPEAKER_00: 如果你是物理学家，可以这样想，这是一个多级实值伊辛模型。
99 00:09:56,899 --> 00:09:59,241 讲者 SPEAKER_00: 但它在不同层级之间存在坐标变换。
100 00:10:00,605 --> 00:10:08,817 讲者 SPEAKER_00: 而自旋不再是二进制，而是这些实值向量，这应该有助于局部最小值和避免卡住。
101 00:10:10,331 --> 00:10:19,246 讲者 SPEAKER_00：终于，这是一张单个位置的 Glom 架构图，即前一张图中的一列。
102 00:10:21,289 --> 00:10:31,225 讲者 SPEAKER_00：所以在那个位置，我们将为多个表示级别预留神经元，在这个展示中是 L-1、L 和 L+1 级别。
103 00:10:32,749 --> 00:10:34,652 讲者 SPEAKER_00：它将是一个循环网络。
104 00:10:35,341 --> 00:10:43,732 讲者 SPEAKER_00：它使用相同的权重，在各个时间切片上稳定下来，尽管它可能有像温度这样的超参数，这些参数会随时间变化。
105 00:10:44,813 --> 00:10:45,995 讲者 SPEAKER_00: 基本上，权重是相同的。
106 00:10:48,038 --> 00:10:51,703 讲者 SPEAKER_00: 在一个位置内，你会得到三种类型的交互。
107 00:10:52,764 --> 00:10:56,049 讲者 SPEAKER_00: 如果我们关注右侧的这个级别 L 嵌入，
108 00:10:57,143 --> 00:11:05,054 讲者 SPEAKER_00: 它从这个位置级别 L-1 嵌入接收输入，通过一个具有几个隐藏层的自下而上的神经网络。
109 00:11:06,476 --> 00:11:19,336 讲者 SPEAKER_00: 这种自下而上的神经网络将取一个位于 L-1 层的类似鼻子的结构，并预测应该占据这个位置的鼻子在更高一级的位置。
110 00:11:21,325 --> 00:11:31,938 讲者 SPEAKER_00: 我们还将通过一个具有几个隐藏层的自上而下的神经网络获得自上而下的输入，该神经网络将取 L+1 层的表示，这可能是该位置的一个脸。
111 00:11:32,639 --> 00:11:35,583 讲者 SPEAKER_00: 然后，它将从脸部预测鼻子。
112 00:11:36,205 --> 00:11:38,528 讲者 SPEAKER_00: 因此，在脸和鼻子之间存在一个坐标转换。
113 00:11:39,990 --> 00:11:45,876 讲者 SPEAKER_00: 我们也得到了那些绿色箭头，对于静态图像来说，你只是在做时间积分。
114 00:11:46,357 --> 00:11:50,082 讲者 SPEAKER_00: 对于动态图像，它们会更有趣，因为它们需要编码一些动态变化。
115 00:11:51,464 --> 00:11:57,613 讲者 SPEAKER_00: 还有一种其他类型的交互没有在这个图中显示，因为它是在不同位置之间的交互。
116 00:11:58,232 --> 00:12:00,956 讲者 SPEAKER_00: 这个图完全关于一个位置内的交互。
117 00:12:02,278 --> 00:12:04,842 说话人 SPEAKER_00：您已经看到了蓝色、红色和绿色的交互。
118 00:12:05,583 --> 00:12:10,029 说话人 SPEAKER_00：在位置之间，我们将做一些类似 transformer 的事情，但更简单。
119 00:12:10,465 --> 00:12:18,355 说话人 SPEAKER_00：我们将允许位置通过简单地平均嵌入与附近的地点交互。
120 00:12:19,197 --> 00:12:23,402 说话人 SPEAKER_00：换句话说，每个位置都会预测其邻居的嵌入应该与其位置相同。
121 00:12:24,744 --> 00:12:26,687 讲者 SPEAKER_00: 但这些将是注意力加权平均。
122 00:12:27,388 --> 00:12:32,995 讲者 SPEAKER_00: 也就是说，如果你与另一个位置相似，你会强烈预测它应该与你相同。
123 00:12:34,356 --> 00:12:38,042 讲者 SPEAKER_00: 如果你不同，你只会做出非常弱的预测，认为它应该与你相同。
124 00:12:39,085 --> 00:12:44,091 讲者 SPEAKER_00: 所以这是在 Transformer 中使用的那种注意力，但这里的交互要简单得多。
125 00:12:44,753 --> 00:12:47,035 讲者 SPEAKER_00: 没有关键字、查询和值的问题。
126 00:12:47,616 --> 00:12:50,541 讲者 SPEAKER_00: 在这里，键中的嵌入和值中的查询都是同一件事。
127 00:12:51,543 --> 00:13:02,238 讲者 SPEAKER_00: 因此，一个位于 X 位置的 L 级嵌入与一个位于 Y 位置的 L 级嵌入的交互方式是，我们简单地取这两个嵌入的标量积。
128 00:13:03,139 --> 00:13:05,682 讲者 SPEAKER_00: 因此，LX 是位于 X 位置的 L 级嵌入。
129 00:13:06,676 --> 00:13:12,100 讲者 SPEAKER_00: 然后我们对这些标量积进行指数化并重新归一化，这样所有数值加起来就等于 1。
130 00:13:13,802 --> 00:13:20,688 讲者 SPEAKER_00: 那这样做，指数化的作用就是，如果拟合得很好，那么它将完全主导许多不合适的拟合。
131 00:13:22,691 --> 00:13:30,519 讲者 SPEAKER_00: 现在，这种注意力加权平均的作用是，它将导致层次学习嵌入形成这些岛屿。
132 00:13:31,458 --> 00:13:34,201 讲者 SPEAKER_00: 实际上，我们正在创造回音室。
133 00:13:35,009 --> 00:13:42,740 讲者 SPEAKER_00: 随着它逐渐稳定下来，你会得到这些都相互一致并且越来越强烈地相互一致的嵌入组。
134 00:13:43,461 --> 00:13:48,307 讲者 SPEAKER_00: 回声室在政治中是件坏事，但正是我们想要用于图像分割的。
135 00:13:49,950 --> 00:13:52,032 讲者 SPEAKER_00: 现在我想要谈谈自下而上的神经网络。
136 00:13:52,653 --> 00:13:54,635 讲者 SPEAKER_00: 我没有时间谈论自上而下的神经网络。
137 00:13:54,655 --> 00:13:57,279 讲者 SPEAKER_00：如果您想了解更多，请参阅我的关于档案的论文。
138 00:13:57,659 --> 00:14:03,327 讲者 SPEAKER_00：所以当您试图弄清楚图像中发生的事情时，您会发现一些可能存在歧义的部分。
139 00:14:03,645 --> 00:14:08,753 讲者 SPEAKER_00：您可能已经发现了一些可能是一张嘴，但您不确定，还有可能是一张鼻子，但您不确定。
140 00:14:09,634 --> 00:14:11,436 讲者 SPEAKER_00：您希望它们能够互相消除歧义。
141 00:14:12,538 --> 00:14:17,224 说话人 SPEAKER_00：如果它们处于正确的关系，那么它们就会相互确认。
142 00:14:19,046 --> 00:14:23,110 说话人 SPEAKER_00：实现这一点的办法之一是让这些模糊部分之间有直接交互。
143 00:14:23,871 --> 00:14:25,995 说话人 SPEAKER_00：这就是我所说的变换随机场。
144 00:14:27,157 --> 00:14:32,082 说话人 SPEAKER_00：它之所以称为变换，是因为每次交互都涉及坐标变换。
145 00:14:33,397 --> 00:14:44,289 说话人 SPEAKER_00：如果一个鼻子在寻找可能支持它的嘴巴，那么鼻子需要说的是，嘿，我是一个鼻子，我正在寻找具有以下姿态的嘴巴。
146 00:14:45,010 --> 00:14:56,163 说话人 SPEAKER_00：换句话说，它必须采用鼻子的姿态，即它与摄像机的相对位置，乘以鼻子与嘴巴之间的相对位置，这样它就会寻找这样的嘴巴来确认自己。
147 00:14:56,988 --> 00:15:04,697 说话人 SPEAKER_00：如果存在这样的数学，那么数学就需要发送一条消息，这条消息执行逆坐标变换，以表明，嗯，我并不是你想要的那个。
148 00:15:05,038 --> 00:15:05,840 说话人 SPEAKER_00：我有这个姿态。
149 00:15:06,220 --> 00:15:10,505 说话者 SPEAKER_00: 因此，我确认应该有一个鼻子，这个姿势有点像你想要的，但并不完全一样。
150 00:15:12,589 --> 00:15:13,691 说话者 SPEAKER_00: 这相当复杂。
151 00:15:14,010 --> 00:15:17,215 说话者 SPEAKER_00: 这就是使用集合变换器尝试做这件事时可能发生的事情。
152 00:15:18,456 --> 00:15:20,679 说话者 SPEAKER_00: 但你需要 n 平方阶的交互。
153 00:15:20,740 --> 00:15:22,783 说话人 SPEAKER_00：每一次交互都涉及坐标变换。
154 00:15:23,663 --> 00:15:25,206 说话人 SPEAKER_00：还有另一种做生意的方式。
155 00:15:26,738 --> 00:15:28,541 说话人 SPEAKER_00：那就是使用一种叫做霍夫变换的东西。
156 00:15:29,642 --> 00:15:37,934 说话人 SPEAKER_00：不是允许各个部分直接交互，而是让每个部分对整个身份做出模糊的多模态预测。
157 00:15:39,236 --> 00:15:42,982 说话人 SPEAKER_00: 也就是说，对占据相同位置的整个物体施加的标识。
158 00:15:44,524 --> 00:15:49,011 说话人 SPEAKER_00: 所以你只谈论一件事，那就是占据这个位置的任何物体。
159 00:15:49,873 --> 00:15:51,936 说话人 SPEAKER_00: 由于这个原因，你不需要任何动态路由。
160 00:15:53,197 --> 00:15:56,844 说话人 SPEAKER_00: 现在，如果许多这些多模态预测一致，整体就会存在。
161 00:15:56,903 --> 00:16:06,740 讲者：我们希望所进行的注意力加权平均能够挑选出这种一致性。
162 00:16:08,543 --> 00:16:18,260 讲者：为了让它工作，我们需要在每个局部列中，低层预测一个未归一化的对数概率分布
163 00:16:18,427 --> 00:16:22,591 讲者：在所有可能的对象实例和姿态的空间上。
164 00:16:23,312 --> 00:16:24,734 讲者：这是所有这些的叉积空间。
165 00:16:26,395 --> 00:16:28,197 说话者 SPEAKER_00：这相当复杂，难以表示。
166 00:16:28,859 --> 00:16:35,567 说话者 SPEAKER_00：但如果我们可以做出部分预测，那么简单的平均就能找到一致的预测。
167 00:16:35,647 --> 00:16:36,989 说话者 SPEAKER_00：它会挑选出共同模式。
168 00:16:37,710 --> 00:16:42,414 说话者 SPEAKER_00：但我们必须使用注意力加权平均，这样我们就不尝试用非常不同的事物进行平均。
169 00:16:44,376 --> 00:16:46,559 说话人 SPEAKER_00：要在神经网络中实现这类东西，
170 00:16:47,418 --> 00:17:07,942 说话人 SPEAKER_00：你需要的是在每个对象级别的嵌入向量中的每个神经元代表一个基函数，这个基函数在未归一化的对数概率空间中是一个非常模糊的分布，这个分布是身份映射的乘积，以及可能的变形。
171 00:17:07,961 --> 00:17:15,770 说话人 SPEAKER_00：神经元的活性会缩放这个对数分布和完整的嵌入向量
172 00:17:16,003 --> 00:17:24,517 说话人 SPEAKER_00：表示所有这些缩放分布的总和，这与各个分布的乘积相同，只是它未归一化。
173 00:17:26,759 --> 00:17:34,270 讲者 SPEAKER_00：个体分布可能非常模糊，因为它们只需要代表一件事，那就是占据该位置的对象。
174 00:17:34,711 --> 00:17:42,163 讲者 SPEAKER_00：它们永远不需要同时代表两件事，但它们需要代表关于这一件事可能性的概率分布。
175 00:17:43,290 --> 00:18:01,931 讲者 SPEAKER_00：现在，这个理论的一个大问题，还有许多其他大问题，但这个理论的一个大问题是，自下而上和自上而下的神经网络需要在每个位置都相同，因为现在我们正在使胶囊通用，并且希望通用的胶囊无处不在。
176 00:18:01,951 --> 00:18:03,011 讲者 SPEAKER_00：你希望它们无处不在。
177 00:18:04,513 --> 00:18:06,015 演讲者 演讲者_00：在计算机上这没问题。
178 00:18:06,035 --> 00:18:11,922 演讲者 演讲者_00：在计算机上很棒，因为你可以从内存中一次性获取这些网络之一的权重，然后可以在所有这些不同的位置使用它。
179 00:18:12,261 --> 00:18:13,163 演讲者 演讲者_00：它是卷积的。
180 00:18:14,324 --> 00:18:17,028 演讲者 演讲者_00：但在大脑中这似乎非常浪费。
181 00:18:19,051 --> 00:18:23,921 讲者 SPEAKER_00: 这很浪费，因为你似乎需要分别学习所有这些神经网络。
182 00:18:25,262 --> 00:18:34,459 讲者 SPEAKER_00: 我们知道卷积网络建立在视觉数据分布大致各向同性的基础上。
183 00:18:34,479 --> 00:18:35,760 讲者 SPEAKER_00: 几乎到处都一样。
184 00:18:36,102 --> 00:18:37,884 讲者 SPEAKER_00: 你希望到处都有同样的知识。
185 00:18:39,821 --> 00:18:47,869 讲者：这似乎很疯狂，要在每个位置分别以自下而上和自上而下的神经网络形式学习同样的知识。
186 00:18:48,651 --> 00:18:51,294 讲者：所以问题是，我们如何在大脑中实现权重共享的效果？
187 00:18:52,615 --> 00:18:54,477 讲者：这就是演讲的第二部分将要讨论的内容。
188 00:18:56,019 --> 00:19:04,647 讲者：我将简要介绍由 Rich Caruana 发明的称为蒸馏的技术。
189 00:19:05,184 --> 00:19:10,491 说话人 SPEAKER_00：他称之为压缩，而我大约 10 年后重新发明了它。
190 00:19:11,932 --> 00:19:17,840 说话人 SPEAKER_00：蒸馏是一种从模型中提取知识并将其放入不同结构的模型中的方法。
191 00:19:20,063 --> 00:19:29,454 说话人 SPEAKER_00：它通常被使用，现在相当广泛地使用，将大模型或大模型集的知识转换为更小的模型。
192 00:19:30,717 --> 00:19:39,769 说话人 SPEAKER_00：例如，如果我们有一个在大数据中心运行的语音识别大模型，我们希望将同样的知识放入一个可以在我们的手机上运行的更小的模型中。
193 00:19:41,010 --> 00:19:42,512 演讲者 SPEAKER_00：大型语言模型也是如此。
194 00:19:43,012 --> 00:19:44,795 演讲者 SPEAKER_00：这就是现在蒸馏所用的。
195 00:19:45,435 --> 00:19:46,096 演讲者 SPEAKER_00：它在这一点上做得很好。
196 00:19:46,978 --> 00:19:48,641 演讲者 SPEAKER_00：我将提出对它的另一种用途。
197 00:19:51,003 --> 00:19:54,327 演讲者 SPEAKER_00: 但我想从蒸馏的类比开始。
198 00:19:55,287 --> 00:19:58,112 演讲者 SPEAKER_00: 如果你观察毛毛虫和蝴蝶，它们看起来很不一样。
199 00:19:58,933 --> 00:20:06,767 演讲者 SPEAKER_00: 这是因为毛毛虫是为了从环境中提取营养而优化的，而蝴蝶是为了迁徙和交配而优化的。
200 00:20:08,631 --> 00:20:18,307 演讲者 SPEAKER_00: 现在，在机器学习中，我们通常从训练数据中提取结构，这就是我们学到的模型。
201 00:20:19,317 --> 00:20:30,272 说话人 SPEAKER_00: 但现在我们更了解神经网络后，如果你有一个非常大的模型，参数非常多，或者你有大量的模型集成，提取结构就变得很容易。
202 00:20:31,355 --> 00:20:34,880 说话人 SPEAKER_00: 它们使得提取规律变得容易，但操作起来非常繁琐。
203 00:20:35,840 --> 00:20:37,462 说话人 SPEAKER_00: 它们并没有给我们一个小的生产模型。
204 00:20:38,744 --> 00:20:45,214 说话人 SPEAKER_00: 因此解决方案就是像昆虫那样进行变态。
205 00:20:45,976 --> 00:20:47,518 说话人 SPEAKER_00: 取幼虫阶段，
206 00:20:47,768 --> 00:20:50,671 说话人 SPEAKER_00: 并从那个幼虫阶段，构建出截然不同的事物。
207 00:20:51,372 --> 00:20:53,193 说话人 SPEAKER_00: 而蒸馏在机器学习中正是如此。
208 00:20:54,494 --> 00:20:58,318 说话人 SPEAKER_00: 所以你学到的这个庞大而笨重的模型已经从数据中抽取了结构。
209 00:20:59,800 --> 00:21:01,603 说话者 SPEAKER_00: 但它很大很笨拙。
210 00:21:03,305 --> 00:21:09,211 说话者 SPEAKER_00: 我们倾向于从模型架构和参数值的角度来考虑模型。
211 00:21:09,971 --> 00:21:15,597 说话者 SPEAKER_00: 但还有一种完全不同的思考模型的方式，那就是它是一个从输入到输出的函数。
212 00:21:15,847 --> 00:21:22,939 说话者 SPEAKER_00: 如果我给它很多不同的输入向量，并观察它给出的所有不同的输出向量，这样就能确定函数是什么。
213 00:21:24,180 --> 00:21:28,006 讲者 SPEAKER_00：我们可以忘记大模型的架构和权重，只关注其功能。
214 00:21:29,008 --> 00:21:33,734 讲者 SPEAKER_00：我们可以通过将这个功能转移到小模型来转移大模型中的知识。
215 00:21:35,537 --> 00:21:38,801 讲者 SPEAKER_00：而这个功能可以被转移到具有完全不同架构的模型中。
216 00:21:40,367 --> 00:21:46,594 讲者 SPEAKER_00：所以如果你有一个大模型，假设其输出是 n 个不同类别之间的 n-way softmax。
217 00:21:47,515 --> 00:21:50,137 说话人 SPEAKER_00：目标通常只有一个，后面跟着一大串零。
218 00:21:52,039 --> 00:21:59,426 说话人 SPEAKER_00：这意味着你给它赋予的标签，平均来说，最多只能对函数施加 log n 比特约束。
219 00:21:59,988 --> 00:22:01,048 说话人 SPEAKER_00：你给它一个输入图像。
220 00:22:01,388 --> 00:22:02,369 说话人 SPEAKER_00：这个图像中包含了很多比特。
221 00:22:02,931 --> 00:22:04,051 说话者 说话者_00: 然后你告诉它标签。
222 00:22:04,412 --> 00:22:07,454 说话者 说话者_00: 标签只对函数施加少量约束。
