1 00:00:05,684 --> 00:00:16,539 说话人 说话人_00: 谢谢。
112 00:08:35,903 --> 00:08:38,225 我同意 Sam Altman 的观点，那就是外星智能。
113 00:08:38,284 --> 00:08:39,225 说话人 SPEAKER_01：它并不完全像我们。
114 00:08:39,706 --> 00:08:40,868 说话人 SPEAKER_01：它与我们有一些不同。
115 00:08:41,948 --> 00:08:45,133 说话人 SPEAKER_01：但如果你看
116 00:08:46,260 --> 00:08:47,182 说话人 SPEAKER_01：像宗教这样的东西。
117 00:08:47,423 --> 00:08:49,225 说话人 SPEAKER_01：我不明白为什么你不应该得到宗教的。
118 00:08:51,250 --> 00:08:58,582 说话人 SPEAKER_00：昨天，当我问 Altman 这个问题时，他说，嗯，可能有一个区别，那就是主观体验。
119 00:08:59,543 --> 00:09:02,590 说话人 说话人_00：一个机器人，一个系统无法体验世界。
120 00:09:03,331 --> 00:09:07,938 说话人 说话人_00：您认为 AI 系统可以拥有主观体验吗？
121 00:09:07,999 --> 00:09:08,559 说话人 说话人_00：是的，我相信。
122 00:09:08,779 --> 00:09:10,243 说话人 说话人_00：我认为它们已经拥有了。
123 00:09:10,712 --> 00:09:12,174 说话人 SPEAKER_00: 好吧，让我们更深入地探讨一下。
124 00:09:12,215 --> 00:09:12,735 说话人 SPEAKER_00: 解释一下。
125 00:09:12,775 --> 00:09:14,938 说话人 SPEAKER_00: 这是一个有争议的提议，杰夫。
126 00:09:14,958 --> 00:09:16,682 说话人 SPEAKER_00: 你不能只用一句话来回答。
127 00:09:16,942 --> 00:09:18,183 说话人 SPEAKER_00: 请跟进，Hinton 博士。
128 00:09:19,365 --> 00:09:22,109 说话人 SPEAKER_01: 好的，我试图给出清晰、尖锐的回答来回答你的问题。
129 00:09:22,129 --> 00:09:24,933 说话人 SPEAKER_01: 很好，因为我有... 在 Altman 没有的方式。
130 00:09:25,394 --> 00:09:28,538 说话人 SPEAKER_01: 但是，是的，我们需要跟进那一点。
131 00:09:29,220 --> 00:09:39,774 说话人 SPEAKER_01：所以，我的观点是，几乎每个人都对心灵有一个完全错误的模型。
132 00:09:40,480 --> 00:09:43,267 说话人 SPEAKER_01：这是一件很难推销的事情。
133 00:09:43,307 --> 00:09:49,081 说话人 SPEAKER_01：我现在处于一个信念与大多数人坚信的信念不一致的位置。
134 00:09:49,942 --> 00:09:52,649 说话人 SPEAKER_01：我总是在那个位置上非常快乐。
135 00:09:53,929 --> 00:09:59,597 说话人 SPEAKER_01：所以大多数人把思维看作是一种内部剧院。
136 00:10:00,538 --> 00:10:05,424 说话人 SPEAKER_01：事实上，人们如此确信这种观点是正确的，以至于他们甚至不认为这是一种观点。
137 00:10:05,785 --> 00:10:07,347 说话人 SPEAKER_01：他们甚至不认为这是一种他们拥有的模型。
138 00:10:07,628 --> 00:10:08,669 说话人 SPEAKER_01：他们认为这是显而易见的。
139 00:10:09,410 --> 00:10:12,955 说话人 SPEAKER_01：就像人们认为太阳绕地球转一样明显。
140 00:10:13,756 --> 00:10:16,360 说话人 SPEAKER_01：我的意思是，你一看就知道它绕地球转。
141 00:10:17,774 --> 00:10:24,965 说话人 SPEAKER_01：最终，人们意识到太阳不是绕地球转，而是地球自转。
142 00:10:26,126 --> 00:10:30,732 说话人 SPEAKER_01：那是山姆犯的一个小技术错误，由于我比较挑剔，我喜欢指出他的错误。
143 00:10:31,173 --> 00:10:38,725 说话人 SPEAKER_01：起初他们认为太阳绕着地球转，后来他们意识到地球绕着太阳转。
144 00:10:39,125 --> 00:10:40,388 说话人 SPEAKER_01：这不是正确的对比。
145 00:10:40,828 --> 00:10:45,115 说话人 SPEAKER_01：他们原本认为太阳绕着地球转，后来他们意识到地球自转。
146 00:10:45,095 --> 00:10:47,577 说话人 SPEAKER_01：地球绕太阳转与年有关，而不是与日有关。
147 00:10:48,558 --> 00:10:51,842 说话人 SPEAKER_01：但无论如何，太阳绕地球转是很明显的，我们错了。
148 00:10:51,942 --> 00:10:52,663 说话人 SPEAKER_01：我们有一个模型。
149 00:10:53,225 --> 00:10:54,466 说话人 SPEAKER_01：这是一个简单的模型。
150 00:10:54,966 --> 00:10:56,268 说话人 SPEAKER_01：这显然是正确的。
151 00:10:56,327 --> 00:10:57,629 说话人 SPEAKER_01：你几乎能看见它发生。
152 00:10:58,210 --> 00:10:59,631 说话人 SPEAKER_01：我们关于那个模型是错的。
153 00:11:00,533 --> 00:11:03,976 说话人 SPEAKER_01：我认为大多数人关于心智的看法也是一样。
154 00:11:04,437 --> 00:11:08,503 说话人 SPEAKER_01：大多数人认为有一个内在的剧场，他们在这方面是错误的。
155 00:11:08,562 --> 00:11:12,267 说话人 SPEAKER_01：他们还没有理解心理状态的语言是如何运作的。
156 00:11:12,922 --> 00:11:15,866 说话人 SPEAKER_00：但请解释这如何适用于人工智能系统。
157 00:11:15,966 --> 00:11:29,730 说话人 SPEAKER_00：请解释一下，如果我告诉 GPT-4，我说，你刚刚经历了一个巨大的声响，有什么东西撞到了你。
158 00:11:30,390 --> 00:11:33,395 说话人 SPEAKER_00：它并没有感到疼痛或伤害，它的耳朵也不痛。
159 00:11:33,416 --> 00:11:36,380 说话人 SPEAKER_00：它有什么主观体验的感觉？
160 00:11:37,373 --> 00:11:39,918 说话人 SPEAKER_01：好的，那么让我们举一个简单易懂的例子。
161 00:11:40,860 --> 00:11:47,493 说话人 SPEAKER_01：我不假装自己能完全回答什么是意识，尽管我认为我在这个领域取得了一点点进步。
162 00:11:48,134 --> 00:11:51,642 说话人 SPEAKER_01：实际上，这一进步是在上个世纪由哲学家们取得的。
163 00:11:54,587 --> 00:11:59,297 说话人 SPEAKER_01：所以如果我对你说，我看到一些粉红色的象在我面前飘浮，
164 00:12:00,340 --> 00:12:09,955 说话人 SPEAKER_01：关于这一点的一种思考方式是，有一个内在的剧院，在我的内在剧院里有一些粉红色的象，我似乎可以直接看到这些粉红色的象。
165 00:12:10,635 --> 00:12:13,659 说话人 SPEAKER_01：如果你问它们是由什么构成的，它们是由一种叫做“质料”的东西构成的。
166 00:12:14,081 --> 00:12:21,010 说话人 SPEAKER_01：也许有一些粉红色的质料，一些象的质料，一些直立方向的质料和一些运动的质料，它们以某种方式结合在一起。
167 00:12:21,532 --> 00:12:23,053 说话人 SPEAKER_01：这是关于正在发生的事情的一个理论。
168 00:12:23,173 --> 00:12:25,538 说话人 SPEAKER_01：这是一个内部剧院，里面有搞笑的恐怖事物。
169 00:12:26,462 --> 00:12:32,553 说话人 SPEAKER_01：还有一个完全不同的理论，我正在试图告诉你我的感知系统告诉我什么。
170 00:12:33,375 --> 00:12:40,347 说话人 SPEAKER_01：我的感知系统告诉我，空中漂浮着粉红色的小象，我知道这是错误的。
171 00:12:41,649 --> 00:12:50,125 说话者 SPEAKER_01：那么，我告诉你们我的感知系统告诉我什么，就是通过说，我的感知系统要正常工作，需要满足什么条件？
172 00:12:50,307 --> 00:13:01,142 说话者 SPEAKER_01：实际上，当我说我有在眼前飘浮的小粉象的主观体验时，我可以说同样的话，而不必使用“主观体验”这个词。
173 00:13:01,662 --> 00:13:10,914 说话者 SPEAKER_01：我可以说我感知系统告诉我的正确性，如果世界上真的有在我面前飘浮的小粉象的话。
174 00:13:11,182 --> 00:13:18,029 说话者 SPEAKER_01：换句话说，这些小粉象有趣的地方不在于它们存在于一个由有趣的东西叫做“质料”构成的内在剧院中。
175 00:13:18,769 --> 00:13:20,873 说话人 SPEAKER_01：这是假设的世界状态。
176 00:13:21,774 --> 00:13:24,255 说话人 SPEAKER_01：这只是间接引用技巧。
177 00:13:24,275 --> 00:13:31,624 说话人 SPEAKER_01：我无法直接描述我的感知系统告诉我什么，但我可以说出世界必须具备哪些条件才能是正确的。
178 00:13:32,926 --> 00:13:38,471 说话人 SPEAKER_00：那么机器在感知方面可以或多或少做到同样的事情吗？
179 00:13:39,092 --> 00:13:41,657 说话人 SPEAKER_01：是的，让我给您举一个例子。
180 00:13:41,836 --> 00:13:47,985 说话人 SPEAKER_01：我想给您举一个显然有主观体验的聊天机器人的例子。
181 00:13:48,004 --> 00:13:59,441 说话人 SPEAKER_01：假设我有一个多模态聊天机器人，它有一个摄像头和一个机械臂，我训练它，它可以说话，可以看到东西，我在它面前放一个物体，然后说指向这个物体。
182 00:14:00,221 --> 00:14:01,263 说话人 SPEAKER_01：它会指向这个物体。
183 00:14:02,504 --> 00:14:08,273 说话人 SPEAKER_01：现在我把它放在镜头前面，而它却不知道，
184 00:14:09,129 --> 00:14:13,395 说话人 SPEAKER_01：现在我把它放在镜头前面，然后对它说，指向那个物体，它却指向了一边。
185 00:14:14,177 --> 00:14:16,080 说话人 SPEAKER_01：我说，不，那个物体不是在那里。
186 00:14:16,139 --> 00:14:18,763 说话人 SPEAKER_01：物体就在你正前方，但我把它放在了你的镜头前面。
187 00:14:19,563 --> 00:14:22,849 说话人 SPEAKER_01：哦，我明白了，棱镜弯曲了光线。
188 00:14:23,570 --> 00:14:29,518 说话人 SPEAKER_01：所以物体实际上就在我正前方，但我有一种主观感觉它偏到了一边。
189 00:14:30,173 --> 00:14:36,145 说话人 SPEAKER_01：如果聊天机器人这么说，我认为它将“主观体验”这个词用得和我们一样。
190 00:14:36,886 --> 00:14:40,294 说话人 SPEAKER_01：它并不是指聊天机器人无法拥有的神秘内在的东西。
191 00:14:40,916 --> 00:14:46,528 说话人 SPEAKER_01：这指的是一个假设的世界状态，使得聊天机器人的感知是正确的。
192 00:14:47,520 --> 00:14:54,087 说话人 SPEAKER_00：哇，好吧，这是第一次有人和我争论这个问题，但这是一个非常有趣、非常有趣的案例。
193 00:14:54,128 --> 00:15:10,625 说话人 SPEAKER_00：让我们谈谈互操作性，这是我向 Altman 询问的事情，因为他认为，理解 AI 系统的核心内部机制将是我们避免灾难性后果的最大保障。
194 00:15:10,605 --> 00:15:12,932 说话人 SPEAKER_00：你帮助设计这些系统。
195 00:15:13,014 --> 00:15:18,190 说话人 SPEAKER_00：为什么看透它们并理解它们在做什么这么难？
196 00:15:19,836 --> 00:15:21,480 说话人 SPEAKER_01：好的，让我们来看一个极端的例子。
197 00:15:21,541 --> 00:15:23,366 说话人 SPEAKER_01：假设我们有一个大数据集
198 00:15:24,307 --> 00:15:26,509 说话人 SPEAKER_01：并且我们试图回答一个是非问题。
199 00:15:27,291 --> 00:15:30,052 说话人 SPEAKER_01：在这个数据集中，有很多弱规则性。
200 00:15:30,774 --> 00:15:35,798 说话人 SPEAKER_01：可能有 30 万个弱规则性表明答案应该是“否”。
201 00:15:36,778 --> 00:15:40,481 说话人 SPEAKER_01：还有 60 万个弱规则性表明答案应该是“是”。
202 00:15:41,263 --> 00:15:43,544 说话人 SPEAKER_01：这些规则性的强度大致相等。
203 00:15:44,044 --> 00:15:45,807 说话人 SPEAKER_01：答案非常明确，是的。
204 00:15:46,287 --> 00:15:48,448 说话人 SPEAKER_01：有压倒性的证据表明答案应该是肯定的。
205 00:15:48,929 --> 00:15:51,192 说话人 SPEAKER_01：但这种证据都存在于这些微弱的规律中。
206 00:15:51,272 --> 00:15:53,673 说话人 SPEAKER_01：这只是它们综合作用的结果。
207 00:15:53,653 --> 00:15:55,076 发言人 SPEAKER_01：当然，这是一个极端的情况。
如果您然后问某人，好吧，解释为什么它说“是”。
唯一解释它为什么说“是”的方法就是深入研究这600,000个弱规律。
当你在这样一个领域，有很多很多微弱的规律，而且它们的数量如此之多以至于实际上变得很重要，它们的综合效应是显著的，没有理由预期你能得到对事物的简单解释。
211 00:16:21,024 --> 00:16:28,174 说话人 SPEAKER_00: 昨天的对话中，Altman 指出了一份来自 Anthropic 的论文，我觉得非常有趣。
212 00:16:28,816 --> 00:16:40,533 说话人 SPEAKER_00: 论文讨论了分析 Claude（Anthropic 的模型）的内部运作，以及找到所有与金门大桥概念相关的神经连接。
213 00:16:40,552 --> 00:16:44,658 说话人 SPEAKER_00: 然后你对所有这些连接进行加权，创建出“金门 Claude”。
214 00:16:44,999 --> 00:16:47,582 说话人 SPEAKER_00: 然后你进入那个聊天机器人，你说，给我讲一个爱情故事。
215 00:16:47,822 --> 00:16:50,307 说话人 SPEAKER_00：这是一个发生在金门大桥的爱情故事。
216 00:16:50,287 --> 00:16:52,910 说话人 SPEAKER_00：你知道，你问它是什么，它就会描述金门大桥。
217 00:16:54,212 --> 00:17:12,800 说话人 SPEAKER_00：鉴于这一点，为什么我们不能进入一个大型语言模型并调整权重，不是针对金门大桥，而是针对，比如说，同情的概念，怜悯的概念，然后创建一个更有可能为世界做好事的的大型语言模型呢？
218 00:17:13,961 --> 00:17:18,208 说话人 SPEAKER_01：我认为你可以创建一个有同情心的模型，但不是通过直接调整权重。
219 00:17:18,248 --> 00:17:20,791 说话人 SPEAKER_01：你只需在表现出同理心的数据上训练它。
220 00:17:22,835 --> 00:17:24,136 说话人 SPEAKER_00：然后你会得到相同的结果。
221 00:17:24,979 --> 00:17:25,179 说话人 SPEAKER_01：是的。
222 00:17:25,779 --> 00:17:26,901 说话人 SPEAKER_00：我们应该这样做吗？
223 00:17:27,623 --> 00:17:33,912 发言人 SPEAKER_01：过去人们已经有很多例子试图了解单个神经元在做什么。
224 00:17:35,343 --> 00:17:37,465 发言者 SPEAKER_01：我已经这样做了大约 50 年。
225 00:17:38,106 --> 00:17:46,798 发言人 SPEAKER_01：如果神经元直接连接到输入或直接连接到输出，你就有机会了解单个神经元在做什么。
但是一旦有多个层级，就非常非常难以理解系统内部深处的神经元到底在做什么，因为起作用的是边际效应。
227 00:17:58,695 --> 00:18:03,442 说话者 SPEAKER_01：其边际效应因其他神经元的行为而异，取决于输入。
228 00:18:03,423 --> 00:18:06,567 说话者 SPEAKER_01：因此，随着输入的变化，所有这些神经元的边际效应也会变化。
229 00:18:06,989 --> 00:18:11,076 说话者 SPEAKER_01：而且，要获得关于它们行为的良好理论极其困难。
230 00:18:11,096 --> 00:18:24,637 说话者 SPEAKER_00：所以，我可以尝试调整后台构建的神经网络中的权重以实现同情心，结果却可能制造出一种可怕的杀戮机器，因为我不知道我做了什么以及一切是如何相互关联的？
231 00:18:24,736 --> 00:18:28,180 说话人 SPEAKER_01：是的，我可能是少数真正尝试过这样做的人之一。
232 00:18:28,240 --> 00:18:36,509 说话人 SPEAKER_01：所以在神经网络非常早期的阶段，当学习算法效果不佳时，我有一台 Lisp 机器，鼠标有三个按钮。
233 00:18:37,731 --> 00:18:42,277 说话人 SPEAKER_01：我想出了一个方法来显示一个小型神经网络中的所有权重。
234 00:18:42,297 --> 00:18:45,361 说话人 SPEAKER_01：我还让它这样，如果你按左键，权重就会稍微小一点。
235 00:18:45,381 --> 00:18:47,663 说话人 SPEAKER_01：按下右侧按钮，重量会稍微增加一点。
236 00:18:48,444 --> 00:18:52,009 说话人 SPEAKER_01：按下中间按钮，你可以看到重量的值。
237 00:18:52,461 --> 00:18:53,748 将打印出重量的值。
238 00:18:54,471 --> 00:18:57,888 我尝试调整神经网络，调整权重。
239 00:18:57,970 --> 00:18:59,416 说话人 SPEAKER_01：这真的很困难。
240 00:18:59,498 --> 00:19:01,681 说话人 SPEAKER_01：反向传播要好得多。
241 00:19:02,402 --> 00:19:09,710 说话人 SPEAKER_00：嗯，我们得等待一个比杰弗里·辛顿（Geoffrey Hinton）更聪明的下一级 AI 来找出如何做到这一点。
242 00:19:11,251 --> 00:19:13,013 说话人 SPEAKER_00：让我们谈谈一些有益于 AI 的事情。
