1 00:00:03,068 --> 00:00:03,810 主持人 SPEAKER_05：大家好。
35 00:05:11,442 --> 00:05:18,857 说话人 SPEAKER_05：Hinton 教授来自一个杰出的学术世家，有着一群致力于研究和教育的杰出学术传统。
36 00:05:19,639 --> 00:05:30,901 说话人 SPEAKER_05：他的曾曾祖母玛丽·埃文斯·巴勒，是一位自学成才的数学家和作家，致力于使数学对儿童更具吸引力，并撰写了一本名为《代数的哲学与乐趣》的书。
37 00:05:31,101 --> 00:05:41,752 讲者 SPEAKER_05：她嫁给了乔治·布尔，他是女王学院法院（现都柏林大学学院）的第一位数学教授，他发展了布尔代数，这是支撑现代计算机科学的逻辑。
38 00:05:44,028 --> 00:05:49,961 讲者 SPEAKER_05：他的早期工作探讨了人工神经网络如何具备学习复杂表示的能力。
39 00:05:50,742 --> 00:05:57,317 讲者 SPEAKER_05：1986 年，他与罗梅哈特和威廉姆斯一起发表了关于反向传播的概念，以帮助网络学习。
40 00:05:57,877 --> 00:06:03,370 讲者 SPEAKER_05：他开发了称为玻尔兹曼机的架构，这成为了深度学习架构的重要组件。
41 00:06:04,312 --> 00:06:06,740 说话人 SPEAKER_05：在 21 世纪初，许多事情汇聚在一起。
42 00:06:07,283 --> 00:06:16,295 说话人 SPEAKER_05：计算能力增强，尤其是 GPU，还有大量数据集用于训练模型，以完成语音识别和图像分类等任务。
43 00:06:17,524 --> 00:06:21,209 说话人 SPEAKER_05：我记得我曾在 2013 年参加了在温哥华举行的一个特别会议。
44 00:06:22,550 --> 00:06:26,074 说话人 SPEAKER_05：主要问题不是关于理论，而是关于实现。
45 00:06:26,134 --> 00:06:27,755 说话人 SPEAKER_05：我们怎么也能做到这一点呢？
46 00:06:27,975 --> 00:06:31,060 说话人 SPEAKER_05：我们怎么能让代码在这些 GPU 上运行？
47 00:06:31,680 --> 00:06:35,283 说话人 SPEAKER_05：工程贡献的重要性几乎与科学相当。
48 00:06:36,084 --> 00:06:45,995 说话人 SPEAKER_05：在他的 2012 年论文《基于深度卷积神经网络的 ImageNet 分类》中，根据谷歌学术搜索，已有超过 12 万次引用。
49 00:06:47,122 --> 00:06:49,706 讲者 SPEAKER_05: 展示了卷积神经网络在图像识别方面的强大功能。
50 00:06:50,487 --> 00:06:58,276 讲者 SPEAKER_05: 从那时起，他继续在胶囊网络、对比学习和人工智能的新硬件解决方案等方面做出贡献。
51 00:06:59,619 --> 00:07:02,723 讲者 SPEAKER_05: Geoffrey Hinton 对人工智能领域的影响是无可否认的。
52 00:07:03,663 --> 00:07:08,709 讲者 SPEAKER_05: 深度学习在计算机视觉、自然语言处理等领域彻底改变了人工智能。
53 00:07:09,262 --> 00:07:13,149 说话人 SPEAKER_05：语音识别、金融、医学等多个领域。
54 00:07:14,029 --> 00:07:18,036 说话人 SPEAKER_05：他是 UCD 最高荣誉的非常值得的获得者。
55 00:07:18,617 --> 00:07:25,348 说话人 SPEAKER_05：现在，我邀请校长奥拉·菲利（Orla Feely）向哈 inton 教授颁发尤利西斯奖牌。
56 00:07:58,100 --> 00:08:00,184 说话人 SPEAKER_03：非常感谢您给予的非常慷慨的赞誉。
57 00:08:01,105 --> 00:08:11,043 讲者 SPEAKER_03：我想就其中一点特别指出，那就是我的成功在很大程度上得益于能够招募到真正优秀的毕业生。
58 00:08:11,865 --> 00:08:18,538 讲者 SPEAKER_03：所以，在这个领域，永远不要忘记，是研究生在做这项工作。
59 00:08:19,817 --> 00:08:27,127 讲者 SPEAKER_03：我无法抗拒向人们讲解事物的机会，而且有很多人实际上并不了解人工智能是如何工作的。
60 00:08:27,869 --> 00:08:32,375 讲者 SPEAKER_03：所以，我为计算机科学专业的学生和已经了解人工智能工作原理的人表示歉意。
61 00:08:33,076 --> 00:08:49,317 说话人 SPEAKER_03：我将进行一场大约 20 分钟的非常基础的讲座，关于人工智能实际上是如何工作的，面向那些不喜欢方程式且不知道这些大块头究竟在做什么或如何做到这一点的人。
62 00:08:49,653 --> 00:08:54,398 说话人 SPEAKER_03：自上个世纪中叶以来，存在两种智能范式。
63 00:08:54,999 --> 00:08:59,804 说话人 SPEAKER_03：有一种是受逻辑启发的途径，其理念是智能的本质是推理。
64 00:08:59,884 --> 00:09:00,926 说话人 SPEAKER_03：这就是我们与众不同的地方。
65 00:09:01,746 --> 00:09:05,350 说话人 SPEAKER_03：这是通过使用符号规则来操作符号表达式来完成的。
66 00:09:06,552 --> 00:09:08,274 说话人 SPEAKER_03：像学习这样的东西可以稍后再说。
67 00:09:08,914 --> 00:09:15,001 说话人 SPEAKER_03：我们真正需要做的是理解知识是如何表示的，在哪种逻辑类型语言中表示。
68 00:09:15,504 --> 00:09:18,589 说话人 SPEAKER_03：然后还有一种受生物学启发的完全不同的方法。
69 00:09:19,149 --> 00:09:21,212 说话者 SPEAKER_03：它说智能的本质是学习。
70 00:09:22,014 --> 00:09:23,336 说话者 SPEAKER_03：逻辑和这些东西要晚些时候再说。
71 00:09:23,375 --> 00:09:27,481 说话者 SPEAKER_03：你会在神经网络中学习连接的强度。
72 00:09:28,383 --> 00:09:30,046 说话者 SPEAKER_03：至于推理这类问题我们稍后再讨论。
73 00:09:30,145 --> 00:09:35,393 说话人 SPEAKER_03：首先，我们需要了解你是如何学习控制身体或识别物体这类事情的。
74 00:09:38,717 --> 00:09:40,821 说话人 SPEAKER_03：那么，什么是神经网络呢？
75 00:09:41,323 --> 00:09:43,989 说话人 SPEAKER_03：我将给你一个神经网络的漫画化描述。
76 00:09:44,009 --> 00:09:48,135 说话人 SPEAKER_03：你有一些输入神经元，这些可能是图像像素的强度。
77 00:09:48,456 --> 00:09:49,197 说话人 SPEAKER_03：这就是数据。
78 00:09:49,879 --> 00:09:55,349 说话人 SPEAKER_03：然后你有中间层神经元，它们将学会从图像中提取特征。
79 00:09:56,049 --> 00:10:00,418 说话人 SPEAKER_03：然后你有输出神经元，可能会说出图像是什么类型的。
80 00:10:00,778 --> 00:10:03,163 说话人 SPEAKER_03：比如，可能有一个是猫，一个是狗。
81 00:10:03,903 --> 00:10:08,389 说话人 SPEAKER_03：所以您要做的就是输入一张猫的图片，然后猫的神经元在输出端被激活。
82 00:10:09,009 --> 00:10:12,354 说话人 SPEAKER_03：那些连接上的彩色小点表示连接强度。
83 00:10:12,833 --> 00:10:16,238 说话人 SPEAKER_03：您要做的是学习这些连接强度，以便发生正确的事情。
84 00:10:18,681 --> 00:10:21,845 说话人 SPEAKER_03：有一种简单的方法来做这种学习，大家都容易理解。
85 00:10:22,466 --> 00:10:27,091 说话人 SPEAKER_03：从一些随机的连接强度开始，然后选择其中一个连接，
86 00:10:27,881 --> 00:10:34,803 说话人 SPEAKER_03：看看当你稍微改变这个连接时，比如说增加一点，网络是否会变得更好。
87 00:10:35,240 --> 00:10:40,866 说话人 SPEAKER_03：当然，判断它是否变得更好，你需要运行很多示例并查看它是否产生更好的答案。
88 00:10:41,488 --> 00:10:45,994 说话人 SPEAKER_03：所以最初，它可能说，这张猫图片是猫的概率是 50%。
89 00:10:46,073 --> 00:10:49,318 说话人 SPEAKER_03：当你改变这个重量时，它可能会显示是 51%。
90 00:10:49,958 --> 00:10:50,799 说话人 SPEAKER_03：好的，那还不错。
91 00:10:50,841 --> 00:10:51,902 说话人 SPEAKER_03：所以你这样改变重量。
92 00:10:51,922 --> 00:10:53,244 说话人 SPEAKER_03：然后你取另一个重量，试试看。
93 00:10:53,823 --> 00:10:54,806 说话人 SPEAKER_03：你继续这样做。
94 00:10:55,066 --> 00:10:59,711 说话人 SPEAKER_03：如果你这样做足够长时间，你将得到一个网络，当你展示一只猫时，它会说它很可能是一只猫。
95 00:10:59,731 --> 00:11:01,855 说话人 SPEAKER_03：当你展示一只狗时，它会说它是一只狗。
96 00:11:01,835 --> 00:11:05,759 说话人 SPEAKER_03：但它非常慢，因为对于每个连接，你都必须尝试许多示例。
97 00:11:06,341 --> 00:11:08,203 说话人 SPEAKER_03：你必须多次更新每个连接。
98 00:11:09,645 --> 00:11:22,123 说话人 SPEAKER_03：现在，实际上你可以通过使用一种叫做反向传播的算法以更高效的方式实现相同的功能，其中你取一个东西的图像，将其通过网络前向传播以获得响应。
99 00:11:23,144 --> 00:11:26,187 说话人 SPEAKER_03：假设它说有 50%的可能性是猫。
100 00:11:26,658 --> 00:11:29,381 说话人 SPEAKER_03：所以你有一个错误，因为你希望它说 100%是猫。
101 00:11:30,143 --> 00:11:35,789 说话人 SPEAKER_03：您通过网络发送一个信号，通过相同的连接，这些连接正在传递错误。
102 00:11:35,889 --> 00:11:42,918 说话人 SPEAKER_03：基本上，您可以计算，而不是测量，改变每个权重会如何改善网络。
103 00:11:43,100 --> 00:11:48,326 说话人 SPEAKER_03：因此，对于这些权重中的每一个，您可以弄清楚，如果我稍微提高这个权重，是否会变得更好？
104 00:11:48,486 --> 00:11:50,408 说话人 SPEAKER_03：或者如果我稍微降低这个权重，是否会变得更好？
105 00:11:50,889 --> 00:11:53,273 说话人 SPEAKER_03：但是你可以并行地对所有权重进行操作。
106 00:11:53,253 --> 00:11:56,720 说话人 SPEAKER_03：所以如果你有一亿个权重，这会快一亿倍。
107 00:11:58,202 --> 00:11:59,885 说话人 SPEAKER_03：这就是神经网络的工作原理。
108 00:12:00,687 --> 00:12:08,744 说话人 SPEAKER_03：通过反向传播误差来计算如何改变每个权重的数学方法只是相对简单的微积分。
109 00:12:09,725 --> 00:12:11,229 说话人 SPEAKER_03：关键是它真的管用。
110 00:12:11,548 --> 00:12:12,932 说话人 SPEAKER_03：你可以那样学习东西。
111 00:12:13,721 --> 00:12:24,278 所以多年来，计算机科学家、计算机视觉专家们一直希望像那样处理图像，输出一个描述图像内容的字幕。
112 00:12:24,359 --> 00:12:25,100 说话人 SPEAKER_03：但他们做不到。
113 00:12:25,120 --> 00:12:26,121 说话人 SPEAKER_03：他们甚至无法接近。
114 00:12:26,581 --> 00:12:27,945 说话人 SPEAKER_03：现在神经网络可以做到这一点。
115 00:12:28,465 --> 00:12:30,688 说话人 SPEAKER_03：它们使用这种反向传播算法进行训练。
116 00:12:30,708 --> 00:12:36,337 说话人 SPEAKER_03：反向传播学习从图像中提取特征层次结构，这使您能够看到图像中的内容。
117 00:12:38,596 --> 00:12:49,328 说话人 SPEAKER_03：在 2012 年，亚历克斯·赫鲁什切夫斯基和伊利亚·舒茨科娃，在我的一点点帮助下，开发了一个比现有计算机视觉系统好得多的网络。
118 00:12:49,970 --> 00:13:00,302 说话人 SPEAKER_03：在科学界非常罕见的事情发生了，那就是一直说神经网络永远无法做到这一点的顶尖计算机视觉专家们，说，哇，这真的有效。
119 00:13:00,763 --> 00:13:03,206 说话人 SPEAKER_03：他们改变了他们的做法，开始使用神经网络。
120 00:13:03,225 --> 00:13:04,908 说话人 SPEAKER_03：这不是科学家通常的行为方式。
121 00:13:05,128 --> 00:13:08,011 说话人 SPEAKER_03：这当然不是他们在语言学中的行为方式。
122 00:13:09,798 --> 00:13:11,039 说话人 SPEAKER_03：这就带我们来到了语言。
123 00:13:12,041 --> 00:13:20,995 说话人 SPEAKER_03：符号人工智能社区中许多人说，你们永远无法通过使用层次特征检测器来处理语言。
124 00:13:21,034 --> 00:13:22,197 说话人 SPEAKER_03：这根本行不通。
125 00:13:22,216 --> 00:13:24,500 说话人 SPEAKER_03：你可以在我的网页上看到一个引用，上面说得正是这样。
126 00:13:25,341 --> 00:13:31,169 说话人 SPEAKER_03：我忍不住了，所以让 GPT-4 详细解释了这句话哪里错了。
127 00:13:31,811 --> 00:13:39,062 说话人 SPEAKER_03：现在 GPT-4 正在向语言学家解释，他们关于神经网络能做什么和不能做什么的说法哪里错了。
128 00:13:39,667 --> 00:13:48,532 说话人 SPEAKER_03：语言学家被名叫乔姆斯基的人误导了几代人，而这个人实际上也获得了这个著名的奖项。
129 00:13:52,042 --> 00:13:53,304 说话人 SPEAKER_03：它不会持续。
130 00:13:54,854 --> 00:13:58,118 说话人 SPEAKER_03：他有一个疯狂的理论，认为语言不是学来的。
131 00:13:58,818 --> 00:14:00,500 说话人 SPEAKER_03：并且他设法说服了很多人。
132 00:14:01,001 --> 00:14:02,484 说话人 SPEAKER_03：表面上看起来，这简直是疯狂。
133 00:14:02,524 --> 00:14:03,504 说话人 SPEAKER_03：语言显然是学来的。
134 00:14:04,166 --> 00:14:07,870 说话人 SPEAKER_03：现在这些大型神经网络学习语言，它们不需要任何先天的结构。
135 00:14:07,890 --> 00:14:09,812 说话人 SPEAKER_03：它们只是从随机权重和大量数据开始。
136 00:14:10,614 --> 00:14:13,057 说话人 SPEAKER_03：而乔姆斯基仍在说，但这并不是真正的语言。
137 00:14:13,077 --> 00:14:13,717 说话人 SPEAKER_03：这不算数。
138 00:14:13,738 --> 00:14:14,379 说话人 SPEAKER_03：这不正确。
139 00:14:15,039 --> 00:14:22,009 说话人 SPEAKER_03：而且很多统计学家和认知科学家也说，在这种大网中你永远学不会语言。
140 00:14:24,384 --> 00:14:28,455 说话人 SPEAKER_03：所以乔姆斯基从未真正有过意义理论，一切都是关于句法的。
141 00:14:28,773 --> 00:14:33,558 说话人 SPEAKER_03：如果你思考意义，有两种非常不同的意义理论。
142 00:14:34,259 --> 00:14:42,971 说话人 SPEAKER_03：有一种结构主义理论，阿拉伯人相信，大多数语言学家也相信，即一个词的意义来源于它与其它词的关系。
143 00:14:43,792 --> 00:14:52,923 说话人 SPEAKER_03：所以如果你想捕捉一个词的意义，你需要制作一个与其他词有链接的关系图，也许在链接上标注它如何与那些词相关。
144 00:14:53,504 --> 00:14:54,645 说话人 SPEAKER_03：那将是一个语义网。
145 00:14:55,386 --> 00:14:57,750 说话人 SPEAKER_03：这就是你需要捕捉的意义。
146 00:14:57,730 --> 00:15:04,100 说话人 SPEAKER_03：然后有一个非常不同的理论，它来自 20 世纪 30 年代的心理学，即一个词的意义是一大组特征。
147 00:15:05,162 --> 00:15:07,767 说话人 SPEAKER_03：具有相似意义的词具有相似的特征集。
148 00:15:08,607 --> 00:15:10,471 说话人 SPEAKER_03：这两个理论看起来完全不同。
149 00:15:11,572 --> 00:15:14,437 说话人 SPEAKER_03：但实际上，你可以统一这两个理论。
150 00:15:15,318 --> 00:15:20,768 说话人 SPEAKER_03：我认为第一个做到这一点的是我在 1985 年制作的模型。
151 00:15:20,865 --> 00:15:27,054 说话人 SPEAKER_03：这是一个小型语言模型，它与现在的巨型语言模型有很多共同之处。
152 00:15:27,916 --> 00:15:37,168 说话人 SPEAKER_03：它通过尝试预测下一个单词来学习，并为每个单词学习特征，以及这些特征之间的相互作用，以便预测下一个单词的特征。
153 00:15:38,470 --> 00:15:47,042 说话人 SPEAKER_03：重要的是，所有的知识都集中在如何将特征分配给一个词，以及这些不同词的特征应该如何相互作用。
154 00:15:47,544 --> 00:15:51,710 说话人 SPEAKER_03：它没有存储任何句子，但可以重建句子。
155 00:15:51,730 --> 00:15:54,633 说话人 SPEAKER_03：它可以通过反复预测下一个词来生成句子。
156 00:15:55,234 --> 00:15:56,816 说话人 SPEAKER_03：这就是这些大型语言模型的工作方式。
157 00:15:57,035 --> 00:15:58,697 说话人 SPEAKER_03：他们实际上并不存储任何文本。
158 00:15:59,479 --> 00:16:12,253 说话人 SPEAKER_03：它们学会从文本特征中提取，并将其分配给单词以及这些特征之间的交互，以便预测下一个单词的特征。
159 00:16:12,537 --> 00:16:17,607 说话人 SPEAKER_03：这个微小的语言模型并非设计用来帮助工程。
160 00:16:17,707 --> 00:16:22,879 说话人 SPEAKER_03：这个微小的语言模型是为了解释人们如何从语言中获取意义而设计的。
161 00:16:23,360 --> 00:16:24,722 说话人 SPEAKER_03：实际上这是一个关于人的模型。
162 00:16:25,565 --> 00:16:32,519 说话人 SPEAKER_03：如果你看到有人告诉你，这些模型和我们不一样，它们的工作方式完全不同，就问他们，我们是怎样工作的？
163 00:16:32,652 --> 00:16:37,702 说话人 SPEAKER_03：如果他们是语言学家，他们会告诉你我们拥有符号规则和操纵符号表达式的规则。
164 00:16:38,264 --> 00:16:43,897 说话人 SPEAKER_03：但实际上，那些说他们和我们不一样的人并没有我们工作方式的模型。
165 00:16:43,917 --> 00:16:45,480 说话人 SPEAKER_03：我不知道他们怎么知道它们是不同的。
166 00:16:46,041 --> 00:16:51,352 说话人 SPEAKER_03：而其他神经网络研究者确实有一个关于我们工作方式的理解模型，它就像这样。
167 00:16:51,669 --> 00:16:52,610 说话人 SPEAKER_03：但并不完全像这样。
168 00:16:52,991 --> 00:17:01,743 说话人 SPEAKER_03：所以我将详细讲解一个小模型，因为我一直认为理解一个具体的小事物比模糊的抽象要好得多。
169 00:17:02,504 --> 00:17:06,828 说话人 SPEAKER_03：Waffly 抽象很好，但要真正理解事物，你需要一个具体的例子。
170 00:17:07,690 --> 00:17:09,932 说话人 SPEAKER_03：所以这里有两组家谱。
171 00:17:10,673 --> 00:17:13,257 说话人 SPEAKER_03：这里有英国人和意大利人。
172 00:17:13,877 --> 00:17:15,299 说话人 SPEAKER_03：这是 1950 年代。
173 00:17:15,460 --> 00:17:18,242 说话人 SPEAKER_03：非常、非常简单，家庭。
174 00:17:18,284 --> 00:17:22,269 说话人 SPEAKER_03：没有离婚，没有收养，没有同性婚姻。
175 00:17:23,230 --> 00:17:25,613 说话人 SPEAKER_03：整个过程非常、非常传统。
176 00:17:26,854 --> 00:17:30,218 说话人 SPEAKER_03：你可能注意到这些树彼此之间有某种相似性。
177 00:17:30,238 --> 00:17:31,180 说话人 SPEAKER_03：它们具有相同的结构。
178 00:17:32,240 --> 00:17:37,067 说话人 SPEAKER_03：我们将把这些关系树转换成一系列三元组。
179 00:17:38,228 --> 00:17:47,558 说话人 SPEAKER_03：所以从这些关系树中，我们可以通过一些关系术语，如儿子、女儿、侄子、侄女、母亲等等来记录信息。
180 00:17:47,578 --> 00:17:56,929 说话人 SPEAKER_03：然后我们可以构造三元组，比如 Colin 的父亲是 James，或者 Colin 的母亲是 Victoria，或者 James 的妻子是 Victoria。
181 00:17:58,250 --> 00:18:01,974 说话人 SPEAKER_03：现在，从 Colin 有母亲 Victoria 和
182 00:18:03,118 --> 00:18:08,468 说话人 SPEAKER_03：看看，从 Colin 有父亲 James 和 Colin 有母亲 Victoria，我们可以推断 James 有妻子 Victoria。
183 00:18:09,088 --> 00:18:18,222 说话人 SPEAKER_03：因此，符号人认为你在脑海中有了那些符号字符串的表示，你脑海中有一条规则，允许你从旧字符串推导出新的符号字符串。
184 00:18:19,164 --> 00:18:20,727 说话人 SPEAKER_03：这个规则可能看起来像这样。
185 00:18:20,747 --> 00:18:26,876 说话人 SPEAKER_03：如果 X 有母亲 Y，Y 有丈夫 Z，那么 X 就有父亲 Z。这就是他们认为这一切是如何运作的。
186 00:18:28,359 --> 00:18:30,442 说话人 SPEAKER_03：而我所做的是创建了一个神经网络
187 00:18:30,997 --> 00:18:38,219 说话人 SPEAKER_03：通过调整网络的权重，你可以学习这种知识，但网络内部没有存储任何字符串。
188 00:18:38,279 --> 00:18:40,145 说话人 SPEAKER_03：网络中没有存储任何符号表达式。
189 00:18:40,465 --> 00:18:42,633 说话人 SPEAKER_03：里面是所有功能和功能交互。
190 00:18:44,157 --> 00:18:44,819 说话人 SPEAKER_03：并且
191 00:18:45,458 --> 00:18:50,583 说话人 SPEAKER_03：关于在神经网络中做这件事，对于离散规则，你可能能够进行符号化处理。
192 00:18:50,923 --> 00:18:53,846 说话人 SPEAKER_03：但我们知道的大部分并不完全正确。
193 00:18:54,146 --> 00:18:56,869 说话人 SPEAKER_03：你必须允许有很多例外。
194 00:18:57,289 --> 00:19:02,536 说话人 SPEAKER_03：一旦你有了规则的例外，你最好通过使用大型神经网络来找到这些规则。
195 00:19:04,457 --> 00:19:06,118 说话人 SPEAKER_03：所以我使用的神经网络看起来是这样的。
196 00:19:07,299 --> 00:19:09,863 说话人 SPEAKER_03：你有两个输入。
197 00:19:10,163 --> 00:19:14,688 说话人 SPEAKER_03：一个是一个符号，仅仅是一个代表一个人名的离散符号。
198 00:19:15,308 --> 00:19:18,652 说话人 SPEAKER_03：另一个是一个离散符号，代表一种关系的名字。
199 00:19:20,074 --> 00:19:24,357 说话人 SPEAKER_03：我们想要的输出是那个相关的人的名字。
200 00:19:25,539 --> 00:19:27,442 说话人 SPEAKER_03：所以训练数据就是这样。
201 00:19:29,104 --> 00:19:37,673 说话人 SPEAKER_03：神经网络学习做的事情是将一个人的名字转换成一系列捕捉这个人本质的特征。
202 00:19:38,547 --> 00:19:41,333 就这些家谱而言，本质是指的。
203 00:19:42,635 --> 00:19:52,076 一旦对人和关系完成这个过程，它就会让这些特征在中部相互作用，从而预测输出人的特征。
204 00:19:52,395 --> 00:19:55,542 然后根据输出人的特征，预测输出人是谁。
205 00:19:56,704 --> 00:19:58,747 说话人 SPEAKER_03：这做得相当不错。
206 00:19:58,767 --> 00:20:11,481 说话人 SPEAKER_03：它可以学习，并且不仅能复现它所给出的信息，也就是说，学习到的权重中的信息足够，如果你给它一个训练示例，它就能得到正确答案，而且它还能进行泛化。
207 00:20:11,842 --> 00:20:20,511 说话人 SPEAKER_03：你可以给它以前从未见过的示例，以前见过的人，以前见过的关系，但以前没见过的组合，它也能得到正确答案。
208 00:20:21,112 --> 00:20:22,413 说话人 SPEAKER_03：那么问题是，它是怎么做到这一点的？
209 00:20:23,194 --> 00:20:26,137 说话人 SPEAKER_03：嗯，它学会了我们认为的自然特征。
210 00:20:26,876 --> 00:20:31,305 说话人 SPEAKER_03：所以，对于一个人来说，它学会了哪些特征，比如他们的国籍是什么？
211 00:20:31,826 --> 00:20:35,573 说话人 SPEAKER_03：因为如果你知道输入者的英语，你就知道答案的英语。
212 00:20:36,233 --> 00:20:38,778 说话人 SPEAKER_03：如果输入者是意大利人，答案就是意大利语。
213 00:20:38,798 --> 00:20:40,382 说话人 SPEAKER_03：就像我说的，他们是非常简单的家庭。
214 00:20:43,027 --> 00:20:45,932 说话人 SPEAKER_03：这是一个很小的网络，瓶颈处只有六个神经元。
215 00:20:46,958 --> 00:20:49,362 说话人 SPEAKER_03：一个将代表国籍。
216 00:20:49,862 --> 00:20:52,226 说话人 SPEAKER_03：另一个将代表这个人属于哪一代。
217 00:20:52,906 --> 00:20:55,530 说话人 SPEAKER_03：另一个代表他们在家谱中的哪个分支。
218 00:20:56,392 --> 00:21:00,377 说话人 SPEAKER_03：而世代特征会有三个值，因为有三代人。
219 00:21:00,397 --> 00:21:02,641 说话人 SPEAKER_03：它可能是最低一代、中间一代或最高一代。
