1 00:00:00,031 --> 00:00:01,993 说话人 SPEAKER_04: 好吧。
43 00:03:29,770 --> 00:03:32,073 说话者 SPEAKER_05：这些近似对于像 MNIST 这样的小事物效果很好。
44 00:03:32,614 --> 00:03:40,122 说话者 SPEAKER_05：但没有人制作出一个合理的版本，它不使用反向传播来处理像 ImageNet 这样大小的事物，而现在 ImageNet 已经是一个小事物了。
45 00:03:40,163 --> 00:03:42,126 说话人 SPEAKER_05：这曾经是一件大事。
46 00:03:43,438 --> 00:03:44,419 说话人 SPEAKER_05：所以那是一个问题。
47 00:03:45,040 --> 00:03:50,748 说话人 SPEAKER_05：另一个问题是，我逐渐意识到数字计算的大优势。
48 00:03:51,710 --> 00:03:55,534 说话人 SPEAKER_05：这需要消耗大量能源，但你可以有大量相同模型的副本。
49 00:03:56,436 --> 00:03:58,718 说话人 SPEAKER_05：不同的副本可以去查看不同的数据。
50 00:03:59,460 --> 00:04:02,264 说话人 SPEAKER_05：他们都可以从他们查看的不同数据中学习到东西。
51 00:04:02,645 --> 00:04:06,729 说话人 SPEAKER_05：然后他们可以通过平均梯度来分享他们所学到的一切。
52 00:04:07,789 --> 00:04:12,078 说话人 SPEAKER_05：这在不同副本之间共享相同模型的信息方面是巨大的。
53 00：04：13,240 --> 00：04：16,565 议长 SPEAKER_05：如果我们能分享这样的信息，就会有 10,000 人出去。
他们可以研究10,000个不同的主题。
55 00：04：19,310 --> 00：04：20,834 发言者 SPEAKER_05：他们可以在前进时平均他们的体重。
56 00：04：21,535 --> 00：04：23,778 演讲者 SPEAKER_05：而且你一次就能得到 10,000 度。
57 00:04:24,600 --> 00:04:26,264 说话人 SPEAKER_05：它不是这样工作的。
58 00:04:26,343 --> 00:04:31,333 说话人 SPEAKER_05：我们根本无法很好地传达信息，就像我现在所展示的。
59 00:04:31,312 --> 00:04:33,696 说话人 SPEAKER_05：我生成句子。
60 00:04:34,055 --> 00:04:36,999 说话人 SPEAKER_05：你找出如何改变你的权重，以便你将生成相同的句子。
61 00:04:37,819 --> 00:04:38,800 讲者 SPEAKER_05：这就是所说的大学。
62 00:04:40,322 --> 00:04:42,384 讲者 SPEAKER_05：它工作得不太好。
63 00:04:42,404 --> 00:04:44,947 讲者 SPEAKER_05：与共享权重相比，它非常慢。
64 00:04:46,009 --> 00:04:47,550 讲者 SPEAKER_05：所以他们在这方面比我们有很大的优势。
65 00:04:47,630 --> 00:04:49,973 说话人 SPEAKER_05：正因为如此，他们知道的比我们多得多。
66 00:04:50,593 --> 00:04:55,199 说话人 SPEAKER_05：所以，我估计 GPT-4 的参数量是任何一个人的 1,000 到 10,000 倍。
67 00:04:55,500 --> 00:04:58,603 说话人 SPEAKER_05：它在所有方面都不是一个很好的专家。
68 00:05:00,170 --> 00:05:08,718 说话人 SPEAKER_05：他们之所以能做到这一点，部分原因是因为它们可以使用反向传播来获取梯度，部分原因是因为它们可以在许多不同副本之间共享相同的模型。
69 00:05:09,980 --> 00:05:14,966 说话人 SPEAKER_05：所以我确信这实际上是一种比我们现有的更好的计算形式。
70 00:05:16,067 --> 00:05:29,502 说话人 SPEAKER_05：所以它们在仅仅几万亿个连接中，实际上并没有告诉我具体的数字，但肯定只有几万亿，它们可以获取比我们在 100 万亿个连接中更多的知识成千上万倍。
71 00:05:31,000 --> 00:05:33,062 说话人 SPEAKER_05：而且它们解决的问题与我们不同。
72 00:05:33,083 --> 00:05:36,586 说话人 SPEAKER_05：它们的问题是经验丰富但连接不多。
73 00:05:36,726 --> 00:05:38,750 说话人 SPEAKER_05：背景很好地压缩了信息。
74 00:05:39,250 --> 00:05:40,312 说话人 SPEAKER_05：我们的问题是相反的。
75 00:05:40,733 --> 00:05:43,716 说话人 SPEAKER_05：经验非常少，联系人数众多。
76 00:05:44,297 --> 00:05:47,541 说话人 SPEAKER_05：我们可能有一个非常不同的学习算法。
77 00：05：48,862 --> 00：05：56,333 演讲者 SPEAKER_05：所以我当时开始相信，让东西变得更像大脑，那种区域或多或少已经结束了。
事物将变得更智能，不是通过使它们更像大脑，而是通过利用我们已经在走的、现在特定于数字智能的道路。
79 00：06：06,389 --> 00：06：09,377 议长 SPEAKER_05：所以我开始相信，这些东西比我们好。
80 00:06:12,596 --> 00:06:12,958 说话者 SPEAKER_04：结束。
81 00:06:14,459 --> 00:06:15,321 说话人 SPEAKER_04：你能再说得多一些吗？
82 00:06:15,600 --> 00:06:22,531 说话人 SPEAKER_04：我想继续追问一下，是什么实际的过程产生了这个改变你想法的洞见？
83 00:06:22,591 --> 00:06:24,213 说话人 SPEAKER_04：是你与人交谈了吗？
84 00:06:24,233 --> 00:06:26,716 说话人 SPEAKER_04：我知道你提到当时你在谷歌的工作。
85 00:06:26,817 --> 00:06:28,218 说话人 SPEAKER_04：有没有区域性的？
86 00:06:28,238 --> 00:06:29,139 说话人 SPEAKER_05：它正在意识到。
87 00:06:29,160 --> 00:06:35,428 说话人 SPEAKER_05：它正在仔细考虑模拟的优点，并理解模拟的优点。
88 00:06:35,449 --> 00:06:39,954 说话人 SPEAKER_05：特别是这个见解，我们现在学习一切而不是编程。
89 00:06:40,458 --> 00:06:45,360 说话人 SPEAKER_05：你知道，我们制造了数字计算机，让它们完全按照我们说的去做，这样我们就可以编写程序了。
90 00:06:46,526 --> 00:06:49,742 说话人 SPEAKER_05：不同的计算机必须完全正确地执行任务，这样你才能编程。
91 00:06:50,211 --> 00:06:51,574 说话人 SPEAKER_05：我们现在不再编程它们了。
92 00:06:51,793 --> 00:06:56,259 说话人 SPEAKER_05：我的意思是，有一个学习算法，但要让它们做特定的事情，我们需要对它们进行训练。
93 00:06:56,281 --> 00:07:02,249 说话者 SPEAKER_05：一旦训练好它们，就不需要它们都按同一种方式工作，因为它们会学会使用它们拥有的硬件。
94 00:07:03,089 --> 00:07:05,432 说话者 SPEAKER_05：所以你可以选择一条完全不同的路径。
95 00:07:05,774 --> 00:07:15,206 说话者 SPEAKER_05：这是生物路径，你利用你特定神经元的奇特特性，你将等待知道如何使用它们，因为我的神经元不同，我的连接性也不同。
96 00:07:15,928 --> 00:07:17,170 说话者 SPEAKER_05：这非常令人兴奋。
97 00:07:17,230 --> 00:07:30,322 说话人 SPEAKER_05：但是当我遇到如何让它学习以及学习算法的困难时，我开始意识到数字计算的巨大优势，即使在学习时，即使不是直接编程时也是如此。
98 00:07:31,084 --> 00:07:34,247 说话人 SPEAKER_05：而这种优势来自于能够共享，不同模型之间的共享。
99 00:07:35,127 --> 00:07:38,932 说话人 SPEAKER_05：这让我相信这些事情更好。
100 00:07:38,951 --> 00:07:42,375 说话人 SPEAKER_05：现在，这些事情是同时发生的。
101 00:07:42,355 --> 00:07:46,360 说话人 SPEAKER_05：随着像 Palm 这样的聊天机器人出现，它们可以解释为什么一个笑话好笑。
102 00:07:46,980 --> 00:07:50,384 说话人 SPEAKER_05：所以最初，这是另一个重要的影响因素。
103 00:07:51,165 --> 00:07:59,394 说话人 SPEAKER_05：我一直有一个标准，我没有为此找到理由，但我的标准是当这些事物变得非常智能时，它们能够解释为什么一个笑话好笑。
104 00:07:59,954 --> 00:08:01,255 说话人 SPEAKER_05：这在我看来是一个很好的衡量标准。
105 00:08:01,456 --> 00:08:02,497 说话人 SPEAKER_05：这就是我的图灵测试。
106 00:08:03,017 --> 00:08:05,240 说话人 SPEAKER_05：Palm 也能做到。
107 00:08:06,233 --> 00:08:07,894 说话人 SPEAKER_05：实际上它并不能讲笑话。
108 00:08:07,935 --> 00:08:10,519 说话人 SPEAKER_05：你可能已经注意到，即使是 GPT-4 也无法讲笑话。
109 00:08:10,538 --> 00:08:14,004 说话人 SPEAKER_05：因为 GPT-4 是逐字生成的，所以您可以看到。
110 00:08:14,584 --> 00:08:21,153 说话人 SPEAKER_05：所以如果您让它讲一个笑话，它就会生成看起来像笑话开头的东西。
111 00:08:21,293 --> 00:08:23,416 说话人 SPEAKER_05：它说，一个牧师和一只章鱼走进了一家酒吧。
112 00:08:24,077 --> 00:08:25,939 说话人 SPEAKER_05：嗯，您知道那是笑话的开头，对吧？
113 00:08:26,401 --> 00:08:27,382 说话人 SPEAKER_05：然后就这样一直继续下去。
114 00:08:27,401 --> 00:08:29,946 说话人 SPEAKER_05：然后它就到了需要点睛之笔的时候。
115 00:08:30,466 --> 00:08:35,243 说话人 SPEAKER_05：但是像我的某些朋友一样，它在尝试讲笑话之前并没有想到点睛之笔。
116 00:08:35,263 --> 00:08:36,145 说话人 SPEAKER_05：那可就糟糕了。
117 00:08:36,167 --> 00:08:38,534 说话人 SPEAKER_05：所以结尾太弱了。
118 00:08:39,123 --> 00:08:41,225 说话人 SPEAKER_05：但这只是因为它一次只生成一个单词。
119 00:08:41,265 --> 00:08:42,427 说话人 SPEAKER_05：它不必表现得那样。
120 00:08:43,850 --> 00:08:46,774 说话人 SPEAKER_05：所以解释一个笑话为什么好笑比讲笑话要好得多。
121 00:08:47,855 --> 00:08:49,376 说话人 SPEAKER_05：除非只是记得一个笑话，否则它知道。
122 00:08:49,437 --> 00:08:51,179 说话人 SPEAKER_05：但是创造一个笑话对它来说很难。
123 00:08:51,900 --> 00:08:55,346 说话人 SPEAKER_05：无论如何，我的标准是，它能否告诉你为什么一个笑话好笑？
124 00:08:55,365 --> 00:08:55,785 说话人 SPEAKER_05：它可以。
125 00:08:56,508 --> 00:08:58,230 说话人 SPEAKER_05：所以这两件事是某种程度的结合。
126 00:08:58,730 --> 00:09:03,256 说话人 SPEAKER_05：聊天机器人的能力，这在某种程度上是通过与 GPT-4 互动而得到加强的。
127 00:09:03,236 --> 00:09:17,938 说话人 SPEAKER_05：以及我终于明白了什么是数字化的优势，这让我觉得我的观点可能是这些事物将会接管。
128 00:09:17,979 --> 00:09:23,587 说话人 SPEAKER_05：可能我们只是智能进化过程中的一个过渡阶段。
129 00:09:23,989 --> 00:09:26,292 说话人 SPEAKER_05：它可能就像蜻蜓一样。
130 00:09:26,272 --> 00:09:28,014 说话人 SPEAKER_05：你知道，蜻蜓是美妙的东西。
131 00:09:28,094 --> 00:09:31,597 说话人 SPEAKER_05：如果你看蜻蜓的幼虫，它看起来根本不像蜻蜓。
132 00:09:32,239 --> 00:09:34,721 说话人 SPEAKER_05：它是一个大块头，生活在水下。
133 00:09:34,761 --> 00:09:44,234 说话者 SPEAKER_05：它从环境中获得大量能量，然后变成汤，然后从汤中建造出蜻蜓。
134 00:09:45,434 --> 00:09:47,638 说话者 SPEAKER_05：而我们就是幼虫。
135 00:09:48,461 --> 00:09:57,543 说话者 SPEAKER_04：我也很好奇，自从你对这个问题有了那个见解以来，你在过去一年谈论这个问题时，你对问题的看法有没有改变？
136 00:09:58,840 --> 00:10:00,501 说话者 SPEAKER_05：有点改变。
137 00:10:00,562 --> 00:10:02,125 说话人 SPEAKER_05：我关于人工智能安全学到了一些东西。
138 00:10:02,144 --> 00:10:04,408 说话人 SPEAKER_05：在那之前，我对人工智能安全并不特别感兴趣。
139 00:10:05,089 --> 00:10:05,830 说话人 SPEAKER_05：我仍然不知道。
140 00:10:06,309 --> 00:10:09,014 说话人 SPEAKER_05：可能这里每个人对人工智能安全的了解都比我知道的多。
141 00:10:10,917 --> 00:10:15,964 说话人 SPEAKER_05：所以我决定 76 岁的我不再从事 AI 安全的原创研究。
142 00:10:16,464 --> 00:10:25,115 说话人 SPEAKER_05：只是要反驳那些随机鹦鹉散布的信息，说这里没有什么好担心的。
143 00:10:26,337 --> 00:10:27,700 说话人 SPEAKER_05：这全是科幻小说。
144 00:10:27,679 --> 00:10:33,490 说话人 SPEAKER_05：在我看来，不，这离科幻小说还远着呢。
145 00:10:33,811 --> 00:10:37,758 说话人 SPEAKER_05：我可以利用我的声誉说，这其实不是科幻。
146 00:10:37,798 --> 00:10:38,799 说话人 SPEAKER_05：这是一个真实的问题。
147 00:10:39,662 --> 00:10:43,347 说话人 SPEAKER_05：这就是我认为我的角色，这也是我一直在做的事情。
148 00:10:43,368 --> 00:10:43,509 说话人 SPEAKER_04：明白了。
149 00:10:43,528 --> 00:10:45,451 说话人 SPEAKER_04：我们应该去回答观众的问题吗？
150 00:10:55,404 --> 00:10:55,644 说话人 SPEAKER_11：嗨。
151 00:10:56,666 --> 00:11:10,321 说话人 SPEAKER_11：我的问题是，您认为我们使用今天的人工智能的下一代来帮助我们确保人工智能的安全，进行研究，如果我们在此之前没有取得任何根本性的进步，前景如何？
152 00:11:10,360 --> 00:11:11,442 说话人 SPEAKER_11：如果我们只是让它们变得更聪明。
153 00:11:13,224 --> 00:11:16,368 说话人 SPEAKER_05: 嗯。
154 00:11:16,388 --> 00:11:21,192 说话人 SPEAKER_05: 那关于训练狐狸来帮助你阻止狐狸吃鸡怎么办？
155 00:11:22,878 --> 00:11:24,780 说话人 SPEAKER_05：这就是我的感觉。
156 00:11:24,801 --> 00:11:33,172 说话人 SPEAKER_05：比如，当我想要了解关于人工智能安全的法规时，我会问 GPT-4，它会告诉我关于人工智能安全的法规。
157 00:11:33,192 --> 00:11:35,173 说话人 SPEAKER_05：而且这好像有点危险。
158 00:11:37,937 --> 00:11:41,602 说话人 SPEAKER_05：所以如果它们是我们拥有的最好的工具，那我们就只能这样做。
159 00:11:42,364 --> 00:11:49,493 说话人 SPEAKER_05：但显然，AI 帮你监管 AI 这件事有些可疑。
160 00:11:49,860 --> 00:11:58,048 说话人 SPEAKER_05：我的意思是，如果你要监管某件事，你不想让警察监管警察。
161 00:11:59,041 --> 00:12:09,831 说话人 SPEAKER_06：所以你提到了 ChatGPT 这样的系统可以通过梯度更新汇总知识，因此它们尽管连接较少，但知道的比我们多得多。
162 00:12:10,711 --> 00:12:17,399 说话人 SPEAKER_06：对我来说和一些人来说，这相对于它们开始的地方，在某些方面是一种令人乐观的更新吗？
163 00:12:17,879 --> 00:12:26,246 说话人 SPEAKER_06：因为这意味着你可以拥有非常、非常知识渊博的系统，但不太具有创造力，并且必须严格遵循它们的
164 00:12:26,226 --> 00:12:28,028 说话人 SPEAKER_06：在某个有用性的水平上。
165 00:12:28,109 --> 00:12:29,410 说话人 SPEAKER_06：所以我很好奇您的看法。
166 00:12:29,831 --> 00:12:30,032 说话人 SPEAKER_05：是的。
167 00:12:30,392 --> 00:12:32,975 说话人 SPEAKER_05：这意味着我们可以拥有非常、非常博学的系统。
168 00:12:33,657 --> 00:12:38,462 说话人 SPEAKER_05：但你从那推断出它们可能不会很有创造力。
169 00:12:38,702 --> 00:12:46,192 说话人 SPEAKER_06：我所说的意思是，在当前时刻，它们在知识上似乎超过了我们。
170 00:12:46,173 --> 00:12:50,658 说话人 SPEAKER_06：我会说，它们在最具创造力方面并没有超过我们。
171 00:12:51,038 --> 00:12:53,041 说话人 SPEAKER_06：在某个时刻，它们在两方面都会比我们做得更好。
172 00:12:53,642 --> 00:13:10,763 说话人 SPEAKER_06：但如果这是当前的平衡，这也许对人类来说是充满希望的，因为你可以向它们寻求帮助，而它们可以用它们无穷的知识来提供帮助，同时它们在试图规避我们的监控和反制措施等方面并不像我们那样出色。
173 00:13:12,076 --> 00:13:16,559 说话人 SPEAKER_05：我注意到你说得非常具有创造性，因为它们已经可以表现出创造性了。
174 00:13:16,580 --> 00:13:21,504 说话人 SPEAKER_05：所以如果你进行标准的创造性测试，你们可能已经阅读过文献，而我还没有。
175 00:13:21,825 --> 00:13:28,650 说话人 SPEAKER_05：但我听说，如果你参加标准的创造力测试，他们的得分就像 90 分位的人一样。
176 00:13:29,091 --> 00:13:30,793 说话人 SPEAKER_05：所以在那个意义上，他们已经很有创造力了。
177 00:13:30,913 --> 00:13:32,674 说话人 SPEAKER_05：他们有平凡的创造力。
178 00:13:32,715 --> 00:13:37,778 说话人 SPEAKER_05：问题是，他们是否真的有真正的创造力，人性的本质？
179 00:13:38,539 --> 00:13:42,082 说话人 SPEAKER_05: 我不明白为什么不行。
180 00:13:42,062 --> 00:13:51,923 说话人 SPEAKER_05: 如果你考虑将大量知识压缩到几个连接中，唯一的方法就是注意到各种不同领域之间的类比。
181 00:13:52,806 --> 00:14:01,624 说话人 SPEAKER_05: 所以如果你问 GPT-4 为什么堆肥堆像原子弹，它知道，而大多数人不知道。
182 00:14:02,886 --> 00:14:04,048 说话人 SPEAKER_05: 所以这是可以理解的。
183 00:14:04,168 --> 00:14:06,312 说话人 SPEAKER_05：我觉得它在测试时可能不理解。
184 00:14:06,332 --> 00:14:08,034 说话人 SPEAKER_05：我觉得它在学习时可能理解了。
185 00:14:08,775 --> 00:14:10,139 说话人 SPEAKER_05：它知道连锁反应。
186 00:14:10,239 --> 00:14:13,865 说话人 SPEAKER_05：它知道堆肥堆得越热，产生的热量就越快。
187 00:14:14,264 --> 00:14:15,748 说话人 SPEAKER_05：这就像一颗原子弹。
188 00:14:17,149 --> 00:14:19,833 说话人 SPEAKER_05：它可能推断出这一点，在这种情况下，它擅长推理。
189 00:14:20,075 --> 00:14:23,460 说话人 SPEAKER_05：但我认为实际上，随着它的学习，
190 00:14:23,557 --> 00:14:32,029 说话人 SPEAKER_05：为了将所有人类知识压缩成很少的几个联系，它正在看到不同的人类知识之间的人从未见过的相似性。
191 00:14:32,811 --> 00:14:35,274 说话者 SPEAKER_05：我认为它有潜力变得极其富有创造力。
192 00:14:43,985 --> 00:14:45,128 说话者 SPEAKER_05：但我同意它还没有达到那个程度。
193 00:14:46,897 --> 00:15:02,880 说话者 SPEAKER_02：我想知道您是否在和一个对这些问题相当陌生的人交谈，他们可能会说，好吧，我多少能理解您说的那些抽象的东西，但具体来说，这一切可能会出错吗？
194 00:15:02,921 --> 00:15:08,369 说话者 SPEAKER_02：比如，我们究竟会受到什么样的实际具体伤害机制的影响？
195 00:15:08,710 --> 00:15:10,272 说话人 SPEAKER_02：我对这样的人说些什么感到好奇。
196 00:15:10,251 --> 00:15:18,961 说话人 SPEAKER_05：我先问一下，你知道多少例子是智力较低的事物控制智力较高的事物？
197 00:15:20,083 --> 00:15:23,327 说话人 SPEAKER_05：我只知道一个例子，那就是婴儿控制母亲。
198 00:15:23,768 --> 00:15:26,652 说话人 SPEAKER_05：进化为此投入了大量的工作。
199 00:15:27,011 --> 00:15:29,355 说话人 SPEAKER_05：这位母亲就是忍受不了婴儿的哭声。
200 00:15:29,695 --> 00:15:31,437 说话人 SPEAKER_05：这里涉及到各种激素。
201 00:15:32,057 --> 00:15:34,961 说话人 SPEAKER_05：这是一个男人在谈论女人，对吧？
202 00:15:35,081 --> 00:15:35,361 说话人 SPEAKER_05：抱歉。
203 00:15:36,783 --> 00:15:39,346 说话人 SPEAKER_05：但就母性而言，涉及许多激素。
204 00:15:39,326 --> 00:15:42,130 说话人 SPEAKER_05：整个系统就是这样演化的。
205 00:15:44,073 --> 00:15:47,659 说话人 SPEAKER_05：几乎总是更智能的事物控制着不那么智能的事物。
206 00:15:50,705 --> 00:15:53,568 说话人 SPEAKER_05：这就是一个起点。
207 00:15:53,909 --> 00:16:01,841 说话人 SPEAKER_05：除非你能找到一个理由说明它非常、非常不同，否则很难想象一个远比它聪明的存在会被一个远比它低级的存在所控制。
208 00:16:01,822 --> 00:16:04,386 说话人 SPEAKER_05：那么你就开始探索它为什么非常、非常不同的原因。
209 00:16:06,432 --> 00:16:11,763 说话人 SPEAKER_05：可能的原因之一是它没有自己的意图或欲望。
210 00:16:12,124 --> 00:16:14,970 说话人 SPEAKER_05：但当你开始让它具有代理性
211 00:16:15,423 --> 00:16:19,128 说话者 SPEAKER_05：有了创建子目标的能力，它确实有一些想要实现的事情。
212 00:16:20,711 --> 00:16:25,618 说话者 SPEAKER_05：它们可能不像人类意图那样紧急，但它也有一些想要实现的事情。
213 00:16:27,139 --> 00:16:28,883 说话者 SPEAKER_05：所以我认为这不会阻碍它。
214 00:16:29,464 --> 00:16:39,238 说话者 SPEAKER_05：然后还有另一件事，我认为大多数人，不是我们这些人，但我认为大多数人认为，嗯，我们有自己的主观体验。
215 00:16:39,618 --> 00:16:42,121 说话人 SPEAKER_05：我们与机器不同。
216 00:16:42,101 --> 00:16:46,206 说话人 SPEAKER_05：他们坚信我们与机器永远不同。
217 00:16:46,246 --> 00:16:48,830 说话人 SPEAKER_05：这将会形成一道障碍。
218 00:16:49,831 --> 00:16:54,176 说话人 SPEAKER_05：我认为机器也可以有主观体验。
219 00:16:54,576 --> 00:16:56,958 说话人 SPEAKER_05：我将给你一个机器有主观体验的例子。
220 00:16:57,519 --> 00:17:01,464 说话人 SPEAKER_05：因为一旦你看到了这个例子，你就应该同意机器可以有主观体验。
221 00:17:03,625 --> 00:17:04,988 说话人 SPEAKER_05：以一个多模态聊天机器人为例。
222 00:17:06,284 --> 00:17:09,249 说话人 SPEAKER_05：对其进行训练并放置一个物体。
223 00:17:09,328 --> 00:17:10,490 说话人 SPEAKER_05：它有一个摄像头，它有一个机械臂。
224 00:17:11,092 --> 00:17:14,357 说话人 SPEAKER_05：你把它前面的物体指给它看，然后你说指向这个物体，它就指向了这个物体。
225 00:17:14,518 --> 00:17:14,979 说话人 SPEAKER_05：没问题。
226 00:17:15,619 --> 00:17:22,352 说话人 SPEAKER_05：然后你把它镜头前面的棱镜拿掉，再把它前面的物体指给它看，然后你说指向这个物体，它就指向了这个物体。
227 00:17:22,332 --> 00:17:24,455 说话者 SPEAKER_05：你说，不，物体不在那里。
228 00:17:24,875 --> 00:17:28,582 说话者 SPEAKER_05：我在你的镜头前放了一个棱镜，你的感知系统在欺骗你。
229 00:17:29,604 --> 00:17:30,925 说话者 SPEAKER_05：物体实际上就在你面前。
230 00:17:31,287 --> 00:17:32,729 说话者 SPEAKER_05：然后聊天机器人说，哦，我看到了。
231 00:17:33,550 --> 00:17:36,194 说话人 SPEAKER_05：棱镜弯曲了光线，所以物体实际上就在我面前直着。
232 00:17:36,455 --> 00:17:37,978 说话人 SPEAKER_05：但我有主观体验。
233 00:17:38,018 --> 00:17:38,638 说话人 SPEAKER_05：它就在那里。
234 00:17:40,582 --> 00:17:46,332 说话人 SPEAKER_05：我认为那时正是用主观体验的方式，就像我们使用它一样。
235 00:17:47,492 --> 00:17:52,759 说话人 SPEAKER_05：所以我们有一个关于我们如何使用词语的模型，然后我们实际上是如何使用它们的。
236 00:17:53,980 --> 00:17:56,282 说话人 SPEAKER_05：这回到了很久以前的牛津哲学。
237 00:17:57,003 --> 00:18:01,189 说话人 SPEAKER_05：我们中许多人都有一个关于我们使用的词语如何工作的错误模型。
238 00:18:01,630 --> 00:18:05,173 说话人 SPEAKER_05：我们可以很好地使用它们，但我们实际上并不知道它们是如何工作的。
239 00:18:05,193 --> 00:18:16,487 说话者 SPEAKER_04：对于那种，嗯，婴儿和母亲的例子，但经济拥有大量的智能，它仍然是我们工具的观点，或者类似的论点，你会说什么？
