1 00:00:01,042 --> 00:00:01,544 说话人 说话人_00：欢迎回来。
49 00：04：02,794 --> 00：04：08,486 议长 SPEAKER_01：这些国家都不希望超级智能接管，这将迫使他们合作。
50 00：04：09,008 --> 00：04：11,674 议长 SPEAKER_01：所以，即使在冷战的高峰期，
苏联和美国可以在尝试防止全球核战争方面进行合作，因为这不符合它们任何一方的利益。
所以，在众多人工智能问题中，只有一个问题你可能能够得到良好的合作，那就是，我们如何防止它们接管？
53 00:04:29,800 --> 00:04:35,028 说话人 说话人_00：我们应该像考虑核威胁一样考虑这个问题吗？
54 00:04:35,408 --> 00:04:35,629 说话人 说话人_01：是的。
55 00:04:36,610 --> 00:04:38,853 说话人 说话人_01：我的意思是，我认为这是一种很好的思考方式。
56 00:04:39,295 --> 00:04:41,458 说话人 说话人_01：然而，有一个很大的不同之处。
57 00:04:41,725 --> 00:04:44,389 说话人 SPEAKER_01：核武器只适用于毁灭。
58 00:04:45,250 --> 00:04:47,173 他们曾尝试将其用于诸如压裂法等用途。
59 00:04:47,572 --> 00:04:48,615 但结果并不太理想。
60 00:04:49,115 --> 00:04:51,499 他们曾在60年代这样做，原子弹的和平用途。
61 00:04:52,439 --> 00:04:53,442 说话人 SPEAKER_01：这没出什么好结果。
62 00:04:53,942 --> 00:04:55,103 说话人 SPEAKER_01：它们基本上是用来破坏的。
63 00:04:55,343 --> 00:04:57,427 说话人 SPEAKER_01：而人工智能有很大的上升空间。
64 00:04:57,848 --> 00:05:02,615 说话人 SPEAKER_01：它在很多方面都很奇妙，不仅仅是回答问题和制作精美的图像。
65 00:05:03,076 --> 00:05:05,538 说话人 SPEAKER_01：这对医学将极为有用。
66 00:05:05,519 --> 00:05:12,069 说话人 SPEAKER_01：想象一下，如果你去看家庭医生，她已经看过一亿名患者，并且记得关于他们的所有事情。
67 00:05:12,850 --> 00:05:13,732 说话人 SPEAKER_01：那将是一个巨大的胜利。
68 00:05:14,372 --> 00:05:23,367 说话人 SPEAKER_01：此外，她还了解你所有的基因组以及你所有的医疗检查历史，而你的现任医生可能在你去看她之前还没有准备好这些信息。
69 00:05:25,170 --> 00:05:27,173 说话人 SPEAKER_01：那将是一个好得多的家庭医生。
70 00:05:28,064 --> 00:05:35,136 说话人 SPEAKER_01：目前在美国，每年大约有 20 万人，甚至更多，因不良医疗诊断而死亡。
71 00:05:36,338 --> 00:05:43,449 说话人 SPEAKER_01：已经证明，AI 与医生结合使用比单独使用医生要好得多，因为 AI 可以提出医生未曾想到的事情。
72 00:05:44,511 --> 00:05:52,704 说话人 SPEAKER_01：因此，在预防不良医疗诊断方面，它可以在很大程度上取得胜利。
73 00:05:54,322 --> 00:05:57,595 说话者 SPEAKER_01：治疗效果更好，对医学图像的理解更深入。
74 00：05：57,976 --> 00：05：59,040 议长 SPEAKER_01：这来得相当快。
75 00：06：00,266 --> 00：06：01,913 演讲者 SPEAKER_01：所以它有一个巨大的好处。
76 00：06：02,656 --> 00：06：04,904 演讲者 SPEAKER_01：事实上，任何你想预测的地方。
77 00:06:05,137 --> 00:06:09,583 说话人 SPEAKER_01：神经网络在预测方面做得很好，可能比以前的技术要好得多。
78 00:06:10,684 --> 00:06:16,490 说话人 SPEAKER_01：这对公司来说非常重要，这也是为什么它不会停止。
79 00:06:17,012 --> 00:06:20,555 说话人 SPEAKER_01：我们应该暂停的想法从来就不现实。
80 00:06:21,476 --> 00:06:28,345 说话人 SPEAKER_01：我们必须弄清楚如何让超级智能不想要接管。
81 00:06:29,826 --> 00:06:32,089 说话人 SPEAKER_00: 那是政府现在应该关注的事情之一吗？
82 00:06:32,129 --> 00:06:33,632 说话人 SPEAKER_01: 这只是众多事情之一。
83 00:06:33,651 --> 00:06:49,471 说话人 SPEAKER_01: 他们还应该关注许多其他事情，比如如何防止 AI 设计的生物武器，如何防止 AI 设计的网络攻击，如何防止 AI 设计的虚假视频影响选举。
84 00:06:49,451 --> 00:06:50,615 说话人 SPEAKER_01: 还有许多其他风险。
我们如何应对如果 AI 真的像这些大公司所想的那样成功，将会导致的所有工作岗位的丧失。
86 00：06：57,471 --> 00：07：00,738 演讲者 SPEAKER_01：这些都是其他不同的风险，有不同的解决方案。
87 00：07：01,701 --> 00：07：07,495 议长 SPEAKER_01：我刚才倾向于关注生存威胁，因为许多人认为这不是真实的事情。
我只是想知道，您是否有一些建议或解决方案，可以找到一种平衡这些权衡的方法，从您所概述的这项技术带来的机会，以及这些重大风险之间的平衡？
89 00:07:23,495 --> 00:07:31,086 说话人 SPEAKER_01：我最接近的想法是政府应该强制要求大公司投入大量资源用于安全。
90 00:07:31,747 --> 00:07:32,869 说话人 SPEAKER_01：这是我最好的想法。
91 00:07:32,928 --> 00:07:34,730 说话人 SPEAKER_01：这并不好，但这是我最好的想法。
92 00:07:34,913 --> 00:07:37,456 说话人 SPEAKER_00：你现在的观点是，他们根本就没有这样做。
93 00：07：37,476 --> 00：07：38,678 议长 SPEAKER_01：不，他们没有强制要求。
94 00：07：39,259 --> 00：07：47,831 议长 SPEAKER_01：加州提出了一些立法，加州总检察长可以起诉大公司。
95 00：07：47,851 --> 00：07：49,053 演讲者 SPEAKER_01：所以这是第一个有牙齿的。
它可以起诉大公司，如果它们不做合理的安全测试并向加州政府报告结果。
97 00:07:59,369 --> 00:08:02,153 说话人 SPEAKER_01: 这仍然相当弱，但总比没有好。
98 00:08:03,077 --> 00:08:12,226 说话人 SPEAKER_00: 您认为在正确制定监管、政府方法方面的时间框架是什么？
99 00:08:13,185 --> 00:08:14,588 说话人 SPEAKER_01: 这相当紧迫。
100 00:08:15,290 --> 00:08:17,413 说话人 SPEAKER_01: 我们可能需要在五年内做到这一点。
101 00:08:19,016 --> 00:08:20,980 说话人 SPEAKER_01：到目前为止进展非常缓慢。
102 00:08:21,420 --> 00:08:28,733 说话人 SPEAKER_01：例如，在英国举行了一次备受瞩目的布莱切利会议，他们一致认为我们需要担心人工智能的安全性。
103 00:08:29,334 --> 00:08:33,761 说话人 SPEAKER_01：然后英国政府决定，我们实际上不会采取任何行动，因为这可能会干扰创新。
104 00:08:34,764 --> 00:08:37,489 说话人 SPEAKER_01：把这当作是，这又是安全与利润之间的权衡。
