1 00:00:02,443 --> 00:00:06,528 说话人 SPEAKER_02：为这段视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
41 00:03:53,497 --> 00:04:06,891 说话人 SPEAKER_00: 我认为它更好地共享了众多不同数字代理通过共享相同权重所学习到的知识，他们只需共享权重的更新，现在他们可以同时学习 10,000 种不同的东西。
42 00:04:08,114 --> 00:04:12,318 说话人 SPEAKER_00: 但我也认为数字智能可能比人脑拥有更好的学习算法。
43 00:04:13,259 --> 00:04:19,706 说话人 SPEAKER_00: 所有试图在脑中找到与这些数字智能中的反向传播算法一样有效的学习算法的尝试。
44 00:04:19,687 --> 00:04:21,970 说话人 SPEAKER_00: 在这些数字智能中。
45 00:04:22,610 --> 00:04:24,031 说话人 说话人_00：到目前为止，那些尝试都失败了。
46 00:04:24,692 --> 00:04:30,158 说话人 说话人_00：我们还没有找到任何像反向传播算法那样能够很好地扩展到非常大的系统的东西。
47 00:04:30,738 --> 00:04:32,341 说话人 说话人_00：所以我认为它们有两个优势。
48 00:04:32,380 --> 00:04:39,269 说话人 说话人_00：它们可能有一个更好的学习算法，并且它们可以比生物智能更有效地共享知识。
49 00:04:39,288 --> 00:04:44,233 说话人 SPEAKER_01：在你进入这个领域的时候，机器智能领域有两种思想流派。
50 00:04:45,196 --> 00:04:47,398 说话人 SPEAKER_01：主流和神经网络。
51 00:04:48,644 --> 00:04:51,088 说话人 SPEAKER_01：你能描述一下这两种方法之间的区别吗？
52 00:04:51,608 --> 00:04:53,009 说话人 SPEAKER_00：我可以稍微夸张一下。
53 00:04:53,050 --> 00:04:57,336 说话人 SPEAKER_00：关于智能，有两种不同的模型。
54 00:04:57,978 --> 00:05:00,021 说话人 SPEAKER_00：其中一种模型认为智能就是推理。
55 00:05:01,281 --> 00:05:03,404 说话人 SPEAKER_00：我们通过逻辑来进行推理。
56 00:05:03,906 --> 00:05:05,487 说话人 SPEAKER_00：这就是人类特别的地方。
57 00:05:06,829 --> 00:05:12,639 说话人 SPEAKER_00: 我们应该做的是理解我们实际使用的逻辑。
58 00:05:13,759 --> 00:05:16,204 说话人 SPEAKER_00: 这也与这样的想法有关，
59 00:05:16,858 --> 00:05:29,642 说话人 SPEAKER_00: 你存储的知识是符号表达式，所以我可以对你说一句话，你将能够以某种方式存储它，然后你可以在以后用它来推断其他句子。
60 00:05:30,062 --> 00:05:33,670 说话人 SPEAKER_00: 但你头脑中的东西有点像句子，但经过了清理。
61 00:05:34,814 --> 00:05:42,404 说话人 SPEAKER_00：有一种完全不同的智能模式，那就是学习大脑细胞网络中的连接强度。
62 00:05:43,346 --> 00:05:47,812 说话人 SPEAKER_00：它擅长的是像感知和运动控制这样的东西，而不是推理。
63 00:05:48,014 --> 00:05:50,838 说话人 SPEAKER_00：推理出现得晚得多，而且我们在这方面并不擅长。
64 00:05:51,879 --> 00:05:53,382 说话人 SPEAKER_00：你直到相当老了才会学习如何去做它。
65 00:05:54,704 --> 00:05:58,189 说话人 SPEAKER_00: 事实上，推理实际上是一个非常糟糕的生物智能模型。
66 00:05:58,249 --> 00:06:03,656 说话人 SPEAKER_00: 生物智能关乎控制你的身体和观察事物等方面。
67 00:06:04,531 --> 00:06:08,855 说话人 SPEAKER_00: 那是完全不同的范式，对头脑中内容的理解也完全不同。
68 00:06:09,336 --> 00:06:14,202 说话人 SPEAKER_00: 它不是存储符号的字符串，而是连接强度。
69 00:06:15,163 --> 00:06:23,053 说话人 SPEAKER_00：符号 AI 视角的关键问题是，这些符号表达式的形式是什么，如何用它们进行推理？
70 00:06:24,396 --> 00:06:27,980 说话人 SPEAKER_00：对于神经网络视角，核心问题则完全不同。
71 00:06:28,000 --> 00:06:32,225 说话人 SPEAKER_00：它是，如何学习这些连接强度，以便你可以做所有这些奇妙的事情？
72 00:06:32,593 --> 00:06:35,197 说话人 SPEAKER_00：因此，学习一直是神经网络视角的核心。
73 00:06:35,718 --> 00:06:38,100 说话人 SPEAKER_00：从象征性观点来看，他们说，我们以后再考虑学习的问题。
74 00:06:38,161 --> 00:06:41,605 说话人 SPEAKER_00：首先，你必须弄清楚知识是如何表示的，我们如何进行推理。
75 00:06:42,365 --> 00:06:44,069 说话人 SPEAKER_00：因此，这些观点完全不同。
76 00:06:44,189 --> 00:06:46,812 说话人 SPEAKER_00：一个受到了逻辑的启发，另一个受到了生物学的启发。
77 00:06:47,512 --> 00:06:53,961 说话人 SPEAKER_00：长期以来，逻辑阵营的人们认为从生物学中汲取灵感是愚蠢的。
78 00:06:54,245 --> 00:07:04,680 说话人 SPEAKER_00：这有点奇怪，因为冯·诺伊曼和图灵都曾认为神经网络是攻克智能的方法，但不幸的是他们都英年早逝。
79 00:07:07,504 --> 00:07:11,129 说话人 SPEAKER_02：您能否从高层次上描述一下神经网络是如何工作的？
80 00:07:12,812 --> 00:07:13,392 说话人 SPEAKER_00：我可以尝试一下。
81 00:07:14,494 --> 00:07:19,982 说话人 SPEAKER_00: 让我们先描述一下如何识别物体和图像。
82 00:07:20,165 --> 00:07:24,670 说话人 SPEAKER_00: 假设我们只想说图像中是否有鸟。
83 00:07:25,112 --> 00:07:28,456 说话人 SPEAKER_00: 假设鸟大致位于图像中间，是关注的焦点。
84 00:07:29,057 --> 00:07:31,420 说话人 SPEAKER_00: 你需要说，这是鸟还是不是鸟？
85 00:07:33,303 --> 00:07:34,586 说话人 说话人_00：你可以想象一个图像。
86 00:07:34,646 --> 00:07:36,769 说话人 说话人_00：假设它是一个100像素乘以100像素的。
87 00:07:37,310 --> 00:07:38,511 说话人 说话人_00：那就是10,000个像素。
88 00:07:39,151 --> 00:07:41,035 说话人 说话人_00：每个像素是三种颜色，RGB。
89 00:07:41,555 --> 00:07:43,117 说话人 SPEAKER_00: 这就是 30,000 个数字。
90 00:07:43,975 --> 00:07:53,209 说话人 SPEAKER_00: 在计算术语中，识别图像中的鸟由取 30,000 个数字并输出一个表示是或否是鸟的数字组成。
91 00:07:54,732 --> 00:08:01,723 说话人 SPEAKER_00: 你可以尝试编写一个标准的计算机程序来做这件事，人们尝试了很多年，但始终无法做得很好。
92 00:08:01,963 --> 00:08:03,425 说话人 SPEAKER_00: 比如，他们尝试了 50 年。
93 00:08:05,028 --> 00:08:07,812 说话人 SPEAKER_00: 或者你可以制作一个多层神经网络。
94 00:08:08,374 --> 00:08:11,838 说话人 SPEAKER_00: 我会先告诉你如何手动连接一个神经网络。
95 00:08:12,781 --> 00:08:20,350 说话人 SPEAKER_00: 所以你会做的是，你会有像素，这将是底层，然后你会有一层特征检测器。
96 00:08:21,192 --> 00:08:36,712 说话人 SPEAKER_00: 一个典型的特征检测器可能从垂直像素行中传来大的正连接强度，从相邻的垂直像素行中传来大的负连接强度，其他地方则没有连接强度。
97 00:08:37,434 --> 00:08:45,285 说话人 SPEAKER_00: 如果这两行像素都很亮，它将从这里获得很大的正输入，但也会从那里获得很大的负输入，所以它不会做任何事情。
98 00:08:46,086 --> 00:08:53,317 说话人 SPEAKER_00: 但是如果这些像素很亮，提供大的正输入，而那些像素不亮，所以它不会被这些像素抑制，它会非常兴奋。
99 00:08:53,677 --> 00:08:58,144 说话人 SPEAKER_00: 它会说，嘿，我找到了我喜欢的东西，那就是这里的亮像素和这里的暗像素。
100 00:08:58,985 --> 00:09:00,826 说话人 SPEAKER_00: 那就是一个边缘检测器。
101 00:09:00,846 --> 00:09:06,153 说话人 SPEAKER_00：我刚刚告诉你们如何使用正负权重手动接线，以检测微小的垂直边缘。
102 00:09:07,196 --> 00:09:14,764 说话人 SPEAKER_00：现在想象一下，有成千上万这样的东西在图像的不同位置、不同方向和不同尺度上检测不同的边缘。
103 00:09:15,826 --> 00:09:17,589 说话人 SPEAKER_00：这将是你的第一个特征检测层。
104 00:09:18,570 --> 00:09:21,634 说话人 SPEAKER_00：如果我要手动接线，我的第二层特征检测器
105 00:09:22,457 --> 00:09:28,869 说话人 SPEAKER_00：可能有一个检测器，它能够检测两个在细小角度相交的边缘，就像这样。
106 00:09:29,370 --> 00:09:31,052 说话人 SPEAKER_00：所以它正在寻找这条边和这条边。
107 00:09:31,453 --> 00:09:36,121 说话人 SPEAKER_00：如果它们同时激活，它就会说，嘿，可能这里有一个喙。
108 00:09:36,822 --> 00:09:39,506 说话人 说话人_00：它可能是各种各样的事情，但可能只是个喙。
109 00:09:39,967 --> 00:09:42,152 说话人 说话人_00：所以你有一个有点像喙的特征。
110 00:09:43,634 --> 00:09:47,942 说话人 说话人_00：在那个层面，你可能还有一个检测到形成圆形的一堆边缘的特征。
111 00:09:49,475 --> 00:09:56,101 说话人 说话人_00：因此，你将会有圆形检测器和可能的喙检测器，以及那个层面上的许多其他检测器。
112 00:09:56,121 --> 00:09:58,083 说话者 说话者_00: 但它们检测到的稍微复杂一些的东西。
113 00:09:59,205 --> 00:10:11,818 说话者 说话者_00: 然后在那一层之上，可能会有一些东西检测到一个潜在的喙，它与一个潜在的圆圈、一个潜在的瞳孔在正确的空间关系中，因此可能是鸟的头。
114 00:10:13,399 --> 00:10:15,162 说话者 说话者_00: 那就像是你的第三层。
115 00:10:16,340 --> 00:10:25,467 说话者 说话者_00: 也许在你的第三层中，你还能检测到鸟的脚和翅膀，那么在下一层可能就可以有鸟的检测器了。
116 00:10:25,908 --> 00:10:32,715 说话人 SPEAKER_00：如果这些事物中有几个变得活跃，比如，这里有一个头，有一个翅膀，有一个脚，那可能是一只鸟。
117 00:10:33,936 --> 00:10:39,421 说话人 SPEAKER_00：好吧，我之前已经告诉你们如何手动连接所有这些部件，但你永远不可能做得很好。
118 00:10:40,241 --> 00:10:44,085 说话人 SPEAKER_00：所以，我们不是手动连接所有这些部件，
119 00:10:44,369 --> 00:10:45,971 说话人 SPEAKER_00：我们可以想象尝试去学习它。
120 00:10:46,913 --> 00:10:50,837 说话人 SPEAKER_00：我已经告诉你们我们想学习的内容，但现在我要告诉你们我们是如何学习的。
121 00:10:51,438 --> 00:10:53,322 说话人 SPEAKER_00：我们学习的方式一开始听起来很奇怪。
122 00:10:54,604 --> 00:11:02,975 说话人 SPEAKER_00：不是将所有连接强度都连接起来以获得所需的检测器，而是从随机的连接强度开始，所有连接上的数字都是随机的。
123 00:11:03,937 --> 00:11:10,427 说话人 SPEAKER_00：然后你输入一张鸟的图片，你通过这些特征检测器的层向前推进，它表现得完全随机。
124 00:11:11,369 --> 00:11:15,736 说话人 SPEAKER_00: 输出的鸟类检测器会说 0.5，是鸟。
125 00:11:16,658 --> 00:11:19,443 说话人 SPEAKER_00: 当它确定是鸟时，它会说 1，当它确定不是鸟时，它会说 0。
126 00:11:19,684 --> 00:11:20,986 说话人 SPEAKER_00: 对我来说，它会说大约 0.5。
127 00:11:21,989 --> 00:11:23,471 说话人 SPEAKER_00: 现在你可以问以下问题。
128 00:11:25,095 --> 00:11:27,960 说话人 SPEAKER_00：我该如何更改网络中所有的连接强度？
129 00:11:29,307 --> 00:11:34,980 说话人 SPEAKER_00：所以，与其说 0.5 是一只鸟，假设它是一只鸟，它说 0.51 是一只鸟。
130 00:11:35,741 --> 00:11:42,017 说话人 SPEAKER_00：所以你想问的问题是，我应该如何更改特定的连接强度，使其更有可能是只鸟？
131 00:11:43,279 --> 00:11:49,109 说话人 SPEAKER_00：你可以通过计算你得到的结果和你想要的结果之间的差异来找出答案。
132 00:11:49,470 --> 00:11:52,394 说话人 SPEAKER_00：您想要 1，但实际上得到了 0.5。
133 00:11:52,434 --> 00:11:56,520 说话人 SPEAKER_00：您将这个差值反向传递给网络。
134 00:11:57,162 --> 00:12:00,106 说话人 SPEAKER_00：然后您使用一些微积分，这里就不解释了。
135 00:12:00,086 --> 00:12:11,845 说话人 SPEAKER_00：这样您就能计算出网络中每个连接应该如何调整大小，以便更有可能说出“鸟”这个词。
136 00:12:12,384 --> 00:12:17,153 说话者 SPEAKER_00：然后你稍微调整所有连接强度，使其更有可能说出“鸟”。
137 00:12:18,033 --> 00:12:23,461 说话者 SPEAKER_00：然后你展示一些不是鸟的东西，现在你要调整连接强度，使其不太可能说那是鸟。
138 00:12:24,691 --> 00:12:33,543 说话者 SPEAKER_00：你这样一直进行下去，用很多鸟和非鸟，最终你会发现它发现了所有这些特征检测器。
139 00:12:33,563 --> 00:12:38,211 说话者 SPEAKER_00：它将发现类似喙的东西，类似眼睛的东西，以及检测脚和翅膀的东西，所有这些。
140 00:12:39,032 --> 00:12:50,749 说话人 SPEAKER_00：如果你在成千上万的不同物体上训练它，比如一千种不同类别的物体，它将发现中间特征检测器，这些检测器非常适合识别各种事物。
141 00:12:51,488 --> 00:13:09,708 说话人 SPEAKER_00：这里的魔法在于有一个相对简单的算法叫做反向传播，它将输出中的误差反向传递到网络中，并通过所有连接计算如何改变它们以改善行为，然后你稍微改变一下，再用另一个例子继续。
142 00:13:11,171 --> 00:13:13,813 说话人 SPEAKER_00：令人惊讶的是，这实际上有效。
143 00:13:14,595 --> 00:13:16,937 说话人 SPEAKER_00：多年来，人们认为这只会陷入困境。
144 00:13:17,258 --> 00:13:18,278 说话人 SPEAKER_00: 它会卡在某处。
145 00:13:18,600 --> 00:13:19,240 说话人 SPEAKER_00: 但不，它不会。
146 00:13:19,279 --> 00:13:20,701 说话人 SPEAKER_00: 实际上它工作得非常好。
147 00:13:22,419 --> 00:13:25,664 说话人 SPEAKER_02: 我很好奇，神经网络是如何处理语言的？
148 00:13:28,028 --> 00:13:32,715 说话人 SPEAKER_00: 好的，现在你们已经了解了我们是如何训练它来识别鸟的。
149 00:13:33,456 --> 00:13:45,712 说话人 SPEAKER_00: 想象一下，如果我们用一串词作为输入，你们首先要做的事情是将一个词转换成一个嵌入向量。
150 00:13:46,333 --> 00:13:52,342 说话人 SPEAKER_00: 也就是说，它是一小堆数字，用来捕捉词的意义，或者说是试图捕捉词的意义。
151 00:13:53,621 --> 00:13:58,106 说话人 SPEAKER_00: 因此，在词之后的第一层将是每个词的嵌入向量。
152 00:13:59,808 --> 00:14:13,105 说话者 说话者_00：现在我们将有很多层的嵌入向量层，随着我们通过网络向上移动，我们将使单词的嵌入向量越来越好，因为它们将考虑越来越多的上下文信息。
153 00:14:14,166 --> 00:14:18,270 说话者 说话者_00：那么，假设在这个句子中，我们假设没有任何大写字母，好吗？
154 00:14:18,672 --> 00:14:21,654 说话者 说话者_00：那么，假设在这个句子中你有单词五月，
155 00:14:23,169 --> 00:14:27,955 说话者 说话者_00：嗯，五月最可能的意义是它是情态动词，就像他可能做那样。
156 00:14:29,816 --> 00:14:32,499 说话人 SPEAKER_00: 但显然“五月”这个词还有一个完全不同的含义，即月份。
157 00:14:34,041 --> 00:14:39,586 说话人 SPEAKER_00: 因此最初，它不知道，仅从“五月”这个词来看，它不知道该使用哪个嵌入向量。
158 00:14:40,986 --> 00:14:51,017 说话人 SPEAKER_00: 它将使用一种折衷的向量，介于代表模态的“五月”嵌入向量和代表月份的“五月”嵌入向量之间的某种东西。
159 00:14:52,684 --> 00:14:56,288 说话人 SPEAKER_00: 然后在下一层，它将细化这个向量。
160 00:14:57,169 --> 00:15:02,395 说话人 说话人_00：根据上下文，这将使向量略微更好，取决于它获得的上下文，取决于附近的嵌入向量。
161 00:15:03,057 --> 00:15:13,149 说话人 说话人_00：例如，如果附近有六月的嵌入向量，那么它将使五月的嵌入向量更接近月份，而不是模态。
162 00:15:14,431 --> 00:15:18,995 说话人 说话人_00：但如果附近有木头的嵌入向量，它将使它更接近模态，而不是月份。
163 00:15:21,371 --> 00:15:26,998 说话人 说话人_00：随着您在网络中前进，它可以对这些嵌入向量进行细化，使它们变得越来越好。
164 00:15:28,099 --> 00:15:34,706 说话人 SPEAKER_00: 我们将如何训练它，我们将给它一串单词作为输入。
165 00:15:36,589 --> 00:15:39,793 说话人 SPEAKER_00: 我们将这样做，这里将是一种方法。
166 00:15:39,812 --> 00:15:42,034 说话人 SPEAKER_00: 这并不是真正所做的事情，但很容易理解。
167 00:15:42,936 --> 00:15:46,840 说话人 SPEAKER_00: 对于最后一个词，你只需输入一个中性的词。
168 00:15:46,860 --> 00:15:48,341 说话人 SPEAKER_00: 你说未知。
169 00:15:48,440 --> 00:15:52,927 说话人 SPEAKER_00: 它有一个非常模糊的嵌入向量，几乎是所有单词向量的平均值。
170 00:15:53,006 --> 00:15:54,249 说话人 SPEAKER_00: 它不知道，对吧？
171 00:15:55,370 --> 00:16:02,159 说话人 SPEAKER_00: 现在，当你通过网络前进时，最后一个单词将能够受到前面单词的影响。
172 00:16:03,682 --> 00:16:08,950 说话者 说话者_00：一开始非常模糊，但随着你穿越这些层级，它可以变得越来越精确。
173 00:16:10,052 --> 00:16:14,278 说话者 说话者_00：等你走到网络的尽头，那个嵌入向量
174 00:16:14,966 --> 00:16:23,501 说话者 说话者_00：可能看起来像某个特定单词的嵌入向量，或者是一些单词组合的嵌入向量，或者是几个单词的平均值。
175 00:16:25,063 --> 00:16:39,809 说话者 说话者_00：你通过训练网络，通过走过所有这些层级，并希望最后一个单词的嵌入向量看起来像文本中实际存在的单词的嵌入向量。
176 00:16:40,769 --> 00:16:42,254 说话人 SPEAKER_00：这就是它预测下一个单词的方式。
177 00:16:43,057 --> 00:16:52,347 说话人 SPEAKER_00：它试图将这种中性的嵌入向量转换为与文本中正确出现的单词的嵌入向量相近的向量。
178 00:16:53,914 --> 00:17:12,563 说话人 SPEAKER_00：然后你计算嵌入向量与文本之间的差异，以及产生的嵌入向量之间的误差，并将这个误差反向传播通过网络，它从这一单词反向传播到前面的单词，以便它们能够对这一单词产生正确的影响。
179 00:17:13,744 --> 00:17:17,570 说话人 SPEAKER_00：这就是反向传播算法学习预测下一个单词的过程。
180 00:17:18,853 --> 00:17:22,317 发言人 SPEAKER_01: 因此，尽管该领域取得了一些理论突破，
181 00:17:22,821 --> 00:17:25,846 发言人 SPEAKER_01：这些神经网络长期以来效果都不太好。
182 00:17:26,727 --> 00:17:27,287 发言人 SPEAKER_01：为什么？
183 00:17:28,628 --> 00:17:30,070 发言人 SPEAKER_00：这是多种原因造成的。
184 00:17:31,031 --> 00:17:33,433 说话人 SPEAKER_00：所以我们初始化它们并不好。
185 00:17:34,015 --> 00:17:36,657 说话人 SPEAKER_00：也就是说，我说你放入随机权重，然后学习所有内容。
186 00:17:37,338 --> 00:17:44,086 说话人 SPEAKER_00：但是如果你没有仔细决定随机权重的类型，事情永远不会起飞。
187 00:17:44,067 --> 00:17:48,711 说话人 SPEAKER_00：所以这是它们在具有许多特征检测器层的深度网络中工作不好的技术原因。
188 00:17:49,151 --> 00:17:53,674 说话人 SPEAKER_00：但主要原因是我们没有足够的计算能力，也没有足够的数据。
189 00:17:54,215 --> 00:17:59,701 说话人 SPEAKER_00：所以人们试图在没有太多计算能力的情况下，在相对较小的训练集上训练这些网络。
190 00:18:00,661 --> 00:18:03,364 说话人 SPEAKER_00：在那个环境下，其他方法效果更好。
191 00:18:04,023 --> 00:18:07,507 说话人 SPEAKER_00：神经网络真正发挥作用的条件是有大量数据和强大的计算能力。
192 00:18:08,087 --> 00:18:11,211 说话人 SPEAKER_00: 然后你可以使用一个大型的神经网络，然后它比其他任何东西都好得多。
193 00:18:12,111 --> 00:18:13,972 说话人 SPEAKER_00: 我们当时并没有意识到这一点。
194 00:18:14,289 --> 00:18:19,478 说话人 SPEAKER_00: 所以我们偶尔会幻想，嗯，假设你有很多更多的数据，还有更大的计算机，它将工作得更好。
195 00:18:19,518 --> 00:18:21,601 说话人 SPEAKER_00: 但我们没有意识到它会好得多。
196 00:18:22,442 --> 00:18:30,976 说话人 SPEAKER_00: 因此在 20 世纪 90 年代，神经网络相对是一个沉寂的时期，因为其他方法在小问题上表现更好。
197 00:18:32,377 --> 00:18:36,483 说话人 SPEAKER_00: 在计算机科学领域，很多人对神经网络失去了信心。
198 00:18:37,847 --> 00:18:44,494 说话人 SPEAKER_00: 在心理学领域，他们并没有放弃，因为在心理学领域，他们想要的是类似大脑的东西，而神经网络显然比符号人工智能更接近大脑。
199 00:18:44,955 --> 00:18:48,740 说话人 SPEAKER_00: 但在 20 世纪 90 年代，神经网络在计算机科学领域有点声名狼藉。
200 00:18:49,780 --> 00:18:52,964 说话人 SPEAKER_01：那么让我们快进到另一个十年，到 2000 年代。
201 00:18:55,007 --> 00:19:02,134 说话人 SPEAKER_01：在你看来，有没有一个时刻让你明白你所追求的方法将会取得胜利？
202 00:19:02,174 --> 00:19:04,416 说话人 SPEAKER_00：好的。
203 00:19:04,856 --> 00:19:07,180 说话人 SPEAKER_00：在 2006 年，
我们通过无监督学习初始化权重的方法得到了很大改进，然后反向传播也工作得更好。
205 00:19:14,419 --> 00:19:18,469 发言人 SPEAKER_00：所以很明显，反向传播确实会非常有效。
2009年，我的两位研究生乔治·达尔和阿卜杜拉曼·穆罕默德制作了一个更好的语音识别器，实际上是一个稍微更好的语音识别器，但它的性能略优于当时的技术水平，使用了深度神经网络。
207 00:19:36,520 --> 00:19:40,006 发言人 SPEAKER_00：然后很明显这些东西都会到达某个地方。
208 00:19:40,386 --> 00:19:44,794 说话人 SPEAKER_00：接下来几年，所有大型演讲团队都转向使用神经网络。
209 00:19:46,106 --> 00:19:52,194 说话人 SPEAKER_00：然后在 2012 年，这种语音功能出现在了 Android 上，Android 突然赶上了 Siri。
210 00:19:52,595 --> 00:19:55,157 说话人 SPEAKER_00：它在语音方面的表现和 Siri 一样好，因为它使用了神经网络。
211 00:19:56,159 --> 00:20:07,534 说话人 SPEAKER_00：同年，我的两位研究生，伊利亚·苏特科娃和安德烈·克日什佐夫斯基，开发了一个在识别物体和图像方面非常出色的神经网络。
212 00:20:07,953 --> 00:20:10,376 说话人 SPEAKER_00: 这个结果大大超过了现有技术水平。
213 00:20:10,828 --> 00:20:16,671 说话人 SPEAKER_00: 我认为正是这种组合使得它在语音识别方面已经取得成效并投入生产。
214 00:20:17,494 --> 00:20:21,018 说话人 SPEAKER_00: 大公司都在做这样的事情，我认为公众对此并不十分了解。
215 00:20:21,479 --> 00:20:24,641 说话人 SPEAKER_00: 但突然之间，它在计算机视觉方面的效果变得更好。
216 00:20:25,461 --> 00:20:27,084 说话人 SPEAKER_00: 这是个转折点。
217 00:20:27,584 --> 00:20:34,650 说话人 SPEAKER_00: 在 2012 年，我们以巨大的优势赢得了 ImageNet 竞赛，我们的错误率几乎是其他方法的一半。
218 00:20:35,391 --> 00:20:40,576 说话人 SPEAKER_00: 那是一个公开的数据集，但有一个隐藏的测试集，所以你不能作弊。
219 00:20:41,477 --> 00:20:47,501 说话人 SPEAKER_01: 所以让我们重点谈谈 2012 年，因为你说那是一个真正的转折点。
220 00:20:47,481 --> 00:20:53,490 说话人 SPEAKER_01：你能再次从高层次描述一下 AlexNet 是如何工作的吗？
221 00:20:54,310 --> 00:20:57,173 说话人 SPEAKER_01：我猜这个名字可能是以你的研究生命名的。
