1 00:00:16,821 --> 00:00:17,463 演讲者 SPEAKER_07: 大家好。
25 00:02:15,052 --> 00:02:16,414 说话人 SPEAKER_01：我能对此发表评论吗？
26 00:02:16,435 --> 00:02:17,997 说话人 SPEAKER_01：当然可以，请说。
27 00:02:18,897 --> 00:02:23,444 说话人 SPEAKER_01：我认为我们做的很多事都无法被算法很好地捕捉。
28 00:02:23,906 --> 00:02:27,150 说话人 SPEAKER_01：所以，我们做的很多事都是直接的直觉推理或感知。
29 00:02:27,591 --> 00:02:34,600 讲者 SPEAKER_01：当然，存在学习算法，也就是说，你有一套改变突触权重的规则。
30 00:02:35,181 --> 00:02:40,650 讲者 SPEAKER_01：但改变突触权重的这些规则的结果是一个包含数十亿权重的庞大系统。
31 00:02:41,103 --> 00:02:57,137 讲者 SPEAKER_01：我认为，对于诸如直觉推理这类事物，你永远无法找到一个比说“他有这 1000 亿个权重”更简单的解释来说明为什么有人相信某事。
32 00:02:57,116 --> 00:03:01,722 讲者 SPEAKER_01：而且它们是由这些经验创造的，如果你想解释它们是如何产生的。
33 00:03:01,762 --> 00:03:10,069 讲者 SPEAKER_01：结果是，他拥有成千上万的小规则，使某些事情变得可信，而其他事情则不可信。
34 00:03:10,370 --> 00:03:15,876 讲者 SPEAKER_01：在这个特定的情况下，比如有 20 万条规则说这样，有 10 万条规则说那样。
35 00:03:16,556 --> 00:03:18,098 讲者 SPEAKER_01：所以他这样说。
36 00:03:18,818 --> 00:03:24,424 讲者 SPEAKER_01：通过说出所有个别规则来表示这一点，并不会对你有很大帮助。
37 00:03:26,530 --> 00:03:27,911 演讲者 演讲者_00: 好的，我想说几句话。
38 00:03:28,711 --> 00:03:31,936 演讲者 演讲者_07: Percy 举手了，那我来叫 Percy。
39 00:03:31,955 --> 00:03:32,856 演讲者 演讲者_07: 然后是 Lenore。
40 00:03:33,598 --> 00:03:36,961 演讲者 演讲者_00: 是的，谢谢 Armino 邀请我参加这个讨论小组。
41 00:03:37,001 --> 00:03:52,176 演讲者 演讲者_00：您所提出的背景，即它不必是为了人类心智，与我们设计数学意识模型时 Manuel Blum、Alvin Blum 和我所采取的视角非常接近。
42 00:03:52,237 --> 00:03:53,778 演讲者 演讲者_00：所以我们正在研究意识。
43 00:03:54,280 --> 00:03:56,401 演讲者 演讲者_00：所以我将简要介绍我们的模型。
44 00:03:56,382 --> 00:04:09,037 演讲者 演讲者_00：在设计我们的模型时，我们并不是在寻找一个复杂的脑或认知模型，而是在寻找一个非常简单的模型来理解意识。
45 00:04:09,717 --> 00:04:20,050 讲者：我们的数学理论处于一个非常、非常高的水平，一个远高于神经元和神经元活动的抽象水平，因此它非常简单。
46 00:04:20,069 --> 00:04:23,875 讲者：我们称我们的模型为意识 AI，
47 00:04:26,403 --> 00:04:27,764 讲者：或者图灵机。
48 00:04:27,845 --> 00:04:33,690 讲者：这某种程度上是对图灵简单而强大的计算模型的致敬。
49 00:04:34,071 --> 00:04:37,675 讲者 SPEAKER_00: 就像 Jeff 说的，我们的模型实际上并不是图灵机。
50 00:04:38,355 --> 00:04:53,372 讲者 SPEAKER_00: 由于它不是输入，至少对于意识来说，不是输入输出决定了它的功能意识，而是一系列的东西，比如它的架构，在我们的案例中，我们使用的是全局工作空间架构。
51 00:04:53,351 --> 00:05:04,557 讲者 SPEAKER_00: 它是一种预测动态，预测、反馈、错误纠正学习和某些关键的特殊过程。
52 00:05:04,637 --> 00:05:08,728 讲者 SPEAKER_00: 在我们的案例中，是关于世界和其他言语的模型。
53 00:05:08,708 --> 00:05:15,398 说话人 SPEAKER_00：我认为，从我们的角度来看，这并不是真正的输入输出映射。
54 00:05:15,577 --> 00:05:21,226 说话人 SPEAKER_00：而是结构赋予了它意识的定性特征。
55 00:05:21,346 --> 00:05:27,836 说话人 SPEAKER_00：我想，在认知方面也是如此。
56 00:05:28,517 --> 00:05:32,343 说话人 SPEAKER_00：所以我认为输入输出映射可能过于局限。
57 00:05:35,668 --> 00:05:36,589 讲者 SPEAKER_07：珀西，你想举手吗？
58 00:05:36,790 --> 00:05:37,651 讲者 SPEAKER_07：你想下一个发言吗？
59 00:05:37,884 --> 00:05:39,826 讲者 SPEAKER_05：是的，所以我可以讲几点。
60 00:05:40,208 --> 00:05:44,833 讲者 SPEAKER_05：我对这个问题有点困扰，因为我不习惯从心灵的角度思考问题。
61 00:05:45,553 --> 00:05:53,463 讲者 SPEAKER_05：为了让大家有一个参考，我是一名计算机科学家，我想构建对世界有用的系统。
62 00:05:54,142 --> 00:06:02,812 讲者 SPEAKER_05：我个人认为，我的目标是思考一种理想化的智能。
63 00:06:02,793 --> 00:06:19,557 讲者 SPEAKER_05：这种智能与人类智能是分开的，因为我们知道，尽管人类有很多值得称赞的伟大之处，但人类容易受到各种缺陷的影响，比如偏见，以及思考方式不够理性或逻辑。
64 00:06:20,036 --> 00:06:31,213 讲者 SPEAKER_05：我认为，长期以来，人工智能之所以取得了巨大的进步，主要是因为它本质上把人类放在了至高无上的位置，思考我们如何模拟或模仿。
65 00:06:31,192 --> 00:06:32,915 讲者 SPEAKER_05：人类智能的一些方面。
66 00:06:33,776 --> 00:06:39,625 讲者 SPEAKER_05：但我认为人工智能正变得越来越明显，你知道的，是一种非常不同、外星型的智能。
67 00:06:39,646 --> 00:06:43,672 讲者 SPEAKER_05：它具有巨大的能力，远远超过人类。
68 00:06:43,732 --> 00:06:47,536 讲者 SPEAKER_05：但它也存在一些基本弱点，比如对抗样本。
69 00:06:47,978 --> 00:06:53,286 讲者 SPEAKER_05：我认为这个类比，我想，可能只能带我们走到这一步
70 00:06:53,485 --> 00:07:00,971 讲者 SPEAKER_05：显然，大家可能都熟悉这个过度使用的类比，即建造鸟类与飞机。
71 00:07:01,153 --> 00:07:07,319 讲者 SPEAKER_05：我认为我们仍然处于某种意义上建造振翅飞行的飞机的模式中。
72 00:07:07,478 --> 00:07:11,463 讲者 SPEAKER_05：它为我们能建造什么提供了一个非常有说服力的存在证明。
73 00:07:11,822 --> 00:07:21,653 说话人 SPEAKER_05：但我认为，我希望我们能找到一些方法，使我们的系统、我们构建的人工智能系统在未来更加
74 00:07:21,632 --> 00:07:22,853 说话人 SPEAKER_05：并且更加可靠。
75 00:07:23,555 --> 00:07:38,612 说话人 SPEAKER_05：所以关于更贴近当前问题的数学模型问题，我抓住了“模型”这个词，因为，正如统计学家乔治·博克斯所说，你知道，所有的模型都是错误的，但有些是有用的。
76 00:07:39,273 --> 00:07:45,379 说话人 SPEAKER_05：我认为这就是我想看待任何模型的方式。
77 00:07:45,399 --> 00:07:51,065 讲者 SPEAKER_05：我认为现实世界的复杂性并不会被任何简单的对象所捕捉，但这并不意味着我们不能拥有整洁的抽象和模型来帮助我们思考如何构建事物，需要某种类型的支架，即使是现有的深度学习，也有关于，你知道的，
78 00:07:51,045 --> 00:08:12,480 讲者 SPEAKER_05：并不是任何简单的对象所能捕捉的，但这并不意味着我们不能拥有整洁的抽象和模型来帮助我们思考如何构建事物，需要某种支架，即使是现有的深度学习，也有关于，你知道的，
79 00:08:12,459 --> 00:08:19,408 讲者 SPEAKER_05：有一个清晰的损失函数，你可以取梯度，这些都是，它是事物工作原理的数学模型。
80 00:08:19,428 --> 00:08:30,322 讲者 SPEAKER_05：这已经被证明是非常有成效的，尽管心智或智能的许多方面并没有被真正捕捉。
81 00:08:34,748 --> 00:08:38,011 演讲者 SPEAKER_07: 杰克，本，你们还没有发言，请回应。
82 00:08:40,912 --> 00:08:42,313 演讲者 SPEAKER_07: 但是你的麦克风被静音了，本。
83 00:08:42,793 --> 00:08:43,115 演讲者 SPEAKER_03: 我明白了。
84 00:08:44,235 --> 00:08:44,976 演讲者 SPEAKER_03: 好的。
85 00:08:44,996 --> 00:08:46,619 演讲者 SPEAKER_03：杰克，你想先说吗？
86 00:08:46,639 --> 00:08:47,200 演讲者 SPEAKER_07：不，不，本。
87 00:08:47,220 --> 00:08:47,480 演讲者 SPEAKER_04：请说。
88 00:08:48,861 --> 00:08:49,663 演讲者 SPEAKER_03：好的。
89 00:08:50,124 --> 00:08:55,870 说话人 SPEAKER_03：为了回应珀西的观点，我认为人工智能具有巨大的潜力。
90 00:08:56,392 --> 00:09:00,336 说话人 SPEAKER_03：但我认为人类大脑仍然非常高效。
91 00:09:00,977 --> 00:09:09,028 说话人 SPEAKER_03：所以，如果我们从能耗的角度来看，我认为这种智能与人工智能是不同类型的。
92 00:09:09,008 --> 00:09:13,855 说话人 SPEAKER_03：我真的不认为我们所知的这种人工智能能胜过它。
93 00:09:14,057 --> 00:09:17,522 演讲者 SPEAKER_03：也许您有更好的方法来提供能量。
94 00:09:18,182 --> 00:09:30,563 演讲者 SPEAKER_03：对我来说，当我看到 Raina 提出的问题时，它实际上是我们的数学对心智的描述与通过神经科学测量对心智的理解的协同进化。
95 00:09:31,245 --> 00:09:33,970 演讲者 SPEAKER_03：现在提到这个重要的问题
96 00:09:34,101 --> 00:09:46,380 演讲者 SPEAKER_03：对我来说，你也可以把之前的一些演讲者计算成将某种对心智的定性理解融入到机器学习人工智能系统中，并执行机器学习人工智能任务。
97 00:09:46,400 --> 00:09:47,543 讲者 SPEAKER_03：这就是一种方法。
98 00:09:48,144 --> 00:09:56,897 讲者 SPEAKER_03：另一种方法是您实际上使用数学模型来帮助我们生成关于心灵的可验证假设，我们可以收集数据来验证。
99 00:09:57,097 --> 00:10:01,323 讲者 SPEAKER_03：我的意思是，我和 Jack 一起工作，所以您可以看到我想要他先发言。
100 00:10:02,467 --> 00:10:06,533 讲者 SPEAKER_03：但是对我来说，重要的是实证证据，对吧？
101 00:10:06,552 --> 00:10:22,211 讲者 SPEAKER_03：当你比较两种数学模型和人类大脑时，如果你观察神经元在我们大脑中的结构，实际上它们并没有物理连接，树突之间有间隙。
102 00:10:23,173 --> 00:10:27,898 讲者 SPEAKER_03：而且还有很多其他因素在帮忙，对吧？
103 00:10:27,918 --> 00:10:29,320 讲者 SPEAKER_03：有一种叫做
104 00:10:29,653 --> 00:10:31,557 讲者 SPEAKER_03：神经突触抑制，对吧？
105 00:10:31,576 --> 00:10:37,404 讲者 SPEAKER_03：你把轴突冷却下来，那么通信速度就会快得多。
106 00:10:37,445 --> 00:10:41,890 讲者 SPEAKER_03：有两种通信方式，一种是化学的，另一种是电的。
107 00:10:42,852 --> 00:10:47,158 讲者 SPEAKER_03：所以所有这些，可以说也许可以简化，我们不需要这些，这是可能的。
108 00:10:47,558 --> 00:10:54,068 讲者 SPEAKER_03：但这也让我们学到，也许神经元的设计不应该全部连接在一起。
109 00:10:54,109 --> 00:10:56,471 说话人 SPEAKER_03：我们将进行删除，我们可以
110 00:10:56,451 --> 00:11:00,976 说话人 SPEAKER_03：探讨儿童的学习过程以及神经元如何构建。
111 00:11:00,998 --> 00:11:03,500 说话人 SPEAKER_03：我感到我们有很多可以从进化中学习的地方。
112 00:11:04,381 --> 00:11:09,268 说话人 SPEAKER_03：关键在于我们如何知道我们所说的模型是好的，对吧？
113 00:11:09,288 --> 00:11:13,712 讲者 SPEAKER_03：即便是作为法官 Boxer，我们所说的数学模型也是有用的。
114 00:11:14,113 --> 00:11:16,416 讲者 SPEAKER_03：我实际上只是教了信息论课程。
115 00:11:16,777 --> 00:11:19,539 讲者 SPEAKER_03：所以这在我的脑海中非常关于香农信息论。
116 00:11:19,519 --> 00:11:23,047 讲者 SPEAKER_03：这是最优雅的通信数学理论之一。
117 00:11:23,508 --> 00:11:33,826 说话人 SPEAKER_03：有一点是，熵-互信息的关键概念也具有物理意义，并为压缩或信道传输提供了物理容量限制。
118 00:11:34,668 --> 00:11:37,072 说话人 SPEAKER_03：我们能否 somehow
119 00:11:38,115 --> 00:11:43,400 说话人 SPEAKER_03：也给我们一些标准，比如说，这个数学模型必须满足哪些性质。
120 00:11:43,421 --> 00:11:50,288 说话人 SPEAKER_03：为了说现在足够好，需要收集哪些经验测量数据？
121 00:11:50,567 --> 00:11:51,708 说话人 SPEAKER_03: 然后我们进入下一个层次。
122 00:11:53,750 --> 00:11:54,011 说话人 SPEAKER_03: 杰克？
123 00:11:56,894 --> 00:11:59,797 说话人 SPEAKER_04: 好的，这些都是非常好的观点。
124 00:12:00,118 --> 00:12:03,380 说话人 SPEAKER_04: 我同意大家说的大部分内容。
125 00:12:03,765 --> 00:12:08,350 说话人 SPEAKER_04：我觉得这是一个很难回答的问题，因为我们还没有定义我们的术语。
126 00:12:08,951 --> 00:12:11,215 说话人 SPEAKER_04：这里的问题是，什么是心智的数学模型？
127 00:12:11,274 --> 00:12:12,775 说话人 SPEAKER_04：实际上我不知道什么是心智。
128 00:12:13,998 --> 00:12:20,325 说话人 SPEAKER_04：我假设你们，大多数是机器学习人工智能领域的人，认为心智是运行在硬件上的软件。
129 00:12:20,586 --> 00:12:21,886 讲者 SPEAKER_04：我认为这完全没问题。
130 00:12:21,927 --> 00:12:28,794 讲者 SPEAKER_04：我认为神经科学家可能也是这样想的。
131 00:12:29,432 --> 00:12:32,538 讲者 SPEAKER_04：你知道，科学的一般规则是事事都有数学。
132 00:12:32,557 --> 00:12:34,081 讲者 SPEAKER_04：你可能不知道数学是什么。
133 00:12:34,201 --> 00:12:35,984 讲者 SPEAKER_04：我想我们都可以回答这个问题。
134 00:12:36,004 --> 00:12:38,908 讲者 SPEAKER_04：当然，在某种程度上，存在关于心智的数学理论。
135 00:12:38,947 --> 00:12:44,417 讲者 SPEAKER_04：我们只是不知道那是什么，因为我们对正在运行的软件了解不多。
136 00:12:44,456 --> 00:12:53,030 讲者 SPEAKER_04：而且可能我们也没有合适的数学来描述它，因为大脑是一个庞大、复杂、非线性的动力学系统。
137 00:12:53,631 --> 00:12:56,537 说话人 SPEAKER_04：我们甚至没有好的数学来描述这样的系统。
138 00:12:56,972 --> 00:13:00,225 说话人 SPEAKER_04：但我认为真正的问题不是，是否存在大脑的数学模型？
139 00:13:00,246 --> 00:13:02,215 说话人 SPEAKER_04：而是大脑的数学模型是什么？
140 00:13:02,335 --> 00:13:06,392 说话人 SPEAKER_04：我发现这个讨论很有趣，它主要
141 00:13:06,524 --> 00:13:10,087 讲者 SPEAKER_04：似乎归结为我们可以抽象出什么？
142 00:13:10,748 --> 00:13:20,498 讲者 SPEAKER_04：没有人愿意将心智建模为轴突内微管的运动。
143 00:13:20,518 --> 00:13:21,399 讲者 SPEAKER_04：这简直疯狂。
144 00:13:21,438 --> 00:13:24,361 讲者 SPEAKER_04：所以我们必须抽象出一些东西。
145 00:13:24,881 --> 00:13:27,384 讲者 SPEAKER_04：人们对这个问题有不同的看法。
146 00:13:30,488 --> 00:13:35,653 讲者 SPEAKER_04：尽管我是一名神经科学家，并且多年来一直担任神经生理学家，但我的个人观点是神经元可能并不重要。
147 00:13:35,971 --> 00:13:40,197 讲者 SPEAKER_04：大脑中可能存在一些小精灵，每次产生尖峰时就会用魔杖互相击打。
148 00:13:40,236 --> 00:13:46,486 讲者 SPEAKER_04：只要这些小精灵具有相同的非线性动力学特性，你可能会得到相同的结果。
149 00:13:47,168 --> 00:13:51,533 说话者 SPEAKER_04：我想这是个挺奇怪的问题。
150 00:13:51,695 --> 00:14:03,952 说话者 SPEAKER_04：但我觉得，我不知道，我觉得我们可能应该关注一下这个问题，因为这似乎是大家都在隐含地处理的问题，尽管这并不是我们最初的问题。
151 00:14:05,013 --> 00:14:08,057 说话者 SPEAKER_07：那么，在我们进入下一个问题之前，有什么快速的意见吗？
152 00:14:11,801 --> 00:14:15,225 说话者 SPEAKER_00：所以 Jeff 想发言，我也想。
153 00:14:15,326 --> 00:14:26,700 讲者 SPEAKER_00：我想快速回应 Jack 和 Bin 刚才所说的话，因为我认为这里有一个更根本的问题，那就是为什么要有心智的数学理论？
154 00:14:26,679 --> 00:14:36,532 讲者 SPEAKER_00：我认为 Jack 指出，当图灵在 30 年代谈论他的图灵机时，我们并没有精确的算法概念。
155 00:14:36,952 --> 00:14:41,158 讲者 SPEAKER_00：我们并没有精确的程序或编程语言的概念。
156 00:14:41,217 --> 00:14:43,360 讲者 SPEAKER_00：然后它演变成了复杂性。
157 00:14:43,760 --> 00:14:49,467 讲者：所有这些概念都变成了数学上的形式化，并且得到了澄清。
158 00:14:49,807 --> 00:14:55,455 讲者：即使不是每个人都回到图灵的算法概念，我们都有一种想法
159 00:14:55,434 --> 00:15:00,145 讲者：有一个基本的、清晰的概念，我们可以共同依赖。
160 00:15:00,687 --> 00:15:10,229 讲者：因此，我认为能够拥有某种基本理论，帮助我们形式化和澄清思想，这一点非常重要。
161 00:15:10,971 --> 00:15:11,773 说话者 SPEAKER_00: 并且
162 00:15:11,753 --> 00:15:13,917 说话者 SPEAKER_00: 神经科学真的很复杂。
163 00:15:14,477 --> 00:15:22,495 说话者 SPEAKER_00: 如果我们能够对一些更复杂的事物有一个大致的了解，我认为这将是非常基础的。
164 00:15:22,514 --> 00:15:25,561 说话者 SPEAKER_00: 而香农的信息论也做了类似的事情。
165 00:15:26,903 --> 00:15:31,111 演讲者 SPEAKER_00：那么，为什么要有心智的数学理论，我认为这是一个问题。
166 00:15:31,530 --> 00:15:34,394 演讲者 SPEAKER_07：杰弗里，在我们进入下一个问题之前，你能快速评论一下吗？
167 00:15:34,414 --> 00:15:42,645 演讲者 SPEAKER_01：是的，我想做一个类比，微观事物和宏观事物之间可以有两种不同的关系。
168 00:15:43,126 --> 00:15:46,451 演讲者 SPEAKER_01：所以在热力学中，你有一个很好的宏观理论。
169 00:15:47,072 --> 00:15:50,417 说话人 SPEAKER_01：这是分子的运动结果
170 00:15:50,683 --> 00:15:55,611 说话人 SPEAKER_01：但在某种意义上，分子都是一样的，你可以抽象出来得到热力学，这很棒。
171 00:15:55,692 --> 00:15:56,192 说话人 SPEAKER_01：太棒了。
172 00:15:56,232 --> 00:15:59,258 说话人 SPEAKER_01：这就是科学之王的其中一种。
173 00:15:59,298 --> 00:16:08,052 讲者 SPEAKER_01：那么，如果你在湍流状态下考虑纳维-斯托克斯方程，你可以观察进入船闸的水流。
174 00:16:08,673 --> 00:16:12,759 讲者 SPEAKER_01：这里有一些简单的底层事物，就像神经网络的学习算法。
175 00:16:13,330 --> 00:16:20,080 讲者 SPEAKER_01：但莱昂纳多所绘制的涡流，例如，你永远也不会有一个美好的算法理论。
176 00:16:20,780 --> 00:16:24,365 讲者 SPEAKER_01：你可以有一种现象论的理论，来解释你得到什么样的涡流。
177 00:16:24,626 --> 00:16:27,711 说话人 SPEAKER_01: 你可以理解关于纳维-斯托克斯方程之间的一些关系。
178 00:16:28,371 --> 00:16:34,561 说话人 SPEAKER_01: 如果纳维-斯托克斯方程学会产生漂亮的涡流，那就更有趣了，这更像是神经网络。
179 00:16:35,722 --> 00:16:39,248 说话人 SPEAKER_01: 但这似乎是两种非常不同的关系。
180 00:16:39,288 --> 00:16:42,072 说话人 SPEAKER_01: 当有人说，这是否是一种算法理论，
181 00:16:42,894 --> 00:16:46,639 主持人 SPEAKER_01：我感觉像是在追求第一个，当现实更像第二个时。
182 00:16:48,301 --> 00:16:48,561 主持人 SPEAKER_07：谢谢。
183 00:16:50,222 --> 00:16:51,224 主持人 SPEAKER_07：让我们继续下一个问题。
184 00:16:51,845 --> 00:16:56,048 主持人 SPEAKER_07：那么，当您审视今天的深度学习框架时，您认为主要缺少哪些元素？
185 00:16:57,169 --> 00:17:03,017 演讲者 SPEAKER_07：人脑中是否有什么智力或成分是我们应该添加到深度学习中的？
186 00:17:06,019 --> 00:17:06,701 演讲者 SPEAKER_01：我可以先说吗？
187 00:17:07,761 --> 00:17:10,484 演讲者 SPEAKER_01：好的，请说。
188 00:17:10,505 --> 00:17:12,767 演讲者 SPEAKER_01：是的，还有很多缺失。
189 00:17:13,944 --> 00:17:15,165 讲者 SPEAKER_01：但这主要不是逻辑。
190 00:17:16,488 --> 00:17:28,500 讲者 SPEAKER_01：所以如果你看看大多数神经网络，直到出现变换器之前，它们都是通过将活动向量与权重向量进行标量积来激活神经元的。
191 00:17:28,519 --> 00:17:32,824 讲者 SPEAKER_01：然后变换器出现了，开始将活动向量与活动向量进行标量积。
192 00:17:33,404 --> 00:17:35,165 说话人 SPEAKER_01：这对你来说有很多好处。
193 00:17:35,227 --> 00:17:38,670 说话人 SPEAKER_01：它对相关协方差更加敏感。
194 00:17:38,953 --> 00:17:40,615 说话人 SPEAKER_01：因此你获得了各种新的能力。
195 00:17:41,196 --> 00:17:44,019 说话人 SPEAKER_01：这就是他们之前所缺少的，而现在他们通过变压器得到了这一点。
196 00:17:44,480 --> 00:17:56,894 讲者 SPEAKER_01：他们遗漏了其他的东西，我坚信这在大脑中无处不在，自从 Terry Sanofsky 在我年轻时告诉我这件事以来就是这样，那就是我们大多数神经网络中只有两个时间尺度。
197 00:17:57,336 --> 00:18:04,944 我们有随着每个新输入而变化的活动的时标，以及随着学习而非常缓慢变化的权重的时标。
198 00:18:06,005 --> 00:18:13,173 这意味着当你询问诸如短期记忆之类的事情时，你会倾向于将这些归因于神经网络活动。
199 00:18:14,413 --> 00:18:19,499 当然，你不能复制一大群神经元，以便在用神经元做其他事情的同时存储它们的状态。
200 00:18:20,259 --> 00:18:31,352 说话人 SPEAKER_01：在我看来，必须存在快速权重，即快速适应和快速衰减的权重，它们是现有权重的叠加。
201 00:18:31,951 --> 00:18:33,513 说话人 SPEAKER_01：并且使用快速权重，
202 00:18:33,982 --> 00:18:37,748 说话人 SPEAKER_01：你可以做到真正的递归，你可以做真正的递归。
203 00:18:38,148 --> 00:18:39,289 说话人 SPEAKER_01：而我们目前缺少这一点。
204 00:18:39,309 --> 00:18:45,478 讲者 SPEAKER_01：所以在真正的递归中，你是在重复使用相同的神经元和相同的连接进行递归调用。
205 00:18:46,219 --> 00:18:49,022 讲者 SPEAKER_01：而且只有当你能记住这些神经元的态时，你才能这样做。
206 00:18:49,042 --> 00:18:50,184 讲者 SPEAKER_01：所以你需要像栈这样的东西。
207 00:18:50,664 --> 00:18:53,449 讲者 SPEAKER_01：而且你可以把这个栈放入由快速权重组成的关联记忆中。
208 00:18:54,450 --> 00:18:55,771 说话人 SPEAKER_01：我认为
209 00:18:56,089 --> 00:18:57,957 说话人 SPEAKER_01：我们几乎没有足够的时间尺度。
210 00:18:57,977 --> 00:19:04,040 说话人 SPEAKER_01：如果你看看生物学，看看眼睛的适应，有大约六个不同的时间尺度，或者更多。
211 00:19:05,354 --> 00:19:06,516 说话人 SPEAKER_01：我们需要更多的时间尺度。
212 00:19:06,536 --> 00:19:13,467 说话人 SPEAKER_01：特别是，我们至少还需要一个非常重要的时间尺度，它能够赋予你短期记忆的权重，而这个权重具有很高的容量。
213 00:19:14,189 --> 00:19:17,173 说话人 SPEAKER_01：但是由于它的容量非常高，你不需要让它那么高效。
214 00:19:17,193 --> 00:19:19,017 说话人 SPEAKER_01：所以你可以使用 Azure 产品学习。
215 00:19:19,037 --> 00:19:21,039 说话人 SPEAKER_01：你不需要使用错误纠正学习。
216 00:19:21,380 --> 00:19:25,366 说话人 SPEAKER_01：您可以用 Azure 产品学习在短时间内获取大量信息，快速记忆。
217 00:19:25,386 --> 00:19:26,970 说话人 SPEAKER_01：我认为这是一个巨大的缺失元素。
218 00:19:27,450 --> 00:19:29,032 说话人 SPEAKER_01：我来告诉你为什么我们没有它。
219 00:19:29,501 --> 00:19:37,717 说话人 SPEAKER_01：我们没有它的原因是我们的硬件太糟糕了，从内存中获取一个权重需要 200 个周期，所以你最好多次重用这个权重。
220 00:19:38,538 --> 00:19:42,865 讲者 SPEAKER_01：现在，如果你有一个快速权重，它对每个训练案例都是不同的，所以你不能重复使用它。
221 00:19:43,507 --> 00:19:48,455 讲者 SPEAKER_01：所以你使用的实际硬件强烈反对使用快速权重。
222 00:19:49,127 --> 00:19:56,036 讲者 SPEAKER_01：我在 2010 年让伊利亚实现了快速权重，当时我们在做早期的语言模型，基于字符的语言模型，它们是有效的。
223 00:19:56,636 --> 00:20:03,224 讲者 SPEAKER_01：只是它们并不高效，因为你不能分摊从内存中获取权重的成本。
224 00:20:03,244 --> 00:20:12,394 讲者 SPEAKER_01：而且令人疯狂的是，我们的脑理论强烈地受到记忆检索成本的影响，因为大脑并不这样做。
225 00:20:14,958 --> 00:20:16,299 演讲者 SPEAKER_07: 好的，Lenore，你举手了。
226 00:20:16,903 --> 00:20:17,625 演讲者 SPEAKER_00: 是的。
227 00:20:18,105 --> 00:20:29,175 演讲者 SPEAKER_00: 所以，你知道，Yashua Bengio、Rufus von Rollen 和 Ryota Kanai 正在进行一些当前的工作，旨在将全局工作空间架构纳入深度学习。
228 00:20:29,616 --> 00:20:43,671 讲者 SPEAKER_00：我不确定这有多重要，有多好，但我知道我们在模型中也使用了认知神经科学家伯恩哈德·巴尔斯的全局工作空间架构，这非常强大。
