1 00:00:01,786 --> 00:00:05,562 主持人：欢迎，Jeff，感谢您接受 deeplearning.ai 的采访。
53 00:04:32,447 --> 00:04:39,317 说话人 说话人_00: 你认为为什么是你的论文对社区接受反向传播算法帮助如此之大？
54 00:04:39,377 --> 00:04:44,324 说话人 说话人_: 它感觉你的论文标志着这个算法被接受的一个转折点，无论谁接受了它。
55 00:04:45,446 --> 00:04:49,812 说话人 说话人_02: 所以我们成功在1986年将论文发表在《自然》杂志上。
56 00:04:50,112 --> 00:04:53,216 说话人 说话人_02: 我为了使这篇论文被接受做了很多政治工作。
57 00:04:53,858 --> 00:04:59,807 讲者 SPEAKER_02：我想到了一个裁判可能就是斯图尔特·萨瑟兰，他是英国著名的心理学家。
58 00:05:00,408 --> 00:05:03,994 讲者 SPEAKER_02：我和他谈了很久，并详细解释了正在发生的事情。
59 00:05:04,754 --> 00:05:11,985 讲者 SPEAKER_02：他对我们展示反向传播能够学习词的表示印象深刻。
60 00:05:12,266 --> 00:05:18,516 讲者 SPEAKER_02：你可以查看这些表示，它们是小小的向量，你可以理解个别特征的意义。
61 00:05:19,120 --> 00:05:34,016 说话人 SPEAKER_02：所以我们实际上是在关于家谱的小三元词上训练它，比如玛丽有母亲维多利亚，你给出前两个词，它就得预测最后一个词。
62 00:05:34,838 --> 00:05:48,012 说话人 SPEAKER_02：训练之后，你可以在单个词的表示中看到各种特征，比如人的国籍和他们的时代，他们在家谱中的哪个分支，等等。
63 00:05:48,398 --> 00:05:50,759 说话人 SPEAKER_02：这就是斯图尔特·萨瑟顿对它印象深刻的原因。
64 00:05:50,800 --> 00:05:52,581 说话人 SPEAKER_02：我想这就是论文被接受的原因。
65 00:05:53,201 --> 00:06:00,889 说话人 说话人_00：非常早期的词嵌入，你已经开始看到从训练算法中学习到的语义意义的特征。
66 00:06:01,670 --> 00:06:01,910 说话人 说话人_02：是的。
67 00:06:02,050 --> 00:06:12,098 说话人 说话人_02：从心理学家的角度来看，有趣的是它统一了关于知识是什么样的两种完全不同的思想流派。
68 00:06:13,000 --> 00:06:17,764 说话人 说话人_02：所以，有老心理学家的观点，一个概念只是一个大特征包。
69 00:06:18,165 --> 00:06:19,427 证据很多。
70 00:06:20,048 --> 00:06:29,141 那时 AI 的观点是一种更结构主义的观点，即一个概念是如何与其他概念相关联的。
71 00:06:29,661 --> 00:06:34,127 为了捕捉一个概念，你可能需要做一些类似图结构或语义网的事情。
72 00:06:35,029 --> 00:06:48,088 这个反向传播的例子表明，你可以给它输入信息，这些信息可以进入图结构，或者在这个例子中，是一个家谱，然后它可以把这些信息转换成特征。
73 00:06:48,591 --> 00:06:55,600 说话人 SPEAKER_02: 以一种方式，使其能够利用特征来推导出新的连贯信息，即。
74 00:06:55,680 --> 00:06:56,201 说话人 SPEAKER_02: 进行泛化。
75 00:06:56,723 --> 00:07:11,562 说话人 SPEAKER_02: 但关键在于这种在图形表示，或者说家谱的树状结构表示，以及将人物表示为大型特征向量之间的往复，以及你能够从
76 00:07:12,216 --> 00:07:18,269 说话人 SPEAKER_02: 图形表示中获取到特征向量，从特征向量中又能获取到更多的图形表示。
77 00:07:18,288 --> 00:07:19,250 说话人 SPEAKER_02：这是 1986 年。
78 00:07:19,269 --> 00:07:33,718 说话人 SPEAKER_02：在 20 世纪 90 年代初，Bengio 展示了你可以使用真实数据，你可以使用英文文本并应用相同的技巧，从而从英文文本中获得真实单词的嵌入。
79 00:07:34,271 --> 00:07:36,314 说话人 SPEAKER_00：这让人们印象深刻。
80 00:07:37,196 --> 00:07:44,906 说话人 SPEAKER_00：我想最近我们谈论了很多关于计算机如 GPU 和超级计算机如何推动深度学习发展的话题。
81 00:07:45,005 --> 00:07:52,937 说话人 说话人_00：我没有意识到在1986年到90年代初，你丹乔之间已经有了这种趋势的萌芽。
82 00:07:53,838 --> 00:07:55,220 说话人 说话人_02：是的，有一个巨大的进步。
83 00:07:55,360 --> 00:08:03,891 说话人 说话人_02：我的意思是，1986 年，我使用的是 Lisp 机器，它的速度不到十分之一兆次浮点运算。
84 00:08:04,629 --> 00:08:10,596 说话人 说话人_02：到1993年左右，人们看到的速度大约是10兆次浮点运算。
85 00:08:11,057 --> 00:08:12,478 说话人 SPEAKER_02：这是一个 100 倍的因子。
86 00:08:13,000 --> 00:08:16,584 说话人 SPEAKER_02：就在这个时候使用起来变得容易，因为计算机的速度正在变快。
87 00:08:16,884 --> 00:08:22,870 说话人 SPEAKER_00：在过去的几十年里，你发明了许多神经网络和深度学习的部件。
88 00:08:23,351 --> 00:08:28,478 说话人 SPEAKER_00：我实际上很好奇，你发明了这么多东西，哪些是你现在仍然最兴奋的？
89 00:08:30,043 --> 00:08:34,750 说话人 SPEAKER_02：我认为最美丽的是我和 Terry Sinofsky 在巴尔的摩机器上的工作。
90 00:08:35,871 --> 00:08:45,965 说话人 SPEAKER_02：我们发现有一个非常简单的学习算法，适用于非常大的密集连接网络，你只能看到少数节点。
91 00:08:46,785 --> 00:08:59,341 说话人 SPEAKER_02：它会学习隐藏表示，这是一个非常简单的算法，看起来就像你能在大脑中找到的那种，因为每个突触只需要了解它直接连接的两个神经元的特性。
92 00:09:00,166 --> 00:09:04,490 说话人 SPEAKER_02：传播的信息是相同的。
93 00:09:04,551 --> 00:09:08,294 说话人 SPEAKER_02：有两个不同的阶段，我们称之为清醒和睡眠。
94 00:09:08,414 --> 00:09:12,078 说话人 SPEAKER_02：但在这两个不同的阶段，你都是以相同的方式传播信息。
95 00:09:12,578 --> 00:09:18,085 说话人 SPEAKER_02：而像反向传播这样的过程，有一个正向传递和一个反向传递，它们的工作方式不同。
96 00:09:18,105 --> 00:09:19,687 说话人 SPEAKER_02：它们发送的是不同类型的信号。
97 00:09:21,028 --> 00:09:21,408 说话人 SPEAKER_02: 对。
98 00:09:21,427 --> 00:09:23,831 说话人 SPEAKER_02: 我认为那是最美丽的事情。
99 00:09:24,471 --> 00:09:28,535 说话人 SPEAKER_02: 而在许多年里，它看起来就像一个好奇心，因为它看起来太慢了。
100 00:09:29,342 --> 00:09:37,340 说话人 SPEAKER_02: 但后来，我放弃了一些美丽，不再让事物稳定下来，而是在一个相对简单的网络中使用一次迭代。
101 00:09:37,902 --> 00:09:42,731 说话人 SPEAKER_02：这导致了受限玻尔兹曼机，实际上在实践中效果非常好。
102 00:09:42,792 --> 00:09:45,057 说话人 SPEAKER_02：比如在 Netflix 竞赛中，
103 00:09:45,255 --> 00:09:48,701 说话人 SPEAKER_02：受限玻尔兹曼机是获奖方案的一部分。
104 00:09:49,282 --> 00:10:01,100 说话人 SPEAKER_00：实际上，从大约 2007 年开始，神经网络深度学习的近期复兴很大程度上归功于您和您实验室在受限玻尔兹曼机和深度受限玻尔兹曼机方面的工作。
105 00:10:02,222 --> 00:10:04,927 说话人 SPEAKER_02: 是的，这是我非常高兴的另一项工作。
106 00:10:05,427 --> 00:10:11,297 说话人 SPEAKER_02: 想法是你可以训练一个只有一层隐藏特征的受限玻尔兹曼机，
107 00:10:11,934 --> 00:10:13,836 说话人 SPEAKER_02: 你可以学习一层特征。
108 00:10:14,357 --> 00:10:17,441 说话人 SPEAKER_02: 然后你可以将这些特征视为数据再次进行操作。
109 00:10:17,480 --> 00:10:22,066 说话人 SPEAKER_02：然后你可以把学到的这些新特征当作数据，喜欢多少次就做多少次。
110 00:10:23,648 --> 00:10:25,509 说话人 SPEAKER_02：这很好，实际上效果不错。
111 00:10:26,331 --> 00:10:34,379 说话人 SPEAKER_02：然后易伟泰意识到整个系统可以当作一个单一模型来处理，但这是一个很奇怪的类型。
112 00:10:34,919 --> 00:10:37,722 说话人 SPEAKER_02：这是一个模型，在顶部有一个受限玻尔兹曼机，
113 00:10:38,311 --> 00:10:45,817 说话人 SPEAKER_02：但在那之下，你有一个 sigmoid 信念网络，这是 Radford Neal 多年前发明的东西。
114 00:10:46,298 --> 00:10:47,620 说话人 SPEAKER_02：所以它是一个有向模型。
115 00:10:48,541 --> 00:10:55,988 说话人 SPEAKER_02：通过训练这些受限的 BOS 机器，我们找到了在 sigmoid 信念网络中进行推理的高效方法。
116 00:10:57,149 --> 00:11:07,879 说话人 SPEAKER_02：在那个时期，有一些使用密集连接网络进行神经网络研究的人，但他们没有好的方法来进行概率推理。
117 00:11:08,585 --> 00:11:18,953 说话人 SPEAKER_02：你有一些人做图形模型，比如 Mike Jordan，他们能正确进行推理，但只能在稀疏连接的网络中。
118 00:11:20,154 --> 00:11:31,245 说话人 SPEAKER_02：而我们设法证明的是，有一种方法可以学习这些深度信念网络，从而实现快速的近似推理，它只需要单次正向传递即可完成。
119 00:11:32,105 --> 00:11:33,907 说话人 SPEAKER_02：这是一个非常漂亮的结果。
120 00:11:34,347 --> 00:11:38,270 说话人 SPEAKER_02：你可以保证每次你学习一个额外的特征层时，
121 00:11:39,230 --> 00:11:40,110 说话人 SPEAKER_02：有一个界限。
122 00:11:40,672 --> 00:11:45,177 说话人 SPEAKER_02：每次你学习一个新的层，你得到一个新的界限，而这个新的界限总是比旧的界限更好。
123 00:11:45,557 --> 00:11:50,263 说话人 SPEAKER_00：是的，或者那个变分界限表明，随着层的增加，是的，是的，我记得。
124 00:11:50,283 --> 00:11:52,625 说话人 SPEAKER_02：所以这是我真正兴奋的第二件事。
125 00:11:53,086 --> 00:11:58,133 说话人 SPEAKER_02：我想第三件事是我和布拉德福德·尼尔在变分方法上的工作。
126 00:11:58,994 --> 00:12:05,400 说话人 SPEAKER_02：结果发现统计学界早些时候已经做了类似的工作，但我们不知道这一点。
127 00:12:07,984 --> 00:12:08,544 说话人 SPEAKER_02：所以
128 00:12:09,267 --> 00:12:14,273 说话人 SPEAKER_02：我们通过表明不需要进行完美的 E 步，成功地使 EM 工作变得更好。
129 00:12:14,293 --> 00:12:15,754 说话人 SPEAKER_02：你可以做一个近似的 E 步。
130 00:12:16,056 --> 00:12:20,461 说话人 SPEAKER_02：EM 算法在统计学中是一个大算法，我们已经展示了它的一个重大推广。
131 00:12:21,101 --> 00:12:36,961 说话人 SPEAKER_02：特别是在 1993 年左右，我想，我和 Van Kamp 合作发表了一篇论文，我认为这是第一篇变分贝叶斯论文，我们展示了你可以实际上做一个贝叶斯学习的版本，这个版本远比原来的更易于处理
132 00:12:37,600 --> 00:12:40,073 说话人 SPEAKER_02：通过用高斯分布来近似真实的后验分布。
133 00:12:41,240 --> 00:12:43,009 说话人 SPEAKER_02：你可以在神经网络中做到这一点。
134 00:12:43,592 --> 00:12:45,383 说话人 SPEAKER_02：我对那件事非常兴奋。
135 00:12:45,750 --> 00:12:46,292 说话人 SPEAKER_00：我明白了。
136 00:12:46,312 --> 00:12:46,491 说话人 SPEAKER_00：哇。
137 00:12:46,611 --> 00:12:46,831 说话人 说话人_00: 对。
138 00:12:46,951 --> 00:12:47,393 说话人 说话人_00: 嗯。
139 00:12:47,413 --> 00:12:53,678 说话人 说话人_00: 我想我记得所有这些论文，Neal 和 Hinton 的近似 EM 论文，对吧？
140 00:12:53,698 --> 00:12:55,220 说话人 说话人_00: 花了很多时间阅读这些。
141 00:12:55,961 --> 00:13:07,851 说话人 说话人_00: 我认为，你知道，今天你使用的某些算法或者很多人几乎每天都会使用的某些算法，比如 dropout 或者我认为是来自你团队的激活值？
142 00:13:09,793 --> 00:13:10,495 说话人 说话人_02: 是也不是。
143 00:13:10,754 --> 00:13:14,138 说话人 说话人_02: 所以其他人也考虑过 ReLU。
144 00:13:14,658 --> 00:13:26,119 说话人 说话人_02: 我们实际上与受限玻尔兹曼机进行了一些工作，表明 ReLU 几乎等同于一系列逻辑单元。
145 00:13:26,139 --> 00:13:28,582 说话人 SPEAKER_02：这就是 ReLU 流行起来的一个原因。
146 00:13:29,034 --> 00:13:30,618 说话人 SPEAKER_00：我对此真的很感兴趣。
147 00:13:30,697 --> 00:13:38,230 说话人 SPEAKER_00：ReLU 论文中有大量的数学推导，表明这个函数可以被近似到这个非常复杂的公式。
148 00:13:38,812 --> 00:13:48,207 说话人 SPEAKER_00：你是为了使你的论文能够被学术会议接受而做了这些数学推导，还是这些数学推导真正影响了 0 和 x 的最大值函数的发展？
149 00:13:49,623 --> 00:13:55,129 说话人 SPEAKER_02：这实际上是一个数学对想法发展很重要的例子。
150 00:13:55,629 --> 00:13:59,653 说话人 SPEAKER_02：显然，我了解 ReLU（修正线性单元）和逻辑单元。
151 00:14:00,274 --> 00:14:05,139 说话人 SPEAKER_02：由于对玻尔兹曼机的相关工作，所有基本工作都是使用逻辑单元完成的。
152 00:14:06,059 --> 00:14:11,585 说话人 SPEAKER_02：因此问题是，学习算法能否在具有 ReLU（修正线性单元）的结构中工作？
153 00:14:12,505 --> 00:14:19,072 说话人 SPEAKER_02：通过展示修正线性单元几乎与堆叠的逻辑单元完全相同，
154 00:14:19,592 --> 00:14:22,596 说话人 SPEAKER_02：我们证明了所有的数学推导都是适用的。
155 00:14:24,519 --> 00:14:35,451 说话人 SPEAKER_00：我明白了，这提供了灵感，但如今成千上万的人使用 ReLU，它只需工作而不必 necessarily needing to understand the same motivation。
156 00:14:36,393 --> 00:14:47,085 说话人 SPEAKER_02：是的，后来当我 2014 年加入谷歌时，我注意到一件事，我在谷歌做了一次关于使用 ReLU 的演讲，
157 00:14:47,673 --> 00:14:49,496 说话人 SPEAKER_02：使用单位矩阵初始化。
158 00:14:49,937 --> 00:14:58,354 说话人 SPEAKER_02：因为 ReLU 的好处是，如果你不断复制隐藏层并且使用单位矩阵初始化，它就会复制下一层的模式。
159 00:14:58,413 --> 00:15:07,572 说话人 SPEAKER_02：所以我展示了你可以训练具有 300 个隐藏层的网络，如果你使用单位矩阵初始化，你可以非常高效地训练它们。
160 00:15:07,956 --> 00:15:11,120 说话人 SPEAKER_02：但我没有进一步追求这个，我真的很后悔没有继续追求。
161 00:15:11,321 --> 00:15:18,889 说话人 SPEAKER_02：我们发表了一篇与李国辉合著的论文，展示了如何初始化循环神经网络，以及与 Navdeep Jaitley 合著的论文，展示了如何初始化这样的循环网络。
162 00:15:19,529 --> 00:15:27,058 说话人 SPEAKER_02：但我本应该进一步追求这个方向，因为后来残差网络实际上就是这样一类东西。
163 00:15:27,818 --> 00:15:29,902 说话人 SPEAKER_00：多年来，我经常听到您谈论大脑。
164 00:15:29,922 --> 00:15:33,186 说话人 SPEAKER_00：我听到您谈论反向传播与大脑之间的关系。
165 00:15:33,725 --> 00:15:35,347 说话人 SPEAKER_00：你对那个问题现在的看法是什么？
166 00:15:36,576 --> 00:15:39,321 说话人 SPEAKER_02：我实际上正在写一篇关于那个问题的论文。
167 00:15:40,102 --> 00:15:43,467 说话人 SPEAKER_02：我想我的主要想法是这样的。
168 00:15:44,489 --> 00:15:54,885 说话人 SPEAKER_02：如果反向传播确实是一个很好的学习算法，那么进化肯定已经找到了实现它的方法。
169 00:15:56,307 --> 00:15:59,813 说话人 SPEAKER_02：我的意思是，有些细胞可以变成眼睛或者牙齿。
170 00:16:00,575 --> 00:16:01,976 说话人 SPEAKER_02：现在，如果细胞能这样做，
171 00:16:02,210 --> 00:16:04,793 说话人 SPEAKER_02：那么它们当然可以实现反向传播。
172 00:16:05,374 --> 00:16:08,177 说话人 SPEAKER_02：而且，这肯定存在巨大的选择性压力。
173 00:16:09,138 --> 00:16:13,121 说话人 SPEAKER_02：我认为神经科学家认为这不太可能的想法很愚蠢。
174 00:16:13,743 --> 00:16:15,565 说话人 SPEAKER_02：可能有一些细微的实现方式。
175 00:16:16,144 --> 00:16:21,250 说话人 SPEAKER_02：我认为大脑可能有一些东西，可能不是完全的反向传播，但非常接近。
176 00:16:21,912 --> 00:16:25,576 说话人 SPEAKER_02：多年来，我提出了许多关于这可能如何工作的想法。
177 00:16:26,177 --> 00:16:31,001 说话人 SPEAKER_02：1987 年，与 Jay McClelland 合作，
178 00:16:31,740 --> 00:16:45,715 说话人 SPEAKER_02：我想出了循环算法，其想法是将信息发送到循环中，并尝试使信息在循环中传递时保持不变。
179 00:16:46,495 --> 00:16:57,966 说话人 SPEAKER_02：最简单的版本是这样的，你有一些输入单元和隐藏单元，信息从输入单元发送到隐藏单元，然后再从隐藏单元发送回输入单元，然后再次从输入单元发送到隐藏单元，如此循环。
180 00:16:58,506 --> 00:16:59,587 说话人 SPEAKER_02：你想要
181 00:17:00,142 --> 00:17:04,588 说话人 SPEAKER_02：你想训练一个自动编码器，但又不想进行反向传播。
182 00:17:05,510 --> 00:17:09,698 说话人 SPEAKER_02：所以你只是训练它，试图消除所有活动的变化。
183 00:17:10,499 --> 00:17:24,461 说话人 SPEAKER_02：所以，对于突触的学习规则是按比例改变权重，按比例改变突触后输入的变化率。
184 00:17:24,964 --> 00:17:30,551 说话人 SPEAKER_02：但在循环中，你试图使突触后输入变得更好，使旧的变得更好，新的变得不好。
185 00:17:31,493 --> 00:17:32,855 说话人 SPEAKER_02：所以你正在朝那个方向改变。
186 00:17:34,156 --> 00:17:40,105 说话人 SPEAKER_02：我们在神经科学家提出突触时间依赖性可塑性之前就发明了这个算法。
187 00:17:40,125 --> 00:17:48,695 说话人 SPEAKER_02：突触时间依赖性可塑性实际上是同一个算法，但方向相反，新的学习规则中好的是新的，坏的是旧的。
188 00:17:49,557 --> 00:17:54,042 说话人 SPEAKER_02：所以你是按照突触前活动的比例来改变权重的。
189 00:17:54,428 --> 00:17:57,772 说话人 SPEAKER_02：新的突触后活动减去旧的活动。
190 00:18:00,336 --> 00:18:19,688 说话人 SPEAKER_02：后来，我在 2007 年意识到，如果你堆叠了一堆受限玻尔兹曼机并对其进行训练，训练完成后，你就有条件通过尝试重建来实现反向传播。
191 00:18:19,748 --> 00:18:21,651 说话人 SPEAKER_02：如果你看重建误差
192 00:18:22,441 --> 00:18:29,069 说话人 SPEAKER_02：这个重建误差实际上会告诉你判别性能的导数。
193 00:18:30,131 --> 00:18:38,442 说话人 SPEAKER_02：在 2007 年 NIPS 第一次深度学习研讨会上，我谈到了这一点，但几乎被完全忽视了。
194 00:18:40,164 --> 00:18:47,074 说话人 SPEAKER_02：后来，Yoshio Bengio 采纳了这个想法，并在这方面做了很多工作。
195 00:18:47,615 --> 00:18:49,376 说话人 SPEAKER_02：我自己也在做更多的工作。
196 00:18:49,643 --> 00:19:05,208 说话人 SPEAKER_02：我认为，如果你有一堆自编码器，那么可以通过将活动向后发送并查看重建错误来获取导数，这是一个非常有趣的想法，这可能是大脑的工作方式。
197 00:19:05,848 --> 00:19:14,863 说话人 说话人_00：还有一个话题，我知道你思考了很多，而且我听说你还在研究，那就是如何在深度学习中处理多个时间尺度。
198 00:19:15,243 --> 00:19:17,186 说话人 说话人_00：那么，你能分享一下你的想法吗？
199 00:19:17,757 --> 00:19:21,580 说话人 说话人_02：是的，这实际上可以追溯到我的研究生第一年。
200 00:19:22,181 --> 00:19:26,786 说话人 说话人_02：我第一次发表的演讲是关于使用我所说的快速权重。
201 00:19:27,326 --> 00:19:32,310 说话人 SPEAKER_02：因此，这些权重可以快速适应，但也会快速衰减，因此可以保持短期记忆。
202 00:19:33,172 --> 00:19:39,377 说话人 SPEAKER_02：我在 1973 年展示了一个非常简单的系统，使用这些权重可以实现真正的递归。
203 00:19:39,857 --> 00:19:47,645 说话人 SPEAKER_02：我所说的真正递归是指用于表示事物的神经元，在递归调用中会被重复使用。
204 00:19:48,250 --> 00:19:51,795 说话人 SPEAKER_02：在递归调用中表示事物时，这些神经元会被重复使用。
205 00:19:53,557 --> 00:19:57,683 说话人 SPEAKER_02：用于表示知识的权重在递归调用中被重复使用。
206 00:19:58,605 --> 00:20:04,815 说话人 SPEAKER_02：那么，当你从递归调用中退出时，你如何记住你当时正在做什么？
207 00:20:04,875 --> 00:20:05,676 说话人 SPEAKER_02：记忆在哪里？
208 00:20:06,116 --> 00:20:08,320 说话人 SPEAKER_02：因为你在递归调用中使用了神经元。
209 00:20:09,362 --> 00:20:16,333 说话人 SPEAKER_02：答案是你可以将这种记忆放入快速权重中，并可以从这些快速权重中恢复神经元的活性状态。
210 00:20:17,089 --> 00:20:23,781 说话人 SPEAKER_02：最近，与 Jimmy Barr 合作，我们在 NIPS 上发表了一篇关于使用快速权重进行递归的论文。
211 00:20:25,565 --> 00:20:27,868 说话人 SPEAKER_02：所以这是一个相当大的差距。
212 00:20:28,569 --> 00:20:37,726 说话人 SPEAKER_02：第一个模型是在 1973 年未发表的，然后 Jimmy Barr 的模型是在 2015 年，我想是 2016 年。
213 00:20:37,746 --> 00:20:40,329 说话人 SPEAKER_02：大约 40 年后了。
214 00:20:40,984 --> 00:20:49,356 说话人 SPEAKER_00：我想还有另外一个想法，您已经谈论了多年，我想有五年了吧，那就是胶囊。
215 00:20:49,817 --> 00:20:50,980 说话人 SPEAKER_00：您在这方面进展如何？
216 00:20:52,561 --> 00:21:01,816 说话人 SPEAKER_02：好吧，我又回到了我习惯的状态，那就是我有一个非常相信的想法，但其他人都不相信。
217 00:21:02,636 --> 00:21:04,920 说话人 SPEAKER_02：我提交了关于它的论文，但都被拒绝了。
218 00:21:06,762 --> 00:21:09,507 说话人 SPEAKER_02：但我真的相信这个想法，我会继续推动它。
219 00:21:10,229 --> 00:21:16,459 说话人 SPEAKER_02：所以这取决于几个关键想法。
220 00:21:17,200 --> 00:21:19,845 说话人 SPEAKER_02：其中一个是关于如何表示多维实体。
221 00:21:21,567 --> 00:21:30,863 说话人 SPEAKER_02：您可以通过一个非常小的活动向量来表示多维实体，只要您知道只有一个这样的实体。
222 00:21:30,883 --> 00:21:37,333 说话人 SPEAKER_02：所以，在每个图像区域，您会假设最多只有一个特定类型的特征。
223 00:21:38,376 --> 00:21:46,467 说话人 SPEAKER_02：然后您会使用许多神经元，它们的激活将代表该特征的不同方面。
